time,Actual Movement,Predictions,Predicted
2021-02-23,1,0.8445982,1
2021-02-24,1,0.988528,1
2021-02-25,-1,0.23141892,-1
2021-02-26,-1,0.0075814733,-1
2021-03-01,-1,0.07470411,-1
2021-03-02,1,0.8531226,1
2021-03-03,-1,0.026725229,-1
2021-03-04,-1,0.020785842,-1
2021-03-05,-1,0.057389703,-1
2021-03-08,-1,0.0443902,-1
2021-03-09,1,0.919365,1
2021-03-10,1,0.60319835,-1
2021-03-11,-1,0.1535163,-1
2021-03-12,-1,0.009007914,-1
2021-03-15,1,0.8577348,1
2021-03-16,-1,0.05663296,-1
2021-03-17,1,0.8961914,1
2021-03-18,-1,0.11281316,-1
2021-03-19,1,0.830365,1
2021-03-22,1,0.777499,1
2021-03-23,-1,0.0029034186,-1
2021-03-24,-1,0.10938662,-1
2021-03-25,1,0.23892982,-1
2021-03-26,1,0.7298416,1
2021-03-29,1,0.6106463,-1
2021-03-30,1,0.6453252,-1
2021-03-31,-1,0.042221278,-1
2021-04-01,1,0.96215314,1
2021-04-02,1,0.89967495,1
2021-04-05,1,0.9124353,1
2021-04-06,1,0.96214217,1
2021-04-07,-1,0.32931608,-1
2021-04-08,1,0.95368886,1
2021-04-09,-1,0.03743666,-1
2021-04-12,1,0.8299653,1
2021-04-13,1,0.5987997,-1
2021-04-14,1,0.98996407,1
2021-04-15,1,0.9668359,1
2021-04-16,-1,0.020018185,-1
2021-04-19,1,0.9688965,1
2021-04-20,1,0.91631067,1
2021-04-21,-1,0.041430134,-1
2021-04-22,-1,0.035421327,-1
2021-04-23,1,0.82674915,1
2021-04-26,-1,0.16941473,-1
2021-04-27,-1,0.058794156,-1
2021-04-28,1,0.33797973,-1
2021-04-29,-1,0.013695428,-1
2021-04-30,-1,0.0066987113,-1
2021-05-03,1,0.90608037,1
2021-05-04,-1,0.03351789,-1
2021-05-05,1,0.9654178,1
2021-05-06,-1,0.039851528,-1
2021-05-07,1,0.96525705,1
2021-05-10,-1,0.14435592,-1
2021-05-11,1,0.88196796,1
2021-05-12,-1,0.010787508,-1
2021-05-13,1,0.97176075,1
2021-05-14,1,0.92300284,1
2021-05-17,-1,0.024384804,-1
2021-05-18,1,0.93098164,1
2021-05-19,-1,0.14363326,-1
2021-05-20,-1,0.43951076,-1
2021-05-21,-1,0.110019505,-1
2021-05-24,1,0.9713742,1
2021-05-25,1,0.9234252,1
2021-05-26,1,0.9956721,1
2021-05-27,-1,0.103853,-1
2021-05-28,-1,0.05074364,-1
2021-05-31,1,0.8297684,1
2021-06-01,-1,0.13844302,-1
2021-06-02,-1,0.026457833,-1
2021-06-03,-1,0.0269581,-1
2021-06-04,1,0.962755,1
2021-06-07,1,0.90735996,1
2021-06-08,-1,0.3277567,-1
2021-06-09,-1,0.24886996,-1
2021-06-10,1,0.7773917,1
2021-06-11,-1,0.08918069,-1
2021-06-14,1,0.68518925,-1
2021-06-15,1,0.6480083,-1
2021-06-16,-1,0.12310218,-1
2021-06-17,-1,0.3216796,-1
2021-06-18,-1,0.08012954,-1
2021-06-21,1,0.13906999,-1
2021-06-22,1,0.14816463,-1
2021-06-23,1,0.93754613,1
2021-06-24,1,0.97577703,1
2021-06-25,-1,0.784447,1
2021-06-28,-1,0.6362264,-1
2021-06-29,-1,0.04895818,-1
2021-06-30,-1,0.040573016,-1
2021-07-01,1,0.16897923,-1
2021-07-02,-1,0.11040801,-1
2021-07-05,-1,0.040750146,-1
2021-07-06,1,0.99499303,1
2021-07-07,1,0.9728204,1
2021-07-08,-1,0.025500726,-1
2021-07-09,1,0.82988673,1
2021-07-12,-1,0.11866864,-1
2021-07-13,-1,0.3317427,-1
2021-07-14,1,0.9970643,1
2021-07-15,-1,0.29593602,-1
2021-07-16,1,0.96269274,1
2021-07-19,1,0.9084697,1
2021-07-20,-1,0.009559598,-1
2021-07-21,-1,0.23096204,-1
2021-07-22,1,0.5894894,-1
2021-07-23,1,0.66373914,-1
2021-07-26,1,0.8353848,1
2021-07-27,-1,0.3800688,-1
2021-07-28,-1,0.015870536,-1
2021-07-29,1,0.69535637,-1
2021-07-30,-1,0.045453817,-1
2021-08-02,1,0.8855578,1
2021-08-03,1,0.9942046,1
2021-08-04,1,0.97721285,1
2021-08-05,-1,0.76266825,1
2021-08-06,-1,0.6702404,-1
2021-08-09,-1,0.51670945,-1
2021-08-10,-1,0.119489685,-1
2021-08-11,1,0.9249786,1
2021-08-12,-1,0.030866446,-1
2021-08-13,1,0.9480447,1
2021-08-16,1,0.86433125,1
2021-08-17,-1,0.00483783,-1
2021-08-18,-1,0.09317099,-1
2021-08-19,1,0.9391534,1
2021-08-20,1,0.7509617,1
2021-08-23,-1,0.03932257,-1
2021-08-24,1,0.9388341,1
2021-08-25,1,0.9186594,1
2021-08-26,1,0.9092164,1
2021-08-27,1,0.93024355,1
2021-08-30,-1,0.08183247,-1
2021-08-31,1,0.97302926,1
2021-09-01,1,0.89231265,1
2021-09-02,1,0.87065,1
2021-09-03,1,0.95952827,1
2021-09-06,-1,0.41448042,-1
2021-09-07,1,0.95983285,1
2021-09-08,1,0.9447579,1
2021-09-09,-1,0.6689665,-1
2021-09-10,1,0.95034814,1
2021-09-13,-1,0.118657865,-1
2021-09-14,1,0.73899376,1
2021-09-15,-1,0.025718236,-1
2021-09-16,-1,0.0683679,-1
2021-09-17,1,0.38073134,-1
2021-09-20,1,0.8678642,1
2021-09-21,-1,0.019970547,-1
2021-09-22,-1,0.026590213,-1
2021-09-23,-1,0.16599202,-1
2021-09-24,-1,0.0071382965,-1
2021-09-27,-1,0.053472977,-1
2021-09-28,-1,0.023088973,-1
2021-09-29,-1,0.007344154,-1
2021-09-30,-1,0.037753828,-1
2021-10-01,1,0.26303166,-1
2021-10-04,-1,0.054249287,-1
2021-10-05,-1,0.04023135,-1
2021-10-06,-1,0.011793198,-1
2021-10-07,-1,0.05342346,-1
2021-10-08,-1,0.009129566,-1
2021-10-11,1,0.3398513,-1
2021-10-12,-1,0.03109237,-1
2021-10-13,1,0.8434332,1
2021-10-14,1,0.95468545,1
2021-10-15,1,0.9796765,1
2021-10-18,1,0.9661344,1
2021-10-19,1,0.99167585,1
2021-10-20,1,0.9565626,1
2021-10-21,-1,0.69996154,-1
2021-10-22,-1,0.67187256,-1
2021-10-25,1,0.95186365,1
2021-10-26,-1,0.7563936,1
2021-10-27,-1,0.46137795,-1
2021-10-28,1,0.9337483,1
2021-10-29,-1,0.15037745,-1
2021-11-01,1,0.8591691,1
2021-11-02,-1,0.0037130693,-1
2021-11-03,1,0.90241927,1
2021-11-04,-1,0.017396625,-1
2021-11-05,1,0.523819,-1
2021-11-08,1,0.936758,1
2021-11-09,-1,0.019250354,-1
2021-11-10,-1,0.036362235,-1
2021-11-11,1,0.80555326,1
2021-11-12,1,0.7013364,-1
2021-11-15,-1,0.13717037,-1
2021-11-16,-1,0.108678125,-1
2021-11-17,1,0.96640265,1
2021-11-18,1,0.9810277,1
2021-11-19,-1,0.17836475,-1
2021-11-22,-1,0.50494283,-1
2021-11-23,-1,0.109971054,-1
2021-11-24,-1,0.0072647515,-1
2021-11-25,-1,0.09311603,-1
2021-11-26,1,0.913418,1
2021-11-29,-1,0.09439091,-1
2021-11-30,1,0.88521343,1
2021-12-01,1,0.70089346,-1
2021-12-02,1,0.6257133,-1
2021-12-03,-1,0.019597987,-1
2021-12-06,-1,0.033423282,-1
2021-12-07,-1,0.049439814,-1
2021-12-08,1,0.8769215,1
2021-12-09,1,0.85904986,1
2021-12-10,1,0.85149235,1
2021-12-13,-1,0.7329571,1
2021-12-14,1,0.93935126,1
2021-12-15,1,0.96370703,1
2021-12-16,-1,0.18508755,-1
2021-12-17,-1,0.59295166,-1
2021-12-20,1,0.6912769,-1
2021-12-21,1,0.9827359,1
2021-12-22,-1,0.83352095,1
2021-12-23,-1,0.8721974,1
2021-12-24,-1,0.07152366,-1
2021-12-27,-1,0.16220401,-1
2021-12-28,1,0.48288235,-1
2021-12-29,1,0.8555069,1
2021-12-30,-1,0.023502234,-1
2021-12-31,-1,0.010191487,-1
2022-01-03,-1,0.0794531,-1
2022-01-04,1,0.17826068,-1
2022-01-05,1,0.9009456,1
2022-01-06,-1,0.006736172,-1
2022-01-07,-1,0.09097023,-1
2022-01-10,1,0.1282464,-1
2022-01-11,-1,0.017491471,-1
2022-01-12,1,0.87593293,1
2022-01-13,1,0.92151946,1
2022-01-14,-1,0.033618834,-1
2022-01-17,-1,0.072150484,-1
2022-01-18,-1,0.06304314,-1
2022-01-19,1,0.8260847,1
2022-01-20,-1,0.037636753,-1
2022-01-21,1,0.32364166,-1
2022-01-24,1,0.76509154,1
2022-01-25,-1,0.068746954,-1
2022-01-26,-1,0.0956975,-1
2022-01-27,-1,0.022871254,-1
2022-01-28,-1,0.03838371,-1
2022-01-31,-1,0.08219043,-1
2022-02-01,1,0.98450756,1
2022-02-02,-1,0.5593777,-1
2022-02-03,1,0.98388714,1
2022-02-04,-1,0.7701423,1
2022-02-07,-1,0.072480224,-1
2022-02-08,1,0.9648989,1
2022-02-09,1,0.9163274,1
2022-02-10,1,0.9375755,1
2022-02-11,-1,0.055818275,-1
2022-02-14,-1,0.02932543,-1
2022-02-15,1,0.8814878,1
2022-02-16,1,0.9327638,1
2022-02-17,1,0.91727114,1
2022-02-18,1,0.94917667,1
2022-02-21,1,0.8919063,1
2022-02-22,1,0.9858671,1
2022-02-23,1,0.96971,1
2022-02-24,-1,0.045600645,-1
2022-02-25,-1,0.43456933,-1
2022-02-28,1,0.886326,1
2022-03-01,1,0.9237905,1
2022-03-02,-1,0.03669619,-1
2022-03-03,1,0.95223266,1
2022-03-04,1,0.9948442,1
2022-03-07,1,0.82808286,1
2022-03-08,1,0.97434694,1
2022-03-09,-1,0.87966615,1
2022-03-10,1,0.95608246,1
2022-03-11,-1,0.005567617,-1
2022-03-14,-1,0.068849094,-1
2022-03-15,-1,0.08439507,-1
2022-03-16,1,0.76124984,1
2022-03-17,1,0.7979707,1
2022-03-18,1,0.87597424,1
2022-03-21,-1,0.06472261,-1
2022-03-22,1,0.9911327,1
2022-03-23,1,0.83605033,1
2022-03-24,-1,0.09752655,-1
2022-03-25,-1,0.029681293,-1
2022-03-28,-1,0.034019336,-1
2022-03-29,1,0.9348883,1
2022-03-30,1,0.9329699,1
2022-03-31,-1,0.06498939,-1
2022-04-01,-1,0.33840737,-1
2022-04-04,1,0.88642615,1
2022-04-05,-1,0.52794945,-1
2022-04-06,1,0.73283124,1
2022-04-07,1,0.7362235,1
2022-04-08,-1,0.012366651,-1
2022-04-11,1,0.78166234,1
2022-04-12,1,0.96397334,1
2022-04-13,-1,0.004338786,-1
2022-04-14,1,0.8570561,1
2022-04-15,-1,0.10158679,-1
2022-04-18,-1,0.050131682,-1
2022-04-19,1,0.7082185,-1
2022-04-20,1,0.65419257,-1
2022-04-21,-1,0.053312976,-1
2022-04-22,-1,0.04311008,-1
2022-04-25,-1,0.14428984,-1
