,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-02-18,1,0.99104065,1,1.77144,
1,2021-02-19,-1,0.035581965,-1,1.76674,1.77144
2,2021-02-22,1,0.9728785,1,1.7740200000000002,1.76674
3,2021-02-23,1,0.91367406,1,1.77703,1.7740200000000002
4,2021-02-24,-1,0.014906917,-1,1.76938,1.77703
5,2021-02-25,-1,0.27424124,-1,1.76722,1.76938
6,2021-02-26,1,0.97408324,1,1.77319,1.76722
7,2021-03-01,-1,0.0033734448,-1,1.76065,1.77319
8,2021-03-02,1,0.9365822,1,1.76431,1.76065
9,2021-03-03,1,0.7990115,1,1.76536,1.76431
10,2021-03-04,-1,0.062154513,-1,1.75985,1.76536
11,2021-03-05,-1,0.014518247,-1,1.74947,1.75985
12,2021-03-08,1,0.69439924,1,1.7501799999999998,1.74947
13,2021-03-09,1,0.9702125,1,1.75553,1.7501799999999998
14,2021-03-10,1,0.9631372,1,1.75857,1.75553
15,2021-03-11,-1,0.15480919,-1,1.75417,1.75857
16,2021-03-12,-1,0.0022195207,-1,1.73714,1.75417
17,2021-03-15,-1,0.12693898,-1,1.73353,1.73714
18,2021-03-16,-1,0.017421095,-1,1.729,1.73353
19,2021-03-17,1,0.39537528,-1,1.73212,1.729
20,2021-03-18,1,0.9728382,1,1.74003,1.73212
21,2021-03-19,-1,0.018640462,-1,1.73366,1.74003
22,2021-03-22,1,0.90620625,1,1.73636,1.73366
23,2021-03-23,-1,0.029437399,-1,1.73081,1.73636
24,2021-03-24,-1,0.014413963,-1,1.72147,1.73081
25,2021-03-25,1,0.9926333,1,1.7317,1.72147
26,2021-03-26,1,0.8258107,1,1.73359,1.7317
27,2021-03-29,-1,0.62161857,1,1.7331,1.73359
28,2021-03-30,1,0.92795384,1,1.73481,1.7331
29,2021-03-31,-1,0.10582473,-1,1.73146,1.73481
30,2021-04-01,1,0.9664342,1,1.7363,1.73146
31,2021-04-02,1,0.8129807,1,1.73836,1.7363
32,2021-04-05,1,0.8904089,1,1.7412800000000002,1.73836
33,2021-04-06,-1,0.036165696,-1,1.73803,1.7412800000000002
34,2021-04-07,-1,0.0071002864,-1,1.73202,1.73803
35,2021-04-08,-1,0.0057253153,-1,1.72542,1.73202
36,2021-04-09,-1,0.006207599,-1,1.71722,1.72542
37,2021-04-12,1,0.9847017,1,1.72705,1.71722
38,2021-04-13,-1,0.055973753,-1,1.72362,1.72705
39,2021-04-14,1,0.69792384,1,1.72481,1.72362
40,2021-04-15,1,0.960546,1,1.72877,1.72481
41,2021-04-16,1,0.9414246,1,1.73083,1.72877
42,2021-04-19,1,0.9996817,1,1.75258,1.73083
43,2021-04-20,1,0.9669635,1,1.75816,1.75258
44,2021-04-21,-1,0.0011907116,-1,1.74031,1.75816
45,2021-04-22,-1,0.037763778,-1,1.73032,1.74031
46,2021-04-23,1,0.796371,1,1.73229,1.73032
47,2021-04-26,-1,0.013446131,-1,1.72299,1.73229
48,2021-04-27,1,0.79752415,1,1.72458,1.72299
49,2021-04-28,-1,0.023608316,-1,1.71695,1.72458
50,2021-04-29,-1,0.10606115,-1,1.7121300000000002,1.71695
51,2021-04-30,-1,0.005996162,-1,1.69824,1.7121300000000002
52,2021-05-03,1,0.98938364,1,1.70777,1.69824
53,2021-05-04,1,0.21465696,-1,1.70844,1.70777
54,2021-05-05,-1,0.093342565,-1,1.70551,1.70844
55,2021-05-06,-1,0.00199335,-1,1.68772,1.70551
56,2021-05-07,1,0.9889815,1,1.69637,1.68772
57,2021-05-10,1,0.9934768,1,1.70865,1.69637
58,2021-05-11,1,0.9227745,1,1.71079,1.70865
59,2021-05-12,-1,0.10386308,-1,1.70494,1.71079
60,2021-05-13,1,0.96006584,1,1.7084700000000002,1.70494
61,2021-05-14,-1,0.19354604,-1,1.7066,1.7084700000000002
62,2021-05-17,-1,0.33731765,-1,1.70618,1.7066
63,2021-05-18,1,0.94177306,1,1.71131,1.70618
64,2021-05-19,1,0.43948278,1,1.7126,1.71131
65,2021-05-20,-1,0.040546063,-1,1.7108,1.7126
66,2021-05-21,-1,0.010433598,-1,1.70733,1.7108
67,2021-05-24,-1,0.011780551,-1,1.70501,1.70733
68,2021-05-25,1,0.073179856,-1,1.70656,1.70501
69,2021-05-26,1,0.8763611,1,1.71203,1.70656
70,2021-05-27,1,0.56584615,1,1.71385,1.71203
71,2021-05-28,-1,0.39099166,-1,1.71363,1.71385
72,2021-05-31,1,0.670767,1,1.7138,1.71363
73,2021-06-01,-1,0.0070091994,-1,1.70814,1.7138
74,2021-06-02,-1,0.019888293,-1,1.70534,1.70814
75,2021-06-03,1,0.81639916,1,1.70812,1.70534
76,2021-06-04,1,0.9051836,1,1.71006,1.70812
77,2021-06-07,1,0.9632597,1,1.71287,1.71006
78,2021-06-08,1,0.93374157,1,1.71416,1.71287
79,2021-06-09,-1,0.015409331,-1,1.70959,1.71416
80,2021-06-10,1,0.9579559,1,1.71483,1.70959
81,2021-06-11,1,0.8669135,1,1.717,1.71483
82,2021-06-14,-1,0.019161891,-1,1.71343,1.717
83,2021-06-15,1,0.56664926,1,1.71599,1.71343
84,2021-06-16,1,0.6544961,1,1.71752,1.71599
85,2021-06-17,1,0.93755716,1,1.72068,1.71752
86,2021-06-18,-1,0.7160091,1,1.72033,1.72068
87,2021-06-21,1,0.96329147,1,1.72262,1.72033
88,2021-06-22,-1,0.0068580233,-1,1.71625,1.72262
89,2021-06-23,1,0.61106586,1,1.71808,1.71625
90,2021-06-24,-1,0.034480747,-1,1.71569,1.71808
91,2021-06-25,-1,0.0030127042,-1,1.70734,1.71569
92,2021-06-28,1,0.940931,1,1.71284,1.70734
93,2021-06-29,1,0.9460915,1,1.71681,1.71284
94,2021-06-30,-1,0.09560517,-1,1.71469,1.71681
95,2021-07-01,-1,0.040131778,-1,1.71169,1.71469
96,2021-07-02,-1,0.010438887,-1,1.70526,1.71169
97,2021-07-05,1,0.7670103,1,1.70789,1.70526
98,2021-07-06,1,0.9969727,1,1.71966,1.70789
99,2021-07-07,1,0.94851404,1,1.72281,1.71966
100,2021-07-08,1,0.9796126,1,1.7278,1.72281
101,2021-07-09,1,0.96786034,1,1.73071,1.7278
102,2021-07-12,-1,0.64024305,1,1.72863,1.73071
103,2021-07-13,1,0.9014719,1,1.72884,1.72863
104,2021-07-14,1,0.9855539,1,1.73457,1.72884
105,2021-07-15,1,0.9900423,1,1.74137,1.73457
106,2021-07-16,-1,0.09620776,-1,1.73692,1.74137
107,2021-07-19,1,0.984251,1,1.74304,1.73692
108,2021-07-20,-1,0.001069917,-1,1.72786,1.74304
109,2021-07-21,-1,0.050933328,-1,1.72266,1.72786
110,2021-07-22,1,0.9320506,1,1.72943,1.72266
111,2021-07-23,-1,0.065124966,-1,1.72736,1.72943
112,2021-07-26,1,0.9738081,1,1.7336399999999998,1.72736
113,2021-07-27,1,0.99770516,1,1.74922,1.7336399999999998
