,time,action,position,entry_price,close_price,profit,balance
0,2021-02-23,open,long,0.92448,,,9999.9998
1,2021-02-25,close,neutral,,0.9292,47.20000000000057,10047.1996
2,2021-02-25,open,short,0.9292,,,10047.1994
3,2021-03-02,close,neutral,,0.92183,73.69999999999987,10120.8992
4,2021-03-02,open,long,0.92183,,,10120.899
5,2021-03-03,close,neutral,,0.91696,-48.70000000000041,10072.198799999998
6,2021-03-03,open,short,0.91696,,,10072.198599999998
7,2021-03-09,close,neutral,,0.90688,100.79999999999978,10172.998399999997
8,2021-03-09,open,long,0.90688,,,10172.998199999996
9,2021-03-10,close,neutral,,0.9081,12.199999999999989,10185.197999999997
10,2021-03-10,open,short,0.9081,,,10185.197799999996
11,2021-03-15,close,neutral,,0.89826,98.40000000000072,10283.597599999997
12,2021-03-15,open,long,0.89826,,,10283.597399999997
13,2021-03-16,close,neutral,,0.89478,-34.79999999999927,10248.797199999997
14,2021-03-16,open,short,0.89478,,,10248.796999999997
15,2021-03-17,close,neutral,,0.89778,-30.00000000000003,10218.796799999996
16,2021-03-17,open,long,0.89778,,,10218.796599999996
17,2021-03-18,close,neutral,,0.89486,-29.200000000000337,10189.596399999995
18,2021-03-18,open,short,0.89486,,,10189.596199999994
19,2021-03-19,close,neutral,,0.8961,-12.400000000000189,10177.195999999994
20,2021-03-19,open,long,0.8961,,,10177.195799999994
21,2021-03-23,close,neutral,,0.88083,-152.70000000000005,10024.495599999995
22,2021-03-23,open,short,0.88083,,,10024.495399999994
23,2021-04-01,close,neutral,,0.88159,-7.599999999999829,10016.895199999995
24,2021-04-01,open,long,0.88159,,,10016.894999999995
25,2021-04-07,close,neutral,,0.88423,26.399999999999757,10043.294799999994
26,2021-04-07,open,short,0.88423,,,10043.294599999994
27,2021-04-08,close,neutral,,0.88684,-26.100000000000012,10017.194399999993
28,2021-04-08,open,long,0.88684,,,10017.194199999993
29,2021-04-09,close,neutral,,0.88157,-52.69999999999997,9964.493999999993
30,2021-04-09,open,short,0.88157,,,9964.493799999993
31,2021-04-12,close,neutral,,0.88323,-16.599999999999948,9947.893599999992
32,2021-04-12,open,long,0.88323,,,9947.893399999992
33,2021-04-13,close,neutral,,0.88429,10.600000000000609,9958.493199999992
34,2021-04-13,open,short,0.88429,,,9958.492999999991
35,2021-04-14,close,neutral,,0.89374,-94.49999999999959,9863.99279999999
36,2021-04-14,open,long,0.89374,,,9863.99259999999
