time,Actual Movement,Predictions,Predicted
2021-02-18,1,0.99195564,1
2021-02-19,-1,0.056255784,-1
2021-02-22,1,0.97416216,1
2021-02-23,1,0.9098675,1
2021-02-24,-1,0.024492012,-1
2021-02-25,-1,0.28021663,-1
2021-02-26,1,0.9773531,1
2021-03-01,-1,0.008390073,-1
2021-03-02,1,0.94127995,1
2021-03-03,1,0.84590745,1
2021-03-04,-1,0.09210621,-1
2021-03-05,-1,0.028138928,-1
2021-03-08,1,0.72727084,1
2021-03-09,1,0.97050405,1
2021-03-10,1,0.9642985,1
2021-03-11,-1,0.2002945,-1
2021-03-12,-1,0.007006455,-1
2021-03-15,-1,0.16490917,-1
2021-03-16,-1,0.029660214,-1
2021-03-17,1,0.41860992,-1
2021-03-18,1,0.9698518,1
2021-03-19,-1,0.037564494,-1
2021-03-22,1,0.9088604,1
2021-03-23,-1,0.04965097,-1
2021-03-24,-1,0.026174366,-1
2021-03-25,1,0.99340314,1
2021-03-26,1,0.86459315,1
2021-03-29,-1,0.71642023,1
2021-03-30,1,0.9282714,1
2021-03-31,-1,0.15326919,-1
2021-04-01,1,0.9627643,1
2021-04-02,1,0.86248964,1
2021-04-05,1,0.9043239,1
2021-04-06,-1,0.055482075,-1
2021-04-07,-1,0.012267017,-1
2021-04-08,-1,0.009686487,-1
2021-04-09,-1,0.010738313,-1
2021-04-12,1,0.98680395,1
2021-04-13,-1,0.09167009,-1
2021-04-14,1,0.7846762,1
2021-04-15,1,0.9601385,1
2021-04-16,1,0.941145,1
2021-04-19,1,0.99972326,1
2021-04-20,1,0.9682755,1
2021-04-21,-1,0.0041944394,-1
2021-04-22,-1,0.048493493,-1
2021-04-23,1,0.80182904,1
2021-04-26,-1,0.024462664,-1
2021-04-27,1,0.8396678,1
2021-04-28,-1,0.046064064,-1
2021-04-29,-1,0.16152325,-1
2021-04-30,-1,0.013712791,-1
2021-05-03,1,0.98925066,1
2021-05-04,1,0.29309565,-1
2021-05-05,-1,0.13163534,-1
2021-05-06,-1,0.0064503485,-1
2021-05-07,1,0.989767,1
2021-05-10,1,0.99437606,1
2021-05-11,1,0.93941575,1
2021-05-12,-1,0.15827039,-1
2021-05-13,1,0.9595158,1
2021-05-14,-1,0.30126768,-1
2021-05-17,-1,0.4655274,-1
2021-05-18,1,0.9389547,1
2021-05-19,1,0.50749576,-1
2021-05-20,-1,0.06427246,-1
2021-05-21,-1,0.017330464,-1
2021-05-24,-1,0.016938599,-1
2021-05-25,1,0.09389592,-1
2021-05-26,1,0.8743539,1
2021-05-27,1,0.6306159,1
2021-05-28,-1,0.45351824,-1
2021-05-31,1,0.7058669,1
2021-06-01,-1,0.011424127,-1
2021-06-02,-1,0.031690247,-1
2021-06-03,1,0.84988976,1
2021-06-04,1,0.9207948,1
2021-06-07,1,0.964728,1
2021-06-08,1,0.94016045,1
2021-06-09,-1,0.02743061,-1
2021-06-10,1,0.9548539,1
2021-06-11,1,0.89151394,1
2021-06-14,-1,0.03184041,-1
2021-06-15,1,0.6568047,1
2021-06-16,1,0.72088385,1
2021-06-17,1,0.93325496,1
2021-06-18,-1,0.7759172,1
2021-06-21,1,0.95962685,1
2021-06-22,-1,0.011751249,-1
2021-06-23,1,0.6885086,1
2021-06-24,-1,0.059124988,-1
2021-06-25,-1,0.006771566,-1
2021-06-28,1,0.94661826,1
2021-06-29,1,0.9540715,1
2021-06-30,-1,0.14895111,-1
2021-07-01,-1,0.068933554,-1
2021-07-02,-1,0.020271352,-1
2021-07-05,1,0.8324749,1
2021-07-06,1,0.9979342,1
