time,Actual Movement,Predictions,Predicted
2019-08-21,1,0.54519963,-1
2019-08-22,-1,0.033849422,-1
2019-08-23,-1,0.051598135,-1
2019-08-26,1,0.7043513,1
2019-08-27,-1,0.02985112,-1
2019-08-28,-1,0.0416181,-1
2019-08-29,-1,0.092164695,-1
2019-08-30,1,0.5810873,-1
2019-09-02,-1,0.05793345,-1
2019-09-03,1,0.98948866,1
2019-09-04,1,0.9680891,1
2019-09-05,1,0.9104776,1
2019-09-06,1,0.9666158,1
2019-09-09,1,0.9543017,1
2019-09-10,-1,0.93078893,1
2019-09-11,1,0.9557957,1
2019-09-12,1,0.95662487,1
2019-09-13,1,0.98339534,1
2019-09-16,-1,0.38988665,-1
2019-09-17,1,0.81338793,1
2019-09-18,-1,0.012099548,-1
2019-09-19,-1,0.008421582,-1
2019-09-20,-1,0.009860554,-1
2019-09-23,1,0.21182194,-1
2019-09-24,1,0.95024997,1
2019-09-25,-1,0.047809117,-1
2019-09-26,-1,0.7752962,1
2019-09-27,1,0.967004,1
2019-09-30,-1,0.60372484,-1
2019-10-01,-1,0.047059838,-1
2019-10-02,1,0.53529423,-1
2019-10-03,1,0.97672963,1
2019-10-04,1,0.97638613,1
2019-10-07,-1,0.15291296,-1
2019-10-08,-1,0.76367295,1
2019-10-09,-1,0.52545315,-1
2019-10-10,1,0.98228574,1
2019-10-11,1,0.97280836,1
2019-10-14,-1,0.26253548,-1
2019-10-15,-1,0.12915848,-1
2019-10-16,1,0.5314656,-1
2019-10-17,1,0.99157435,1
2019-10-18,1,0.9550013,1
2019-10-21,1,0.9338989,1
2019-10-22,-1,0.7854107,1
2019-10-23,-1,0.8936114,1
2019-10-24,-1,0.052326173,-1
2019-10-25,1,0.655601,1
2019-10-28,1,0.91128767,1
2019-10-29,1,0.95351964,1
2019-10-30,1,0.97451186,1
2019-10-31,-1,0.71829396,1
2019-11-01,1,0.96843016,1
2019-11-04,-1,0.1734719,-1
2019-11-05,1,0.8095993,1
2019-11-06,-1,0.49452898,-1
2019-11-07,1,0.92861104,1
2019-11-08,-1,0.038731545,-1
2019-11-11,-1,0.3329486,-1
2019-11-12,-1,0.19927831,-1
2019-11-13,-1,0.337196,-1
2019-11-14,-1,0.016552765,-1
2019-11-15,1,0.97992694,1
2019-11-18,-1,0.3695639,-1
2019-11-19,1,0.96015024,1
2019-11-20,-1,0.20430256,-1
2019-11-21,-1,0.5170293,-1
2019-11-22,-1,0.76442945,1
2019-11-25,-1,0.6087529,-1
2019-11-26,1,0.95331407,1
2019-11-27,-1,0.6698212,1
2019-11-28,-1,0.7224965,1
2019-11-29,-1,0.40599436,-1
2019-12-02,1,0.99861383,1
2019-12-03,1,0.9888461,1
2019-12-04,1,0.93310857,1
2019-12-05,-1,0.4380142,-1
2019-12-06,1,0.9159209,1
2019-12-09,-1,0.26583862,-1
2019-12-10,-1,0.15309887,-1
2019-12-11,1,0.9937511,1
