,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2022-10-19,-1,0.34037578,-1,1990.84,
1,2022-10-20,1,0.9677442,1,2054.65,1990.84
2,2022-10-21,-1,0.4506043,-1,2005.63,2054.65
3,2022-10-24,-1,0.49136478,1,1963.88,2005.63
4,2022-10-25,-1,0.3901696,-1,1928.05,1963.88
5,2022-10-26,1,0.8917058,1,1956.76,1928.05
6,2022-10-27,-1,0.48146263,-1,1940.51,1956.76
7,2022-10-28,-1,0.22608283,-1,1895.23,1940.51
8,2022-10-31,-1,0.15365696,-1,1839.76,1895.23
9,2022-11-01,1,0.87167174,1,1871.51,1839.76
10,2022-11-02,-1,0.27000478,-1,1843.75,1871.51
11,2022-11-03,-1,0.19198994,-1,1802.75,1843.75
12,2022-11-04,1,0.9576892,1,1866.49,1802.75
13,2022-11-07,1,0.90366995,1,1892.1,1866.49
14,2022-11-08,1,0.9298312,1,1917.16,1892.1
15,2022-11-09,-1,0.20508143,-1,1861.68,1917.16
16,2022-11-10,1,0.9743017,1,1956.8,1861.68
17,2022-11-11,1,0.93982184,1,2031.78,1956.8
18,2022-11-14,-1,0.42037982,-1,2021.94,2031.78
19,2022-11-15,1,0.88650614,1,2098.63,2021.94
20,2022-11-16,-1,0.091518566,-1,2064.35,2098.63
21,2022-11-17,-1,0.057298288,-1,2003.34,2064.35
22,2022-11-18,-1,0.04645253,-1,1934.46,2003.34
23,2022-11-21,-1,0.051328912,-1,1865.0,1934.46
24,2022-11-22,-1,0.14400657,-1,1851.23,1865.0
25,2022-11-23,1,0.5889055,1,1877.09,1851.23
26,2022-11-24,1,0.55568933,1,1882.76,1877.09
27,2022-11-25,-1,0.177005,-1,1831.47,1882.76
28,2022-11-28,1,0.75931144,1,1838.27,1831.47
29,2022-11-29,-1,0.5105532,1,1829.87,1838.27
30,2022-11-30,1,0.95260316,1,1873.7,1829.87
31,2022-12-01,1,0.9815268,1,1936.36,1873.7
32,2022-12-02,-1,0.603457,1,1894.92,1936.36
33,2022-12-05,-1,0.7256931,1,1874.85,1894.92
34,2022-12-06,-1,0.40410626,-1,1844.9,1874.85
35,2022-12-07,-1,0.62078243,1,1841.95,1844.9
36,2022-12-08,1,0.9711032,1,1921.66,1841.95
37,2022-12-09,1,0.84298164,1,1944.25,1921.66
38,2022-12-12,-1,0.05697472,-1,1886.56,1944.25
39,2022-12-13,1,0.68421274,1,1924.82,1886.56
40,2022-12-14,-1,0.15652108,-1,1912.88,1924.82
41,2022-12-15,-1,0.026836153,-1,1785.89,1912.88
42,2022-12-16,-1,0.09172394,-1,1707.62,1785.89
43,2022-12-19,-1,0.20765382,-1,1667.11,1707.62
44,2022-12-20,1,0.9294528,1,1727.9,1667.11
45,2022-12-21,-1,0.28057006,-1,1685.22,1727.9
46,2022-12-22,-1,0.70458984,1,1677.44,1685.22
47,2022-12-23,1,0.9669845,1,1744.27,1677.44
48,2022-12-27,1,0.9734726,1,1825.38,1744.27
49,2022-12-28,-1,0.39416346,-1,1779.0,1825.38
50,2022-12-29,1,0.92745376,1,1812.17,1779.0
51,2022-12-30,-1,0.41081342,-1,1784.73,1812.17
52,2023-01-03,-1,0.11010007,-1,1707.27,1784.73
53,2023-01-04,1,0.9535451,1,1785.19,1707.27
54,2023-01-05,-1,0.16812785,-1,1743.37,1785.19
55,2023-01-06,1,0.9074885,1,1800.43,1743.37
56,2023-01-09,-1,0.1096219,-1,1772.95,1800.43
57,2023-01-10,1,0.2183154,-1,1778.83,1772.95
58,2023-01-11,-1,0.11724224,-1,1771.57,1778.83
59,2023-01-12,1,0.29525912,-1,1789.43,1771.57
60,2023-01-13,-1,0.13800001,-1,1785.77,1789.43
61,2023-01-16,-1,0.04470292,-1,1741.22,1785.77
62,2023-01-17,-1,0.13102157,-1,1740.81,1741.22
63,2023-01-18,-1,0.08504625,-1,1717.21,1740.81
64,2023-01-19,1,0.88056165,1,1754.12,1717.21
65,2023-01-20,-1,0.15388216,-1,1723.34,1754.12
66,2023-01-23,-1,0.18834566,-1,1701.98,1723.34
67,2023-01-24,1,0.9281123,1,1742.25,1701.98
68,2023-01-25,-1,0.17917886,-1,1696.32,1742.25
69,2023-01-26,-1,0.4206905,-1,1673.88,1696.32
70,2023-01-27,-1,0.13737248,-1,1613.19,1673.88
71,2023-01-30,1,0.9002989,1,1635.94,1613.19
72,2023-01-31,1,0.7861549,1,1645.48,1635.94
73,2023-02-01,1,0.9134678,1,1666.41,1645.48
74,2023-02-02,-1,0.48399952,-1,1650.25,1666.41
75,2023-02-03,-1,0.2019916,-1,1617.97,1650.25
76,2023-02-06,-1,0.21074872,-1,1597.31,1617.97
77,2023-02-07,1,0.9420548,1,1642.35,1597.31
78,2023-02-08,1,0.7815531,1,1645.92,1642.35
79,2023-02-09,-1,0.33287123,-1,1625.28,1645.92
80,2023-02-10,-1,0.052232698,-1,1535.85,1625.28
81,2023-02-13,1,0.89192,1,1565.76,1535.85
82,2023-02-14,-1,0.09314902,-1,1492.92,1565.76
83,2023-02-15,-1,0.29073846,-1,1463.75,1492.92
84,2023-02-16,1,0.9109662,1,1508.62,1463.75
