time,Actual Movement,Predictions,Predicted
2022-10-19,-1,0.34037578,-1
2022-10-20,1,0.9677442,1
2022-10-21,-1,0.4506043,-1
2022-10-24,-1,0.49136478,1
2022-10-25,-1,0.3901696,-1
2022-10-26,1,0.8917058,1
2022-10-27,-1,0.48146263,-1
2022-10-28,-1,0.22608283,-1
2022-10-31,-1,0.15365696,-1
2022-11-01,1,0.87167174,1
2022-11-02,-1,0.27000478,-1
2022-11-03,-1,0.19198994,-1
2022-11-04,1,0.9576892,1
2022-11-07,1,0.90366995,1
2022-11-08,1,0.9298312,1
2022-11-09,-1,0.20508143,-1
2022-11-10,1,0.9743017,1
2022-11-11,1,0.93982184,1
2022-11-14,-1,0.42037982,-1
2022-11-15,1,0.88650614,1
2022-11-16,-1,0.091518566,-1
2022-11-17,-1,0.057298288,-1
2022-11-18,-1,0.04645253,-1
2022-11-21,-1,0.051328912,-1
2022-11-22,-1,0.14400657,-1
2022-11-23,1,0.5889055,1
2022-11-24,1,0.55568933,1
2022-11-25,-1,0.177005,-1
2022-11-28,1,0.75931144,1
2022-11-29,-1,0.5105532,1
2022-11-30,1,0.95260316,1
2022-12-01,1,0.9815268,1
2022-12-02,-1,0.603457,1
2022-12-05,-1,0.7256931,1
2022-12-06,-1,0.40410626,-1
2022-12-07,-1,0.62078243,1
2022-12-08,1,0.9711032,1
2022-12-09,1,0.84298164,1
2022-12-12,-1,0.05697472,-1
2022-12-13,1,0.68421274,1
2022-12-14,-1,0.15652108,-1
2022-12-15,-1,0.026836153,-1
2022-12-16,-1,0.09172394,-1
2022-12-19,-1,0.20765382,-1
2022-12-20,1,0.9294528,1
2022-12-21,-1,0.28057006,-1
2022-12-22,-1,0.70458984,1
2022-12-23,1,0.9669845,1
2022-12-27,1,0.9734726,1
2022-12-28,-1,0.39416346,-1
2022-12-29,1,0.92745376,1
2022-12-30,-1,0.41081342,-1
2023-01-03,-1,0.11010007,-1
2023-01-04,1,0.9535451,1
2023-01-05,-1,0.16812785,-1
2023-01-06,1,0.9074885,1
2023-01-09,-1,0.1096219,-1
2023-01-10,1,0.2183154,-1
2023-01-11,-1,0.11724224,-1
2023-01-12,1,0.29525912,-1
2023-01-13,-1,0.13800001,-1
2023-01-16,-1,0.04470292,-1
2023-01-17,-1,0.13102157,-1
2023-01-18,-1,0.08504625,-1
2023-01-19,1,0.88056165,1
2023-01-20,-1,0.15388216,-1
2023-01-23,-1,0.18834566,-1
2023-01-24,1,0.9281123,1
2023-01-25,-1,0.17917886,-1
2023-01-26,-1,0.4206905,-1
2023-01-27,-1,0.13737248,-1
2023-01-30,1,0.9002989,1
2023-01-31,1,0.7861549,1
2023-02-01,1,0.9134678,1
2023-02-02,-1,0.48399952,-1
2023-02-03,-1,0.2019916,-1
2023-02-06,-1,0.21074872,-1
2023-02-07,1,0.9420548,1
2023-02-08,1,0.7815531,1
2023-02-09,-1,0.33287123,-1
2023-02-10,-1,0.052232698,-1
2023-02-13,1,0.89192,1
2023-02-14,-1,0.09314902,-1
2023-02-15,-1,0.29073846,-1
2023-02-16,1,0.9109662,1
2023-02-17,-1,0.3694402,-1
2023-02-20,1,0.69681305,1
2023-02-21,1,0.8408426,1
2023-02-22,-1,0.14879878,-1
2023-02-23,-1,0.22675762,-1
2023-02-24,-1,0.15673204,-1
2023-02-27,1,0.7386277,1
2023-02-28,-1,0.21378838,-1
2023-03-01,1,0.8746936,1
2023-03-02,1,0.7618768,1
2023-03-03,1,0.72114664,1
2023-03-06,-1,0.4708147,-1
2023-03-07,-1,0.051677976,-1
2023-03-08,-1,0.12806433,-1
2023-03-09,1,0.70965344,1
2023-03-10,-1,0.25936604,-1
2023-03-13,1,0.9913113,1
2023-03-14,1,0.94142014,1
2023-03-15,-1,0.14266638,-1
2023-03-16,-1,0.14689493,-1
2023-03-17,-1,0.1511905,-1
2023-03-20,1,0.48115596,-1
2023-03-21,-1,0.2465335,-1
2023-03-22,1,0.95080936,1
2023-03-23,-1,0.47357413,-1
2023-03-24,-1,0.31227607,-1
2023-03-27,1,0.71162665,1
2023-03-28,1,0.726062,1
2023-03-29,1,0.92396724,1
2023-03-30,1,0.95327604,1
2023-03-31,1,0.9405042,1
2023-04-03,1,0.92479384,1
2023-04-04,-1,0.9002494,1
2023-04-05,-1,0.060376544,-1
2023-04-06,1,0.92836577,1
2023-04-10,-1,0.047510788,-1
2023-04-11,1,0.88157827,1
2023-04-12,1,0.7398869,1
2023-04-13,1,0.8875221,1
2023-04-14,-1,0.48387736,-1
2023-04-17,1,0.94089663,1
2023-04-18,1,0.9386547,1
2023-04-19,-1,0.77833384,1
2023-04-20,-1,0.38519037,-1
2023-04-21,1,0.81976193,1
