,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,1,0.9839713,1,0.98272,
1,2019-08-22,1,0.73374826,1,0.98361,0.98272
2,2019-08-23,-1,0.0056819213,-1,0.97481,0.98361
3,2019-08-26,1,0.8547856,1,0.97901,0.97481
4,2019-08-27,1,0.7691695,1,0.98113,0.97901
5,2019-08-28,1,0.31270653,-1,0.98139,0.98113
6,2019-08-29,1,0.9154247,1,0.98663,0.98139
7,2019-08-30,1,0.827353,1,0.98956,0.98663
8,2019-09-02,1,0.7419773,1,0.99053,0.98956
9,2019-09-03,-1,0.06157515,-1,0.9866,0.99053
10,2019-09-04,-1,0.020713635,-1,0.98097,0.9866
11,2019-09-05,1,0.9326689,1,0.98606,0.98097
12,2019-09-06,1,0.6650598,-1,0.98761,0.98606
13,2019-09-09,1,0.8706084,1,0.99217,0.98761
14,2019-09-10,-1,0.27264303,-1,0.99187,0.99217
15,2019-09-11,1,0.5766204,-1,0.99279,0.99187
16,2019-09-12,-1,0.056838654,-1,0.99027,0.99279
17,2019-09-13,-1,0.33874473,-1,0.9901,0.99027
18,2019-09-16,1,0.85033137,1,0.99278,0.9901
19,2019-09-17,1,0.70816207,1,0.99302,0.99278
20,2019-09-18,1,0.9567177,1,0.99756,0.99302
21,2019-09-19,-1,0.035988715,-1,0.99302,0.99756
22,2019-09-20,-1,0.07757779,-1,0.99095,0.99302
23,2019-09-23,-1,0.09361519,-1,0.99002,0.99095
24,2019-09-24,-1,0.015522641,-1,0.98575,0.99002
25,2019-09-25,1,0.97241735,1,0.99225,0.98575
26,2019-09-26,1,0.84340465,1,0.99371,0.99225
27,2019-09-27,-1,0.11183428,-1,0.99116,0.99371
28,2019-09-30,1,0.96699435,1,0.99814,0.99116
29,2019-10-01,-1,0.03425976,-1,0.99283,0.99814
30,2019-10-02,1,0.8960295,1,0.99686,0.99283
31,2019-10-03,1,0.85305893,1,0.99892,0.99686
32,2019-10-04,-1,0.061049238,-1,0.99508,0.99892
33,2019-10-07,-1,0.42355618,-1,0.99477,0.99508
34,2019-10-08,-1,0.13834445,-1,0.99319,0.99477
35,2019-10-09,1,0.8958046,1,0.99617,0.99319
36,2019-10-10,1,0.6958327,-1,0.99677,0.99617
37,2019-10-11,-1,0.5413963,-1,0.99668,0.99677
38,2019-10-14,1,0.77863944,1,0.99747,0.99668
39,2019-10-15,1,0.90494925,1,0.9987,0.99747
40,2019-10-16,-1,0.044456746,-1,0.9948,0.9987
41,2019-10-17,-1,0.010612712,-1,0.98773,0.9948
42,2019-10-18,-1,0.052831605,-1,0.98408,0.98773
43,2019-10-21,1,0.8617155,1,0.98578,0.98408
44,2019-10-22,1,0.98274547,1,0.98945,0.98578
45,2019-10-23,1,0.92984533,1,0.99075,0.98945
46,2019-10-24,1,0.93670887,1,0.99229,0.99075
47,2019-10-25,1,0.95085454,1,0.99445,0.99229
48,2019-10-28,1,0.8446553,1,0.99453,0.99445
49,2019-10-29,-1,0.5576892,-1,0.99378,0.99453
50,2019-10-30,-1,0.024835436,-1,0.98925,0.99378
51,2019-10-31,-1,0.04111827,-1,0.98616,0.98925
52,2019-11-01,-1,0.13482341,-1,0.98555,0.98616
53,2019-11-04,1,0.9162122,1,0.98757,0.98555
