time,Actual Movement,Predictions,Predicted
2019-08-21,1,0.9839713,1
2019-08-22,1,0.73374826,1
2019-08-23,-1,0.0056819213,-1
2019-08-26,1,0.8547856,1
2019-08-27,1,0.7691695,1
2019-08-28,1,0.31270653,-1
2019-08-29,1,0.9154247,1
2019-08-30,1,0.827353,1
2019-09-02,1,0.7419773,1
2019-09-03,-1,0.06157515,-1
2019-09-04,-1,0.020713635,-1
2019-09-05,1,0.9326689,1
2019-09-06,1,0.6650598,-1
2019-09-09,1,0.8706084,1
2019-09-10,-1,0.27264303,-1
2019-09-11,1,0.5766204,-1
2019-09-12,-1,0.056838654,-1
2019-09-13,-1,0.33874473,-1
2019-09-16,1,0.85033137,1
2019-09-17,1,0.70816207,1
2019-09-18,1,0.9567177,1
2019-09-19,-1,0.035988715,-1
2019-09-20,-1,0.07757779,-1
2019-09-23,-1,0.09361519,-1
2019-09-24,-1,0.015522641,-1
2019-09-25,1,0.97241735,1
2019-09-26,1,0.84340465,1
2019-09-27,-1,0.11183428,-1
2019-09-30,1,0.96699435,1
2019-10-01,-1,0.03425976,-1
2019-10-02,1,0.8960295,1
2019-10-03,1,0.85305893,1
2019-10-04,-1,0.061049238,-1
2019-10-07,-1,0.42355618,-1
2019-10-08,-1,0.13834445,-1
2019-10-09,1,0.8958046,1
2019-10-10,1,0.6958327,-1
2019-10-11,-1,0.5413963,-1
2019-10-14,1,0.77863944,1
2019-10-15,1,0.90494925,1
2019-10-16,-1,0.044456746,-1
2019-10-17,-1,0.010612712,-1
2019-10-18,-1,0.052831605,-1
2019-10-21,1,0.8617155,1
2019-10-22,1,0.98274547,1
2019-10-23,1,0.92984533,1
2019-10-24,1,0.93670887,1
2019-10-25,1,0.95085454,1
2019-10-28,1,0.8446553,1
2019-10-29,-1,0.5576892,-1
2019-10-30,-1,0.024835436,-1
2019-10-31,-1,0.04111827,-1
2019-11-01,-1,0.13482341,-1
2019-11-04,1,0.9162122,1
2019-11-05,1,0.9910977,1
2019-11-06,1,0.88567585,1
2019-11-07,1,0.9259637,1
2019-11-08,1,0.938013,1
2019-11-11,-1,0.067925856,-1
2019-11-12,-1,0.34358108,-1
2019-11-13,-1,0.059954155,-1
2019-11-14,-1,0.09022424,-1
2019-11-15,1,0.73391867,1
2019-11-18,-1,0.28887054,-1
2019-11-19,1,0.82742894,1
2019-11-20,1,0.8698407,1
2019-11-21,1,0.96730417,1
2019-11-22,1,0.9873718,1
2019-11-25,-1,0.80926436,1
2019-11-26,1,0.879206,1
2019-11-27,1,0.9561902,1
2019-11-28,-1,0.5593672,-1
2019-11-29,1,0.8922625,1
2019-12-02,-1,0.0051528723,-1
2019-12-03,-1,0.039138902,-1
2019-12-04,1,0.8318268,1
2019-12-05,-1,0.13971837,-1
2019-12-06,1,0.9693952,1
2019-12-09,-1,0.36038053,-1
2019-12-10,-1,0.12312707,-1
2019-12-11,-1,0.4569355,-1
2019-12-12,1,0.9331931,1
2019-12-13,-1,0.4785442,-1
2019-12-16,-1,0.18741629,-1
2019-12-17,-1,0.101366274,-1
2019-12-18,1,0.63642997,-1
2019-12-19,-1,0.14861341,-1
2019-12-20,1,0.99462515,1
2019-12-23,-1,0.68240327,-1
2019-12-24,-1,0.217589,-1
2019-12-26,1,0.92410606,1
2019-12-27,-1,0.015794141,-1
2019-12-30,-1,0.02048002,-1
2019-12-31,-1,0.059270285,-1
2020-01-02,1,0.8828845,1
2020-01-03,1,0.46426252,-1
2020-01-06,-1,0.031955212,-1
2020-01-07,1,0.9164491,1
2020-01-08,1,0.95843714,1
2020-01-09,-1,0.6092373,-1
2020-01-10,-1,0.5747481,-1
2020-01-13,-1,0.21402554,-1
2020-01-14,-1,0.057053257,-1
2020-01-15,-1,0.047924653,-1
2020-01-16,1,0.6140922,-1
2020-01-17,1,0.9265964,1
2020-01-20,1,0.46025735,-1
2020-01-21,1,0.72217417,1
2020-01-22,-1,0.2766765,-1
2020-01-23,1,0.8659033,1
2020-01-24,1,0.9621275,1
2020-01-27,-1,0.34634057,-1
2020-01-28,1,0.9694816,1
2020-01-29,1,0.8998824,1
2020-01-30,-1,0.04088733,-1
2020-01-31,-1,0.013513771,-1
2020-02-03,1,0.91416484,1
2020-02-04,1,0.9589616,1
2020-02-05,1,0.9659001,1
2020-02-06,1,0.7643475,1
2020-02-07,1,0.88587236,1
2020-02-10,-1,0.5849711,-1
2020-02-11,-1,0.2608061,-1
2020-02-12,1,0.86219597,1
2020-02-13,1,0.7663864,1
2020-02-14,1,0.8915751,1
2020-02-17,-1,0.38426057,-1
2020-02-18,1,0.89461195,1
2020-02-19,1,0.8637895,1
2020-02-20,1,0.87634635,1
2020-02-21,-1,0.0068309647,-1
2020-02-24,1,0.16736332,-1
2020-02-25,-1,0.02932705,-1
2020-02-26,1,0.56789947,-1
2020-02-27,-1,0.0071529374,-1
2020-02-28,-1,0.026594885,-1
2020-03-02,-1,0.008596386,-1
2020-03-03,-1,0.01141455,-1
2020-03-04,1,0.051991247,-1
2020-03-05,-1,0.0032103534,-1
2020-03-06,-1,0.02019105,-1
2020-03-09,-1,0.008421407,-1
2020-03-10,1,0.99866843,1
2020-03-11,-1,0.037934396,-1
