,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2020-10-28,1,0.9981766,1,9.3658,
1,2020-10-29,1,0.9917133,1,9.53863,9.3658
2,2020-10-30,-1,0.15835717,-1,9.5285,9.53863
3,2020-11-02,1,0.9160489,1,9.564,9.5285
4,2020-11-03,-1,0.00093592244,-1,9.3683,9.564
5,2020-11-04,-1,0.057109054,-1,9.31427,9.3683
6,2020-11-05,-1,0.0037328782,-1,9.16845,9.31427
7,2020-11-06,-1,0.24740212,-1,9.15187,9.16845
8,2020-11-09,-1,0.008368337,-1,9.04102,9.15187
9,2020-11-10,-1,0.10904218,-1,9.0092,9.04102
10,2020-11-11,1,0.94171596,1,9.078,9.0092
11,2020-11-12,1,0.9760685,1,9.17107,9.078
12,2020-11-13,-1,0.3844384,1,9.16307,9.17107
13,2020-11-16,-1,0.020518946,-1,9.0539,9.16307
14,2020-11-17,1,0.8175735,1,9.0619,9.0539
15,2020-11-18,-1,0.047179773,-1,9.01166,9.0619
16,2020-11-19,-1,0.29111743,-1,8.9957,9.01166
17,2020-11-20,1,0.6085927,1,9.0049,8.9957
18,2020-11-23,1,0.9307194,1,9.0352,9.0049
19,2020-11-24,-1,0.006181725,-1,8.8995,9.0352
20,2020-11-25,-1,0.040721405,-1,8.826,8.8995
21,2020-11-26,1,0.8820344,1,8.8745,8.826
22,2020-11-27,-1,0.012732463,-1,8.82863,8.8745
23,2020-11-30,1,0.9437158,1,8.8998,8.82863
24,2020-12-01,-1,0.005545116,-1,8.8066,8.8998
25,2020-12-02,-1,0.21193029,-1,8.79747,8.8066
26,2020-12-03,-1,0.032945376,-1,8.7671,8.79747
27,2020-12-04,1,0.6666262,1,8.7943,8.7671
28,2020-12-07,-1,0.018823128,-1,8.7431,8.7943
29,2020-12-08,1,0.72096217,1,8.76381,8.7431
30,2020-12-09,1,0.9721681,1,8.82737,8.76381
31,2020-12-10,-1,0.043198027,-1,8.7737,8.82737
32,2020-12-11,1,0.95183074,1,8.80856,8.7737
33,2020-12-14,-1,0.017303824,-1,8.73268,8.80856
34,2020-12-15,-1,0.24904543,-1,8.71338,8.73268
35,2020-12-16,-1,0.030277595,-1,8.66328,8.71338
36,2020-12-17,-1,0.009046309,-1,8.56228,8.66328
37,2020-12-18,1,0.5657448,1,8.57228,8.56228
38,2020-12-21,1,0.95983934,1,8.63328,8.57228
39,2020-12-22,1,0.9940646,1,8.74208,8.63328
40,2020-12-23,-1,0.014209602,-1,8.64408,8.74208
41,2020-12-24,-1,0.8310745,1,8.64185,8.64408
42,2020-12-28,-1,0.48097622,1,8.63604,8.64185
43,2020-12-29,-1,0.2672901,-1,8.61902,8.63604
44,2020-12-30,-1,0.016669666,-1,8.54029,8.61902
45,2020-12-31,1,0.94469786,1,8.57528,8.54029
46,2021-01-04,-1,0.1358873,-1,8.55328,8.57528
47,2021-01-05,-1,0.011575338,-1,8.46298,8.55328
48,2021-01-06,-1,0.036423128,-1,8.40905,8.46298
49,2021-01-07,1,0.6356651,1,8.42698,8.40905
50,2021-01-08,-1,0.08452981,-1,8.42095,8.42698
51,2021-01-11,1,0.9970125,1,8.53655,8.42095
52,2021-01-12,-1,0.014700677,-1,8.44755,8.53655
53,2021-01-13,1,0.96417403,1,8.47495,8.44755
54,2021-01-14,-1,0.389856,1,8.46145,8.47495
55,2021-01-15,1,0.9952939,1,8.56785,8.46145
56,2021-01-18,1,0.8665889,1,8.59076,8.56785
57,2021-01-19,-1,0.03897492,-1,8.53838,8.59076
58,2021-01-20,-1,0.030057449,-1,8.49075,8.53838
59,2021-01-21,-1,0.007767736,-1,8.40315,8.49075
60,2021-01-22,1,0.98464864,1,8.49525,8.40315
61,2021-01-25,1,0.7972734,1,8.52865,8.49525
62,2021-01-26,1,0.7522029,1,8.54325,8.52865
63,2021-01-27,1,0.9907504,1,8.65419,8.54325
64,2021-01-28,-1,0.018890837,-1,8.59308,8.65419
65,2021-01-29,-1,0.4786507,1,8.58446,8.59308
66,2021-02-01,1,0.6668723,1,8.59408,8.58446
67,2021-02-02,1,0.60470426,1,8.59832,8.59408
68,2021-02-03,-1,0.26022306,-1,8.58568,8.59832
69,2021-02-04,1,0.95798945,1,8.63618,8.58568
70,2021-02-05,-1,0.0025259159,-1,8.52188,8.63618
71,2021-02-08,-1,0.06924995,-1,8.49804,8.52188
72,2021-02-09,-1,0.01491519,-1,8.44448,8.49804
73,2021-02-10,1,0.546903,1,8.46298,8.44448
74,2021-02-11,1,0.37065285,1,8.46989,8.46298
75,2021-02-12,-1,0.18551055,-1,8.45919,8.46989
76,2021-02-15,-1,0.014943224,-1,8.38962,8.45919
77,2021-02-16,1,0.9735348,1,8.44122,8.38962
78,2021-02-17,1,0.97278804,1,8.49398,8.44122
79,2021-02-18,-1,0.18403992,-1,8.46198,8.49398
80,2021-02-19,-1,0.68108547,1,8.46048,8.46198
81,2021-02-22,1,0.9455797,1,8.49248,8.46048
82,2021-02-23,-1,0.1971591,-1,8.46818,8.49248
83,2021-02-24,-1,0.007812229,-1,8.37074,8.46818
84,2021-02-25,1,0.9958935,1,8.48993,8.37074
85,2021-02-26,1,0.99650854,1,8.66048,8.48993
86,2021-03-01,-1,0.0032065625,-1,8.54898,8.66048
87,2021-03-02,-1,0.032034297,-1,8.47148,8.54898
88,2021-03-03,1,0.8138072,1,8.50282,8.47148
89,2021-03-04,1,0.9470855,1,8.58193,8.50282
90,2021-03-05,-1,0.038095895,-1,8.5442,8.58193
91,2021-03-08,-1,0.3332596,-1,8.53992,8.5442
92,2021-03-09,-1,0.012011979,-1,8.46568,8.53992
93,2021-03-10,-1,0.039711785,-1,8.42788,8.46568
94,2021-03-11,-1,0.0683203,-1,8.41253,8.42788
95,2021-03-12,1,0.66166973,1,8.43761,8.41253
96,2021-03-15,1,0.51909155,1,8.44818,8.43761
97,2021-03-16,1,0.9196921,1,8.47939,8.44818
98,2021-03-17,-1,0.020299397,-1,8.40818,8.47939
99,2021-03-18,1,0.99588627,1,8.51289,8.40818
100,2021-03-19,1,0.86605173,1,8.52708,8.51289
101,2021-03-22,-1,0.32602304,-1,8.49738,8.52708
102,2021-03-23,1,0.9971723,1,8.6415,8.49738
103,2021-03-24,-1,0.045391586,-1,8.60398,8.6415
104,2021-03-25,1,0.9061128,1,8.63958,8.60398
105,2021-03-26,-1,0.015821176,-1,8.57263,8.63958
106,2021-03-29,-1,0.07626216,-1,8.55028,8.57263
107,2021-03-30,-1,0.15170433,-1,8.54878,8.55028
108,2021-03-31,1,0.22710907,-1,8.55259,8.54878
109,2021-04-01,-1,0.034553856,-1,8.522780000000001,8.55259
110,2021-04-02,-1,0.13489027,-1,8.52228,8.522780000000001
111,2021-04-05,-1,0.035199564,-1,8.50238,8.52228
112,2021-04-06,-1,0.033965357,-1,8.48558,8.50238
113,2021-04-07,-1,0.038287044,-1,8.4725,8.48558
114,2021-04-08,-1,0.034540687,-1,8.45628,8.4725
115,2021-04-09,1,0.94781315,1,8.49138,8.45628
116,2021-04-12,-1,0.40935314,1,8.47968,8.49138
117,2021-04-13,-1,0.42934057,1,8.47018,8.47968
118,2021-04-14,-1,0.008148317,-1,8.38808,8.47018
119,2021-04-15,-1,0.10664432,-1,8.37838,8.38808
120,2021-04-16,-1,0.032941822,-1,8.36448,8.37838
121,2021-04-19,-1,0.0057871477,-1,8.29298,8.36448
122,2021-04-20,1,0.98232806,1,8.35978,8.29298
123,2021-04-21,-1,0.06847264,-1,8.33698,8.35978
124,2021-04-22,1,0.872792,1,8.36018,8.33698
125,2021-04-23,-1,0.014229386,-1,8.29118,8.36018
126,2021-04-26,-1,0.29899684,-1,8.28588,8.29118
127,2021-04-27,-1,0.07581305,-1,8.26976,8.28588
128,2021-04-28,-1,0.0070667886,-1,8.18408,8.26976
129,2021-04-29,1,0.22077864,-1,8.18518,8.18408
130,2021-04-30,1,0.99815625,1,8.31907,8.18518
131,2021-05-03,-1,0.093333825,-1,8.27974,8.31907
132,2021-05-04,1,0.97932154,1,8.32708,8.27974
133,2021-05-05,1,0.8995755,1,8.35208,8.32708
134,2021-05-06,-1,0.029678589,-1,8.29988,8.35208
135,2021-05-07,-1,0.009211019,-1,8.21108,8.29988
136,2021-05-10,1,0.9571169,1,8.27368,8.21108
137,2021-05-11,-1,0.11508914,-1,8.26378,8.27368
138,2021-05-12,1,0.9792053,1,8.34518,8.26378
139,2021-05-13,1,0.41190952,1,8.3494,8.34518
140,2021-05-14,-1,0.0022039656,-1,8.21828,8.3494
141,2021-05-17,1,0.9238441,1,8.25732,8.21828
142,2021-05-18,-1,0.055052236,-1,8.2263,8.25732
143,2021-05-19,1,0.9885466,1,8.31348,8.2263
144,2021-05-20,-1,0.32359028,-1,8.30088,8.31348
