time,Actual Movement,Predictions,Predicted
2020-10-28,1,0.9981766,1
2020-10-29,1,0.9917133,1
2020-10-30,-1,0.15835717,-1
2020-11-02,1,0.9160489,1
2020-11-03,-1,0.00093592244,-1
2020-11-04,-1,0.057109054,-1
2020-11-05,-1,0.0037328782,-1
2020-11-06,-1,0.24740212,-1
2020-11-09,-1,0.008368337,-1
2020-11-10,-1,0.10904218,-1
2020-11-11,1,0.94171596,1
2020-11-12,1,0.9760685,1
2020-11-13,-1,0.3844384,1
2020-11-16,-1,0.020518946,-1
2020-11-17,1,0.8175735,1
2020-11-18,-1,0.047179773,-1
2020-11-19,-1,0.29111743,-1
2020-11-20,1,0.6085927,1
2020-11-23,1,0.9307194,1
2020-11-24,-1,0.006181725,-1
2020-11-25,-1,0.040721405,-1
2020-11-26,1,0.8820344,1
2020-11-27,-1,0.012732463,-1
2020-11-30,1,0.9437158,1
2020-12-01,-1,0.005545116,-1
2020-12-02,-1,0.21193029,-1
2020-12-03,-1,0.032945376,-1
2020-12-04,1,0.6666262,1
2020-12-07,-1,0.018823128,-1
2020-12-08,1,0.72096217,1
2020-12-09,1,0.9721681,1
2020-12-10,-1,0.043198027,-1
2020-12-11,1,0.95183074,1
2020-12-14,-1,0.017303824,-1
2020-12-15,-1,0.24904543,-1
2020-12-16,-1,0.030277595,-1
2020-12-17,-1,0.009046309,-1
2020-12-18,1,0.5657448,1
2020-12-21,1,0.95983934,1
2020-12-22,1,0.9940646,1
2020-12-23,-1,0.014209602,-1
2020-12-24,-1,0.8310745,1
2020-12-28,-1,0.48097622,1
2020-12-29,-1,0.2672901,-1
2020-12-30,-1,0.016669666,-1
2020-12-31,1,0.94469786,1
2021-01-04,-1,0.1358873,-1
2021-01-05,-1,0.011575338,-1
2021-01-06,-1,0.036423128,-1
2021-01-07,1,0.6356651,1
2021-01-08,-1,0.08452981,-1
2021-01-11,1,0.9970125,1
2021-01-12,-1,0.014700677,-1
2021-01-13,1,0.96417403,1
2021-01-14,-1,0.389856,1
2021-01-15,1,0.9952939,1
2021-01-18,1,0.8665889,1
2021-01-19,-1,0.03897492,-1
2021-01-20,-1,0.030057449,-1
2021-01-21,-1,0.007767736,-1
2021-01-22,1,0.98464864,1
2021-01-25,1,0.7972734,1
2021-01-26,1,0.7522029,1
2021-01-27,1,0.9907504,1
2021-01-28,-1,0.018890837,-1
2021-01-29,-1,0.4786507,1
2021-02-01,1,0.6668723,1
2021-02-02,1,0.60470426,1
2021-02-03,-1,0.26022306,-1
2021-02-04,1,0.95798945,1
2021-02-05,-1,0.0025259159,-1
2021-02-08,-1,0.06924995,-1
2021-02-09,-1,0.01491519,-1
2021-02-10,1,0.546903,1
2021-02-11,1,0.37065285,1
2021-02-12,-1,0.18551055,-1
2021-02-15,-1,0.014943224,-1
2021-02-16,1,0.9735348,1
2021-02-17,1,0.97278804,1
2021-02-18,-1,0.18403992,-1
