,time,action,position,entry_price,close_price,profit,balance
0,2020-10-28,open,long,9.3658,,,9999.9998
1,2020-10-30,close,neutral,,9.5285,1626.9999999999918,11626.999599999992
2,2020-10-30,open,short,9.5285,,,11626.999399999992
3,2020-11-02,close,neutral,,9.564,-355.0000000000075,11271.999199999984
4,2020-11-02,open,long,9.564,,,11271.998999999983
5,2020-11-03,close,neutral,,9.3683,-1957.0000000000043,9314.99879999998
6,2020-11-03,open,short,9.3683,,,9314.998599999979
7,2020-11-11,close,neutral,,9.078,2903.0000000000023,12217.998399999982
8,2020-11-11,open,long,9.078,,,12217.998199999982
9,2020-11-16,close,neutral,,9.0539,-240.999999999989,11976.997999999992
10,2020-11-16,open,short,9.0539,,,11976.997799999992
11,2020-11-17,close,neutral,,9.0619,-79.99999999999119,11896.9976
12,2020-11-17,open,long,9.0619,,,11896.9974
13,2020-11-18,close,neutral,,9.01166,-502.4000000000051,11394.597199999995
14,2020-11-18,open,short,9.01166,,,11394.596999999994
15,2020-11-20,close,neutral,,9.0049,67.59999999999877,11462.196799999992
16,2020-11-20,open,long,9.0049,,,11462.196599999992
17,2020-11-24,close,neutral,,8.8995,-1053.999999999995,10408.196399999997
18,2020-11-24,open,short,8.8995,,,10408.196199999997
19,2020-11-26,close,neutral,,8.8745,250.00000000000355,10658.196
20,2020-11-26,open,long,8.8745,,,10658.1958
21,2020-11-27,close,neutral,,8.82863,-458.6999999999897,10199.49560000001
22,2020-11-27,open,short,8.82863,,,10199.495400000009
23,2020-11-30,close,neutral,,8.8998,-711.700000000004,9487.795200000004
24,2020-11-30,open,long,8.8998,,,9487.795000000004
25,2020-12-01,close,neutral,,8.8066,-932.0000000000128,8555.79479999999
26,2020-12-01,open,short,8.8066,,,8555.79459999999
27,2020-12-04,close,neutral,,8.7943,122.99999999999756,8678.794399999988
28,2020-12-04,open,long,8.7943,,,8678.794199999988
29,2020-12-07,close,neutral,,8.7431,-511.99999999999693,8166.793999999991
30,2020-12-07,open,short,8.7431,,,8166.79379999999
31,2020-12-08,close,neutral,,8.76381,-207.0999999999934,7959.693599999997
32,2020-12-08,open,long,8.76381,,,7959.6933999999965
33,2020-12-10,close,neutral,,8.7737,98.90000000000398,8058.5932
34,2020-12-10,open,short,8.7737,,,8058.593
35,2020-12-11,close,neutral,,8.80856,-348.60000000000116,7709.992799999999
36,2020-12-11,open,long,8.80856,,,7709.992599999999
37,2020-12-14,close,neutral,,8.73268,-758.7999999999972,6951.192400000002
38,2020-12-14,open,short,8.73268,,,6951.192200000001
39,2020-12-18,close,neutral,,8.57228,1604.0000000000098,8555.192000000012
40,2020-12-18,open,long,8.57228,,,8555.191800000011
41,2020-12-23,close,neutral,,8.64408,718.0000000000142,9273.191600000026
42,2020-12-23,open,short,8.64408,,,9273.191400000025
43,2020-12-24,close,neutral,,8.64185,22.300000000008424,9295.491200000033
44,2020-12-24,open,long,8.64185,,,9295.491000000033
45,2020-12-29,close,neutral,,8.61902,-228.29999999999018,9067.190800000042
46,2020-12-29,open,short,8.61902,,,9067.190600000042
47,2020-12-31,close,neutral,,8.57528,437.4000000000144,9504.590400000056
48,2020-12-31,open,long,8.57528,,,9504.590200000055
49,2021-01-04,close,neutral,,8.55328,-219.99999999998465,9284.590000000071
50,2021-01-04,open,short,8.55328,,,9284.58980000007
51,2021-01-07,close,neutral,,8.42698,1263.0000000000052,10547.589600000076
52,2021-01-07,open,long,8.42698,,,10547.589400000075
53,2021-01-08,close,neutral,,8.42095,-60.30000000000868,10487.289200000067
54,2021-01-08,open,short,8.42095,,,10487.289000000066
55,2021-01-11,close,neutral,,8.53655,-1156.000000000006,9331.28880000006
56,2021-01-11,open,long,8.53655,,,9331.28860000006
57,2021-01-12,close,neutral,,8.44755,-890.0000000000041,8441.288400000056
58,2021-01-12,open,short,8.44755,,,8441.288200000055
59,2021-01-13,close,neutral,,8.47495,-274.0000000000009,8167.288000000054
60,2021-01-13,open,long,8.47495,,,8167.287800000054
61,2021-01-19,close,neutral,,8.53838,634.3000000000031,8801.587600000057
62,2021-01-19,open,short,8.53838,,,8801.587400000057
63,2021-01-22,close,neutral,,8.49525,431.29999999999666,9232.887200000054
64,2021-01-22,open,long,8.49525,,,9232.887000000053
65,2021-01-28,close,neutral,,8.59308,978.3000000000009,10211.186800000054
66,2021-01-28,open,short,8.59308,,,10211.186600000054
67,2021-01-29,close,neutral,,8.58446,86.20000000000516,10297.38640000006
68,2021-01-29,open,long,8.58446,,,10297.386200000059
69,2021-02-03,close,neutral,,8.58568,12.199999999999989,10309.58600000006
70,2021-02-03,open,short,8.58568,,,10309.585800000059
71,2021-02-04,close,neutral,,8.63618,-504.99999999999545,9804.585600000064
72,2021-02-04,open,long,8.63618,,,9804.585400000064
73,2021-02-05,close,neutral,,8.52188,-1143.0000000000007,8661.585200000063
74,2021-02-05,open,short,8.52188,,,8661.585000000063
75,2021-02-10,close,neutral,,8.46298,588.9999999999951,9250.584800000059
76,2021-02-10,open,long,8.46298,,,9250.584600000058
77,2021-02-12,close,neutral,,8.45919,-37.90000000000404,9212.684400000055
78,2021-02-12,open,short,8.45919,,,9212.684200000054
79,2021-02-16,close,neutral,,8.44122,179.70000000000041,9392.384000000055
80,2021-02-16,open,long,8.44122,,,9392.383800000054
81,2021-02-18,close,neutral,,8.46198,207.60000000001,9599.983600000065
82,2021-02-18,open,short,8.46198,,,9599.983400000065
83,2021-02-19,close,neutral,,8.46048,15.000000000000568,9614.983200000066
84,2021-02-19,open,long,8.46048,,,9614.983000000066
85,2021-02-23,close,neutral,,8.46818,76.99999999999818,9691.982800000063
86,2021-02-23,open,short,8.46818,,,9691.982600000063
87,2021-02-25,close,neutral,,8.48993,-217.49999999999048,9474.482400000072
88,2021-02-25,open,long,8.48993,,,9474.482200000071
89,2021-03-01,close,neutral,,8.54898,590.5000000000093,10064.98200000008
90,2021-03-01,open,short,8.54898,,,10064.98180000008
91,2021-03-03,close,neutral,,8.50282,461.60000000000423,10526.581600000083
92,2021-03-03,open,long,8.50282,,,10526.581400000083
93,2021-03-05,close,neutral,,8.5442,413.80000000000194,10940.381200000085
94,2021-03-05,open,short,8.5442,,,10940.381000000085
95,2021-03-12,close,neutral,,8.43761,1065.9000000000062,12006.280800000091
96,2021-03-12,open,long,8.43761,,,12006.280600000091
97,2021-03-17,close,neutral,,8.40818,-294.2999999999962,11711.980400000095
98,2021-03-17,open,short,8.40818,,,11711.980200000095
99,2021-03-18,close,neutral,,8.51289,-1047.1000000000074,10664.880000000087
100,2021-03-18,open,long,8.51289,,,10664.879800000086
101,2021-03-22,close,neutral,,8.49738,-155.100000000008,10509.779600000078
102,2021-03-22,open,short,8.49738,,,10509.779400000078
103,2021-03-23,close,neutral,,8.6415,-1441.2000000000091,9068.57920000007
104,2021-03-23,open,long,8.6415,,,9068.579000000069
105,2021-03-24,close,neutral,,8.60398,-375.20000000000664,8693.378800000062
106,2021-03-24,open,short,8.60398,,,8693.378600000062
107,2021-03-25,close,neutral,,8.63958,-356.00000000000523,8337.378400000056
108,2021-03-25,open,long,8.63958,,,8337.378200000056
109,2021-03-26,close,neutral,,8.57263,-669.5000000000028,7667.878000000052
110,2021-03-26,open,short,8.57263,,,7667.877800000052
111,2021-04-09,close,neutral,,8.49138,812.500000000007,8480.37760000006
112,2021-04-09,open,long,8.49138,,,8480.37740000006
113,2021-04-14,close,neutral,,8.38808,-1032.9999999999907,7447.377200000069
