time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2006-11-14,6.4041,6.4286,6.3811,6.4146,11309,0,0,6.560007999999999,6.405526999999999,6.507391592343925,6.405526999999999,6.442097363256642,6.503167434684166,6.534470000000001,6.760175579018309,6.308764420981692,6.378006111170273,6.458900000000001,6.5397938888297285,-0.05211007513649246,-0.033322496659155744,32.67,36.26,17.477535083289826,9.866287933420638,6.4078,0.10612066543900234,0.5523648118507252,1
2006-11-15,6.4162,6.4501,6.4059,6.4216,8674,0,0,6.56144,6.4040485,6.504027216173576,6.405686930348258,6.437997890605314,6.495752213349242,6.51695,6.719382788846054,6.314517211153945,6.382791141737708,6.446341666666666,6.5098921915956245,-0.05145841215655533,-0.03694967975863567,34.81,40.43,26.287535762222436,17.372767103918804,6.4146,0.10912605618431659,0.10612066543900234,1
2006-11-16,6.4218,6.4565,6.402,6.4504,9475,0,0,6.562776,6.4028345,6.501924188088338,6.406131836513947,6.440478312484252,6.491629284862947,6.5054,6.6949321714115895,6.31586782858841,6.390362277403176,6.439108333333333,6.487854389263491,-0.04806399344399459,-0.03917254249570745,43.16,55.42,34.965495733285884,26.24352219293272,6.4216,0.44848635853993457,0.10912605618431659,1
2006-11-17,6.4505,6.4738,6.4331,6.4368,10048,0,0,6.561678,6.4014675,6.499370298359383,6.40643699236953,6.4397426499874015,6.486644804420861,6.492865,6.664920366379526,6.320809633620474,6.3896454334020225,6.436333333333333,6.483021233264643,-0.04594171105160072,-0.04052637620688611,40.41,48.25,38.66550116550102,33.306177553669784,6.4504,-0.21083963785192283,0.44848635853993457,-1
2006-11-20,6.4471,6.4662,6.4184,6.4494,7916,0,0,6.560518000000001,6.4002205,6.4974106788158785,6.406864484982769,6.441674119989922,6.483258913109873,6.480175,6.62331333693317,6.33703666306683,6.3895475522898435,6.435591666666667,6.481635781043491,-0.042750273723638266,-0.040971155710236545,44.12,54.99,44.638032749143726,39.42300988264355,6.4368,0.19574944071587552,-0.21083963785192283,1
2006-11-21,6.4523,6.4588,6.4204,6.424,7991,0,0,6.558268000000001,6.398376000000001,6.494531828666236,6.407034987619756,6.438139295991938,6.477871739190794,6.467875000000001,6.583234626819762,6.35251537318024,6.389305698723087,6.4309666666666665,6.472627634610246,-0.041788888082372466,-0.04113470218466373,38.66,41.4,45.359820215224886,42.88778470995655,6.4494,-0.3938350854342909,0.19574944071587552,-1
2006-11-22,6.4253,6.4284,6.3644,6.3762,10398,0,0,6.554835999999999,6.396215,6.489891364796972,6.406728171822545,6.425751436793551,6.468628853809813,6.4572400000000005,6.564975238431979,6.3495047615680225,6.382353482986256,6.421891666666666,6.461429850347077,-0.04437254448215189,-0.041782270644161366,30.64,26.18,38.233636199774956,42.743829721381196,6.424,-0.7440846824408598,-0.3938350854342909,-1
2006-11-23,6.3765,6.3823,6.3573,6.3758,7606,0,0,6.550568000000001,6.393951,6.485417193628464,6.406420428819336,6.415761149434841,6.46018986709983,6.449045,6.5553690983972865,6.342720901602713,6.3744387199748225,6.415408333333333,6.456377946691843,-0.045923015513520404,-0.04261041961803318,30.58,26.08,27.267119062307085,36.95352515910231,6.3762,-0.006273328941996947,-0.7440846824408598,-1
2006-11-24,6.3737,6.3763,6.2768,6.3018,11336,0,0,6.546068,6.3912845,6.478216519368525,6.405379429527602,6.392968919547874,6.445790788272573,6.437140000000001,6.552998489546502,6.321281510453501,6.343432290806509,6.40335,6.463267709193491,-0.052517566714581854,-0.04459184903734291,21.75,13.83,15.506472081756707,27.00240911461292,6.3758,-1.1606386649518519,-0.006273328941996947,-1
2006-11-27,6.2933,6.3178,6.2828,6.2948,10525,0,0,6.541373999999999,6.388875999999999,6.471023714687406,6.4042791366964815,6.3733351356383,6.4320643529750665,6.423264999999999,6.537508674223115,6.309021325776882,6.319060015624799,6.393816666666667,6.468573317708535,-0.05764415165313963,-0.047202309560502254,21.1,13.1,12.712140910194158,18.495244018085987,6.3018,-0.1110793741470606,-1.1606386649518519,-1
