,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2020-06-30,-1,0.053370606,-1,1.62678,
1,2020-07-01,1,0.795435,1,1.62704,1.62678
2,2020-07-02,-1,0.39371714,-1,1.62284,1.62704
3,2020-07-03,-1,0.2688106,-1,1.61888,1.62284
4,2020-07-06,1,0.9226662,1,1.62174,1.61888
5,2020-07-07,1,0.8945629,1,1.62327,1.62174
6,2020-07-08,-1,0.697534,1,1.62243,1.62327
7,2020-07-09,-1,0.39099798,-1,1.62026,1.62243
8,2020-07-10,1,0.98087907,1,1.626,1.62026
9,2020-07-13,1,0.992728,1,1.63436,1.626
10,2020-07-14,-1,0.96713555,1,1.63401,1.63436
11,2020-07-15,-1,0.28724816,-1,1.62864,1.63401
12,2020-07-16,1,0.95300484,1,1.63254,1.62864
13,2020-07-17,1,0.89685357,1,1.63312,1.63254
14,2020-07-20,-1,0.45993882,-1,1.63144,1.63312
15,2020-07-21,-1,0.0029375805,-1,1.61765,1.63144
16,2020-07-22,1,0.23517628,-1,1.6199,1.61765
17,2020-07-23,1,0.98200744,1,1.63412,1.6199
18,2020-07-24,1,0.929351,1,1.63999,1.63412
19,2020-07-27,1,0.87951744,1,1.64352,1.63999
20,2020-07-28,-1,0.057453424,-1,1.63698,1.64352
21,2020-07-29,1,0.8299801,1,1.6408,1.63698
22,2020-07-30,1,0.93344676,1,1.64651,1.6408
23,2020-07-31,1,0.8674957,1,1.64822,1.64651
24,2020-08-03,1,0.9366335,1,1.65134,1.64822
25,2020-08-04,-1,0.14480034,-1,1.64743,1.65134
26,2020-08-05,1,0.7533493,1,1.64974,1.64743
27,2020-08-06,-1,0.0067744786,-1,1.64107,1.64974
28,2020-08-07,1,0.458343,-1,1.64589,1.64107
29,2020-08-10,-1,0.017354518,-1,1.64143,1.64589
30,2020-08-11,1,0.13965204,-1,1.64325,1.64143
31,2020-08-12,1,0.45712513,-1,1.64527,1.64325
32,2020-08-13,1,0.9522025,1,1.65242,1.64527
33,2020-08-14,-1,0.4821183,-1,1.65075,1.65242
34,2020-08-17,-1,0.040695503,-1,1.6455,1.65075
35,2020-08-18,1,0.56463975,1,1.6474,1.6455
36,2020-08-19,1,0.51246226,-1,1.64757,1.6474
37,2020-08-20,1,0.7139681,1,1.64865,1.64757
38,2020-08-21,-1,0.22614783,-1,1.64738,1.64865
39,2020-08-24,-1,0.07256543,-1,1.64575,1.64738
40,2020-08-25,-1,0.060502566,-1,1.6448,1.64575
41,2020-08-26,-1,0.0029832204,-1,1.63485,1.6448
42,2020-08-27,-1,0.009350288,-1,1.62871,1.63485
43,2020-08-28,-1,0.006239154,-1,1.61622,1.62871
44,2020-08-31,1,0.11549753,-1,1.61806,1.61622
45,2020-09-01,-1,0.029778872,-1,1.61539,1.61806
46,2020-09-02,1,0.050627936,-1,1.61547,1.61539
47,2020-09-03,1,0.9924176,1,1.62957,1.61547
48,2020-09-04,-1,0.5538577,1,1.6251,1.62957
49,2020-09-07,-1,0.7149033,1,1.62329,1.6251
50,2020-09-08,1,0.98586005,1,1.63234,1.62329
51,2020-09-09,-1,0.07676882,-1,1.62073,1.63234
52,2020-09-10,1,0.9732939,1,1.62779,1.62073
53,2020-09-11,-1,0.8577509,1,1.62671,1.62779
54,2020-09-14,1,0.91147137,1,1.62757,1.62671
55,2020-09-15,-1,0.15234302,-1,1.62229,1.62757
56,2020-09-16,-1,0.083114564,-1,1.6175000000000002,1.62229
57,2020-09-17,1,0.7975066,1,1.62058,1.6175000000000002
58,2020-09-18,1,0.924425,1,1.62452,1.62058
