time,Actual Movement,Predictions,Predicted
2020-06-30,-1,0.053370606,-1
2020-07-01,1,0.795435,1
2020-07-02,-1,0.39371714,-1
2020-07-03,-1,0.2688106,-1
2020-07-06,1,0.9226662,1
2020-07-07,1,0.8945629,1
2020-07-08,-1,0.697534,1
2020-07-09,-1,0.39099798,-1
2020-07-10,1,0.98087907,1
2020-07-13,1,0.992728,1
2020-07-14,-1,0.96713555,1
2020-07-15,-1,0.28724816,-1
2020-07-16,1,0.95300484,1
2020-07-17,1,0.89685357,1
2020-07-20,-1,0.45993882,-1
2020-07-21,-1,0.0029375805,-1
2020-07-22,1,0.23517628,-1
2020-07-23,1,0.98200744,1
2020-07-24,1,0.929351,1
2020-07-27,1,0.87951744,1
2020-07-28,-1,0.057453424,-1
2020-07-29,1,0.8299801,1
2020-07-30,1,0.93344676,1
2020-07-31,1,0.8674957,1
2020-08-03,1,0.9366335,1
2020-08-04,-1,0.14480034,-1
2020-08-05,1,0.7533493,1
2020-08-06,-1,0.0067744786,-1
2020-08-07,1,0.458343,-1
2020-08-10,-1,0.017354518,-1
2020-08-11,1,0.13965204,-1
2020-08-12,1,0.45712513,-1
2020-08-13,1,0.9522025,1
2020-08-14,-1,0.4821183,-1
2020-08-17,-1,0.040695503,-1
2020-08-18,1,0.56463975,1
2020-08-19,1,0.51246226,-1
2020-08-20,1,0.7139681,1
2020-08-21,-1,0.22614783,-1
2020-08-24,-1,0.07256543,-1
2020-08-25,-1,0.060502566,-1
2020-08-26,-1,0.0029832204,-1
2020-08-27,-1,0.009350288,-1
2020-08-28,-1,0.006239154,-1
2020-08-31,1,0.11549753,-1
2020-09-01,-1,0.029778872,-1
2020-09-02,1,0.050627936,-1
2020-09-03,1,0.9924176,1
2020-09-04,-1,0.5538577,1
2020-09-07,-1,0.7149033,1
2020-09-08,1,0.98586005,1
2020-09-09,-1,0.07676882,-1
2020-09-10,1,0.9732939,1
2020-09-11,-1,0.8577509,1
2020-09-14,1,0.91147137,1
2020-09-15,-1,0.15234302,-1
2020-09-16,-1,0.083114564,-1
2020-09-17,1,0.7975066,1
2020-09-18,1,0.924425,1
2020-09-21,1,0.9520858,1
2020-09-22,1,0.9162264,1
2020-09-23,1,0.98601115,1
2020-09-24,1,0.96741885,1
2020-09-25,-1,0.8764534,1
2020-09-28,-1,0.46449727,-1
2020-09-29,-1,0.29285166,-1
2020-09-30,-1,0.008390695,-1
2020-10-01,-1,0.054513585,-1
2020-10-02,1,0.086847104,-1
2020-10-05,1,0.8610142,1
2020-10-06,1,0.9754286,1
2020-10-07,-1,0.15153399,-1
2020-10-08,-1,0.03391941,-1
2020-10-09,-1,0.027401028,-1
2020-10-12,1,0.87704384,1
2020-10-13,1,0.9099789,1
2020-10-14,-1,0.88145703,1
2020-10-15,1,0.9866469,1
2020-10-16,1,0.9697692,1
2020-10-19,1,0.97724074,1
2020-10-20,1,0.9818671,1
2020-10-21,-1,0.045675922,-1
2020-10-22,-1,0.1890583,-1
2020-10-23,1,0.7138874,1
2020-10-26,-1,0.15630807,-1
2020-10-27,-1,0.14730665,-1
2020-10-28,1,0.9743309,1
2020-10-29,-1,0.07270888,-1
2020-10-30,-1,0.10876909,-1
2020-11-02,-1,0.029899359,-1
2020-11-03,-1,0.011414002,-1
2020-11-04,-1,0.098964185,-1
2020-11-05,-1,0.03401305,-1
2020-11-06,1,0.97570294,1
2020-11-09,-1,0.0522137,-1
2020-11-10,-1,0.72139996,1
2020-11-11,-1,0.25885668,-1
2020-11-12,1,0.9893833,1
2020-11-13,-1,0.51208055,-1
2020-11-16,-1,0.23982465,-1
2020-11-17,1,0.9633624,1
2020-11-18,-1,0.802956,1
2020-11-19,1,0.98367196,1
2020-11-20,-1,0.48795158,-1
2020-11-23,1,0.9409921,1
2020-11-24,-1,0.09763727,-1
2020-11-25,1,0.8992391,1
2020-11-26,1,0.7675821,1
2020-11-27,-1,0.5983984,1
2020-11-30,1,0.974031,1
2020-12-01,1,0.9897287,1
2020-12-02,-1,0.45505887,-1
2020-12-03,-1,0.48272368,-1
2020-12-04,-1,0.610693,1
2020-12-07,1,0.71151274,1
2020-12-08,1,0.86732304,1
2020-12-09,-1,0.0076645766,-1
2020-12-10,-1,0.004225578,-1
2020-12-11,-1,0.039688133,-1
2020-12-14,1,0.812478,1
2020-12-15,-1,0.10334597,-1
2020-12-16,1,0.6357642,1
2020-12-17,-1,0.26930267,-1
2020-12-18,-1,0.21297552,-1
2020-12-21,1,0.9682093,1
2020-12-22,1,0.9697567,1
2020-12-23,-1,0.08409596,-1
2020-12-24,-1,0.29311246,-1
2020-12-25,-1,0.4090322,-1
2020-12-28,1,0.98258257,1
2020-12-29,-1,0.8949795,1
2020-12-30,-1,0.057067983,-1
2020-12-31,-1,0.018334752,-1
2021-01-04,1,0.97201204,1
2021-01-05,-1,0.025626788,-1
2021-01-06,-1,0.19584413,-1
2021-01-07,1,0.51076895,-1
2021-01-08,-1,0.085020855,-1
2021-01-11,1,0.9299585,1
2021-01-12,-1,0.08015867,-1
2021-01-13,1,0.80021757,1
2021-01-14,-1,0.052896235,-1
2021-01-15,1,0.9447025,1
2021-01-18,1,0.9469663,1
2021-01-19,1,0.9621678,1
2021-01-20,-1,0.054753512,-1
2021-01-21,1,0.9575031,1
