,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-05-17,1,0.9750669,1,28.166,
1,2021-05-18,1,0.5684429,1,28.186,28.166
2,2021-05-19,-1,0.062718704,-1,27.713,28.186
3,2021-05-20,1,0.7259494,1,27.761,27.713
4,2021-05-21,-1,0.10536452,-1,27.543,27.761
5,2021-05-24,1,0.87191874,1,27.765,27.543
6,2021-05-25,1,0.89298403,1,28.004,27.765
7,2021-05-26,-1,0.07275265,-1,27.675,28.004
8,2021-05-27,1,0.89582294,1,27.861,27.675
9,2021-05-28,1,0.7379268,1,27.914,27.861
10,2021-05-31,1,0.88214946,1,28.023,27.914
11,2021-06-01,-1,0.34670714,-1,27.88,28.023
12,2021-06-02,1,0.95637596,1,28.173,27.88
13,2021-06-03,-1,0.013393498,-1,27.422,28.173
14,2021-06-04,1,0.95708436,1,27.782,27.422
15,2021-06-07,1,0.7371447,1,27.901,27.782
16,2021-06-08,-1,0.114897266,-1,27.615,27.901
17,2021-06-09,1,0.88114345,1,27.783,27.615
18,2021-06-10,1,0.9086012,1,28.0,27.783
19,2021-06-11,-1,0.41817778,-1,27.905,28.0
20,2021-06-14,-1,0.43222615,-1,27.836,27.905
21,2021-06-15,-1,0.11236366,-1,27.651,27.836
22,2021-06-16,-1,0.01269744,-1,26.917,27.651
23,2021-06-17,-1,0.0107597355,-1,25.857,26.917
24,2021-06-18,-1,0.3408134,-1,25.791,25.857
25,2021-06-21,1,0.46848875,-1,25.964,25.791
26,2021-06-22,-1,0.062330045,-1,25.76,25.964
27,2021-06-23,1,0.6482919,1,25.874,25.76
28,2021-06-24,1,0.56689316,1,25.943,25.874
29,2021-06-25,1,0.903008,1,26.101,25.943
30,2021-06-28,-1,0.7419384,1,26.093,26.101
31,2021-06-29,-1,0.14054465,-1,25.761,26.093
32,2021-06-30,1,0.9841061,1,26.122,25.761
33,2021-07-01,-1,0.7589374,1,26.022,26.122
34,2021-07-02,1,0.99198043,1,26.455,26.022
35,2021-07-05,1,0.9575726,1,26.467,26.455
36,2021-07-06,-1,0.49539325,-1,26.155,26.467
37,2021-07-07,-1,0.8404259,1,26.136,26.155
38,2021-07-08,-1,0.18180843,-1,25.924,26.136
39,2021-07-09,1,0.92314595,1,26.113,25.924
40,2021-07-12,1,0.84550834,1,26.19,26.113
41,2021-07-13,-1,0.15346986,-1,25.967,26.19
42,2021-07-14,1,0.9615996,1,26.237,25.967
43,2021-07-15,1,0.8969236,1,26.321,26.237
44,2021-07-16,-1,0.023590727,-1,25.637,26.321
45,2021-07-19,-1,0.06954539,-1,25.16,25.637
46,2021-07-20,-1,0.16799286,-1,24.928,25.16
47,2021-07-21,1,0.96034634,1,25.277,24.928
48,2021-07-22,1,0.84088236,1,25.4,25.277
49,2021-07-23,-1,0.25566489,-1,25.178,25.4
50,2021-07-26,1,0.73744845,1,25.187,25.178
51,2021-07-27,-1,0.040616926,-1,24.693,25.187
52,2021-07-28,1,0.96370125,1,24.971,24.693
53,2021-07-29,1,0.98744977,1,25.526,24.971
