,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,1,0.9107079,1,0.91432,
1,2019-08-22,-1,0.0011393353,-1,0.90421,0.91432
2,2019-08-23,1,0.9441241,1,0.90652,0.90421
3,2019-08-26,1,0.5086428,1,0.90836,0.90652
4,2019-08-27,-1,0.0071743783,-1,0.90246,0.90836
5,2019-08-28,1,0.9910356,1,0.90697,0.90246
6,2019-08-29,1,0.5894585,1,0.90754,0.90697
7,2019-08-30,-1,0.025879318,-1,0.90357,0.90754
8,2019-09-02,1,0.9958876,1,0.90902,0.90357
9,2019-09-03,-1,0.3011574,-1,0.908,0.90902
10,2019-09-04,-1,0.005529139,-1,0.90068,0.908
11,2019-09-05,-1,0.01407034,-1,0.8946,0.90068
12,2019-09-06,1,0.9692026,1,0.89706,0.8946
13,2019-09-09,-1,0.03410044,-1,0.89489,0.89706
14,2019-09-10,-1,0.18284169,-1,0.89366,0.89489
15,2019-09-11,-1,0.12963025,-1,0.8929,0.89366
16,2019-09-12,1,0.9817555,1,0.89709,0.8929
17,2019-09-13,-1,0.000825418,-1,0.88556,0.89709
18,2019-09-16,-1,0.8606721,1,0.88543,0.88556
19,2019-09-17,1,0.38670608,-1,0.88572,0.88543
20,2019-09-18,-1,0.08673166,-1,0.88455,0.88572
21,2019-09-19,-1,0.020315876,-1,0.88145,0.88455
22,2019-09-20,1,0.93109393,1,0.88358,0.88145
23,2019-09-23,1,0.5106529,1,0.88404,0.88358
24,2019-09-24,-1,0.042194426,-1,0.88185,0.88404
25,2019-09-25,1,0.98925227,1,0.88579,0.88185
26,2019-09-26,1,0.8034795,1,0.88608,0.88579
27,2019-09-27,1,0.99278146,1,0.89015,0.88608
28,2019-09-30,-1,0.0335631,-1,0.88642,0.89015
29,2019-10-01,1,0.9622773,1,0.88843,0.88642
30,2019-10-02,1,0.95753086,1,0.89096,0.88843
31,2019-10-03,-1,0.07786776,-1,0.88912,0.89096
32,2019-10-04,1,0.74404895,1,0.88988,0.88912
33,2019-10-07,1,0.9267716,1,0.89245,0.88988
34,2019-10-08,1,0.9703302,1,0.89654,0.89245
35,2019-10-09,1,0.9416445,1,0.89883,0.89654
36,2019-10-10,-1,0.00019995093,-1,0.88453,0.89883
37,2019-10-11,-1,0.0011615637,-1,0.87234,0.88453
38,2019-10-14,1,0.97426116,1,0.87574,0.87234
39,2019-10-15,-1,0.00042830722,-1,0.86284,0.87574
40,2019-10-16,1,0.8714937,1,0.86323,0.86284
41,2019-10-17,-1,0.046433218,-1,0.86297,0.86323
42,2019-10-18,-1,0.03911455,-1,0.86229,0.86297
43,2019-10-21,-1,0.017204503,-1,0.86008,0.86229
44,2019-10-22,1,0.9732825,1,0.86406,0.86008
45,2019-10-23,-1,0.026894215,-1,0.86157,0.86406
46,2019-10-24,1,0.9729769,1,0.86405,0.86157
47,2019-10-25,-1,0.49153897,1,0.86331,0.86405
48,2019-10-28,-1,0.64241666,1,0.86284,0.86331
49,2019-10-29,1,0.9156758,1,0.86351,0.86284
50,2019-10-30,1,0.919027,1,0.86419,0.86351
51,2019-10-31,-1,0.1670752,-1,0.86246,0.86419
52,2019-11-01,1,0.6494458,1,0.86259,0.86246
53,2019-11-04,1,0.922828,1,0.86392,0.86259
54,2019-11-05,-1,0.010604995,-1,0.85962,0.86392
55,2019-11-06,1,0.7789347,1,0.86069,0.85962
56,2019-11-07,1,0.88705754,1,0.86234,0.86069
57,2019-11-08,-1,0.33769464,-1,0.8621,0.86234
58,2019-11-11,-1,0.014199093,-1,0.85838,0.8621
59,2019-11-12,-1,0.044678282,-1,0.85696,0.85838
60,2019-11-13,-1,0.075853534,-1,0.85636,0.85696
61,2019-11-14,-1,0.051088214,-1,0.85535,0.85636
62,2019-11-15,1,0.82075953,1,0.85651,0.85535
63,2019-11-18,-1,0.040971477,-1,0.85482,0.85651
64,2019-11-19,1,0.95818985,1,0.8569,0.85482
65,2019-11-20,-1,0.36427417,-1,0.85667,0.8569
66,2019-11-21,1,0.5459634,1,0.85679,0.85667
67,2019-11-22,1,0.970176,1,0.85855,0.85679
68,2019-11-25,-1,0.0092914235,-1,0.85359,0.85855
69,2019-11-26,1,0.98386073,1,0.8568,0.85359
70,2019-11-27,-1,0.01744725,-1,0.85237,0.8568
71,2019-11-28,1,0.7600506,1,0.85259,0.85237
72,2019-11-29,-1,0.1883023,-1,0.85188,0.85259
73,2019-12-02,1,0.98718613,1,0.85594,0.85188
74,2019-12-03,-1,0.02538714,-1,0.85245,0.85594
75,2019-12-04,-1,0.0056452747,-1,0.84519,0.85245
76,2019-12-05,-1,0.21926002,-1,0.84371,0.84519
77,2019-12-06,-1,0.03832678,-1,0.84182,0.84371
78,2019-12-09,-1,0.10200325,-1,0.84154,0.84182
79,2019-12-10,1,0.084106795,-1,0.84169,0.84154
80,2019-12-11,1,0.7258756,1,0.84332,0.84169
81,2019-12-12,1,0.8902285,1,0.84496,0.84332
82,2019-12-13,-1,0.0005642669,-1,0.83355,0.84496
83,2019-12-16,1,0.94122535,1,0.83571,0.83355
84,2019-12-17,1,0.99936265,1,0.84928,0.83571
85,2019-12-18,1,0.07276364,-1,0.84958,0.84928
86,2019-12-19,1,0.98466784,1,0.85537,0.84958
87,2019-12-20,-1,0.018090872,-1,0.85162,0.85537
88,2019-12-23,1,0.9755102,1,0.85723,0.85162
89,2019-12-24,-1,0.03395313,-1,0.85535,0.85723
90,2019-12-26,-1,0.064126186,-1,0.85382,0.85535
91,2019-12-27,1,0.17217487,-1,0.85399,0.85382
92,2019-12-30,1,0.15346558,-1,0.85431,0.85399
93,2019-12-31,-1,0.0016006184,-1,0.84674,0.85431
94,2020-01-02,1,0.8519871,1,0.85041,0.84674
95,2020-01-03,1,0.3439189,-1,0.85314,0.85041
96,2020-01-06,-1,0.015312364,-1,0.85037,0.85314
97,2020-01-07,-1,0.04542165,-1,0.84967,0.85037
98,2020-01-08,-1,0.028775483,-1,0.84791,0.84967
99,2020-01-09,1,0.8940723,1,0.84995,0.84791
100,2020-01-10,1,0.905498,1,0.8512,0.84995
101,2020-01-13,1,0.9942035,1,0.8572,0.8512
