time,Actual Movement,Predictions,Predicted
2019-08-21,1,0.9107079,1
2019-08-22,-1,0.0011393353,-1
2019-08-23,1,0.9441241,1
2019-08-26,1,0.5086428,1
2019-08-27,-1,0.0071743783,-1
2019-08-28,1,0.9910356,1
2019-08-29,1,0.5894585,1
2019-08-30,-1,0.025879318,-1
2019-09-02,1,0.9958876,1
2019-09-03,-1,0.3011574,-1
2019-09-04,-1,0.005529139,-1
2019-09-05,-1,0.01407034,-1
2019-09-06,1,0.9692026,1
2019-09-09,-1,0.03410044,-1
2019-09-10,-1,0.18284169,-1
2019-09-11,-1,0.12963025,-1
2019-09-12,1,0.9817555,1
2019-09-13,-1,0.000825418,-1
2019-09-16,-1,0.8606721,1
2019-09-17,1,0.38670608,-1
2019-09-18,-1,0.08673166,-1
2019-09-19,-1,0.020315876,-1
2019-09-20,1,0.93109393,1
2019-09-23,1,0.5106529,1
2019-09-24,-1,0.042194426,-1
2019-09-25,1,0.98925227,1
2019-09-26,1,0.8034795,1
2019-09-27,1,0.99278146,1
2019-09-30,-1,0.0335631,-1
2019-10-01,1,0.9622773,1
2019-10-02,1,0.95753086,1
2019-10-03,-1,0.07786776,-1
2019-10-04,1,0.74404895,1
2019-10-07,1,0.9267716,1
2019-10-08,1,0.9703302,1
2019-10-09,1,0.9416445,1
2019-10-10,-1,0.00019995093,-1
2019-10-11,-1,0.0011615637,-1
2019-10-14,1,0.97426116,1
2019-10-15,-1,0.00042830722,-1
2019-10-16,1,0.8714937,1
2019-10-17,-1,0.046433218,-1
2019-10-18,-1,0.03911455,-1
2019-10-21,-1,0.017204503,-1
2019-10-22,1,0.9732825,1
2019-10-23,-1,0.026894215,-1
2019-10-24,1,0.9729769,1
2019-10-25,-1,0.49153897,1
2019-10-28,-1,0.64241666,1
2019-10-29,1,0.9156758,1
2019-10-30,1,0.919027,1
2019-10-31,-1,0.1670752,-1
2019-11-01,1,0.6494458,1
2019-11-04,1,0.922828,1
2019-11-05,-1,0.010604995,-1
2019-11-06,1,0.7789347,1
2019-11-07,1,0.88705754,1
2019-11-08,-1,0.33769464,-1
2019-11-11,-1,0.014199093,-1
2019-11-12,-1,0.044678282,-1
2019-11-13,-1,0.075853534,-1
2019-11-14,-1,0.051088214,-1
2019-11-15,1,0.82075953,1
2019-11-18,-1,0.040971477,-1
2019-11-19,1,0.95818985,1
2019-11-20,-1,0.36427417,-1
2019-11-21,1,0.5459634,1
2019-11-22,1,0.970176,1
2019-11-25,-1,0.0092914235,-1
2019-11-26,1,0.98386073,1
2019-11-27,-1,0.01744725,-1
2019-11-28,1,0.7600506,1
2019-11-29,-1,0.1883023,-1
2019-12-02,1,0.98718613,1
2019-12-03,-1,0.02538714,-1
2019-12-04,-1,0.0056452747,-1
2019-12-05,-1,0.21926002,-1
2019-12-06,-1,0.03832678,-1
2019-12-09,-1,0.10200325,-1
2019-12-10,1,0.084106795,-1
2019-12-11,1,0.7258756,1
2019-12-12,1,0.8902285,1
