,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,-1,0.027771303,-1,1.32911,
1,2019-08-22,1,0.68676937,-1,1.32997,1.32911
2,2019-08-23,-1,0.050475374,-1,1.32859,1.32997
3,2019-08-26,-1,0.00792068,-1,1.32549,1.32859
4,2019-08-27,1,0.98554844,1,1.3291,1.32549
5,2019-08-28,1,0.87106836,1,1.33053,1.3291
6,2019-08-29,-1,0.07843019,-1,1.32911,1.33053
7,2019-08-30,1,0.92560357,1,1.33104,1.32911
8,2019-09-02,1,0.94362074,1,1.33263,1.33104
9,2019-09-03,1,0.9244685,1,1.33368,1.33263
10,2019-09-04,-1,0.00020122662,-1,1.32243,1.33368
11,2019-09-05,1,0.7926013,1,1.32298,1.32243
12,2019-09-06,-1,0.0041650734,-1,1.31708,1.32298
13,2019-09-09,-1,0.27908963,-1,1.31664,1.31708
14,2019-09-10,-1,0.04448035,-1,1.3149,1.31664
15,2019-09-11,1,0.9982451,1,1.31945,1.3149
16,2019-09-12,1,0.9751775,1,1.3211,1.31945
17,2019-09-13,1,0.99986196,1,1.32814,1.3211
18,2019-09-16,-1,0.060777925,-1,1.32423,1.32814
19,2019-09-17,1,0.9522281,1,1.32445,1.32423
20,2019-09-18,1,0.9991412,1,1.32935,1.32445
21,2019-09-19,-1,0.25652766,-1,1.32695,1.32935
22,2019-09-20,-1,0.8294355,1,1.32634,1.32695
23,2019-09-23,-1,0.7172671,-1,1.32586,1.32634
24,2019-09-24,-1,0.11549051,-1,1.32435,1.32586
25,2019-09-25,1,0.9585784,1,1.32665,1.32435
26,2019-09-26,1,0.6291703,-1,1.32696,1.32665
27,2019-09-27,-1,0.008558395,-1,1.32361,1.32696
28,2019-09-30,1,0.41713884,-1,1.32437,1.32361
29,2019-10-01,-1,0.011102981,-1,1.32172,1.32437
30,2019-10-02,1,0.99996257,1,1.33248,1.32172
31,2019-10-03,1,0.9035765,1,1.33387,1.33248
32,2019-10-04,-1,0.036961257,-1,1.33077,1.33387
33,2019-10-07,1,0.7125421,-1,1.33079,1.33077
34,2019-10-08,1,0.9282569,1,1.33216,1.33079
35,2019-10-09,1,0.93428284,1,1.33357,1.33216
36,2019-10-10,-1,0.0058774427,-1,1.32905,1.33357
37,2019-10-11,-1,0.0005067002,-1,1.32024,1.32905
38,2019-10-14,1,0.9891816,1,1.32356,1.32024
39,2019-10-15,-1,0.023146616,-1,1.31988,1.32356
40,2019-10-16,1,0.66976595,-1,1.31996,1.31988
41,2019-10-17,-1,0.0039787837,-1,1.31351,1.31996
42,2019-10-18,-1,0.31383353,-1,1.31221,1.31351
43,2019-10-21,-1,0.025752496,-1,1.30887,1.31221
44,2019-10-22,1,0.5211301,-1,1.30926,1.30887
45,2019-10-23,-1,0.030569032,-1,1.30685,1.30926
46,2019-10-24,1,0.44794086,-1,1.30721,1.30685
47,2019-10-25,-1,0.06884738,-1,1.3059,1.30721
48,2019-10-28,-1,0.15924054,-1,1.30552,1.3059
49,2019-10-29,1,0.99753857,1,1.3086,1.30552
50,2019-10-30,1,0.9999677,1,1.31593,1.3086
51,2019-10-31,1,0.9883427,1,1.31633,1.31593
52,2019-11-01,-1,0.6377959,-1,1.31392,1.31633
53,2019-11-04,1,0.9878748,1,1.31507,1.31392
54,2019-11-05,1,0.9668346,1,1.31552,1.31507
55,2019-11-06,1,0.99644744,1,1.31833,1.31552
56,2019-11-07,-1,0.6956119,-1,1.31747,1.31833
57,2019-11-08,1,0.99889624,1,1.32258,1.31747
58,2019-11-11,1,0.96248275,1,1.32321,1.32258
59,2019-11-12,1,0.97818065,1,1.32382,1.32321
60,2019-11-13,1,0.991042,1,1.32526,1.32382
61,2019-11-14,-1,0.97063845,1,1.32509,1.32526
62,2019-11-15,-1,0.05187468,-1,1.32218,1.32509
63,2019-11-18,-1,0.043220025,-1,1.32032,1.32218
64,2019-11-19,1,0.99895895,1,1.32668,1.32032
65,2019-11-20,1,0.99190897,1,1.33039,1.32668
66,2019-11-21,-1,0.14503077,-1,1.32823,1.33039
67,2019-11-22,1,0.978735,1,1.33008,1.32823
68,2019-11-25,-1,0.85245126,1,1.32999,1.33008
69,2019-11-26,-1,0.0450904,-1,1.32715,1.32999
70,2019-11-27,1,0.86072385,1,1.32815,1.32715
71,2019-11-28,-1,0.61662984,-1,1.32798,1.32815
72,2019-11-29,-1,0.38986912,-1,1.32748,1.32798
73,2019-12-02,1,0.9942577,1,1.33048,1.32748
74,2019-12-03,-1,0.3800971,-1,1.32951,1.33048
75,2019-12-04,-1,0.00028230957,-1,1.31991,1.32951
76,2019-12-05,-1,0.06089495,-1,1.3181,1.31991
77,2019-12-06,1,0.9998053,1,1.32545,1.3181
