,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-07-07,1,0.93650013,1,8.61938,
1,2021-07-08,-1,0.11403135,-1,8.59988,8.61938
2,2021-07-09,-1,0.039933138,-1,8.57278,8.59988
3,2021-07-12,1,0.5899297,-1,8.58208,8.57278
4,2021-07-13,1,0.9843687,1,8.65288,8.58208
5,2021-07-14,-1,0.010788196,-1,8.61644,8.65288
6,2021-07-15,1,0.95772225,1,8.662279999999999,8.61644
7,2021-07-16,1,0.49911198,-1,8.67338,8.662279999999999
8,2021-07-19,1,0.7705659,1,8.68438,8.67338
9,2021-07-20,1,0.8900625,1,8.69928,8.68438
10,2021-07-21,-1,0.25771433,-1,8.68728,8.69928
11,2021-07-22,-1,0.42476115,-1,8.68188,8.68728
12,2021-07-23,1,0.83261836,1,8.69174,8.68188
13,2021-07-26,-1,0.0011303616,-1,8.62548,8.69174
14,2021-07-27,1,0.102505036,-1,8.62634,8.62548
15,2021-07-28,-1,0.0072249305,-1,8.59304,8.62634
16,2021-07-29,-1,0.009224332,-1,8.55608,8.59304
17,2021-07-30,1,0.9580528,1,8.59694,8.55608
18,2021-08-02,1,0.5121123,-1,8.59848,8.59694
19,2021-08-03,-1,0.6594493,-1,8.59838,8.59848
20,2021-08-04,1,0.91637313,1,8.61018,8.59838
21,2021-08-05,1,0.88801235,1,8.61508,8.61018
22,2021-08-06,1,0.99337053,1,8.66694,8.61508
23,2021-08-09,1,0.98824,1,8.70578,8.66694
24,2021-08-10,1,0.95786774,1,8.71398,8.70578
25,2021-08-11,-1,0.086450644,-1,8.68508,8.71398
26,2021-08-12,1,0.6751843,-1,8.68548,8.68508
27,2021-08-13,-1,0.0033215329,-1,8.63554,8.68548
28,2021-08-16,1,0.57218105,-1,8.64854,8.63554
29,2021-08-17,1,0.996083,1,8.75484,8.64854
30,2021-08-18,-1,0.03384413,-1,8.72854,8.75484
31,2021-08-19,1,0.9871832,1,8.79744,8.72854
32,2021-08-20,-1,0.5597731,-1,8.79668,8.79744
33,2021-08-23,-1,0.002179768,-1,8.71704,8.79668
34,2021-08-24,-1,0.074286096,-1,8.68914,8.71704
35,2021-08-25,-1,0.123689204,-1,8.67694,8.68914
36,2021-08-26,1,0.9477774,1,8.70644,8.67694
37,2021-08-27,-1,0.007990432,-1,8.63544,8.70644
38,2021-08-30,-1,0.6240345,-1,8.62398,8.63544
39,2021-08-31,-1,0.54844844,-1,8.62014,8.62398
40,2021-09-01,-1,0.34622324,-1,8.61034,8.62014
41,2021-09-02,-1,0.029388139,-1,8.56684,8.61034
42,2021-09-03,-1,0.0778898,-1,8.54118,8.56684
43,2021-09-06,1,0.8955848,1,8.55894,8.54118
