time,Actual Movement,Predictions,Predicted
2021-07-07,1,0.93650013,1
2021-07-08,-1,0.11403135,-1
2021-07-09,-1,0.039933138,-1
2021-07-12,1,0.5899297,-1
2021-07-13,1,0.9843687,1
2021-07-14,-1,0.010788196,-1
2021-07-15,1,0.95772225,1
2021-07-16,1,0.49911198,-1
2021-07-19,1,0.7705659,1
2021-07-20,1,0.8900625,1
2021-07-21,-1,0.25771433,-1
2021-07-22,-1,0.42476115,-1
2021-07-23,1,0.83261836,1
2021-07-26,-1,0.0011303616,-1
2021-07-27,1,0.102505036,-1
2021-07-28,-1,0.0072249305,-1
2021-07-29,-1,0.009224332,-1
2021-07-30,1,0.9580528,1
2021-08-02,1,0.5121123,-1
2021-08-03,-1,0.6594493,-1
2021-08-04,1,0.91637313,1
2021-08-05,1,0.88801235,1
2021-08-06,1,0.99337053,1
2021-08-09,1,0.98824,1
2021-08-10,1,0.95786774,1
2021-08-11,-1,0.086450644,-1
2021-08-12,1,0.6751843,-1
2021-08-13,-1,0.0033215329,-1
2021-08-16,1,0.57218105,-1
2021-08-17,1,0.996083,1
2021-08-18,-1,0.03384413,-1
2021-08-19,1,0.9871832,1
2021-08-20,-1,0.5597731,-1
2021-08-23,-1,0.002179768,-1
2021-08-24,-1,0.074286096,-1
2021-08-25,-1,0.123689204,-1
2021-08-26,1,0.9477774,1
2021-08-27,-1,0.007990432,-1
2021-08-30,-1,0.6240345,-1
2021-08-31,-1,0.54844844,-1
2021-09-01,-1,0.34622324,-1
2021-09-02,-1,0.029388139,-1
2021-09-03,-1,0.0778898,-1
2021-09-06,1,0.8955848,1
2021-09-07,1,0.9734408,1
2021-09-08,1,0.9868596,1
2021-09-09,-1,0.83252215,1
2021-09-10,1,0.98508334,1
2021-09-13,-1,0.10952332,-1
2021-09-14,1,0.917833,1
2021-09-15,-1,0.097302094,-1
2021-09-16,1,0.98042655,1
2021-09-17,1,0.99052143,1
2021-09-20,1,0.8561132,1
2021-09-21,1,0.9412925,1
2021-09-22,1,0.943181,1
2021-09-23,-1,0.0032928556,-1
2021-09-24,1,0.93251806,1
2021-09-27,1,0.98317415,1
2021-09-28,1,0.9490538,1
2021-09-29,1,0.99078405,1
2021-09-30,-1,0.0156229045,-1
2021-10-01,-1,0.19756383,-1
2021-10-04,-1,0.1308847,-1
2021-10-05,1,0.78150535,1
2021-10-06,1,0.9800949,1
2021-10-07,-1,0.12927087,-1
2021-10-08,-1,0.0076566846,-1
2021-10-11,1,0.94478977,1
2021-10-12,1,0.67838955,-1
2021-10-13,-1,0.00051120017,-1
2021-10-14,-1,0.015302094,-1
2021-10-15,-1,0.056239497,-1
2021-10-18,1,0.9766605,1
2021-10-19,-1,0.049055096,-1
2021-10-20,-1,0.12921447,-1
2021-10-21,1,0.9367874,1
2021-10-22,-1,0.11030265,-1
2021-10-25,1,0.9764915,1
2021-10-26,1,0.940739,1
2021-10-27,-1,0.2707127,-1
2021-10-28,-1,0.016820451,-1
2021-10-29,1,0.99655414,1
2021-11-01,-1,0.013135226,-1
2021-11-02,1,0.9919796,1
2021-11-03,-1,0.105106324,-1
2021-11-04,1,0.9902788,1
2021-11-05,-1,0.44748932,-1
2021-11-08,1,0.89907694,1
2021-11-09,1,0.8232715,1
2021-11-10,1,0.998187,1
2021-11-11,1,0.77813035,1
2021-11-12,1,0.9789787,1
2021-11-15,1,0.97130394,1
2021-11-16,1,0.9935615,1
2021-11-17,-1,0.04819348,-1
2021-11-18,1,0.9461467,1
2021-11-19,1,0.99086034,1
2021-11-22,1,0.97490853,1
2021-11-23,1,0.97456443,1
