,time,action,position,entry_price,close_price,profit,balance
0,2021-07-07,open,long,8.61938,,,9999.9998
1,2021-07-08,close,neutral,,8.59988,-194.99999999998963,9804.99960000001
2,2021-07-08,open,short,8.59988,,,9804.99940000001
3,2021-07-13,close,neutral,,8.65288,-529.9999999999905,9274.99920000002
4,2021-07-13,open,long,8.65288,,,9274.99900000002
5,2021-07-14,close,neutral,,8.61644,-364.3999999999892,8910.59880000003
6,2021-07-14,open,short,8.61644,,,8910.59860000003
7,2021-07-15,close,neutral,,8.662279999999999,-458.39999999998327,8452.198400000047
8,2021-07-15,open,long,8.662279999999999,,,8452.198200000046
9,2021-07-16,close,neutral,,8.67338,111.00000000000776,8563.198000000053
10,2021-07-16,open,short,8.67338,,,8563.197800000053
11,2021-07-19,close,neutral,,8.68438,-110.00000000001009,8453.197600000043
12,2021-07-19,open,long,8.68438,,,8453.197400000043
13,2021-07-21,close,neutral,,8.68728,28.999999999985704,8482.197200000028
14,2021-07-21,open,short,8.68728,,,8482.197000000027
15,2021-07-23,close,neutral,,8.69174,-44.599999999999085,8437.596800000028
16,2021-07-23,open,long,8.69174,,,8437.596600000028
17,2021-07-26,close,neutral,,8.62548,-662.5999999999976,7774.996400000031
18,2021-07-26,open,short,8.62548,,,7774.9962000000305
19,2021-07-30,close,neutral,,8.59694,285.39999999999566,8060.396000000026
20,2021-07-30,open,long,8.59694,,,8060.395800000026
21,2021-08-02,close,neutral,,8.59848,15.400000000003189,8075.795600000029
22,2021-08-02,open,short,8.59848,,,8075.795400000028
23,2021-08-04,close,neutral,,8.61018,-116.99999999999378,7958.795200000034
24,2021-08-04,open,long,8.61018,,,7958.795000000034
25,2021-08-11,close,neutral,,8.68508,748.9999999999952,8707.794800000029
26,2021-08-11,open,short,8.68508,,,8707.794600000028
27,2021-08-17,close,neutral,,8.75484,-697.6000000000049,8010.194400000024
28,2021-08-17,open,long,8.75484,,,8010.194200000024
29,2021-08-18,close,neutral,,8.72854,-262.999999999991,7747.194000000032
