,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-10-07,-1,0.89934236,1,1.96448,
1,2021-10-08,1,0.9533094,1,1.96526,1.96448
2,2021-10-11,-1,0.054509226,-1,1.95974,1.96526
3,2021-10-12,1,0.4005901,-1,1.96018,1.95974
4,2021-10-13,1,0.52617,-1,1.96077,1.96018
5,2021-10-14,-1,0.0020678216,-1,1.94306,1.96077
6,2021-10-15,-1,0.041637238,-1,1.94245,1.94306
7,2021-10-18,-1,0.017373687,-1,1.93675,1.94245
8,2021-10-19,-1,0.008503207,-1,1.92797,1.93675
9,2021-10-20,-1,0.008078646,-1,1.9197,1.92797
10,2021-10-21,1,0.8283565,1,1.92725,1.9197
11,2021-10-22,-1,0.03578467,-1,1.92447,1.92725
12,2021-10-25,-1,0.03551025,-1,1.92085,1.92447
13,2021-10-26,1,0.1402878,-1,1.92165,1.92085
14,2021-10-27,-1,0.021770913,-1,1.91597,1.92165
15,2021-10-28,-1,0.048840545,-1,1.91535,1.91597
16,2021-10-29,-1,0.015165436,-1,1.91067,1.91535
17,2021-11-01,-1,0.006775913,-1,1.90097,1.91067
18,2021-11-02,1,0.9934163,1,1.91487,1.90097
19,2021-11-03,-1,0.11955827,-1,1.91035,1.91487
20,2021-11-04,-1,0.035872776,-1,1.90055,1.91035
21,2021-11-05,-1,0.078522265,-1,1.89535,1.90055
22,2021-11-08,-1,0.059443798,-1,1.89254,1.89535
23,2021-11-09,1,0.9617132,1,1.90117,1.89254
24,2021-11-10,-1,0.09737248,-1,1.89877,1.90117
25,2021-11-11,1,0.92226744,1,1.90348,1.89877
26,2021-11-12,1,0.76221997,1,1.90462,1.90348
27,2021-11-15,-1,0.6337316,1,1.90455,1.90462
28,2021-11-16,1,0.9962352,1,1.92049,1.90455
29,2021-11-17,1,0.97286946,1,1.92768,1.92049
30,2021-11-18,-1,0.020470265,-1,1.91617,1.92768
31,2021-11-19,1,0.8568553,1,1.92157,1.91617
32,2021-11-22,1,0.7451707,1,1.92555,1.92157
33,2021-11-23,-1,0.28408056,-1,1.92477,1.92555
34,2021-11-24,1,0.986145,1,1.93915,1.92477
35,2021-11-25,1,0.91973627,1,1.94181,1.93915
36,2021-11-26,1,0.98962045,1,1.95317,1.94181
37,2021-11-29,-1,0.856716,1,1.95087,1.95317
38,2021-11-30,-1,0.9286381,1,1.94925,1.95087
39,2021-12-01,-1,0.9485017,1,1.949,1.94925
40,2021-12-02,1,0.96658707,1,1.95055,1.949
41,2021-12-03,1,0.9928946,1,1.96107,1.95055
42,2021-12-06,1,0.97434807,1,1.96375,1.96107
43,2021-12-07,-1,0.012079251,-1,1.95085,1.96375
44,2021-12-08,-1,0.0074179657,-1,1.93797,1.95085
45,2021-12-09,1,0.86049765,1,1.94545,1.93797
46,2021-12-10,1,0.78591377,1,1.95107,1.94545
47,2021-12-13,1,0.88308185,1,1.95637,1.95107
48,2021-12-14,1,0.9286696,1,1.96145,1.95637
49,2021-12-15,-1,0.045123193,-1,1.95427,1.96145
50,2021-12-16,1,0.9196073,1,1.95887,1.95427
51,2021-12-17,1,0.9406265,1,1.96485,1.95887
52,2021-12-20,1,0.7818175,1,1.96687,1.96485
53,2021-12-21,-1,0.02152259,-1,1.95907,1.96687
54,2021-12-22,1,0.2630101,-1,1.96027,1.95907
55,2021-12-23,1,0.8634566,1,1.96509,1.96027
56,2021-12-24,-1,0.2717704,-1,1.96422,1.96509
57,2021-12-27,1,0.9620887,1,1.97167,1.96422
58,2021-12-28,1,0.8950381,1,1.97367,1.97167
59,2021-12-29,1,0.9246767,1,1.97541,1.97367
60,2021-12-30,1,0.9229724,1,1.97585,1.97541
61,2021-12-31,-1,0.8918767,1,1.97537,1.97585
62,2022-01-03,1,0.99253005,1,1.98615,1.97537
63,2022-01-04,1,0.97225475,1,1.98655,1.98615
64,2022-01-05,1,0.9936254,1,1.99395,1.98655
65,2022-01-06,1,0.9957528,1,2.00577,1.99395
66,2022-01-07,0,0.9821045,1,2.00577,2.00577
67,2022-01-10,1,0.9934772,1,2.00875,2.00577
68,2022-01-11,1,0.9918035,1,2.00938,2.00875
69,2022-01-12,-1,0.060185693,-1,2.00117,2.00938
70,2022-01-13,-1,0.054120235,-1,1.99692,2.00117
71,2022-01-14,1,0.97461075,1,2.00805,1.99692
72,2022-01-17,-1,0.5135988,-1,2.00756,2.00805
73,2022-01-18,1,0.7659766,1,2.00827,2.00756
74,2022-01-19,-1,0.22793432,-1,2.00637,2.00827
75,2022-01-20,1,0.95528567,1,2.01245,2.00637
76,2022-01-21,1,0.97127175,1,2.01865,2.01245
77,2022-01-24,-1,0.087564655,-1,2.01357,2.01865
78,2022-01-25,1,0.95784605,1,2.01977,2.01357
79,2022-01-26,1,0.9390609,1,2.02332,2.01977
80,2022-01-27,1,0.98455507,1,2.03315,2.02332
81,2022-01-28,1,0.9903289,1,2.04595,2.03315
82,2022-01-31,-1,0.9309336,1,2.04435,2.04595
83,2022-02-01,-1,0.21459404,-1,2.03735,2.04435
84,2022-02-02,1,0.9734493,1,2.04617,2.03735
85,2022-02-03,-1,0.08171266,-1,2.04065,2.04617
86,2022-02-04,1,0.8879351,1,2.04505,2.04065
87,2022-02-07,-1,0.06442364,-1,2.0403,2.04505
88,2022-02-08,-1,0.07613851,-1,2.03775,2.0403
89,2022-02-09,-1,0.0067389514,-1,2.02558,2.03775
90,2022-02-10,1,0.73451006,1,2.03107,2.02558
91,2022-02-11,1,0.9457222,1,2.04017,2.03107
