time,Actual Movement,Predictions,Predicted
2021-10-07,-1,0.89934236,1
2021-10-08,1,0.9533094,1
2021-10-11,-1,0.054509226,-1
2021-10-12,1,0.4005901,-1
2021-10-13,1,0.52617,-1
2021-10-14,-1,0.0020678216,-1
2021-10-15,-1,0.041637238,-1
2021-10-18,-1,0.017373687,-1
2021-10-19,-1,0.008503207,-1
2021-10-20,-1,0.008078646,-1
2021-10-21,1,0.8283565,1
2021-10-22,-1,0.03578467,-1
2021-10-25,-1,0.03551025,-1
2021-10-26,1,0.1402878,-1
2021-10-27,-1,0.021770913,-1
2021-10-28,-1,0.048840545,-1
2021-10-29,-1,0.015165436,-1
2021-11-01,-1,0.006775913,-1
2021-11-02,1,0.9934163,1
2021-11-03,-1,0.11955827,-1
2021-11-04,-1,0.035872776,-1
2021-11-05,-1,0.078522265,-1
2021-11-08,-1,0.059443798,-1
2021-11-09,1,0.9617132,1
2021-11-10,-1,0.09737248,-1
2021-11-11,1,0.92226744,1
2021-11-12,1,0.76221997,1
2021-11-15,-1,0.6337316,1
2021-11-16,1,0.9962352,1
2021-11-17,1,0.97286946,1
2021-11-18,-1,0.020470265,-1
2021-11-19,1,0.8568553,1
2021-11-22,1,0.7451707,1
2021-11-23,-1,0.28408056,-1
2021-11-24,1,0.986145,1
2021-11-25,1,0.91973627,1
2021-11-26,1,0.98962045,1
2021-11-29,-1,0.856716,1
2021-11-30,-1,0.9286381,1
2021-12-01,-1,0.9485017,1
2021-12-02,1,0.96658707,1
2021-12-03,1,0.9928946,1
2021-12-06,1,0.97434807,1
2021-12-07,-1,0.012079251,-1
2021-12-08,-1,0.0074179657,-1
2021-12-09,1,0.86049765,1
2021-12-10,1,0.78591377,1
2021-12-13,1,0.88308185,1
2021-12-14,1,0.9286696,1
2021-12-15,-1,0.045123193,-1
2021-12-16,1,0.9196073,1
2021-12-17,1,0.9406265,1
2021-12-20,1,0.7818175,1
2021-12-21,-1,0.02152259,-1
2021-12-22,1,0.2630101,-1
2021-12-23,1,0.8634566,1
2021-12-24,-1,0.2717704,-1
2021-12-27,1,0.9620887,1
2021-12-28,1,0.8950381,1
2021-12-29,1,0.9246767,1
2021-12-30,1,0.9229724,1
2021-12-31,-1,0.8918767,1
2022-01-03,1,0.99253005,1
2022-01-04,1,0.97225475,1
2022-01-05,1,0.9936254,1
2022-01-06,1,0.9957528,1
2022-01-07,0,0.9821045,1
2022-01-10,1,0.9934772,1
2022-01-11,1,0.9918035,1
2022-01-12,-1,0.060185693,-1
2022-01-13,-1,0.054120235,-1
2022-01-14,1,0.97461075,1
2022-01-17,-1,0.5135988,-1
2022-01-18,1,0.7659766,1
2022-01-19,-1,0.22793432,-1
2022-01-20,1,0.95528567,1
2022-01-21,1,0.97127175,1
2022-01-24,-1,0.087564655,-1
2022-01-25,1,0.95784605,1
2022-01-26,1,0.9390609,1
2022-01-27,1,0.98455507,1
2022-01-28,1,0.9903289,1
2022-01-31,-1,0.9309336,1
2022-02-01,-1,0.21459404,-1
2022-02-02,1,0.9734493,1
2022-02-03,-1,0.08171266,-1
2022-02-04,1,0.8879351,1
2022-02-07,-1,0.06442364,-1
2022-02-08,-1,0.07613851,-1
2022-02-09,-1,0.0067389514,-1
2022-02-10,1,0.73451006,1
2022-02-11,1,0.9457222,1
2022-02-14,1,0.87319916,1
2022-02-15,-1,0.05321173,-1
