,time,action,position,entry_price,close_price,profit,balance
0,2021-10-07,open,long,1.96448,,,9999.9998
1,2021-10-11,close,neutral,,1.95974,-47.399999999999665,9952.5996
2,2021-10-11,open,short,1.95974,,,9952.5994
3,2021-10-21,close,neutral,,1.92725,324.9000000000013,10277.4992
4,2021-10-21,open,long,1.92725,,,10277.499
5,2021-10-22,close,neutral,,1.92447,-27.800000000000047,10249.6988
6,2021-10-22,open,short,1.92447,,,10249.6986
7,2021-11-02,close,neutral,,1.91487,95.99999999999831,10345.698399999997
8,2021-11-02,open,long,1.91487,,,10345.698199999997
9,2021-11-03,close,neutral,,1.91035,-45.2000000000008,10300.497999999996
10,2021-11-03,open,short,1.91035,,,10300.497799999996
11,2021-11-09,close,neutral,,1.90117,91.79999999999966,10392.297599999994
12,2021-11-09,open,long,1.90117,,,10392.297399999994
13,2021-11-10,close,neutral,,1.89877,-23.999999999999577,10368.297199999994
14,2021-11-10,open,short,1.89877,,,10368.296999999993
15,2021-11-11,close,neutral,,1.90348,-47.09999999999992,10321.196799999992
16,2021-11-11,open,long,1.90348,,,10321.196599999992
17,2021-11-18,close,neutral,,1.91617,126.89999999999868,10448.096399999991
18,2021-11-18,open,short,1.91617,,,10448.09619999999
19,2021-11-19,close,neutral,,1.92157,-54.00000000000071,10394.09599999999
20,2021-11-19,open,long,1.92157,,,10394.09579999999
21,2021-11-23,close,neutral,,1.92477,32.00000000000092,10426.095599999991
22,2021-11-23,open,short,1.92477,,,10426.095399999991
23,2021-11-24,close,neutral,,1.93915,-143.79999999999836,10282.295199999993
24,2021-11-24,open,long,1.93915,,,10282.294999999993
25,2021-12-07,close,neutral,,1.95085,117.00000000000044,10399.294799999992
26,2021-12-07,open,short,1.95085,,,10399.294599999992
27,2021-12-09,close,neutral,,1.94545,54.00000000000071,10453.294399999993
28,2021-12-09,open,long,1.94545,,,10453.294199999993
29,2021-12-15,close,neutral,,1.95427,88.2000000000005,10541.493999999993
30,2021-12-15,open,short,1.95427,,,10541.493799999993
31,2021-12-16,close,neutral,,1.95887,-45.999999999999375,10495.493599999994
32,2021-12-16,open,long,1.95887,,,10495.493399999994
33,2021-12-21,close,neutral,,1.95907,2.000000000002,10497.493199999995
34,2021-12-21,open,short,1.95907,,,10497.492999999995
35,2021-12-23,close,neutral,,1.96509,-60.19999999999914,10437.292799999996
36,2021-12-23,open,long,1.96509,,,10437.292599999995
37,2021-12-24,close,neutral,,1.96422,-8.699999999999264,10428.592399999996
38,2021-12-24,open,short,1.96422,,,10428.592199999996
39,2021-12-27,close,neutral,,1.97167,-74.49999999999957,10354.091999999995
40,2021-12-27,open,long,1.97167,,,10354.091799999995
41,2022-01-12,close,neutral,,2.00117,295.0000000000008,10649.091599999996
42,2022-01-12,open,short,2.00117,,,10649.091399999996
43,2022-01-14,close,neutral,,2.00805,-68.79999999999775,10580.291199999998
44,2022-01-14,open,long,2.00805,,,10580.290999999997
45,2022-01-17,close,neutral,,2.00756,-4.900000000001015,10575.390799999996
46,2022-01-17,open,short,2.00756,,,10575.390599999995
47,2022-01-18,close,neutral,,2.00827,-7.100000000002105,10568.290399999993
48,2022-01-18,open,long,2.00827,,,10568.290199999992
49,2022-01-19,close,neutral,,2.00637,-19.000000000000128,10549.289999999992
50,2022-01-19,open,short,2.00637,,,10549.289799999991
51,2022-01-20,close,neutral,,2.01245,-60.79999999999863,10488.489599999994
52,2022-01-20,open,long,2.01245,,,10488.489399999993
53,2022-01-24,close,neutral,,2.01357,11.20000000000232,10499.689199999995
54,2022-01-24,open,short,2.01357,,,10499.688999999995
55,2022-01-25,close,neutral,,2.01977,-61.99999999999761,10437.688799999998
56,2022-01-25,open,long,2.01977,,,10437.688599999998
57,2022-02-01,close,neutral,,2.03735,175.80000000000152,10613.488399999998
58,2022-02-01,open,short,2.03735,,,10613.488199999998
59,2022-02-02,close,neutral,,2.04617,-88.2000000000005,10525.287999999997
60,2022-02-02,open,long,2.04617,,,10525.287799999996
61,2022-02-03,close,neutral,,2.04065,-55.200000000001914,10470.087599999995
62,2022-02-03,open,short,2.04065,,,10470.087399999995
63,2022-02-04,close,neutral,,2.04505,-43.999999999999595,10426.087199999994
64,2022-02-04,open,long,2.04505,,,10426.086999999994
65,2022-02-07,close,neutral,,2.0403,-47.50000000000032,10378.586799999994
66,2022-02-07,open,short,2.0403,,,10378.586599999993
67,2022-02-10,close,neutral,,2.03107,92.29999999999627,10470.88639999999
68,2022-02-10,open,long,2.03107,,,10470.88619999999
69,2022-02-15,close,neutral,,2.03904,79.69999999999811,10550.585999999988
70,2022-02-15,open,short,2.03904,,,10550.585799999988
71,2022-02-17,close,neutral,,2.03435,46.90000000000083,10597.485599999989
72,2022-02-17,open,long,2.03435,,,10597.485399999989
73,2022-02-18,close,neutral,,2.03008,-42.69999999999996,10554.78519999999
74,2022-02-18,open,short,2.03008,,,10554.784999999989
75,2022-03-11,close,neutral,,1.91505,1150.2999999999997,11705.08479999999
76,2022-03-11,open,long,1.91505,,,11705.08459999999
77,2022-03-15,close,neutral,,1.92547,104.20000000000095,11809.28439999999
78,2022-03-15,open,short,1.92547,,,11809.28419999999
79,2022-03-21,close,neutral,,1.91172,137.4999999999993,11946.783999999989
80,2022-03-21,open,long,1.91172,,,11946.783799999988
81,2022-03-22,close,neutral,,1.90407,-76.50000000000156,11870.283599999986
82,2022-03-22,open,short,1.90407,,,11870.283399999986
83,2022-03-28,close,neutral,,1.89897,50.99999999999882,11921.283199999985
84,2022-03-28,open,long,1.89897,,,11921.282999999985
85,2022-03-29,close,neutral,,1.88755,-114.19999999999986,11807.082799999986
86,2022-03-29,open,short,1.88755,,,11807.082599999985
87,2022-03-31,close,neutral,,1.89548,-79.29999999999993,11727.782399999986
88,2022-03-31,open,long,1.89548,,,11727.782199999985
89,2022-04-04,close,neutral,,1.88688,-86.00000000000163,11641.781999999983
90,2022-04-04,open,short,1.88688,,,11641.781799999982
91,2022-04-06,close,neutral,,1.88975,-28.700000000001502,11613.081599999981
92,2022-04-06,open,long,1.88975,,,11613.081399999981
93,2022-04-12,close,neutral,,1.89767,79.19999999999928,11692.28119999998
94,2022-04-12,open,short,1.89767,,,11692.280999999979
95,2022-04-13,close,neutral,,1.92955,-318.8000000000013,11373.480799999978
96,2022-04-13,open,long,1.92955,,,11373.480599999977
97,2022-04-14,close,neutral,,1.92706,-24.900000000001032,11348.580399999975
98,2022-04-14,open,short,1.92706,,,11348.580199999975
99,2022-04-15,close,neutral,,1.92937,-23.100000000000342,11325.479999999974
100,2022-04-15,open,long,1.92937,,,11325.479799999974
101,2022-04-19,close,neutral,,1.93067,13.000000000000789,11338.479599999975
102,2022-04-19,open,short,1.93067,,,11338.479399999975
103,2022-04-21,close,neutral,,1.93451,-38.399999999998435,11300.079199999976
104,2022-04-21,open,long,1.93451,,,11300.078999999976
105,2022-04-22,close,neutral,,1.93457,0.5999999999994898,11300.678799999976
106,2022-04-22,open,short,1.93457,,,11300.678599999976
107,2022-04-29,close,neutral,,1.94768,-131.10000000000178,11169.578399999973
108,2022-04-29,open,long,1.94768,,,11169.578199999973
109,2022-05-02,close,neutral,,1.94135,-63.30000000000169,11106.277999999971
110,2022-05-02,open,short,1.94135,,,11106.27779999997
111,2022-05-03,close,neutral,,1.94165,-3.00000000000189,11103.277599999969
112,2022-05-03,open,long,1.94165,,,11103.277399999968
113,2022-05-04,close,neutral,,1.92945,-121.99999999999989,10981.277199999968
114,2022-05-04,open,short,1.92945,,,10981.276999999967
115,2022-05-06,close,neutral,,1.92577,36.800000000001276,11018.076799999968
116,2022-05-06,open,long,1.92577,,,11018.076599999968
117,2022-05-11,close,neutral,,1.94537,196.00000000000063,11214.076399999969
118,2022-05-11,open,short,1.94537,,,11214.076199999969
119,2022-05-12,close,neutral,,1.95697,-116.00000000000054,11098.075999999968
120,2022-05-12,open,long,1.95697,,,11098.075799999968
121,2022-05-13,close,neutral,,1.94917,-78.00000000000028,11020.075599999967
122,2022-05-13,open,short,1.94917,,,11020.075399999967
123,2022-05-17,close,neutral,,1.96367,-144.99999999999957,10875.075199999967
124,2022-05-17,open,long,1.96367,,,10875.074999999966
125,2022-05-18,close,neutral,,1.96025,-34.19999999999979,10840.874799999967
126,2022-05-18,open,short,1.96025,,,10840.874599999966
127,2022-05-31,close,neutral,,1.93447,257.8000000000014,11098.674399999967
128,2022-05-31,open,long,1.93447,,,11098.674199999967
129,2022-06-01,close,neutral,,1.92429,-101.79999999999856,10996.873999999969
130,2022-06-01,open,short,1.92429,,,10996.873799999968
131,2022-06-06,close,neutral,,1.93037,-60.79999999999863,10936.07359999997
132,2022-06-06,open,long,1.93037,,,10936.07339999997
133,2022-06-10,close,neutral,,1.93762,72.49999999999979,11008.57319999997
134,2022-06-10,open,short,1.93762,,,11008.57299999997
135,2022-06-15,close,neutral,,1.93611,15.099999999999003,11023.672799999968
136,2022-06-15,open,long,1.93611,,,11023.672599999967
137,2022-06-17,close,neutral,,1.93517,-9.399999999999409,11014.272399999967
138,2022-06-17,open,short,1.93517,,,11014.272199999967
139,2022-06-21,close,neutral,,1.9384,-32.29999999999844,10981.971999999969
140,2022-06-21,open,long,1.9384,,,10981.971799999968
141,2022-06-24,close,neutral,,1.94377,53.70000000000097,11035.671599999969
142,2022-06-24,open,short,1.94377,,,11035.671399999968
143,2022-06-27,close,neutral,,1.94677,-29.999999999998916,11005.67119999997
144,2022-06-27,open,long,1.94677,,,11005.67099999997
145,2022-06-29,close,neutral,,1.94855,17.80000000000115,11023.47079999997
146,2022-06-29,open,short,1.94855,,,11023.47059999997
147,2022-06-30,close,neutral,,1.95018,-16.300000000000203,11007.17039999997
148,2022-06-30,open,long,1.95018,,,11007.17019999997
149,2022-07-01,close,neutral,,1.94947,-7.099999999999884,11000.069999999969
