,time,action,position,entry_price,close_price,profit,balance
0,2021-01-26,open,short,1.54376,,,9999.9998
1,2021-01-27,close,neutral,,1.5508,-70.39999999999935,9929.5996
2,2021-01-27,open,long,1.5508,,,9929.5994
3,2021-01-29,close,neutral,,1.55105,2.500000000000835,9932.0992
4,2021-01-29,open,short,1.55105,,,9932.099
5,2021-02-05,close,neutral,,1.53762,134.30000000000052,10066.3988
6,2021-02-05,open,long,1.53762,,,10066.3986
7,2021-02-08,close,neutral,,1.53465,-29.69999999999917,10036.698400000001
8,2021-02-08,open,short,1.53465,,,10036.6982
9,2021-02-09,close,neutral,,1.53876,-41.09999999999836,9995.598000000002
10,2021-02-09,open,long,1.53876,,,9995.597800000001
11,2021-02-12,close,neutral,,1.53805,-7.099999999999884,9988.4976
12,2021-02-12,open,short,1.53805,,,9988.4974
13,2021-02-16,close,neutral,,1.53621,18.399999999998418,10006.8972
14,2021-02-16,open,long,1.53621,,,10006.896999999999
15,2021-02-17,close,neutral,,1.52932,-68.90000000000063,9937.996799999999
16,2021-02-17,open,short,1.52932,,,9937.996599999999
17,2021-02-18,close,neutral,,1.53291,-35.89999999999982,9902.096399999999
18,2021-02-18,open,long,1.53291,,,9902.096199999998
19,2021-02-19,close,neutral,,1.5287,-42.10000000000047,9859.995999999997
20,2021-02-19,open,short,1.5287,,,9859.995799999997
21,2021-02-22,close,neutral,,1.53371,-50.09999999999959,9809.895599999998
22,2021-02-22,open,long,1.53371,,,9809.895399999998
23,2021-02-23,close,neutral,,1.52937,-43.400000000000105,9766.495199999998
24,2021-02-23,open,short,1.52937,,,9766.494999999997
25,2021-02-25,close,neutral,,1.53527,-59.00000000000016,9707.494799999997
26,2021-02-25,open,long,1.53527,,,9707.494599999996
27,2021-03-01,close,neutral,,1.5231,-121.70000000000014,9585.794399999997
28,2021-03-01,open,short,1.5231,,,9585.794199999997
29,2021-03-02,close,neutral,,1.52791,-48.10000000000203,9537.693999999994
30,2021-03-02,open,long,1.52791,,,9537.693799999994
31,2021-03-03,close,neutral,,1.52651,-14.000000000000679,9523.693599999993
32,2021-03-03,open,short,1.52651,,,9523.693399999993
33,2021-03-09,close,neutral,,1.50422,222.90000000000143,9746.593199999994
34,2021-03-09,open,long,1.50422,,,9746.592999999993
35,2021-03-11,close,neutral,,1.50254,-16.799999999999038,9729.792799999994
36,2021-03-11,open,short,1.50254,,,9729.792599999993
37,2021-03-17,close,neutral,,1.48585,166.90000000000094,9896.692399999994
38,2021-03-17,open,long,1.48585,,,9896.692199999994
39,2021-03-23,close,neutral,,1.49134,54.900000000002166,9951.591999999997
40,2021-03-23,open,short,1.49134,,,9951.591799999997
41,2021-04-01,close,neutral,,1.47806,132.8000000000018,10084.391599999999
42,2021-04-01,open,long,1.47806,,,10084.391399999999
43,2021-04-09,close,neutral,,1.49146,134.0000000000008,10218.3912
44,2021-04-09,open,short,1.49146,,,10218.391
45,2021-04-12,close,neutral,,1.49658,-51.20000000000013,10167.1908
46,2021-04-12,open,long,1.49658,,,10167.1906
47,2021-04-16,close,neutral,,1.49838,18.000000000000238,10185.1904
48,2021-04-16,open,short,1.49838,,,10185.1902
49,2021-04-19,close,neutral,,1.50814,-97.59999999999991,10087.589999999998
50,2021-04-19,open,long,1.50814,,,10087.589799999998
51,2021-04-21,close,neutral,,1.50379,-43.50000000000076,10044.089599999998
52,2021-04-21,open,short,1.50379,,,10044.089399999997
53,2021-04-23,close,neutral,,1.5094,-56.100000000001145,9987.989199999996
54,2021-04-23,open,long,1.5094,,,9987.988999999996
55,2021-04-26,close,neutral,,1.49834,-110.6000000000007,9877.388799999995
56,2021-04-26,open,short,1.49834,,,9877.388599999995
57,2021-04-27,close,neutral,,1.49946,-11.200000000000099,9866.188399999995
58,2021-04-27,open,long,1.49946,,,9866.188199999995
59,2021-04-28,close,neutral,,1.49302,-64.4,9801.787999999995
60,2021-04-28,open,short,1.49302,,,9801.787799999995
61,2021-05-03,close,neutral,,1.48111,119.10000000000088,9920.887599999995
62,2021-05-03,open,long,1.48111,,,9920.887399999994
63,2021-05-04,close,neutral,,1.47822,-28.89999999999837,9891.987199999996
64,2021-05-04,open,short,1.47822,,,9891.986999999996
65,2021-05-07,close,neutral,,1.47506,31.600000000000517,9923.586799999995
66,2021-05-07,open,long,1.47506,,,9923.586599999995
67,2021-05-10,close,neutral,,1.46792,-71.40000000000146,9852.186399999993
68,2021-05-10,open,short,1.46792,,,9852.186199999993
69,2021-05-11,close,neutral,,1.46998,-20.600000000001728,9831.58599999999
70,2021-05-11,open,long,1.46998,,,9831.58579999999
71,2021-05-12,close,neutral,,1.46467,-53.10000000000148,9778.485599999989
72,2021-05-12,open,short,1.46467,,,9778.485399999989
73,2021-05-13,close,neutral,,1.46889,-42.200000000001125,9736.285199999988
74,2021-05-13,open,long,1.46889,,,9736.284999999987
75,2021-05-17,close,neutral,,1.46646,-24.299999999999322,9711.984799999987
76,2021-05-17,open,short,1.46646,,,9711.984599999987
77,2021-05-18,close,neutral,,1.47425,-77.89999999999964,9634.084399999987
78,2021-05-18,open,long,1.47425,,,9634.084199999987
79,2021-05-20,close,neutral,,1.47419,-0.6000000000017103,9633.483999999984
80,2021-05-20,open,short,1.47419,,,9633.483799999984
81,2021-05-24,close,neutral,,1.4715,26.89999999999859,9660.383599999983
82,2021-05-24,open,long,1.4715,,,9660.383399999982
83,2021-05-27,close,neutral,,1.47139,-1.100000000000545,9659.283199999982
84,2021-05-27,open,short,1.47139,,,9659.282999999981
85,2021-05-31,close,neutral,,1.47503,-36.40000000000087,9622.882799999981
86,2021-05-31,open,long,1.47503,,,9622.88259999998
87,2021-06-01,close,neutral,,1.47443,-6.00000000000156,9616.882399999979
88,2021-06-01,open,short,1.47443,,,9616.882199999978
89,2021-06-07,close,neutral,,1.47287,15.600000000000058,9632.481999999978
90,2021-06-07,open,long,1.47287,,,9632.481799999978
91,2021-06-10,close,neutral,,1.47289,0.20000000000131024,9632.68159999998
92,2021-06-10,open,short,1.47289,,,9632.68139999998
93,2021-06-11,close,neutral,,1.47283,0.5999999999994898,9633.28119999998
94,2021-06-11,open,long,1.47283,,,9633.280999999979
95,2021-06-14,close,neutral,,1.47204,-7.900000000000684,9625.380799999979
96,2021-06-14,open,short,1.47204,,,9625.380599999979
97,2021-06-15,close,neutral,,1.47743,-53.90000000000006,9571.480399999979
98,2021-06-15,open,long,1.47743,,,9571.480199999978
99,2021-06-16,close,neutral,,1.47356,-38.7000000000004,9532.779999999977
100,2021-06-16,open,short,1.47356,,,9532.779799999977
101,2021-06-18,close,neutral,,1.47883,-52.70000000000108,9480.079599999975
102,2021-06-18,open,long,1.47883,,,9480.079399999975
103,2021-06-21,close,neutral,,1.47345,-53.800000000001624,9426.279199999974
104,2021-06-21,open,short,1.47345,,,9426.278999999973
105,2021-06-24,close,neutral,,1.47029,31.599999999998296,9457.878799999971
106,2021-06-24,open,long,1.47029,,,9457.87859999997
107,2021-06-25,close,neutral,,1.4681,-21.900000000001363,9435.978399999969
108,2021-06-25,open,short,1.4681,,,9435.978199999969
109,2021-06-28,close,neutral,,1.47155,-34.49999999999953,9401.477999999968
110,2021-06-28,open,long,1.47155,,,9401.477799999968
111,2021-06-30,close,neutral,,1.47009,-14.600000000000168,9386.877599999967
112,2021-06-30,open,short,1.47009,,,9386.877399999967
113,2021-07-01,close,neutral,,1.47374,-36.500000000001535,9350.377199999964
114,2021-07-01,open,long,1.47374,,,9350.376999999964
115,2021-07-02,close,neutral,,1.46265,-110.90000000000045,9239.476799999964
116,2021-07-02,open,short,1.46265,,,9239.476599999964
117,2021-07-05,close,neutral,,1.46373,-10.799999999999699,9228.676399999964
118,2021-07-05,open,long,1.46373,,,9228.676199999964
119,2021-07-07,close,neutral,,1.47202,82.90000000000131,9311.575999999965
120,2021-07-07,open,short,1.47202,,,9311.575799999964
121,2021-07-08,close,neutral,,1.48414,-121.19999999999908,9190.375599999965
122,2021-07-08,open,long,1.48414,,,9190.375399999964
123,2021-07-09,close,neutral,,1.47889,-52.49999999999977,9137.875199999964
124,2021-07-09,open,short,1.47889,,,9137.874999999964
125,2021-07-14,close,neutral,,1.48104,-21.499999999998742,9116.374799999965
126,2021-07-14,open,long,1.48104,,,9116.374599999965
127,2021-07-20,close,neutral,,1.4937,126.60000000000116,9242.974399999966
128,2021-07-20,open,short,1.4937,,,9242.974199999966
129,2021-07-26,close,neutral,,1.48098,127.20000000000064,9370.173999999966
130,2021-07-26,open,long,1.48098,,,9370.173799999966
131,2021-07-28,close,neutral,,1.48305,20.700000000000163,9390.873599999966
132,2021-07-28,open,short,1.48305,,,9390.873399999966
133,2021-07-30,close,neutral,,1.47989,31.600000000000517,9422.473199999966
134,2021-07-30,open,long,1.47989,,,9422.472999999965
135,2021-08-05,close,neutral,,1.47884,-10.499999999999954,9411.972799999965
136,2021-08-05,open,short,1.47884,,,9411.972599999965
137,2021-08-06,close,neutral,,1.47678,20.599999999999508,9432.572399999965
138,2021-08-06,open,long,1.47678,,,9432.572199999964
139,2021-08-10,close,neutral,,1.46763,-91.49999999999991,9341.071999999964
140,2021-08-10,open,short,1.46763,,,9341.071799999963
141,2021-08-11,close,neutral,,1.46837,-7.399999999999629,9333.671599999963
142,2021-08-11,open,long,1.46837,,,9333.671399999963
143,2021-08-23,close,neutral,,1.4858,174.30000000000058,9507.971199999964
144,2021-08-23,open,short,1.4858,,,9507.970999999963
145,2021-08-25,close,neutral,,1.48218,36.19999999999956,9544.170799999963
146,2021-08-25,open,long,1.48218,,,9544.170599999963
147,2021-08-27,close,neutral,,1.48801,58.30000000000002,9602.470399999964
148,2021-08-27,open,short,1.48801,,,9602.470199999963
149,2021-08-30,close,neutral,,1.48728,7.300000000001194,9609.769999999964
150,2021-08-30,open,long,1.48728,,,9609.769799999964
151,2021-09-02,close,neutral,,1.49043,31.49999999999986,9641.269599999963
152,2021-09-02,open,short,1.49043,,,9641.269399999963
153,2021-09-03,close,neutral,,1.48811,23.199999999998777,9664.469199999961
154,2021-09-03,open,long,1.48811,,,9664.468999999961
155,2021-09-13,close,neutral,,1.49329,51.79999999999963,9716.26879999996
156,2021-09-13,open,short,1.49329,,,9716.26859999996
157,2021-09-14,close,neutral,,1.49828,-49.9000000000005,9666.36839999996
158,2021-09-14,open,long,1.49828,,,9666.368199999959
159,2021-09-15,close,neutral,,1.49191,-63.69999999999987,9602.66799999996
160,2021-09-15,open,short,1.49191,,,9602.66779999996
161,2021-09-16,close,neutral,,1.49274,-8.299999999998864,9594.36759999996
162,2021-09-16,open,long,1.49274,,,9594.36739999996
163,2021-09-22,close,neutral,,1.49366,9.200000000000319,9603.56719999996
164,2021-09-22,open,short,1.49366,,,9603.566999999959
165,2021-09-28,close,neutral,,1.48166,120.00000000000011,9723.566799999959
166,2021-09-28,open,long,1.48166,,,9723.566599999958
167,2021-09-29,close,neutral,,1.47939,-22.699999999999942,9700.866399999959
168,2021-09-29,open,short,1.47939,,,9700.866199999959
169,2021-10-13,close,neutral,,1.4428,365.899999999999,10066.765999999958
170,2021-10-13,open,long,1.4428,,,10066.765799999957
171,2021-10-14,close,neutral,,1.43449,-83.10000000000039,9983.665599999957
172,2021-10-14,open,short,1.43449,,,9983.665399999956
173,2021-10-18,close,neutral,,1.43716,-26.699999999999502,9956.965199999957
174,2021-10-18,open,long,1.43716,,,9956.964999999956
175,2021-10-20,close,neutral,,1.43492,-22.400000000000198,9934.564799999956
176,2021-10-20,open,short,1.43492,,,9934.564599999956
177,2021-10-21,close,neutral,,1.43774,-28.200000000000447,9906.364399999955
178,2021-10-21,open,long,1.43774,,,9906.364199999955
179,2021-10-27,close,neutral,,1.4342,-35.400000000000986,9870.963999999953
180,2021-10-27,open,short,1.4342,,,9870.963799999952
181,2021-10-28,close,neutral,,1.44228,-80.80000000000086,9790.16359999995
182,2021-10-28,open,long,1.44228,,,9790.16339999995
183,2021-10-29,close,neutral,,1.43182,-104.59999999999914,9685.563199999951
184,2021-10-29,open,short,1.43182,,,9685.562999999951
185,2021-11-01,close,neutral,,1.43579,-39.69999999999807,9645.862799999953
186,2021-11-01,open,long,1.43579,,,9645.862599999953
187,2021-11-10,close,neutral,,1.43429,-14.999999999998348,9630.862399999955
188,2021-11-10,open,short,1.43429,,,9630.862199999954
189,2021-11-11,close,neutral,,1.4404,-61.099999999998374,9569.761999999955
190,2021-11-11,open,long,1.4404,,,9569.761799999955
191,2021-11-12,close,neutral,,1.43603,-43.69999999999985,9526.061599999955
192,2021-11-12,open,short,1.43603,,,9526.061399999955
193,2021-11-17,close,neutral,,1.42742,86.10000000000007,9612.161199999955
194,2021-11-17,open,long,1.42742,,,9612.160999999955
195,2021-11-19,close,neutral,,1.42665,-7.699999999999374,9604.460799999955
196,2021-11-19,open,short,1.42665,,,9604.460599999955
197,2021-11-22,close,neutral,,1.42711,-4.60000000000127,9599.860399999954
198,2021-11-22,open,long,1.42711,,,9599.860199999954
199,2021-11-23,close,neutral,,1.42523,-18.800000000001038,9581.059999999952
200,2021-11-23,open,short,1.42523,,,9581.059799999952
201,2021-11-26,close,neutral,,1.44792,-226.900000000001,9354.15959999995
202,2021-11-26,open,long,1.44792,,,9354.15939999995
203,2021-11-29,close,neutral,,1.43845,-94.7000000000009,9259.459199999948
204,2021-11-29,open,short,1.43845,,,9259.458999999948
205,2021-11-30,close,neutral,,1.44937,-109.20000000000041,9150.258799999947
206,2021-11-30,open,long,1.44937,,,9150.258599999946
207,2021-12-02,close,neutral,,1.44694,-24.300000000001543,9125.958399999945
208,2021-12-02,open,short,1.44694,,,9125.958199999945
209,2021-12-03,close,neutral,,1.45316,-62.20000000000114,9063.757999999943
210,2021-12-03,open,long,1.45316,,,9063.757799999943
211,2021-12-06,close,neutral,,1.4394,-137.59999999999994,8926.157599999942
212,2021-12-06,open,short,1.4394,,,8926.157399999942
213,2021-12-08,close,neutral,,1.43522,41.80000000000072,8967.957199999943
214,2021-12-08,open,long,1.43522,,,8967.956999999942
215,2021-12-09,close,neutral,,1.43546,2.4000000000001798,8970.356799999943
216,2021-12-09,open,short,1.43546,,,8970.356599999943
217,2021-12-10,close,neutral,,1.44005,-45.900000000000944,8924.456399999943
218,2021-12-10,open,long,1.44005,,,8924.456199999942
