,time,action,position,entry_price,close_price,profit,balance
0,2019-08-22,open,short,0.90421,,,9999.9998
1,2019-08-23,close,neutral,,0.90652,-23.100000000000342,9976.899599999999
2,2019-08-23,open,long,0.90652,,,9976.899399999998
3,2019-08-27,close,neutral,,0.90246,-40.599999999999525,9936.2992
4,2019-08-27,open,short,0.90246,,,9936.298999999999
5,2019-08-28,close,neutral,,0.90697,-45.100000000000136,9891.198799999998
6,2019-08-28,open,long,0.90697,,,9891.198599999998
7,2019-08-30,close,neutral,,0.90357,-34.000000000000696,9857.198399999997
8,2019-08-30,open,short,0.90357,,,9857.198199999997
9,2019-09-02,close,neutral,,0.90902,-54.50000000000066,9802.697999999997
10,2019-09-02,open,long,0.90902,,,9802.697799999996
11,2019-09-03,close,neutral,,0.908,-10.200000000000209,9792.497599999997
12,2019-09-03,open,short,0.908,,,9792.497399999997
13,2019-09-06,close,neutral,,0.89706,109.4000000000006,9901.897199999998
14,2019-09-06,open,long,0.89706,,,9901.896999999997
15,2019-09-09,close,neutral,,0.89489,-21.700000000000053,9880.196799999998
16,2019-09-09,open,short,0.89489,,,9880.196599999997
17,2019-09-12,close,neutral,,0.89709,-22.00000000000091,9858.196399999997
18,2019-09-12,open,long,0.89709,,,9858.196199999997
19,2019-09-13,close,neutral,,0.88556,-115.30000000000041,9742.895999999997
20,2019-09-13,open,short,0.88556,,,9742.895799999997
21,2019-09-16,close,neutral,,0.88543,1.2999999999996348,9744.195599999995
22,2019-09-16,open,long,0.88543,,,9744.195399999995
23,2019-09-18,close,neutral,,0.88455,-8.80000000000103,9735.395199999994
24,2019-09-18,open,short,0.88455,,,9735.394999999993
25,2019-09-20,close,neutral,,0.88358,9.699999999999154,9745.094799999992
26,2019-09-20,open,long,0.88358,,,9745.094599999991
27,2019-09-24,close,neutral,,0.88185,-17.300000000000093,9727.794399999992
28,2019-09-24,open,short,0.88185,,,9727.794199999991
29,2019-09-25,close,neutral,,0.88579,-39.39999999999944,9688.393999999991
30,2019-09-25,open,long,0.88579,,,9688.39379999999
31,2019-09-30,close,neutral,,0.88642,6.300000000000194,9694.693599999991
32,2019-09-30,open,short,0.88642,,,9694.693399999991
33,2019-10-01,close,neutral,,0.88843,-20.100000000000673,9674.59319999999
34,2019-10-01,open,long,0.88843,,,9674.59299999999
35,2019-10-03,close,neutral,,0.88912,6.899999999999684,9681.492799999989
36,2019-10-03,open,short,0.88912,,,9681.492599999989
37,2019-10-04,close,neutral,,0.88988,-7.599999999999829,9673.89239999999
38,2019-10-04,open,long,0.88988,,,9673.89219999999
39,2019-10-10,close,neutral,,0.88453,-53.49999999999966,9620.391999999989
40,2019-10-10,open,short,0.88453,,,9620.391799999989
41,2019-10-14,close,neutral,,0.87574,87.90000000000076,9708.29159999999
42,2019-10-14,open,long,0.87574,,,9708.29139999999
43,2019-10-15,close,neutral,,0.86284,-128.99999999999912,9579.29119999999
44,2019-10-15,open,short,0.86284,,,9579.29099999999
45,2019-10-16,close,neutral,,0.86323,-3.9000000000000146,9575.39079999999
46,2019-10-16,open,long,0.86323,,,9575.39059999999
47,2019-10-17,close,neutral,,0.86297,-2.60000000000038,9572.790399999989
48,2019-10-17,open,short,0.86297,,,9572.790199999989
49,2019-10-22,close,neutral,,0.86406,-10.900000000000354,9561.889999999989
50,2019-10-22,open,long,0.86406,,,9561.889799999988
51,2019-10-23,close,neutral,,0.86157,-24.900000000001032,9536.989599999986
52,2019-10-23,open,short,0.86157,,,9536.989399999986
53,2019-10-24,close,neutral,,0.86405,-24.800000000000377,9512.189199999986
54,2019-10-24,open,long,0.86405,,,9512.188999999986
55,2019-10-31,close,neutral,,0.86246,-15.899999999999803,9496.288799999986
56,2019-10-31,open,short,0.86246,,,9496.288599999985
57,2019-11-01,close,neutral,,0.86259,-1.2999999999996348,9494.988399999986
58,2019-11-01,open,long,0.86259,,,9494.988199999985
59,2019-11-05,close,neutral,,0.85962,-29.69999999999917,9465.287999999986
60,2019-11-05,open,short,0.85962,,,9465.287799999986
61,2019-11-06,close,neutral,,0.86069,-10.699999999999044,9454.587599999986
62,2019-11-06,open,long,0.86069,,,9454.587399999986
63,2019-11-11,close,neutral,,0.85838,-23.099999999999234,9431.487199999987
64,2019-11-11,open,short,0.85838,,,9431.486999999986
65,2019-11-15,close,neutral,,0.85651,18.700000000000383,9450.186799999987
66,2019-11-15,open,long,0.85651,,,9450.186599999986
67,2019-11-18,close,neutral,,0.85482,-16.899999999999693,9433.286399999986
68,2019-11-18,open,short,0.85482,,,9433.286199999986
69,2019-11-19,close,neutral,,0.8569,-20.799999999999706,9412.485999999986
70,2019-11-19,open,long,0.8569,,,9412.485799999986
71,2019-11-25,close,neutral,,0.85359,-33.10000000000035,9379.385599999985
72,2019-11-25,open,short,0.85359,,,9379.385399999985
73,2019-11-26,close,neutral,,0.8568,-32.10000000000046,9347.285199999984
74,2019-11-26,open,long,0.8568,,,9347.284999999983
75,2019-11-27,close,neutral,,0.85237,-44.30000000000045,9302.984799999984
76,2019-11-27,open,short,0.85237,,,9302.984599999983
77,2019-11-28,close,neutral,,0.85259,-2.1999999999999797,9300.784399999984
78,2019-11-28,open,long,0.85259,,,9300.784199999984
79,2019-11-29,close,neutral,,0.85188,-7.099999999999884,9293.683999999983
80,2019-11-29,open,short,0.85188,,,9293.683799999983
81,2019-12-02,close,neutral,,0.85594,-40.600000000000634,9253.083599999982
82,2019-12-02,open,long,0.85594,,,9253.083399999981
83,2019-12-03,close,neutral,,0.85245,-34.899999999999935,9218.183199999981
84,2019-12-03,open,short,0.85245,,,9218.18299999998
85,2019-12-11,close,neutral,,0.84332,91.30000000000082,9309.482799999982
86,2019-12-11,open,long,0.84332,,,9309.482599999981
87,2019-12-13,close,neutral,,0.83355,-97.69999999999945,9211.782399999982
88,2019-12-13,open,short,0.83355,,,9211.782199999981
89,2019-12-16,close,neutral,,0.83571,-21.599999999999397,9190.181999999983
