,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-03-29,1,0.8455759,1,20.60598,
1,2021-03-30,-1,0.34132376,-1,20.59198,20.60598
2,2021-03-31,-1,0.014092385,-1,20.44028,20.59198
3,2021-04-01,-1,0.012980481,-1,20.28858,20.44028
4,2021-04-02,1,0.390869,1,20.30798,20.28858
5,2021-04-05,-1,0.16338983,-1,20.30458,20.30798
6,2021-04-06,-1,0.014995064,-1,20.16308,20.30458
7,2021-04-07,1,0.71568537,1,20.20308,20.16308
8,2021-04-08,-1,0.019026373,-1,20.09038,20.20308
9,2021-04-09,1,0.93596095,1,20.15808,20.09038
10,2021-04-12,-1,0.21799298,-1,20.13418,20.15808
11,2021-04-13,-1,0.09128195,-1,20.08178,20.13418
12,2021-04-14,-1,0.16325192,-1,20.06828,20.08178
13,2021-04-15,-1,0.01220895,-1,19.94388,20.06828
14,2021-04-16,-1,0.02848589,-1,19.91008,19.94388
15,2021-04-19,-1,0.009589858,-1,19.8168,19.91008
16,2021-04-20,1,0.98527133,1,19.95018,19.8168
17,2021-04-21,-1,0.04186505,-1,19.87758,19.95018
18,2021-04-22,1,0.9613038,1,19.94458,19.87758
19,2021-04-23,-1,0.027462104,-1,19.82668,19.94458
20,2021-04-26,1,0.81267023,1,19.85176,19.82668
21,2021-04-27,1,0.9978667,1,20.05382,19.85176
22,2021-04-28,-1,0.0285429,-1,19.90778,20.05382
23,2021-04-29,1,0.9906482,1,20.05068,19.90778
24,2021-04-30,1,0.98666567,1,20.23018,20.05068
25,2021-05-03,-1,0.063405626,-1,20.17418,20.23018
26,2021-05-04,1,0.8089674,1,20.22074,20.17418
27,2021-05-05,1,0.62345934,1,20.24665,20.22074
28,2021-05-06,-1,0.007166608,-1,20.08846,20.24665
29,2021-05-07,-1,0.0044770385,-1,19.89728,20.08846
30,2021-05-10,1,0.3549507,1,19.93271,19.89728
31,2021-05-11,1,0.5106625,1,19.96818,19.93271
32,2021-05-12,1,0.99302316,1,20.15668,19.96818
33,2021-05-13,-1,0.0120576415,-1,19.95438,20.15668
34,2021-05-14,-1,0.057840496,-1,19.85908,19.95438
35,2021-05-17,-1,0.049628187,-1,19.77048,19.85908
36,2021-05-18,1,0.9337433,1,19.83498,19.77048
37,2021-05-19,1,0.98274577,1,19.93896,19.83498
38,2021-05-20,-1,0.15708843,-1,19.86202,19.93896
39,2021-05-21,1,0.98573434,1,19.95748,19.86202
40,2021-05-24,-1,0.0617811,-1,19.85338,19.95748
41,2021-05-25,1,0.9729538,1,19.92158,19.85338
42,2021-05-26,-1,0.2534263,-1,19.87118,19.92158
43,2021-05-27,1,0.9753879,1,19.94928,19.87118
44,2021-05-28,-1,0.47775927,1,19.92598,19.94928
45,2021-05-31,1,0.8790885,1,19.94498,19.92598
46,2021-06-01,1,0.8962527,1,19.96278,19.94498
47,2021-06-02,-1,0.04810399,-1,19.89948,19.96278
48,2021-06-03,1,0.99823844,1,20.1721,19.89948
49,2021-06-04,-1,0.005424113,-1,19.96288,20.1721
50,2021-06-07,-1,0.013696052,-1,19.80848,19.96288
51,2021-06-08,-1,0.03197654,-1,19.69478,19.80848
52,2021-06-09,1,0.8068977,1,19.73258,19.69478
53,2021-06-10,-1,0.13719904,-1,19.68588,19.73258
54,2021-06-11,1,0.99561346,1,19.87849,19.68588
55,2021-06-14,1,0.9587363,1,19.94898,19.87849
56,2021-06-15,1,0.96650195,1,20.01698,19.94898
57,2021-06-16,1,0.99905795,1,20.40325,20.01698
58,2021-06-17,1,0.732645,1,20.44468,20.40325
59,2021-06-18,1,0.99550074,1,20.67398,20.44468
60,2021-06-21,-1,0.014200001,-1,20.48368,20.67398
61,2021-06-22,-1,0.023738857,-1,20.33258,20.48368
62,2021-06-23,-1,0.01425214,-1,20.19008,20.33258
63,2021-06-24,-1,0.0017742806,-1,19.85253,20.19008
64,2021-06-25,-1,0.09861539,-1,19.8094,19.85253
65,2021-06-28,1,0.13799338,-1,19.82688,19.8094
66,2021-06-29,-1,0.073968686,-1,19.81088,19.82688
67,2021-06-30,1,0.98242307,1,19.95637,19.81088
68,2021-07-01,1,0.8949011,1,19.99308,19.95637
69,2021-07-02,-1,0.015570933,-1,19.77048,19.99308
70,2021-07-05,1,0.98269063,1,19.84958,19.77048
71,2021-07-06,1,0.9962645,1,20.02688,19.84958
72,2021-07-07,-1,0.32374713,-1,19.93488,20.02688
73,2021-07-08,1,0.98923993,1,20.00268,19.93488
74,2021-07-09,-1,0.050924163,-1,19.85008,20.00268
75,2021-07-12,-1,0.866929,1,19.84857,19.85008
76,2021-07-13,1,0.9966714,1,20.05823,19.84857
77,2021-07-14,-1,0.015351662,-1,19.87677,20.05823
78,2021-07-15,1,0.9343205,1,19.94468,19.87677
79,2021-07-16,-1,0.07973933,-1,19.89043,19.94468
80,2021-07-19,1,0.98841536,1,20.07428,19.89043
81,2021-07-20,1,0.87801373,1,20.16868,20.07428
