,time,action,position,entry_price,close_price,profit,balance
0,2021-03-29,open,long,20.60598,,,9999.9998
1,2021-03-30,close,neutral,,20.59198,-139.99999999999346,9859.999600000006
2,2021-03-30,open,short,20.59198,,,9859.999400000006
3,2021-04-02,close,neutral,,20.30798,2839.999999999989,12699.999199999995
4,2021-04-02,open,long,20.30798,,,12699.998999999994
5,2021-04-05,close,neutral,,20.30458,-33.999999999991815,12665.998800000003
6,2021-04-05,open,short,20.30458,,,12665.998600000003
7,2021-04-07,close,neutral,,20.20308,1015.0000000000148,13680.998400000017
8,2021-04-07,open,long,20.20308,,,13680.998200000016
9,2021-04-08,close,neutral,,20.09038,-1127.0000000000025,12553.998000000014
10,2021-04-08,open,short,20.09038,,,12553.997800000014
11,2021-04-09,close,neutral,,20.15808,-677.0000000000209,11876.997599999993
12,2021-04-09,open,long,20.15808,,,11876.997399999993
13,2021-04-12,close,neutral,,20.13418,-239.00000000001143,11637.997199999982
14,2021-04-12,open,short,20.13418,,,11637.996999999981
15,2021-04-20,close,neutral,,19.95018,1840.0000000000105,13477.996799999992
16,2021-04-20,open,long,19.95018,,,13477.996599999991
17,2021-04-21,close,neutral,,19.87758,-726.0000000000133,12751.996399999978
18,2021-04-21,open,short,19.87758,,,12751.996199999978
19,2021-04-22,close,neutral,,19.94458,-670.0000000000017,12081.995999999976
20,2021-04-22,open,long,19.94458,,,12081.995799999975
21,2021-04-23,close,neutral,,19.82668,-1178.9999999999877,10902.995599999987
22,2021-04-23,open,short,19.82668,,,10902.995399999987
23,2021-04-26,close,neutral,,19.85176,-250.79999999999103,10652.195199999996
24,2021-04-26,open,long,19.85176,,,10652.194999999996
25,2021-04-28,close,neutral,,19.90778,560.2000000000019,11212.394799999998
26,2021-04-28,open,short,19.90778,,,11212.394599999998
27,2021-04-29,close,neutral,,20.05068,-1429.000000000009,9783.394399999988
28,2021-04-29,open,long,20.05068,,,9783.394199999988
29,2021-05-03,close,neutral,,20.17418,1234.9999999999995,11018.393999999987
30,2021-05-03,open,short,20.17418,,,11018.393799999987
31,2021-05-04,close,neutral,,20.22074,-465.5999999999949,10552.793599999992
32,2021-05-04,open,long,20.22074,,,10552.793399999991
33,2021-05-06,close,neutral,,20.08846,-1322.7999999999795,9229.993200000012
34,2021-05-06,open,short,20.08846,,,9229.993000000011
35,2021-05-10,close,neutral,,19.93271,1557.5000000000116,10787.492800000024
36,2021-05-10,open,long,19.93271,,,10787.492600000023
37,2021-05-13,close,neutral,,19.95438,216.700000000003,11004.192400000025
38,2021-05-13,open,short,19.95438,,,11004.192200000025
39,2021-05-18,close,neutral,,19.83498,1193.9999999999884,12198.192000000014
40,2021-05-18,open,long,19.83498,,,12198.191800000013
41,2021-05-20,close,neutral,,19.86202,270.3999999999951,12468.591600000009
42,2021-05-20,open,short,19.86202,,,12468.591400000008
43,2021-05-21,close,neutral,,19.95748,-954.5999999999922,11513.991200000017
44,2021-05-21,open,long,19.95748,,,11513.991000000016
45,2021-05-24,close,neutral,,19.85338,-1040.9999999999898,10472.990800000027
46,2021-05-24,open,short,19.85338,,,10472.990600000026
47,2021-05-25,close,neutral,,19.92158,-681.9999999999737,9790.990400000053
48,2021-05-25,open,long,19.92158,,,9790.990200000053
49,2021-05-26,close,neutral,,19.87118,-503.9999999999978,9286.990000000054
50,2021-05-26,open,short,19.87118,,,9286.989800000054
51,2021-05-27,close,neutral,,19.94928,-781.0000000000273,8505.989600000026
52,2021-05-27,open,long,19.94928,,,8505.989400000026
53,2021-06-02,close,neutral,,19.89948,-498.00000000001177,8007.9892000000145
