time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.9039592,1
2019-08-22,1,0.9989532,1
2019-08-23,-1,0.0034296887,-1
2019-08-26,1,0.7047634,1
2019-08-27,1,0.89792764,1
2019-08-28,-1,0.013177144,-1
2019-08-29,1,0.818152,1
2019-08-30,-1,0.005688884,-1
2019-09-02,-1,0.0005996624,-1
2019-09-03,-1,0.054348458,-1
2019-09-04,1,0.9999567,1
2019-09-05,1,0.993707,1
2019-09-06,-1,0.017445361,-1
2019-09-09,1,0.9896651,1
2019-09-10,1,0.8460027,1
2019-09-11,1,0.58597344,1
2019-09-12,1,0.9266081,1
2019-09-13,1,0.99883574,1
2019-09-16,-1,0.0052787997,-1
2019-09-17,1,0.975711,1
2019-09-18,1,0.4304004,-1
2019-09-19,1,0.7661516,1
2019-09-20,-1,0.0005936439,-1
2019-09-23,-1,0.008539101,-1
2019-09-24,1,0.065968886,-1
2019-09-25,-1,0.002005823,-1
2019-09-26,-1,0.020800352,-1
2019-09-27,-1,0.017733417,-1
2019-09-30,1,0.76488245,1
2019-10-01,-1,0.037992634,-1
2019-10-02,-1,0.0038427263,-1
2019-10-03,1,0.11538249,-1
2019-10-04,1,0.07585858,-1
2019-10-07,-1,0.041150536,-1
2019-10-08,-1,0.000414748,-1
2019-10-09,1,0.94563967,1
2019-10-10,1,0.9999976,1
2019-10-11,1,0.9997762,1
2019-10-14,-1,0.02468154,-1
2019-10-15,1,0.9999033,1
2019-10-16,1,0.36314723,-1
2019-10-17,1,0.96363497,1
2019-10-18,1,0.9404521,1
2019-10-21,1,0.96933055,1
2019-10-22,-1,0.0076797907,-1
2019-10-23,1,0.97156626,1
2019-10-24,-1,0.0045680366,-1
2019-10-25,-1,0.0807411,-1
2019-10-28,1,0.8891733,1
2019-10-29,-1,0.07929111,-1
2019-10-30,1,0.78046757,1
2019-10-31,-1,0.0027722926,-1
2019-11-01,1,0.61530113,1
2019-11-04,-1,0.13253482,-1
2019-11-05,1,0.9841255,1
2019-11-06,-1,0.036588885,-1
2019-11-07,-1,0.36438432,-1
2019-11-08,-1,0.035582725,-1
2019-11-11,1,0.9726166,1
2019-11-12,-1,0.11962674,-1
2019-11-13,-1,0.0557846,-1
2019-11-14,-1,0.071837686,-1
2019-11-15,1,0.9922695,1
2019-11-18,1,0.9837329,1
2019-11-19,-1,0.054049257,-1
2019-11-20,1,0.9245818,1
2019-11-21,-1,0.29282844,-1
2019-11-22,-1,0.0060072993,-1
2019-11-25,1,0.9990283,1
2019-11-26,-1,0.43191192,-1
2019-11-27,1,0.9968425,1
2019-11-28,1,0.69815856,1
2019-11-29,1,0.86737883,1
2019-12-02,-1,0.015508823,-1
2019-12-03,1,0.6289999,1
2019-12-04,1,0.9978204,1
2019-12-05,1,0.8768755,1
2019-12-06,-1,0.026687171,-1
2019-12-09,1,0.6410636,1
2019-12-10,1,0.9582901,1
2019-12-11,-1,0.19973554,-1
2019-12-12,1,0.9760355,1
2019-12-13,1,0.9986187,1
2019-12-16,1,0.9250609,1
2019-12-17,-1,0.00039355308,-1
2019-12-18,-1,0.6526555,1
2019-12-19,-1,0.0045773177,-1
2019-12-20,1,0.90274376,1
2019-12-23,-1,0.0075395657,-1
2019-12-24,1,0.8672557,1
2019-12-26,1,0.99587965,1
2019-12-27,1,0.99667466,1
2019-12-30,-1,0.24541587,-1
2019-12-31,1,0.9996013,1
2020-01-02,-1,0.0062343245,-1
2020-01-03,-1,0.026449488,-1
2020-01-06,1,0.9996697,1
2020-01-07,-1,0.10978054,-1
2020-01-08,1,0.99183124,1
2020-01-09,1,0.806692,1
2020-01-10,-1,0.37412006,-1
2020-01-13,-1,0.094153434,-1
2020-01-14,1,0.9590713,1
2020-01-15,1,0.8156427,1
2020-01-16,1,0.988706,1
2020-01-17,-1,0.006209361,-1
2020-01-20,1,0.17397237,-1
2020-01-21,-1,0.10909064,-1
2020-01-22,1,0.99434775,1
2020-01-23,-1,0.0068301363,-1
2020-01-24,-1,0.0022282668,-1
2020-01-27,-1,0.004611415,-1
2020-01-28,1,0.08766668,-1
2020-01-29,-1,0.020120345,-1
2020-01-30,1,0.99296886,1
2020-01-31,1,0.985193,1
2020-02-03,-1,0.00041265783,-1
2020-02-04,1,0.9996357,1
2020-02-05,1,0.6413967,1
2020-02-06,-1,0.037723485,-1
2020-02-07,-1,0.022492874,-1
2020-02-10,1,0.9753024,1
2020-02-11,1,0.98912317,1
2020-02-12,1,0.9866794,1
2020-02-13,1,0.98670447,1
2020-02-14,1,0.62474805,1
2020-02-17,-1,0.01961035,-1
2020-02-18,-1,0.07027261,-1
2020-02-19,1,0.9924642,1
2020-02-20,1,0.9484865,1
2020-02-21,1,0.9170139,1
2020-02-24,-1,0.00041789457,-1
2020-02-25,1,0.560299,1
2020-02-26,-1,0.003904955,-1
2020-02-27,-1,0.002033762,-1
2020-02-28,-1,2.4682904e-05,-1
2020-03-02,-1,0.0959821,-1
2020-03-03,-1,0.00071193284,-1
2020-03-04,1,0.9970553,1
2020-03-05,-1,0.003471944,-1
2020-03-06,-1,0.47875148,1
2020-03-09,-1,1.0000552e-05,-1
2020-03-10,1,0.99997807,1
2020-03-11,-1,6.166489e-05,-1
2020-03-12,-1,0.0008171966,-1
2020-03-13,1,0.9998029,1
2020-03-16,-1,3.1751246e-05,-1
2020-03-17,-1,0.99232787,1
2020-03-18,-1,1.5855933e-06,-1
2020-03-19,1,0.999992,1
2020-03-20,1,0.99044526,1
2020-03-23,-1,0.034733772,-1
2020-03-24,1,0.9999912,1
2020-03-25,1,0.99322516,1
2020-03-26,1,0.9983014,1
2020-03-27,1,0.99261993,1
2020-03-30,-1,0.03582519,-1
2020-03-31,-1,0.11740986,-1
2020-04-01,-1,0.004896232,-1
2020-04-02,1,0.98146856,1
2020-04-03,-1,0.0022138762,-1
2020-04-06,1,0.7449132,1
2020-04-07,1,0.8201943,1
2020-04-08,1,0.7831946,1
2020-04-09,1,0.78996795,1
2020-04-10,-1,0.04049019,-1
2020-04-13,-1,0.19978632,-1
2020-04-14,1,0.9724061,1
2020-04-15,-1,0.0022792653,-1
2020-04-16,-1,0.0359629,-1
2020-04-17,1,0.4449797,1
2020-04-20,-1,0.003792178,-1
2020-04-21,-1,0.00048194273,-1
2020-04-22,1,0.93696696,1
2020-04-23,1,0.07607804,-1
2020-04-24,1,0.19964734,-1
2020-04-27,1,0.97461116,1
2020-04-28,-1,0.013236435,-1
2020-04-29,1,0.9411295,1
2020-04-30,1,0.99995124,1
2020-05-01,-1,0.0013922919,-1
2020-05-04,-1,0.03504269,-1
2020-05-05,-1,0.31214586,-1
2020-05-06,-1,0.0009857856,-1
2020-05-07,1,0.99407333,1
2020-05-08,1,0.9975783,1
2020-05-11,1,0.97557133,1
2020-05-12,-1,0.0020017724,-1
2020-05-13,-1,0.7826274,1
2020-05-14,1,0.9681161,1
2020-05-15,-1,0.0011606385,-1
2020-05-18,1,0.9997112,1
2020-05-19,1,0.9982759,1
2020-05-20,-1,0.18740785,-1
2020-05-21,-1,0.8663795,1
2020-05-22,-1,0.02738198,-1
2020-05-25,1,0.9664463,1
2020-05-26,1,0.99848133,1
2020-05-27,-1,0.011806782,-1
2020-05-28,1,0.9627269,1
2020-05-29,1,0.9326723,1
2020-06-01,1,0.9909689,1
2020-06-02,1,0.99812335,1
2020-06-03,1,0.83417,1
2020-06-04,1,0.969518,1
2020-06-05,1,0.99732286,1
2020-06-08,-1,0.015782058,-1
2020-06-09,-1,0.03505362,-1
2020-06-10,-1,0.037677784,-1
2020-06-11,-1,0.00018576821,-1
2020-06-12,1,0.5932975,1
2020-06-15,1,0.91513973,1
2020-06-16,-1,0.016054234,-1
2020-06-17,-1,0.017258583,-1
2020-06-18,-1,0.00065148424,-1
2020-06-19,-1,0.005002413,-1
2020-06-22,1,0.9991467,1
2020-06-23,1,0.69119346,1
2020-06-24,-1,0.09783579,-1
2020-06-25,1,0.9565375,1
2020-06-26,-1,0.010359466,-1
2020-06-29,1,0.85320216,1
2020-06-30,1,0.999877,1
2020-07-01,1,0.9719927,1
2020-07-02,-1,0.9649587,1
2020-07-03,1,0.9847231,1
2020-07-06,-1,0.94229907,1
2020-07-07,1,0.9968495,1
2020-07-08,1,0.9797748,1
2020-07-09,-1,0.5520384,1
2020-07-10,-1,0.24200235,-1
2020-07-13,-1,0.04174954,-1
2020-07-14,-1,0.13732713,-1
2020-07-15,0,0.14378875,-1
2020-07-16,1,0.25405204,-1
2020-07-17,-1,0.023761261,-1
2020-07-20,1,0.99916863,1
2020-07-21,1,0.9199045,1
2020-07-22,1,0.99293023,1
2020-07-23,-1,0.06446751,-1
2020-07-24,-1,0.052144647,-1
2020-07-27,-1,0.13079901,-1
2020-07-28,1,0.7806359,1
2020-07-29,1,0.9697043,1
2020-07-30,1,0.991647,1
2020-07-31,1,0.99717146,1
2020-08-03,-1,0.761255,1
2020-08-04,-1,0.370898,-1
2020-08-05,1,0.9690681,1
2020-08-06,1,0.92896885,1
2020-08-07,-1,0.0312896,-1
2020-08-10,1,0.8247393,1
2020-08-11,1,0.94593453,1
2020-08-12,1,0.90333664,1
2020-08-13,1,0.9689388,1
2020-08-14,-1,0.15221119,-1
2020-08-17,-1,0.006505361,-1
2020-08-18,1,0.95807326,1
2020-08-19,-1,0.004969714,-1
2020-08-20,1,0.9744678,1
2020-08-21,-1,0.00077294064,-1
2020-08-24,-1,0.4339097,-1
2020-08-25,1,0.99853766,1
2020-08-26,1,0.28951505,-1
2020-08-27,1,0.9341663,1
2020-08-28,-1,0.31726465,-1
2020-08-31,1,0.9924729,1
2020-09-01,1,0.9389839,1
2020-09-02,-1,0.9327382,1
2020-09-03,-1,0.0119145615,-1
2020-09-04,1,0.6679628,1
2020-09-07,-1,0.0009625885,-1
2020-09-08,-1,4.6721158e-05,-1
2020-09-09,1,0.97130966,1
2020-09-10,-1,6.876458e-05,-1
2020-09-11,-1,0.13762134,-1
2020-09-14,-1,0.017374557,-1
2020-09-15,1,0.0692099,-1
2020-09-16,1,0.33745995,-1
2020-09-17,-1,0.017216908,-1
2020-09-18,-1,0.0024933917,-1
2020-09-21,-1,0.00093040295,-1
2020-09-22,-1,0.003532316,-1
2020-09-23,1,0.86795866,1
2020-09-24,1,0.78210527,1
2020-09-25,1,0.87489754,1
2020-09-28,1,0.99909115,1
2020-09-29,1,0.99527466,1
2020-09-30,1,0.9914357,1
2020-10-01,-1,0.52468914,1
2020-10-02,1,0.9509773,1
2020-10-05,1,0.9960205,1
2020-10-06,-1,0.00037805072,-1
2020-10-07,1,0.9862953,1
2020-10-08,1,0.23509853,-1
2020-10-09,1,0.9399232,1
2020-10-12,-1,0.029762119,-1
2020-10-13,-1,0.00044418764,-1
2020-10-14,1,0.5208116,1
2020-10-15,-1,0.0017297567,-1
2020-10-16,1,0.15899584,-1
2020-10-19,1,0.9535657,1
2020-10-20,1,0.725696,1
2020-10-21,1,0.9933513,1
2020-10-22,-1,0.09111936,-1
2020-10-23,-1,0.007322134,-1
2020-10-26,-1,0.12789685,-1
2020-10-27,-1,0.040272187,-1
2020-10-28,-1,0.0017749639,-1
2020-10-29,-1,0.020112138,-1
2020-10-30,1,0.77791375,1
2020-11-02,-1,0.017672835,-1
2020-11-03,1,0.99926466,1
2020-11-04,-1,0.0071426095,-1
2020-11-05,1,0.9737584,1
2020-11-06,-1,0.114410914,-1
2020-11-09,1,0.9999771,1
2020-11-10,1,0.9622217,1
2020-11-11,-1,0.10791668,-1
2020-11-12,-1,0.0014231767,-1
2020-11-13,1,0.89032316,1
2020-11-16,-1,0.22057402,-1
2020-11-17,1,0.3605392,-1
2020-11-18,-1,0.043221258,-1
2020-11-19,-1,0.0851384,-1
2020-11-20,1,0.9432678,1
2020-11-23,1,0.9986033,1
2020-11-24,1,0.9395708,1
2020-11-25,1,0.9691919,1
2020-11-26,-1,0.013373815,-1
2020-11-27,-1,0.008570595,-1
2020-11-30,1,0.9655816,1
2020-12-01,1,0.99186045,1
2020-12-02,-1,0.019657893,-1
2020-12-03,1,0.47052056,1
2020-12-04,1,0.85703754,1
2020-12-07,-1,0.0033194702,-1
2020-12-08,-1,0.06779127,-1
2020-12-09,1,0.9699205,1
2020-12-10,-1,0.0013644802,-1
2020-12-11,-1,0.003843404,-1
2020-12-14,1,0.99528235,1
2020-12-15,1,0.9831819,1
2020-12-16,1,0.6584375,1
2020-12-17,1,0.8587384,1
2020-12-18,-1,0.013823945,-1
2020-12-21,-1,0.016986959,-1
2020-12-22,-1,0.008651078,-1
2020-12-23,1,0.99594635,1
2020-12-24,1,0.92205244,1
2020-12-25,-1,0.36144164,-1
2020-12-28,-1,0.0092762485,-1
2020-12-29,1,0.71567136,1
2020-12-30,1,0.97832686,1
2020-12-31,1,0.92726845,1
2021-01-04,-1,0.0005185926,-1
2021-01-05,1,0.08228224,-1
2021-01-06,1,0.34903395,-1
2021-01-07,1,0.89202094,1
2021-01-08,1,0.50442874,1
2021-01-11,-1,0.05385787,-1
2021-01-12,1,0.9854534,1
2021-01-13,-1,0.18351445,-1
2021-01-14,1,0.95994234,1
2021-01-15,-1,0.0021348605,-1
2021-01-18,-1,0.045771815,-1
2021-01-19,1,0.98521113,1
2021-01-20,-1,0.04548696,-1
2021-01-21,1,0.9715486,1
2021-01-22,-1,0.055031817,-1
2021-01-25,-1,0.063374154,-1
2021-01-26,1,0.84855574,1
2021-01-27,1,0.690051,1
2021-01-28,1,0.96888924,1
2021-01-29,1,0.9649859,1
2021-02-01,-1,0.84068966,1
2021-02-02,1,0.9662375,1
2021-02-03,-1,0.2742631,-1
2021-02-04,1,0.99640393,1
2021-02-05,1,0.96065056,1
2021-02-08,-1,0.3243994,-1
2021-02-09,-1,0.49662024,1
2021-02-10,1,0.90311307,1
2021-02-11,-1,0.7281262,1
2021-02-12,1,0.9885622,1
2021-02-15,1,0.99533135,1
2021-02-16,1,0.9851482,1
2021-02-17,-1,0.028928826,-1
2021-02-18,1,0.9876709,1
2021-02-19,-1,0.4371211,-1
2021-02-22,1,0.8597492,1
2021-02-23,1,0.9887321,1
2021-02-24,1,0.9905256,1
2021-02-25,-1,0.011513711,-1
2021-02-26,-1,0.0547723,-1
2021-03-01,1,0.8746782,1
2021-03-02,1,0.8077855,1
