,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,129.22,,,9999.9998
1,2019-08-23,close,neutral,,129.521,30.099999999998772,10030.099599999998
2,2019-08-23,open,short,129.521,,,10030.099399999997
3,2019-08-26,close,neutral,,129.594,-7.30000000000075,10022.799199999996
4,2019-08-26,open,long,129.594,,,10022.798999999995
5,2019-08-28,close,neutral,,129.491,-10.299999999998022,10012.498799999998
6,2019-08-28,open,short,129.491,,,10012.498599999997
7,2019-08-29,close,neutral,,129.751,-25.99999999999909,9986.498399999999
8,2019-08-29,open,long,129.751,,,9986.498199999998
9,2019-08-30,close,neutral,,129.244,-50.7000000000005,9935.797999999997
10,2019-08-30,open,short,129.244,,,9935.797799999997
11,2019-09-04,close,neutral,,130.363,-111.89999999999998,9823.897599999997
12,2019-09-04,open,long,130.363,,,9823.897399999996
13,2019-09-06,close,neutral,,131.353,99.00000000000091,9922.897199999998
14,2019-09-06,open,short,131.353,,,9922.896999999997
15,2019-09-09,close,neutral,,132.34,-98.69999999999948,9824.196799999998
16,2019-09-09,open,long,132.34,,,9824.196599999997
17,2019-09-16,close,neutral,,134.372,203.20000000000107,10027.396399999998
18,2019-09-16,open,short,134.372,,,10027.396199999997
19,2019-09-17,close,neutral,,135.104,-73.19999999999993,9954.195999999998
20,2019-09-17,open,long,135.104,,,9954.195799999998
21,2019-09-18,close,neutral,,135.196,9.199999999998454,9963.395599999996
22,2019-09-18,open,short,135.196,,,9963.395399999996
23,2019-09-19,close,neutral,,135.314,-11.7999999999995,9951.595199999996
24,2019-09-19,open,long,135.314,,,9951.594999999996
25,2019-09-20,close,neutral,,134.099,-121.50000000000034,9830.094799999995
26,2019-09-20,open,short,134.099,,,9830.094599999995
27,2019-09-30,close,neutral,,132.873,122.59999999999991,9952.694399999995
28,2019-09-30,open,long,132.873,,,9952.694199999994
29,2019-10-01,close,neutral,,132.564,-30.89999999999975,9921.793999999994
30,2019-10-01,open,short,132.564,,,9921.793799999994
31,2019-10-09,close,neutral,,131.172,139.1999999999996,10060.993599999994
32,2019-10-09,open,long,131.172,,,10060.993399999994
33,2019-10-14,close,neutral,,136.436,526.400000000001,10587.393199999995
34,2019-10-14,open,short,136.436,,,10587.392999999995
35,2019-10-15,close,neutral,,139.161,-272.49999999999943,10314.892799999996
36,2019-10-15,open,long,139.161,,,10314.892599999996
37,2019-10-16,close,neutral,,139.482,32.099999999999795,10346.992399999996
38,2019-10-16,open,short,139.482,,,10346.992199999995
39,2019-10-17,close,neutral,,140.035,-55.29999999999973,10291.691999999995
40,2019-10-17,open,long,140.035,,,10291.691799999995
41,2019-10-22,close,neutral,,139.653,-38.2000000000005,10253.491599999994
42,2019-10-22,open,short,139.653,,,10253.491399999994
43,2019-10-23,close,neutral,,140.388,-73.50000000000136,10179.991199999991
44,2019-10-23,open,long,140.388,,,10179.99099999999
45,2019-10-24,close,neutral,,139.577,-81.1000000000007,10098.89079999999
46,2019-10-24,open,short,139.577,,,10098.89059999999
47,2019-10-28,close,neutral,,140.12,-54.30000000000064,10044.590399999988
48,2019-10-28,open,long,140.12,,,10044.590199999988
49,2019-10-29,close,neutral,,140.073,-4.699999999999704,10039.889999999989
