,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-26,-1,0.25993145,-1,1.54376,
1,2021-01-27,1,0.9771532,1,1.5508,1.54376
2,2021-01-28,1,0.89768183,1,1.5550000000000002,1.5508
3,2021-01-29,-1,0.05240143,-1,1.55105,1.5550000000000002
4,2021-02-01,-1,0.17345886,-1,1.5501200000000002,1.55105
5,2021-02-02,-1,0.0023574773,-1,1.53956,1.5501200000000002
6,2021-02-03,-1,0.065191634,-1,1.53892,1.53956
7,2021-02-04,-1,0.009362071,-1,1.53409,1.53892
8,2021-02-05,1,0.8021573,1,1.53762,1.53409
9,2021-02-08,-1,0.031532004,-1,1.53465,1.53762
10,2021-02-09,1,0.9494881,1,1.53876,1.53465
11,2021-02-10,1,0.597774,1,1.53884,1.53876
12,2021-02-11,1,0.95609826,1,1.5412,1.53884
13,2021-02-12,-1,0.18906161,-1,1.53805,1.5412
14,2021-02-15,-1,0.031198652,-1,1.53282,1.53805
15,2021-02-16,1,0.96933156,1,1.53621,1.53282
16,2021-02-17,-1,0.020099143,-1,1.52932,1.53621
17,2021-02-18,1,0.9803105,1,1.53291,1.52932
18,2021-02-19,-1,0.1033046,-1,1.5287,1.53291
19,2021-02-22,1,0.98750335,1,1.53371,1.5287
20,2021-02-23,-1,0.08029876,-1,1.52937,1.53371
21,2021-02-24,-1,0.023300532,-1,1.52283,1.52937
22,2021-02-25,1,0.99811965,1,1.53527,1.52283
23,2021-02-26,1,0.80950797,1,1.53709,1.53527
24,2021-03-01,-1,0.0029563324,-1,1.5231,1.53709
25,2021-03-02,1,0.9712551,1,1.52791,1.5231
26,2021-03-03,-1,0.24588983,-1,1.52651,1.52791
27,2021-03-04,-1,0.008548306,-1,1.51667,1.52651
28,2021-03-05,-1,0.014265303,-1,1.50693,1.51667
29,2021-03-08,-1,0.030405814,-1,1.50028,1.50693
30,2021-03-09,1,0.9563052,1,1.50422,1.50028
31,2021-03-10,1,0.49385655,1,1.50523,1.50422
32,2021-03-11,-1,0.07663657,-1,1.50254,1.50523
33,2021-03-12,-1,0.0056537823,-1,1.49164,1.50254
34,2021-03-15,-1,0.06706069,-1,1.48792,1.49164
35,2021-03-16,-1,0.01171966,-1,1.48129,1.48792
36,2021-03-17,1,0.9555117,1,1.48585,1.48129
37,2021-03-18,1,0.7700454,1,1.48818,1.48585
38,2021-03-19,1,0.5996765,1,1.48874,1.48818
39,2021-03-22,1,0.9881395,1,1.49457,1.48874
40,2021-03-23,-1,0.15755336,-1,1.49134,1.49457
41,2021-03-24,-1,0.047516335,-1,1.48619,1.49134
42,2021-03-25,-1,0.113442816,-1,1.48368,1.48619
43,2021-03-26,-1,0.12518972,-1,1.48241,1.48368
44,2021-03-29,-1,0.124260634,-1,1.48156,1.48241
45,2021-03-30,-1,0.046434958,-1,1.47948,1.48156
46,2021-03-31,-1,0.009471602,-1,1.47323,1.47948
47,2021-04-01,1,0.97724754,1,1.47806,1.47323
48,2021-04-02,1,0.5362731,1,1.47867,1.47806
49,2021-04-05,1,0.6142582,1,1.47918,1.47867
50,2021-04-06,1,0.99911875,1,1.49233,1.47918
51,2021-04-07,1,0.97679156,1,1.49652,1.49233
52,2021-04-08,1,0.9265981,1,1.49682,1.49652
53,2021-04-09,-1,0.05329272,-1,1.49146,1.49682
54,2021-04-12,1,0.96771127,1,1.49658,1.49146
55,2021-04-13,1,0.73416615,1,1.49773,1.49658
56,2021-04-14,1,0.90865266,1,1.49998,1.49773
57,2021-04-15,1,0.87241167,1,1.50137,1.49998
58,2021-04-16,-1,0.06556193,-1,1.49838,1.50137
59,2021-04-19,1,0.9895377,1,1.50814,1.49838
60,2021-04-20,1,0.98528636,1,1.51827,1.50814
61,2021-04-21,-1,0.000999404,-1,1.50379,1.51827
62,2021-04-22,-1,0.17596798,-1,1.50222,1.50379
63,2021-04-23,1,0.9494123,1,1.5094,1.50222
64,2021-04-26,-1,0.0025506394,-1,1.49834,1.5094
65,2021-04-27,1,0.7709492,1,1.49946,1.49834
66,2021-04-28,-1,0.01613132,-1,1.49302,1.49946
67,2021-04-29,-1,0.04872578,-1,1.48832,1.49302
68,2021-04-30,-1,0.0077879755,-1,1.4779,1.48832
69,2021-05-03,1,0.9655664,1,1.48111,1.4779
70,2021-05-04,-1,0.06392144,-1,1.47822,1.48111
71,2021-05-05,-1,0.022889739,-1,1.47224,1.47822
72,2021-05-06,-1,0.018154321,-1,1.46555,1.47224
73,2021-05-07,1,0.9966537,1,1.47506,1.46555
74,2021-05-10,-1,0.017281953,-1,1.46792,1.47506
75,2021-05-11,1,0.9666895,1,1.46998,1.46792
76,2021-05-12,-1,0.0423702,-1,1.46467,1.46998
77,2021-05-13,1,0.9819608,1,1.46889,1.46467
78,2021-05-14,1,0.8245245,1,1.47021,1.46889
79,2021-05-17,-1,0.066566624,-1,1.46646,1.47021
80,2021-05-18,1,0.99384105,1,1.47425,1.46646
81,2021-05-19,1,0.95107013,1,1.47732,1.47425
82,2021-05-20,-1,0.11555598,-1,1.47419,1.47732
83,2021-05-21,-1,0.02979734,-1,1.46957,1.47419
84,2021-05-24,1,0.5408186,1,1.4715,1.46957
85,2021-05-25,1,0.95857626,1,1.47763,1.4715
86,2021-05-26,1,0.3865162,1,1.47849,1.47763
87,2021-05-27,-1,0.0067074075,-1,1.47139,1.47849
88,2021-05-28,1,0.1609578,-1,1.47226,1.47139
89,2021-05-31,1,0.5247679,1,1.47503,1.47226
90,2021-06-01,-1,0.09938424,-1,1.47443,1.47503
91,2021-06-02,-1,0.010705184,-1,1.46936,1.47443
92,2021-06-03,-1,0.055233326,-1,1.46845,1.46936
93,2021-06-04,1,0.1776512,-1,1.46881,1.46845
94,2021-06-07,1,0.9766391,1,1.47287,1.46881
95,2021-06-08,1,0.9623484,1,1.47473,1.47287
96,2021-06-09,1,0.93616325,1,1.47523,1.47473
97,2021-06-10,-1,0.19396298,-1,1.47289,1.47523
98,2021-06-11,-1,0.5927586,1,1.47283,1.47289
99,2021-06-14,-1,0.2506731,-1,1.47204,1.47283
100,2021-06-15,1,0.99142104,1,1.47743,1.47204
101,2021-06-16,-1,0.035147354,-1,1.47356,1.47743
102,2021-06-17,-1,0.03806583,-1,1.47115,1.47356
103,2021-06-18,1,0.987894,1,1.47883,1.47115
104,2021-06-21,-1,0.013676884,-1,1.47345,1.47883
105,2021-06-22,-1,0.026052214,-1,1.46939,1.47345
106,2021-06-23,-1,0.08596373,-1,1.46777,1.46939
107,2021-06-24,1,0.9218593,1,1.47029,1.46777
108,2021-06-25,-1,0.16257866,-1,1.4681,1.47029
109,2021-06-28,1,0.97992295,1,1.47155,1.4681
110,2021-06-29,1,0.9867439,1,1.47555,1.47155
111,2021-06-30,-1,0.033205815,-1,1.47009,1.47555
112,2021-07-01,1,0.9749092,1,1.47374,1.47009
113,2021-07-02,-1,0.0029017515,-1,1.46265,1.47374
