time,Actual Movement,Predictions,Predicted
2021-01-26,-1,0.25993145,-1
2021-01-27,1,0.9771532,1
2021-01-28,1,0.89768183,1
2021-01-29,-1,0.05240143,-1
2021-02-01,-1,0.17345886,-1
2021-02-02,-1,0.0023574773,-1
2021-02-03,-1,0.065191634,-1
2021-02-04,-1,0.009362071,-1
2021-02-05,1,0.8021573,1
2021-02-08,-1,0.031532004,-1
2021-02-09,1,0.9494881,1
2021-02-10,1,0.597774,1
2021-02-11,1,0.95609826,1
2021-02-12,-1,0.18906161,-1
2021-02-15,-1,0.031198652,-1
2021-02-16,1,0.96933156,1
2021-02-17,-1,0.020099143,-1
2021-02-18,1,0.9803105,1
2021-02-19,-1,0.1033046,-1
2021-02-22,1,0.98750335,1
2021-02-23,-1,0.08029876,-1
2021-02-24,-1,0.023300532,-1
2021-02-25,1,0.99811965,1
2021-02-26,1,0.80950797,1
2021-03-01,-1,0.0029563324,-1
2021-03-02,1,0.9712551,1
2021-03-03,-1,0.24588983,-1
2021-03-04,-1,0.008548306,-1
2021-03-05,-1,0.014265303,-1
2021-03-08,-1,0.030405814,-1
2021-03-09,1,0.9563052,1
2021-03-10,1,0.49385655,1
2021-03-11,-1,0.07663657,-1
2021-03-12,-1,0.0056537823,-1
2021-03-15,-1,0.06706069,-1
2021-03-16,-1,0.01171966,-1
2021-03-17,1,0.9555117,1
2021-03-18,1,0.7700454,1
2021-03-19,1,0.5996765,1
2021-03-22,1,0.9881395,1
2021-03-23,-1,0.15755336,-1
2021-03-24,-1,0.047516335,-1
2021-03-25,-1,0.113442816,-1
2021-03-26,-1,0.12518972,-1
2021-03-29,-1,0.124260634,-1
2021-03-30,-1,0.046434958,-1
2021-03-31,-1,0.009471602,-1
2021-04-01,1,0.97724754,1
2021-04-02,1,0.5362731,1
2021-04-05,1,0.6142582,1
2021-04-06,1,0.99911875,1
2021-04-07,1,0.97679156,1
2021-04-08,1,0.9265981,1
2021-04-09,-1,0.05329272,-1
2021-04-12,1,0.96771127,1
2021-04-13,1,0.73416615,1
2021-04-14,1,0.90865266,1
2021-04-15,1,0.87241167,1
2021-04-16,-1,0.06556193,-1
2021-04-19,1,0.9895377,1
2021-04-20,1,0.98528636,1
2021-04-21,-1,0.000999404,-1
2021-04-22,-1,0.17596798,-1
2021-04-23,1,0.9494123,1
2021-04-26,-1,0.0025506394,-1
2021-04-27,1,0.7709492,1
2021-04-28,-1,0.01613132,-1
