,time,action,position,entry_price,close_price,profit,balance
0,2022-08-05,open,long,386.247,,,9999.9998
1,2022-08-10,close,neutral,,383.397,-28500.000000000226,-18500.000400000223
2,2022-08-10,open,short,383.397,,,-18500.00060000022
3,2022-08-11,close,neutral,,382.489,9080.000000000155,-9420.000800000067
4,2022-08-11,open,long,382.489,,,-9420.001000000068
5,2022-08-24,close,neutral,,410.167,276780.0,267359.99879999994
6,2022-08-24,open,short,410.167,,,267359.99859999993
7,2022-08-25,close,neutral,,412.457,-22900.000000000204,244459.99839999972
8,2022-08-25,open,long,412.457,,,244459.9981999997
9,2022-08-29,close,neutral,,408.197,-42599.99999999991,201859.9979999998
10,2022-08-29,open,short,408.197,,,201859.99779999978
11,2022-09-01,close,neutral,,403.787,44100.00000000025,245959.99760000003
12,2022-09-01,open,long,403.787,,,245959.99740000002
13,2022-09-02,close,neutral,,403.647,-1399.9999999998636,244559.99720000016
14,2022-09-02,open,short,403.647,,,244559.99700000015
15,2022-09-05,close,neutral,,406.997,-33500.000000000226,211059.9967999999
16,2022-09-05,open,long,406.997,,,211059.9965999999
17,2022-09-07,close,neutral,,396.207,-107900.0000000002,103159.9963999997
18,2022-09-07,open,short,396.207,,,103159.9961999997
19,2022-09-08,close,neutral,,396.737,-5300.000000000296,97859.9959999994
20,2022-09-08,open,long,396.737,,,97859.99579999941
21,2022-09-09,close,neutral,,394.787,-19500.000000000455,78359.99559999895
22,2022-09-09,open,short,394.787,,,78359.99539999895
23,2022-09-13,close,neutral,,400.467,-56800.000000000065,21559.995199998884
24,2022-09-13,open,long,400.467,,,21559.994999998886
25,2022-09-16,close,neutral,,403.787,33199.999999999935,54759.99479999882
26,2022-09-16,open,short,403.787,,,54759.99459999882
27,2022-09-20,close,neutral,,402.287,15000.0,69759.99439999882
28,2022-09-20,open,long,402.287,,,69759.99419999882
29,2022-09-22,close,neutral,,412.027,97400.00000000009,167159.9939999989
30,2022-09-22,open,short,412.027,,,167159.9937999989
31,2022-09-23,close,neutral,,418.977,-69499.99999999988,97659.99359999901
32,2022-09-23,open,long,418.977,,,97659.99339999902
33,2022-09-27,close,neutral,,424.487,55100.00000000048,152759.9931999995
34,2022-09-27,open,short,424.487,,,152759.9929999995
35,2022-09-29,close,neutral,,429.387,-48999.999999999774,103759.99279999972
36,2022-09-29,open,long,429.387,,,103759.99259999972
37,2022-10-03,close,neutral,,425.657,-37300.00000000018,66459.99239999954
38,2022-10-03,open,short,425.657,,,66459.99219999954
39,2022-10-05,close,neutral,,425.367,2899.999999999636,69359.99199999918
