,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2022-10-18,-1,0.07116023,-1,909.19,
1,2022-10-19,-1,0.009091943,-1,886.53,909.19
2,2022-10-20,1,0.9853635,1,915.01,886.53
3,2022-10-21,1,0.8913758,1,931.58,915.01
4,2022-10-24,-1,0.1358219,-1,927.76,931.58
5,2022-10-25,-1,0.07880625,-1,918.41,927.76
6,2022-10-26,1,0.9898391,1,954.55,918.41
7,2022-10-27,1,0.41480118,-1,959.77,954.55
8,2022-10-28,-1,0.033973936,-1,944.78,959.77
9,2022-10-31,-1,0.034182206,-1,929.62,944.78
10,2022-11-01,1,0.9241988,1,946.24,929.62
11,2022-11-02,-1,0.027992273,-1,936.12,946.24
12,2022-11-03,-1,0.0255704,-1,921.26,936.12
13,2022-11-04,1,0.98976165,1,959.83,921.26
14,2022-11-07,1,0.90056884,1,983.51,959.83
15,2022-11-08,1,0.8460026,1,999.83,983.51
16,2022-11-09,-1,0.04281466,-1,988.22,999.83
17,2022-11-10,1,0.991928,1,1033.6,988.22
18,2022-11-11,-1,0.0668744,-1,1029.33,1033.6
19,2022-11-14,-1,0.2846746,-1,1019.45,1029.33
20,2022-11-15,-1,0.6101808,1,1016.22,1019.45
21,2022-11-16,-1,0.16183136,-1,1007.62,1016.22
22,2022-11-17,-1,0.012265296,-1,983.36,1007.62
23,2022-11-18,-1,0.17773293,-1,979.26,983.36
24,2022-11-21,1,0.5419086,1,983.34,979.26
25,2022-11-22,1,0.885028,1,992.96,983.34
26,2022-11-23,1,0.87178546,1,998.26,992.96
27,2022-11-24,-1,0.21739353,-1,989.66,998.26
28,2022-11-25,-1,0.7281341,1,986.84,989.66
29,2022-11-28,1,0.9318892,1,990.24,986.84
30,2022-11-29,1,0.9905026,1,1004.59,990.24
31,2022-11-30,1,0.9975025,1,1034.82,1004.59
32,2022-12-01,1,0.9729831,1,1043.52,1034.82
33,2022-12-02,-1,0.01756192,-1,1014.7,1043.52
34,2022-12-05,-1,0.10973887,-1,1000.94,1014.7
35,2022-12-06,-1,0.10356244,-1,990.68,1000.94
36,2022-12-07,1,0.95826185,1,1004.84,990.68
37,2022-12-08,1,0.7737011,1,1006.38,1004.84
38,2022-12-09,1,0.98286897,1,1025.58,1006.38
39,2022-12-12,-1,0.025729354,-1,1002.84,1025.58
40,2022-12-13,1,0.99177,1,1035.14,1002.84
41,2022-12-14,-1,0.26774922,-1,1030.87,1035.14
42,2022-12-15,-1,0.030931665,-1,1008.51,1030.87
43,2022-12-16,-1,0.07499984,-1,991.88,1008.51
44,2022-12-19,-1,0.30102235,-1,982.04,991.88
45,2022-12-20,1,0.99241453,1,1009.82,982.04
46,2022-12-21,-1,0.277442,-1,999.21,1009.82
47,2022-12-22,-1,0.1628568,-1,979.39,999.21
48,2022-12-23,1,0.9972752,1,1021.6,979.39
49,2022-12-27,1,0.45814684,-1,1022.33,1021.6
50,2022-12-28,-1,0.12404374,-1,1009.51,1022.33
51,2022-12-29,1,0.9940585,1,1056.97,1009.51
52,2022-12-30,1,0.6143999,1,1071.6,1056.97
