time,Actual Movement,Predictions,Predicted
2022-10-18,-1,0.07116023,-1
2022-10-19,-1,0.009091943,-1
2022-10-20,1,0.9853635,1
2022-10-21,1,0.8913758,1
2022-10-24,-1,0.1358219,-1
2022-10-25,-1,0.07880625,-1
2022-10-26,1,0.9898391,1
2022-10-27,1,0.41480118,-1
2022-10-28,-1,0.033973936,-1
2022-10-31,-1,0.034182206,-1
2022-11-01,1,0.9241988,1
2022-11-02,-1,0.027992273,-1
2022-11-03,-1,0.0255704,-1
2022-11-04,1,0.98976165,1
2022-11-07,1,0.90056884,1
2022-11-08,1,0.8460026,1
2022-11-09,-1,0.04281466,-1
2022-11-10,1,0.991928,1
2022-11-11,-1,0.0668744,-1
2022-11-14,-1,0.2846746,-1
2022-11-15,-1,0.6101808,1
2022-11-16,-1,0.16183136,-1
2022-11-17,-1,0.012265296,-1
2022-11-18,-1,0.17773293,-1
2022-11-21,1,0.5419086,1
2022-11-22,1,0.885028,1
2022-11-23,1,0.87178546,1
2022-11-24,-1,0.21739353,-1
2022-11-25,-1,0.7281341,1
2022-11-28,1,0.9318892,1
2022-11-29,1,0.9905026,1
2022-11-30,1,0.9975025,1
2022-12-01,1,0.9729831,1
2022-12-02,-1,0.01756192,-1
2022-12-05,-1,0.10973887,-1
2022-12-06,-1,0.10356244,-1
2022-12-07,1,0.95826185,1
2022-12-08,1,0.7737011,1
2022-12-09,1,0.98286897,1
2022-12-12,-1,0.025729354,-1
2022-12-13,1,0.99177,1
2022-12-14,-1,0.26774922,-1
2022-12-15,-1,0.030931665,-1
2022-12-16,-1,0.07499984,-1
2022-12-19,-1,0.30102235,-1
2022-12-20,1,0.99241453,1
2022-12-21,-1,0.277442,-1
2022-12-22,-1,0.1628568,-1
2022-12-23,1,0.9972752,1
2022-12-27,1,0.45814684,-1
2022-12-28,-1,0.12404374,-1
2022-12-29,1,0.9940585,1
2022-12-30,1,0.6143999,1
2023-01-03,1,0.84711164,1
2023-01-04,-1,0.18101203,-1
2023-01-05,-1,0.033077218,-1
2023-01-06,1,0.9740404,1
2023-01-09,-1,0.02700905,-1
2023-01-10,1,0.5357447,1
2023-01-11,-1,0.049692422,-1
2023-01-12,-1,0.16593987,-1
2023-01-13,-1,0.085842066,-1
2023-01-16,-1,0.09880186,-1
2023-01-17,-1,0.006796276,-1
2023-01-18,-1,0.089479536,-1
2023-01-19,-1,0.037171412,-1
2023-01-20,1,0.860943,1
2023-01-23,1,0.8760919,1
2023-01-24,1,0.95968354,1
2023-01-25,-1,0.05500291,-1
2023-01-26,-1,0.027203806,-1
2023-01-27,-1,0.1891546,-1
2023-01-30,-1,0.20825385,-1
2023-01-31,1,0.33591178,-1
2023-02-01,-1,0.042016197,-1
2023-02-02,1,0.9762412,1
2023-02-03,-1,0.002361062,-1
2023-02-06,-1,0.74755144,1
2023-02-07,1,0.582219,1
2023-02-08,-1,0.16580342,-1
2023-02-09,-1,0.03391109,-1
2023-02-10,-1,0.06382521,-1
2023-02-13,1,0.91911066,1
2023-02-14,-1,0.017217925,-1
2023-02-15,-1,0.071771756,-1
2023-02-16,1,0.8202188,1
2023-02-17,-1,0.13752536,-1
2023-02-20,1,0.9172165,1
2023-02-21,1,0.98061484,1
2023-02-22,1,0.95824194,1
2023-02-23,-1,0.89681065,1
2023-02-24,-1,0.0066618086,-1
2023-02-27,1,0.993509,1
2023-02-28,1,0.93326586,1
2023-03-01,1,0.81446534,1
2023-03-02,1,0.8336855,1
2023-03-03,1,0.9193568,1
2023-03-06,-1,0.19022842,-1
2023-03-07,-1,0.0014892138,-1
2023-03-08,1,0.7050825,1
2023-03-09,1,0.707174,1
2023-03-10,1,0.9291887,1
2023-03-13,1,0.9897995,1
2023-03-14,-1,0.022008738,-1
2023-03-15,-1,0.020195864,-1
2023-03-16,1,0.9187579,1
2023-03-17,1,0.38609433,-1
2023-03-20,1,0.931128,1
2023-03-21,-1,0.03262247,-1
2023-03-22,1,0.8821958,1
2023-03-23,1,0.64195263,1
2023-03-24,-1,0.101665154,-1
2023-03-27,-1,0.11126143,-1
2023-03-28,-1,0.028059121,-1
2023-03-29,1,0.71057105,1
2023-03-30,1,0.96894306,1
2023-03-31,1,0.7669102,1
2023-04-03,1,0.78562087,1
2023-04-04,1,0.98900807,1
2023-04-05,-1,0.019799387,-1
2023-04-06,1,0.93264747,1
2023-04-10,-1,0.07332311,-1
2023-04-11,1,0.64952,1
2023-04-12,1,0.9709029,1
2023-04-13,1,0.9869446,1
2023-04-14,-1,0.26875493,-1
2023-04-17,1,0.91506416,1
2023-04-18,1,0.9867669,1
2023-04-19,1,0.9085759,1
2023-04-20,1,0.9512836,1
2023-04-21,1,0.9910382,1
2023-04-24,-1,0.0041732932,-1
2023-04-25,1,0.8441043,1
2023-04-26,1,0.62590146,1
2023-04-27,-1,0.16286054,-1
2023-04-28,-1,0.15083368,-1
2023-05-01,-1,0.011723765,-1
2023-05-02,1,0.89204556,1
2023-05-03,-1,0.06475638,-1
2023-05-04,-1,0.24074733,-1
2023-05-05,1,0.9788947,1
2023-05-08,1,0.9824729,1
2023-05-09,1,0.9969125,1
2023-05-10,1,0.96596307,1
2023-05-11,-1,0.06667442,-1
2023-05-12,-1,0.008398637,-1
2023-05-15,1,0.9413448,1
2023-05-16,-1,0.4333321,-1
2023-05-17,1,0.9474374,1
2023-05-18,-1,0.20042272,-1
2023-05-19,1,0.93985033,1
2023-05-22,1,0.8935705,1
2023-05-23,-1,0.15698577,-1
2023-05-24,-1,0.023802178,-1
2023-05-25,-1,0.4964214,-1
2023-05-26,1,0.5426982,1
2023-05-29,1,0.83223677,1
2023-05-30,-1,0.39123714,-1
2023-05-31,-1,0.015773239,-1
2023-06-01,1,0.9616553,1
2023-06-02,-1,0.32426304,-1
2023-06-05,1,0.99381495,1
2023-06-06,1,0.93742746,1
2023-06-07,-1,0.1776161,-1
2023-06-08,-1,0.45799884,-1
2023-06-09,-1,0.61656016,1
2023-06-12,-1,0.039412856,-1
2023-06-13,-1,0.07515832,-1
2023-06-14,1,0.52064806,-1
2023-06-15,1,0.9438816,1
2023-06-16,-1,0.17491889,-1
2023-06-19,-1,0.15541172,-1
2023-06-20,-1,0.037619986,-1
2023-06-21,-1,0.022084657,-1
2023-06-22,-1,0.019238481,-1
2023-06-23,-1,0.108487025,-1
2023-06-26,1,0.78925663,1
2023-06-27,-1,0.14972824,-1
2023-06-28,-1,0.043206777,-1
2023-06-29,-1,0.024054728,-1
2023-06-30,1,0.76239026,1
2023-07-03,1,0.9079168,1
2023-07-04,1,0.7984186,1
2023-07-05,1,0.83966106,1
2023-07-06,-1,0.04708542,-1
2023-07-07,1,0.9310891,1
2023-07-10,1,0.986344,1
2023-07-11,-1,0.7261615,1
2023-07-12,1,0.9912212,1
2023-07-13,1,0.9702148,1
2023-07-14,1,0.79554355,1
2023-07-17,1,0.9300468,1
2023-07-18,1,0.94799125,1
2023-07-19,-1,0.13199812,-1
2023-07-20,-1,0.025767663,-1
2023-07-21,1,0.6665055,1
2023-07-24,-1,0.07890823,-1
2023-07-25,1,0.9181179,1
2023-07-26,-1,0.27639395,-1
2023-07-27,-1,0.0023161133,-1
2023-07-28,1,0.3772813,-1
2023-07-31,1,0.9648961,1
2023-08-01,-1,0.026449814,-1
2023-08-02,-1,0.35666898,-1
2023-08-03,-1,0.35176507,-1
2023-08-04,1,0.95519125,1
2023-08-07,-1,0.7026627,1
2023-08-08,-1,0.028849864,-1
2023-08-09,-1,0.10119325,-1
2023-08-10,1,0.9868983,1
2023-08-11,1,0.8798943,1
2023-08-14,-1,0.2550226,-1
