,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2022-08-05,1,0.9621402,1,24.0677,
1,2022-08-08,-1,0.08532396,-1,24.03,24.0677
2,2022-08-09,-1,0.15040128,-1,23.9805,24.03
3,2022-08-10,-1,0.000768121,-1,23.6241,23.9805
4,2022-08-11,-1,0.31434992,-1,23.5687,23.6241
5,2022-08-12,1,0.9845241,1,23.7512,23.5687
6,2022-08-15,1,0.99808383,1,24.0733,23.7512
7,2022-08-16,1,0.5545044,1,24.127,24.0733
8,2022-08-17,-1,0.34263438,-1,24.097,24.127
9,2022-08-18,1,0.9983224,1,24.4037,24.097
10,2022-08-19,1,0.8859022,1,24.5418,24.4037
11,2022-08-22,1,0.99310803,1,24.8067,24.5418
12,2022-08-23,-1,0.03007346,-1,24.7326,24.8067
13,2022-08-24,-1,0.8191796,1,24.7274,24.7326
14,2022-08-25,-1,0.77232814,1,24.7246,24.7274
15,2022-08-26,-1,0.3971014,1,24.6908,24.7246
16,2022-08-29,-1,0.03770384,-1,24.5878,24.6908
17,2022-08-30,-1,0.031156003,-1,24.4939,24.5878
18,2022-08-31,-1,0.010373888,-1,24.3722,24.4939
19,2022-09-01,1,0.9926198,1,24.6195,24.3722
20,2022-09-02,1,0.08884148,-1,24.6295,24.6195
21,2022-09-05,1,0.97433907,1,24.7588,24.6295
22,2022-09-06,1,0.94743025,1,24.8677,24.7588
23,2022-09-07,-1,0.0014139438,-1,24.5951,24.8677
24,2022-09-08,-1,0.14220922,-1,24.5071,24.5951
25,2022-09-09,-1,0.05869349,-1,24.4326,24.5071
26,2022-09-12,-1,0.006760674,-1,24.2202,24.4326
27,2022-09-13,1,0.9997452,1,24.611,24.2202
28,2022-09-14,-1,0.01614307,-1,24.5346,24.611
29,2022-09-15,-1,0.5315637,1,24.504,24.5346
30,2022-09-16,-1,0.3122112,-1,24.4795,24.504
31,2022-09-19,-1,0.20792446,-1,24.4508,24.4795
32,2022-09-20,1,0.99749196,1,24.703,24.4508
33,2022-09-21,1,0.9982535,1,25.0519,24.703
34,2022-09-22,1,0.38097715,1,25.0816,25.0519
35,2022-09-23,1,0.99849,1,25.3991,25.0816
36,2022-09-26,1,0.9793991,1,25.6372,25.3991
37,2022-09-27,1,0.93257177,1,25.7317,25.6372
38,2022-09-28,-1,0.00028321941,-1,25.2994,25.7317
39,2022-09-29,-1,0.0148385195,-1,25.0142,25.2994
40,2022-09-30,1,0.9247802,1,25.0883,25.0142
41,2022-10-03,-1,0.01730175,-1,24.9823,25.0883
42,2022-10-04,-1,0.00054485345,-1,24.5586,24.9823
43,2022-10-05,1,0.9953217,1,24.7506,24.5586
44,2022-10-06,1,0.986914,1,25.0224,24.7506
45,2022-10-07,1,0.7352566,1,25.116,25.0224
46,2022-10-10,1,0.97509867,1,25.2588,25.116
47,2022-10-11,1,0.7182492,1,25.2986,25.2588
48,2022-10-12,1,0.824618,1,25.3054,25.2986
49,2022-10-13,-1,0.025795843,-1,25.1381,25.3054
50,2022-10-14,1,0.9843556,1,25.2843,25.1381
51,2022-10-17,-1,0.00076975644,-1,24.9536,25.2843
52,2022-10-18,-1,0.5242153,1,24.9046,24.9536
53,2022-10-19,1,0.9836137,1,25.1,24.9046
54,2022-10-20,-1,0.022069132,-1,25.0146,25.1
55,2022-10-21,-1,0.009593188,-1,24.8083,25.0146
56,2022-10-24,-1,0.20015918,-1,24.7808,24.8083
57,2022-10-25,-1,0.0053284965,-1,24.5758,24.7808
58,2022-10-26,-1,0.0056707226,-1,24.3066,24.5758
59,2022-10-27,1,0.9968041,1,24.5536,24.3066
60,2022-10-28,1,0.1912707,-1,24.6004,24.5536
61,2022-10-31,1,0.97891164,1,24.7652,24.6004
62,2022-11-01,-1,0.26785395,-1,24.7626,24.7652
63,2022-11-02,1,0.99374217,1,24.9847,24.7626
64,2022-11-03,1,0.8620949,1,25.0787,24.9847
65,2022-11-04,-1,2.3486764e-05,-1,24.4836,25.0787
66,2022-11-07,-1,0.0313672,-1,24.2041,24.4836
67,2022-11-08,-1,0.13937114,-1,24.1381,24.2041
68,2022-11-09,1,0.9479437,1,24.2747,24.1381
69,2022-11-10,-1,0.00012166167,-1,23.8035,24.2747
70,2022-11-11,-1,0.012699999,-1,23.4411,23.8035
71,2022-11-14,1,0.96929115,1,23.5263,23.4411
72,2022-11-15,-1,0.0379636,-1,23.5233,23.5263
73,2022-11-16,-1,0.024544692,-1,23.4432,23.5233
74,2022-11-17,1,0.79072434,1,23.5283,23.4432
75,2022-11-18,1,0.42881334,1,23.5834,23.5283
76,2022-11-21,1,0.981767,1,23.7446,23.5834
