time,Actual Movement,Predictions,Predicted
2022-08-05,1,0.9621402,1
2022-08-08,-1,0.08532396,-1
2022-08-09,-1,0.15040128,-1
2022-08-10,-1,0.000768121,-1
2022-08-11,-1,0.31434992,-1
2022-08-12,1,0.9845241,1
2022-08-15,1,0.99808383,1
2022-08-16,1,0.5545044,1
2022-08-17,-1,0.34263438,-1
2022-08-18,1,0.9983224,1
2022-08-19,1,0.8859022,1
2022-08-22,1,0.99310803,1
2022-08-23,-1,0.03007346,-1
2022-08-24,-1,0.8191796,1
2022-08-25,-1,0.77232814,1
2022-08-26,-1,0.3971014,1
2022-08-29,-1,0.03770384,-1
2022-08-30,-1,0.031156003,-1
2022-08-31,-1,0.010373888,-1
2022-09-01,1,0.9926198,1
2022-09-02,1,0.08884148,-1
2022-09-05,1,0.97433907,1
2022-09-06,1,0.94743025,1
2022-09-07,-1,0.0014139438,-1
2022-09-08,-1,0.14220922,-1
2022-09-09,-1,0.05869349,-1
2022-09-12,-1,0.006760674,-1
2022-09-13,1,0.9997452,1
2022-09-14,-1,0.01614307,-1
2022-09-15,-1,0.5315637,1
2022-09-16,-1,0.3122112,-1
2022-09-19,-1,0.20792446,-1
2022-09-20,1,0.99749196,1
2022-09-21,1,0.9982535,1
2022-09-22,1,0.38097715,1
2022-09-23,1,0.99849,1
2022-09-26,1,0.9793991,1
2022-09-27,1,0.93257177,1
2022-09-28,-1,0.00028321941,-1
2022-09-29,-1,0.0148385195,-1
2022-09-30,1,0.9247802,1
2022-10-03,-1,0.01730175,-1
2022-10-04,-1,0.00054485345,-1
2022-10-05,1,0.9953217,1
2022-10-06,1,0.986914,1
2022-10-07,1,0.7352566,1
2022-10-10,1,0.97509867,1
2022-10-11,1,0.7182492,1
2022-10-12,1,0.824618,1
2022-10-13,-1,0.025795843,-1
2022-10-14,1,0.9843556,1
2022-10-17,-1,0.00076975644,-1
2022-10-18,-1,0.5242153,1
2022-10-19,1,0.9836137,1
2022-10-20,-1,0.022069132,-1
2022-10-21,-1,0.009593188,-1
2022-10-24,-1,0.20015918,-1
2022-10-25,-1,0.0053284965,-1
2022-10-26,-1,0.0056707226,-1
2022-10-27,1,0.9968041,1
2022-10-28,1,0.1912707,-1
2022-10-31,1,0.97891164,1
2022-11-01,-1,0.26785395,-1
2022-11-02,1,0.99374217,1
2022-11-03,1,0.8620949,1
2022-11-04,-1,2.3486764e-05,-1
2022-11-07,-1,0.0313672,-1
2022-11-08,-1,0.13937114,-1
2022-11-09,1,0.9479437,1
2022-11-10,-1,0.00012166167,-1
2022-11-11,-1,0.012699999,-1
2022-11-14,1,0.96929115,1
2022-11-15,-1,0.0379636,-1
2022-11-16,-1,0.024544692,-1
2022-11-17,1,0.79072434,1
2022-11-18,1,0.42881334,1
2022-11-21,1,0.981767,1
2022-11-22,-1,0.023149561,-1
2022-11-23,-1,0.017016085,-1
2022-11-24,1,0.7770623,1
2022-11-25,-1,0.06319023,-1
