time,Actual Movement,Predictions,Predicted
2020-12-08,-1,0.00827123,-1
2020-12-09,-1,0.26962382,-1
2020-12-10,1,0.8887449,1
2020-12-11,1,0.97582066,1
2020-12-14,-1,0.016931113,-1
2020-12-15,-1,0.006409658,-1
2020-12-16,-1,0.04845804,-1
2020-12-17,-1,0.0041397572,-1
2020-12-18,-1,0.010203254,-1
2020-12-21,1,0.8727305,1
2020-12-22,1,0.94269794,1
2020-12-23,-1,0.017045861,-1
2020-12-24,-1,0.16692446,-1
2020-12-28,1,0.9623635,1
2020-12-29,1,0.9847174,1
2020-12-30,-1,0.047767356,-1
2020-12-31,1,0.97984797,1
2021-01-04,1,0.9447166,1
2021-01-05,1,0.9986577,1
2021-01-06,1,0.9547114,1
2021-01-07,1,0.9986939,1
2021-01-08,-1,0.0033042608,-1
2021-01-11,1,0.99335927,1
2021-01-12,-1,0.00036640593,-1
2021-01-13,1,0.80558795,1
2021-01-14,-1,0.0050548445,-1
2021-01-15,1,0.9573032,1
2021-01-18,-1,0.013110568,-1
2021-01-19,-1,0.0040949285,-1
2021-01-20,-1,0.017393438,-1
2021-01-21,1,0.14957218,-1
2021-01-22,1,0.9907795,1
2021-01-25,1,0.9432096,1
2021-01-26,-1,0.0065791323,-1
2021-01-27,1,0.9954385,1
2021-01-28,-1,0.03770967,-1
2021-01-29,-1,0.21761608,-1
2021-02-01,-1,0.029240571,-1
2021-02-02,-1,0.008785589,-1
2021-02-03,-1,0.046045464,-1
2021-02-04,1,0.7379861,1
2021-02-05,-1,0.0023209983,-1
2021-02-08,1,0.8910885,1
2021-02-09,-1,0.0061264904,-1
2021-02-10,1,0.852916,1
2021-02-11,-1,0.0073128445,-1
2021-02-12,-1,0.019335335,-1
2021-02-15,-1,0.0098571135,-1
2021-02-16,1,0.998072,1
2021-02-17,-1,0.26975986,-1
2021-02-18,-1,0.18383577,-1
2021-02-19,1,0.98326683,1
2021-02-22,-1,0.5514411,-1
2021-02-23,-1,0.008620832,-1
2021-02-24,-1,0.050154816,-1
2021-02-25,1,0.9998791,1
2021-02-26,1,0.6916782,1
2021-03-01,-1,0.023748972,-1
2021-03-02,-1,0.088543676,-1
2021-03-03,1,0.9800237,1
2021-03-04,1,0.97291404,1
2021-03-05,1,0.6154062,1
2021-03-08,1,0.9798815,1
2021-03-09,-1,0.0016032701,-1
2021-03-10,-1,0.0037276486,-1
2021-03-11,-1,0.0013561829,-1
2021-03-12,1,0.95876676,1
2021-03-15,-1,0.006121482,-1
2021-03-16,1,0.49885422,-1
2021-03-17,-1,0.001488444,-1
2021-03-18,1,0.96908,1
2021-03-19,-1,0.24108715,-1
2021-03-22,1,0.8237406,1
2021-03-23,1,0.9972383,1
2021-03-24,1,0.9895969,1
2021-03-25,1,0.97953975,1
2021-03-26,-1,0.8091743,1
2021-03-29,-1,0.34939972,-1
2021-03-30,-1,0.6176069,1
2021-03-31,-1,0.0030465066,-1
2021-04-01,-1,0.0030088811,-1
2021-04-02,-1,0.06390733,-1
2021-04-05,-1,0.011470441,-1
2021-04-06,-1,0.018441197,-1
2021-04-07,1,0.8578885,1
2021-04-08,-1,0.019354828,-1
2021-04-09,1,0.9815695,1
2021-04-12,-1,0.42379636,-1
2021-04-13,-1,0.029673187,-1
2021-04-14,-1,0.0066914023,-1
2021-04-15,-1,0.0013828073,-1
2021-04-16,1,0.99369085,1
2021-04-19,-1,0.0121797025,-1
2021-04-20,1,0.98129237,1
2021-04-21,-1,0.08217168,-1
2021-04-22,1,0.9634673,1
2021-04-23,-1,0.16864485,-1
2021-04-26,1,0.6099418,1
2021-04-27,1,0.9878632,1
2021-04-28,-1,0.0073288986,-1
2021-04-29,1,0.98135996,1
2021-04-30,1,0.99628925,1
2021-05-03,-1,0.023391867,-1
2021-05-04,1,0.91941214,1
2021-05-05,-1,0.008753085,-1
2021-05-06,-1,0.0034284631,-1
2021-05-07,-1,0.009292736,-1
2021-05-10,-1,0.2764484,-1
2021-05-11,-1,0.017346274,-1
2021-05-12,1,0.99131525,1
2021-05-13,-1,0.39421433,-1
2021-05-14,-1,0.49890912,-1
2021-05-17,-1,0.104354784,-1
2021-05-18,-1,0.008503219,-1
2021-05-19,1,0.9886635,1
2021-05-20,-1,0.012200522,-1
2021-05-21,-1,0.38264555,-1
2021-05-24,-1,0.2191402,-1
2021-05-25,-1,0.030050812,-1
2021-05-26,-1,0.0048204963,-1
2021-05-27,1,0.0498345,-1
2021-05-28,1,0.041399702,-1
2021-05-31,-1,0.005244518,-1
2021-06-01,1,0.104055345,-1
2021-06-02,-1,0.00040098515,-1
2021-06-03,1,0.9883929,1
2021-06-04,-1,0.0012606478,-1
2021-06-07,1,0.9904018,1
2021-06-08,1,0.81243885,1
2021-06-09,1,0.9917647,1
2021-06-10,-1,0.0060059493,-1
2021-06-11,1,0.9806388,1
2021-06-14,1,0.8509764,1
2021-06-15,-1,0.10807896,-1
2021-06-16,1,0.9937093,1
2021-06-17,1,0.8636478,1
2021-06-18,1,0.9894957,1
2021-06-21,-1,0.0076033794,-1
2021-06-22,1,0.838831,1
2021-06-23,-1,0.13649945,-1
2021-06-24,-1,0.10675878,-1
2021-06-25,-1,0.017292865,-1
2021-06-28,1,0.95884126,1
2021-06-29,1,0.76255846,1
2021-06-30,-1,0.021245597,-1
2021-07-01,1,0.9819505,1
2021-07-02,-1,0.0006183276,-1
2021-07-05,1,0.37616864,-1
2021-07-06,1,0.89297014,1
2021-07-07,-1,0.024318816,-1
2021-07-08,1,0.71645063,1
2021-07-09,-1,0.0049076853,-1
2021-07-12,1,0.99283,1
2021-07-13,1,0.9967842,1
2021-07-14,-1,0.00063249154,-1
2021-07-15,1,0.9475269,1
2021-07-16,-1,0.011915005,-1
2021-07-19,1,0.9806418,1
2021-07-20,1,0.82914704,1
2021-07-21,-1,0.026102472,-1
2021-07-22,1,0.9702746,1
2021-07-23,1,0.95198435,1
2021-07-26,-1,0.019884087,-1
2021-07-27,1,0.546621,-1
2021-07-28,-1,0.03837355,-1
2021-07-29,-1,0.0037254589,-1
2021-07-30,1,0.27329668,-1
2021-08-02,-1,0.008934614,-1
2021-08-03,-1,0.005637868,-1
2021-08-04,1,0.82569295,1
2021-08-05,1,0.99297214,1
2021-08-06,1,0.97796375,1
2021-08-09,1,0.9917453,1
2021-08-10,1,0.8689002,1
2021-08-11,-1,0.015195535,-1
2021-08-12,1,0.9774508,1
2021-08-13,-1,0.020884192,-1
