,time,action,position,entry_price,close_price,profit,balance
0,2020-12-08,open,short,14.9817,,,9999.9998
1,2020-12-10,close,neutral,,15.0207,-389.99999999999704,9609.999600000003
2,2020-12-10,open,long,15.0207,,,9609.999400000002
3,2020-12-14,close,neutral,,15.03358,128.8000000000089,9738.799200000012
4,2020-12-14,open,short,15.03358,,,9738.799000000012
5,2020-12-21,close,neutral,,14.59838,4352.0,14090.798800000011
6,2020-12-21,open,long,14.59838,,,14090.798600000011
7,2020-12-23,close,neutral,,14.59828,-0.9999999999976694,14089.798400000014
8,2020-12-23,open,short,14.59828,,,14089.798200000014
9,2020-12-28,close,neutral,,14.63127,-329.8999999999985,13759.898000000016
10,2020-12-28,open,long,14.63127,,,13759.897800000015
11,2020-12-30,close,neutral,,14.62689,-43.80000000001161,13716.097600000003
12,2020-12-30,open,short,14.62689,,,13716.097400000002
13,2020-12-31,close,neutral,,14.68863,-617.4000000000035,13098.697199999999
14,2020-12-31,open,long,14.68863,,,13098.696999999998
15,2021-01-08,close,neutral,,15.28043,5918.00000000001,19016.69680000001
16,2021-01-08,open,short,15.28043,,,19016.69660000001
17,2021-01-11,close,neutral,,15.54663,-2661.9999999999955,16354.696400000015
18,2021-01-11,open,long,15.54663,,,16354.696200000015
19,2021-01-12,close,neutral,,15.21573,-3308.9999999999973,13045.696000000018
20,2021-01-12,open,short,15.21573,,,13045.695800000018
21,2021-01-13,close,neutral,,15.24653,-307.9999999999927,12737.695600000025
22,2021-01-13,open,long,15.24653,,,12737.695400000024
23,2021-01-14,close,neutral,,15.09013,-1563.9999999999966,11173.695200000027
24,2021-01-14,open,short,15.09013,,,11173.695000000027
25,2021-01-15,close,neutral,,15.22343,-1333.000000000002,9840.694800000025
26,2021-01-15,open,long,15.22343,,,9840.694600000024
27,2021-01-18,close,neutral,,15.15413,-693.0000000000014,9147.694400000022
28,2021-01-18,open,short,15.15413,,,9147.694200000022
29,2021-01-22,close,neutral,,15.14133,128.00000000000367,9275.694000000025
30,2021-01-22,open,long,15.14133,,,9275.693800000025
31,2021-01-26,close,neutral,,15.06083,-805.0000000000068,8470.693600000017
32,2021-01-26,open,short,15.06083,,,8470.693400000016
33,2021-01-27,close,neutral,,15.26503,-2042.0000000000016,6428.693200000015
34,2021-01-27,open,long,15.26503,,,6428.693000000015
35,2021-01-28,close,neutral,,15.19392,-711.0999999999912,5717.592800000024
36,2021-01-28,open,short,15.19392,,,5717.592600000024
37,2021-02-04,close,neutral,,15.00218,1917.4000000000112,7634.992400000035
38,2021-02-04,open,long,15.00218,,,7634.992200000034
39,2021-02-05,close,neutral,,14.82208,-1800.9999999999948,5833.992000000039
40,2021-02-05,open,short,14.82208,,,5833.991800000039
41,2021-02-08,close,neutral,,14.87331,-512.3000000000034,5321.691600000036
42,2021-02-08,open,long,14.87331,,,5321.691400000035
43,2021-02-09,close,neutral,,14.72298,-1503.300000000003,3818.3912000000323
44,2021-02-09,open,short,14.72298,,,3818.3910000000324
45,2021-02-10,close,neutral,,14.75498,-320.0000000000003,3498.390800000032
46,2021-02-10,open,long,14.75498,,,3498.390600000032
47,2021-02-11,close,neutral,,14.62258,-1324.0000000000052,2174.3904000000266
48,2021-02-11,open,short,14.62258,,,2174.3902000000267
49,2021-02-16,close,neutral,,14.65088,-283.00000000001546,1891.3900000000112
50,2021-02-16,open,long,14.65088,,,1891.3898000000113
51,2021-02-17,close,neutral,,14.63674,-141.40000000001152,1749.9895999999999
52,2021-02-17,open,short,14.63674,,,1749.9894
53,2021-02-19,close,neutral,,14.68258,-458.400000000001,1291.589199999999
54,2021-02-19,open,long,14.68258,,,1291.588999999999
55,2021-02-22,close,neutral,,14.67642,-61.59999999999499,1229.988800000004
56,2021-02-22,open,short,14.67642,,,1229.988600000004
57,2021-02-25,close,neutral,,14.99908,-3226.5999999999904,-1996.6115999999863
58,2021-02-25,open,long,14.99908,,,-1996.6117999999863
59,2021-03-01,close,neutral,,14.99724,-18.399999999996197,-2015.0119999999824
60,2021-03-01,open,short,14.99724,,,-2015.0121999999824
61,2021-03-03,close,neutral,,15.10084,-1036.0000000000014,-3051.0123999999837
62,2021-03-03,open,long,15.10084,,,-3051.0125999999836
63,2021-03-09,close,neutral,,15.29198,1911.4000000000076,-1139.612799999976
64,2021-03-09,open,short,15.29198,,,-1139.612999999976
65,2021-03-12,close,neutral,,14.95096,3410.2000000000035,2270.5868000000273
66,2021-03-12,open,long,14.95096,,,2270.5866000000274
67,2021-03-15,close,neutral,,14.8565,-944.5999999999976,1325.9864000000298
68,2021-03-15,open,short,14.8565,,,1325.9862000000298
69,2021-03-18,close,neutral,,14.72658,1299.2000000000025,2625.1860000000324
70,2021-03-18,open,long,14.72658,,,2625.1858000000325
71,2021-03-19,close,neutral,,14.69828,-282.9999999999977,2342.185600000035
72,2021-03-19,open,short,14.69828,,,2342.185400000035
73,2021-03-22,close,neutral,,14.71758,-192.9999999999943,2149.1852000000404
74,2021-03-22,open,long,14.71758,,,2149.1850000000404
75,2021-03-29,close,neutral,,14.90728,1897.000000000002,4046.1848000000427
76,2021-03-29,open,short,14.90728,,,4046.184600000043
77,2021-03-30,close,neutral,,14.90658,7.0000000000014495,4053.184400000044
78,2021-03-30,open,long,14.90658,,,4053.1842000000443
79,2021-03-31,close,neutral,,14.76658,-1400.0000000000057,2653.1840000000384
80,2021-03-31,open,short,14.76658,,,2653.1838000000384
81,2021-04-07,close,neutral,,14.56558,2009.9999999999873,4663.183600000026
82,2021-04-07,open,long,14.56558,,,4663.183400000025
83,2021-04-08,close,neutral,,14.51168,-539.000000000005,4124.18320000002
84,2021-04-08,open,short,14.51168,,,4124.18300000002
85,2021-04-09,close,neutral,,14.58808,-763.9999999999958,3360.182800000024
86,2021-04-09,open,long,14.58808,,,3360.182600000024
87,2021-04-12,close,neutral,,14.57543,-126.4999999999894,3233.6824000000347
88,2021-04-12,open,short,14.57543,,,3233.6822000000348
89,2021-04-16,close,neutral,,14.30418,2712.5000000000023,5946.182000000037
90,2021-04-16,open,long,14.30418,,,5946.181800000037
91,2021-04-19,close,neutral,,14.21748,-867.0000000000044,5079.181600000033
92,2021-04-19,open,short,14.21748,,,5079.181400000032
93,2021-04-20,close,neutral,,14.29828,-807.9999999999998,4271.181200000033
94,2021-04-20,open,long,14.29828,,,4271.181000000032
95,2021-04-21,close,neutral,,14.24993,-483.49999999999227,3787.68080000004
96,2021-04-21,open,short,14.24993,,,3787.68060000004
97,2021-04-22,close,neutral,,14.30643,-564.9999999999977,3222.6804000000425
98,2021-04-22,open,long,14.30643,,,3222.6802000000425
99,2021-04-23,close,neutral,,14.27308,-333.5000000000043,2889.180000000038
100,2021-04-23,open,short,14.27308,,,2889.179800000038
101,2021-04-26,close,neutral,,14.27798,-48.99999999999238,2840.179600000046
102,2021-04-26,open,long,14.27798,,,2840.179400000046
103,2021-04-28,close,neutral,,14.22683,-511.49999999999807,2328.679200000048
104,2021-04-28,open,short,14.22683,,,2328.679000000048
105,2021-04-29,close,neutral,,14.30048,-736.5000000000066,1592.1788000000413
106,2021-04-29,open,long,14.30048,,,1592.1786000000413
107,2021-05-03,close,neutral,,14.39473,942.4999999999884,2534.67840000003
108,2021-05-03,open,short,14.39473,,,2534.67820000003
109,2021-05-04,close,neutral,,14.45043,-557.0000000000164,1977.6780000000135
110,2021-05-04,open,long,14.45043,,,1977.6778000000136
111,2021-05-05,close,neutral,,14.35623,-942.0000000000073,1035.6776000000064
112,2021-05-05,open,short,14.35623,,,1035.6774000000064
113,2021-05-12,close,neutral,,14.12813,2280.9999999999955,3316.677200000002
114,2021-05-12,open,long,14.12813,,,3316.677000000002
115,2021-05-13,close,neutral,,14.12703,-11.00000000000989,3305.676799999992
116,2021-05-13,open,short,14.12703,,,3305.676599999992
117,2021-05-19,close,neutral,,14.09513,319.0000000000026,3624.676399999995
118,2021-05-19,open,long,14.09513,,,3624.676199999995
119,2021-05-20,close,neutral,,13.96893,-1261.9999999999898,2362.676000000005
120,2021-05-20,open,short,13.96893,,,2362.675800000005
121,2021-06-03,close,neutral,,13.62353,3453.9999999999973,5816.675600000002
122,2021-06-03,open,long,13.62353,,,5816.675400000002
123,2021-06-04,close,neutral,,13.41953,-2040.0000000000064,3776.6751999999956
124,2021-06-04,open,short,13.41953,,,3776.6749999999956
125,2021-06-07,close,neutral,,13.52753,-1080.0000000000055,2696.6747999999902
126,2021-06-07,open,long,13.52753,,,2696.6745999999903
127,2021-06-10,close,neutral,,13.58903,614.9999999999877,3311.674399999978
128,2021-06-10,open,short,13.58903,,,3311.674199999978
129,2021-06-11,close,neutral,,13.69993,-1109.0000000000089,2202.673999999969
130,2021-06-11,open,long,13.69993,,,2202.673799999969
131,2021-06-15,close,neutral,,13.76343,634.9999999999944,2837.6735999999637
132,2021-06-15,open,short,13.76343,,,2837.6733999999637
133,2021-06-16,close,neutral,,14.01213,-2487.0000000000127,350.67319999995107
134,2021-06-16,open,long,14.01213,,,350.67299999995106
135,2021-06-21,close,neutral,,14.21983,2076.999999999991,2427.672799999942
136,2021-06-21,open,short,14.21983,,,2427.672599999942
137,2021-06-22,close,neutral,,14.24763,-277.9999999999916,2149.6723999999504
138,2021-06-22,open,long,14.24763,,,2149.6721999999504
139,2021-06-23,close,neutral,,14.21753,-300.99999999999125,1848.671999999959
140,2021-06-23,open,short,14.21753,,,1848.6717999999591
141,2021-06-28,close,neutral,,14.25513,-375.9999999999941,1472.671599999965
142,2021-06-28,open,long,14.25513,,,1472.6713999999652
143,2021-06-30,close,neutral,,14.26843,133.00000000000978,1605.671199999975
144,2021-06-30,open,short,14.26843,,,1605.670999999975
145,2021-07-01,close,neutral,,14.45113,-1826.9999999999875,-221.3292000000124
146,2021-07-01,open,long,14.45113,,,-221.3294000000124
147,2021-07-02,close,neutral,,14.21963,-2314.9999999999873,-2536.3295999999996
148,2021-07-02,open,short,14.21963,,,-2536.3297999999995
149,2021-07-06,close,neutral,,14.35843,-1387.9999999999982,-3924.3299999999977
150,2021-07-06,open,long,14.35843,,,-3924.3301999999976
151,2021-07-07,close,neutral,,14.30233,-561.000000000007,-4485.330400000004
152,2021-07-07,open,short,14.30233,,,-4485.330600000005
153,2021-07-08,close,neutral,,14.33533,-330.0000000000125,-4815.330800000017
154,2021-07-08,open,long,14.33533,,,-4815.331000000017
155,2021-07-09,close,neutral,,14.18693,-1484.0000000000052,-6299.331200000022
156,2021-07-09,open,short,14.18693,,,-6299.331400000023
157,2021-07-12,close,neutral,,14.39232,-2053.899999999995,-8353.231600000017
158,2021-07-12,open,long,14.39232,,,-8353.231800000018
159,2021-07-14,close,neutral,,14.48813,958.1000000000017,-7395.132000000016
160,2021-07-14,open,short,14.48813,,,-7395.132200000016
161,2021-07-15,close,neutral,,14.55303,-648.9999999999974,-8044.132400000014
162,2021-07-15,open,long,14.55303,,,-8044.1326000000145
163,2021-07-16,close,neutral,,14.41423,-1387.9999999999982,-9432.132800000012
164,2021-07-16,open,short,14.41423,,,-9432.133000000013
165,2021-07-19,close,neutral,,14.55453,-1402.9999999999986,-10835.133200000011
166,2021-07-19,open,long,14.55453,,,-10835.133400000012
167,2021-07-21,close,neutral,,14.55753,30.000000000001137,-10805.13360000001
168,2021-07-21,open,short,14.55753,,,-10805.13380000001
169,2021-07-22,close,neutral,,14.69483,-1372.9999999999975,-12178.134000000007
170,2021-07-22,open,long,14.69483,,,-12178.134200000008
171,2021-07-26,close,neutral,,14.77323,784.0000000000025,-11394.134400000004
172,2021-07-26,open,short,14.77323,,,-11394.134600000005
173,2021-08-04,close,neutral,,14.35107,4221.5999999999985,-7172.534800000007
174,2021-08-04,open,long,14.35107,,,-7172.535000000007
175,2021-08-11,close,neutral,,14.65533,3042.599999999993,-4129.935200000014
176,2021-08-11,open,short,14.65533,,,-4129.935400000015
177,2021-08-12,close,neutral,,14.76853,-1132.0000000000086,-5261.935600000023
178,2021-08-12,open,long,14.76853,,,-5261.935800000024
179,2021-08-13,close,neutral,,14.68713,-814.0000000000036,-6075.936000000027
180,2021-08-13,open,short,14.68713,,,-6075.936200000027
181,2021-08-16,close,neutral,,14.83163,-1445.0000000000073,-7520.936400000035
182,2021-08-16,open,long,14.83163,,,-7520.9366000000355
183,2021-08-23,close,neutral,,15.12253,2908.999999999988,-4611.936800000047
184,2021-08-23,open,short,15.12253,,,-4611.937000000047
185,2021-09-02,close,neutral,,14.45793,6646.000000000001,2034.0627999999533
186,2021-09-02,open,long,14.45793,,,2034.0625999999534
187,2021-09-03,close,neutral,,14.29863,-1593.0,441.0623999999534
188,2021-09-03,open,short,14.29863,,,441.0621999999534
189,2021-09-07,close,neutral,,14.31213,-135.00000000000512,306.0619999999483
190,2021-09-07,open,long,14.31213,,,306.0617999999483
191,2021-09-08,close,neutral,,14.18213,-1299.99999999999,-993.9384000000416
192,2021-09-08,open,short,14.18213,,,-993.9386000000416
193,2021-09-09,close,neutral,,14.20283,-206.9999999999972,-1200.9388000000388
194,2021-09-09,open,long,14.20283,,,-1200.9390000000387
195,2021-09-10,close,neutral,,14.20113,-17.00000000001367,-1217.9392000000523
196,2021-09-10,open,short,14.20113,,,-1217.9394000000523
197,2021-09-14,close,neutral,,14.31903,-1179.0000000000057,-2396.939600000058
198,2021-09-14,open,long,14.31903,,,-2396.939800000058
199,2021-09-22,close,neutral,,14.78993,4709.000000000004,2312.0599999999454
200,2021-09-22,open,short,14.78993,,,2312.0597999999454
201,2021-09-24,close,neutral,,14.92733,-1373.9999999999952,938.0595999999503
202,2021-09-24,open,long,14.92733,,,938.0593999999503
203,2021-09-27,close,neutral,,14.95053,232.00000000000998,1170.0591999999604
