time,Actual Movement,Predictions,Predicted
2022-08-05,-1,0.14066483,-1
2022-08-08,-1,0.02699366,-1
2022-08-09,1,0.770885,1
2022-08-10,-1,0.012771982,-1
2022-08-11,1,0.59760785,1
2022-08-12,-1,0.006615089,-1
2022-08-15,1,0.9780897,1
2022-08-16,-1,0.026006525,-1
2022-08-17,1,0.99415886,1
2022-08-18,1,0.97908,1
2022-08-19,1,0.9561901,1
2022-08-22,1,0.93168926,1
2022-08-23,1,0.8966308,1
2022-08-24,-1,0.73430437,1
2022-08-25,-1,0.00452844,-1
2022-08-26,-1,0.23409905,-1
2022-08-29,-1,0.10308887,-1
2022-08-30,-1,0.037745696,-1
2022-08-31,-1,0.03638105,-1
2022-09-01,-1,0.018633112,-1
2022-09-02,1,0.21160854,-1
2022-09-05,1,0.118358396,-1
2022-09-06,1,0.8668057,1
2022-09-07,-1,0.0056659845,-1
2022-09-08,-1,0.06697169,-1
2022-09-09,-1,0.011324651,-1
2022-09-12,1,0.09140695,-1
2022-09-13,1,0.9805612,1
2022-09-14,-1,0.22844818,-1
2022-09-15,1,0.9446552,1
2022-09-16,-1,0.029411932,-1
2022-09-19,-1,0.023868486,-1
2022-09-20,1,0.9855547,1
2022-09-21,1,0.9889892,1
2022-09-22,-1,0.0029703814,-1
2022-09-23,1,0.89369667,1
2022-09-26,-1,0.117354095,-1
2022-09-27,1,0.984227,1
2022-09-28,1,0.9027082,1
2022-09-29,1,0.9948743,1
2022-09-30,1,0.5801227,1
2022-10-03,-1,0.023822179,-1
2022-10-04,-1,0.11865177,-1
2022-10-05,1,0.86047775,1
2022-10-06,1,0.99896264,1
2022-10-07,-1,0.0017812634,-1
2022-10-10,-1,0.59160477,1
2022-10-11,-1,0.094967246,-1
2022-10-12,-1,0.11228623,-1
2022-10-13,-1,0.0007694631,-1
2022-10-14,-1,0.11137594,-1
2022-10-17,-1,0.018998932,-1
2022-10-18,-1,0.015756488,-1
2022-10-19,1,0.9204275,1
2022-10-20,-1,0.0021645804,-1
2022-10-21,1,0.8791011,1
2022-10-24,1,0.84838,1
2022-10-25,-1,0.008720997,-1
2022-10-26,-1,0.019823717,-1
2022-10-27,-1,0.015580298,-1
2022-10-28,-1,0.04948134,-1
2022-10-31,-1,0.0388014,-1
2022-11-01,-1,0.0062325615,-1
2022-11-02,1,0.16351412,-1
2022-11-03,-1,0.008858702,-1
2022-11-04,-1,0.020890921,-1
2022-11-07,-1,0.0062580593,-1
2022-11-08,1,0.90223813,1
2022-11-09,1,0.98350126,1
2022-11-10,-1,0.0046342053,-1
2022-11-11,-1,0.30127588,-1
2022-11-14,1,0.9899946,1
2022-11-15,1,0.95487356,1
2022-11-16,-1,0.0036266462,-1
2022-11-17,1,0.9298018,1
2022-11-18,-1,0.13558243,-1
2022-11-21,-1,0.33284497,-1
2022-11-22,1,0.8339883,1
2022-11-23,-1,0.40430057,-1
2022-11-24,-1,0.3761077,-1
2022-11-25,-1,0.13070412,-1
2022-11-28,-1,0.06525025,-1
2022-11-29,-1,0.04447863,-1
2022-11-30,-1,0.04006841,-1
2022-12-01,1,0.976187,1
2022-12-02,-1,0.035391655,-1
2022-12-05,1,0.9975535,1
2022-12-06,-1,0.02377501,-1
2022-12-07,-1,0.79942495,1
2022-12-08,-1,0.056201722,-1
2022-12-09,1,0.7432862,1
2022-12-12,1,0.64365506,1
2022-12-13,-1,0.1367137,-1
2022-12-14,-1,0.08332135,-1
2022-12-15,1,0.8798472,1
2022-12-16,-1,0.14302288,-1
2022-12-19,1,0.935432,1
2022-12-20,-1,0.0074070483,-1
2022-12-21,-1,0.060020875,-1
2022-12-22,-1,0.013118375,-1
2022-12-23,-1,0.13938464,-1
2022-12-27,1,0.996846,1
2022-12-28,1,0.743629,1
2022-12-29,-1,0.14235713,-1
2022-12-30,1,0.86139685,1
2023-01-02,-1,0.022923507,-1
2023-01-03,1,0.8654513,1
2023-01-04,-1,0.0562678,-1
2023-01-05,1,0.9630757,1
2023-01-06,1,0.46068537,1
2023-01-09,1,0.7978281,1
2023-01-10,-1,0.42058018,-1
2023-01-11,-1,0.31127045,-1
2023-01-12,1,0.80223227,1
2023-01-13,1,0.5703696,1
2023-01-16,-1,0.06483217,-1
2023-01-17,1,0.9399213,1
2023-01-18,1,0.9686613,1
2023-01-19,1,0.8858454,1
2023-01-20,-1,0.07550908,-1
2023-01-23,1,0.6655646,1
2023-01-24,1,0.8931218,1
2023-01-25,1,0.9333746,1
2023-01-26,-1,0.32595405,-1
2023-01-27,-1,0.6225846,1
2023-01-30,1,0.90073663,1
2023-01-31,-1,0.26404512,-1
2023-02-01,-1,0.20529258,-1
2023-02-02,-1,0.011233926,-1
2023-02-03,1,0.99302435,1
2023-02-06,1,0.99124444,1
2023-02-07,1,0.86966926,1
2023-02-08,-1,0.43397498,-1
2023-02-09,1,0.9801793,1
2023-02-10,1,0.9850867,1
2023-02-13,1,0.93943626,1
2023-02-14,-1,0.10966074,-1
2023-02-15,-1,0.059221815,-1
2023-02-16,1,0.8545674,1
2023-02-17,-1,0.028521135,-1
2023-02-20,-1,0.02351075,-1
2023-02-21,1,0.5968531,1
2023-02-22,1,0.19000371,-1
2023-02-23,-1,0.002968103,-1
2023-02-24,-1,0.06852019,-1
2023-02-27,-1,0.042001206,-1
2023-02-28,-1,0.02536217,-1
2023-03-01,-1,0.0034043656,-1
2023-03-02,1,0.98283446,1
2023-03-03,1,0.6317046,1
2023-03-06,-1,0.016435653,-1
2023-03-07,1,0.6063198,1
2023-03-08,-1,0.048170116,-1
2023-03-09,1,0.81915635,1
2023-03-10,-1,0.026895992,-1
2023-03-13,1,0.34560126,-1
2023-03-14,1,0.9886109,1
2023-03-15,-1,0.16048223,-1
2023-03-16,-1,0.38201702,-1
2023-03-17,1,0.6025297,1
2023-03-20,1,0.72981906,1
2023-03-21,-1,0.005146992,-1
2023-03-22,1,0.52283347,1
2023-03-23,-1,0.04057153,-1
2023-03-24,1,0.7440201,1
2023-03-27,-1,0.29636616,-1
2023-03-28,-1,0.03068534,-1
2023-03-29,1,0.9471631,1
2023-03-30,-1,0.02829066,-1
2023-03-31,-1,0.4139593,-1
2023-04-03,1,0.4034579,-1
2023-04-04,1,0.79175556,1
2023-04-05,1,0.96035963,1
2023-04-06,-1,0.81689906,1
2023-04-07,-1,0.03798853,-1
2023-04-10,1,0.9882945,1
2023-04-11,-1,0.010033486,-1
2023-04-12,-1,0.045148533,-1
2023-04-13,-1,0.028727569,-1
2023-04-14,1,0.7859973,1
2023-04-17,-1,0.037984878,-1
2023-04-18,-1,0.033738304,-1
2023-04-19,1,0.2776545,-1
2023-04-20,-1,0.0048649027,-1
2023-04-21,1,0.95917106,1
2023-04-24,-1,0.01841799,-1
2023-04-25,-1,0.27856317,-1
2023-04-26,-1,0.022114037,-1
2023-04-27,-1,0.06559532,-1
2023-04-28,1,0.7443951,1
2023-05-01,1,0.98191327,1
2023-05-02,-1,0.008419484,-1
2023-05-03,1,0.9614084,1
2023-05-04,1,0.46626484,1
2023-05-05,-1,0.024477446,-1
2023-05-08,-1,0.14443989,-1
2023-05-09,-1,0.0786623,-1
2023-05-10,-1,0.0047627455,-1
2023-05-11,1,0.9795568,1
2023-05-12,-1,0.009200181,-1
2023-05-15,-1,0.07665486,-1
2023-05-16,-1,0.030777832,-1
2023-05-17,1,0.99397683,1
2023-05-18,1,0.9688843,1
2023-05-19,-1,0.13072997,-1
2023-05-22,-1,0.0075200316,-1
2023-05-23,-1,0.22045182,-1
2023-05-24,1,0.9752855,1
2023-05-25,-1,0.21851115,-1
2023-05-26,1,0.9855797,1
2023-05-29,-1,0.06897028,-1
2023-05-30,1,0.97940105,1
2023-05-31,-1,0.047888994,-1
2023-06-01,-1,0.09925702,-1
2023-06-02,-1,0.0046059266,-1
2023-06-05,-1,0.09937507,-1
2023-06-06,-1,0.24805439,-1
2023-06-07,1,0.930762,1
2023-06-08,-1,0.037903417,-1
2023-06-09,-1,0.010994162,-1
2023-06-12,1,0.94495356,1
2023-06-13,1,0.9957152,1
2023-06-14,-1,0.003119755,-1
2023-06-15,-1,0.811391,1
2023-06-16,1,0.97428674,1
2023-06-19,-1,0.030112436,-1
2023-06-20,-1,0.52350193,1
2023-06-21,-1,0.29244456,-1
2023-06-22,-1,0.102673166,-1
2023-06-23,1,0.9779246,1
2023-06-26,1,0.53859466,1
2023-06-27,1,0.9515036,1
2023-06-28,1,0.9953192,1
2023-06-29,-1,0.006601885,-1
2023-06-30,-1,0.24641173,-1
2023-07-03,1,0.6680808,1
