time,Actual Movement,Predictions,Predicted
2022-03-29,-1,4.1569206e-06,-1
2022-03-30,-1,0.0032992046,-1
2022-03-31,1,0.99987423,1
2022-04-01,-1,0.17260917,1
2022-04-04,1,0.99247783,1
2022-04-05,1,0.99991274,1
2022-04-06,1,0.906918,1
2022-04-07,-1,0.0049018804,-1
2022-04-08,-1,0.5850651,1
2022-04-11,1,0.9958401,1
2022-04-12,1,0.38650453,1
2022-04-13,-1,0.0006013603,-1
2022-04-14,1,0.99642783,1
2022-04-15,-1,0.00864015,-1
2022-04-18,1,0.9478648,1
2022-04-19,1,0.945976,1
2022-04-20,-1,0.00032058638,-1
2022-04-21,1,0.4369341,1
2022-04-22,1,0.99013937,1
2022-04-25,1,0.9888256,1
2022-04-26,1,0.99999905,1
2022-04-27,1,0.9294087,1
2022-04-28,1,0.92569923,1
2022-04-29,-1,0.00021063768,-1
2022-05-02,1,0.999138,1
2022-05-03,-1,0.023274481,-1
2022-05-04,-1,1.6724506e-07,-1
2022-05-05,1,0.9999969,1
2022-05-06,1,0.13978787,1
2022-05-09,-1,0.0009352499,-1
2022-05-10,1,0.11820724,1
2022-05-11,-1,0.032139286,-1
2022-05-12,1,0.99908364,1
2022-05-13,1,0.05286606,1
2022-05-16,-1,0.00052183523,-1
2022-05-17,-1,2.9899702e-05,-1
2022-05-18,1,0.99775875,1
2022-05-19,-1,1.7923132e-05,-1
2022-05-20,-1,0.4539062,1
2022-05-23,-1,2.9409262e-06,-1
2022-05-24,-1,0.0037186635,-1
2022-05-25,1,0.99736965,1
2022-05-26,-1,0.012124595,-1
2022-05-27,-1,0.0012613985,-1
2022-05-30,-1,0.41314,1
2022-05-31,1,0.9895471,1
2022-06-01,1,0.9995921,1
2022-06-02,-1,4.729847e-05,-1
2022-06-03,1,0.99916863,1
2022-06-06,1,0.97469455,1
2022-06-07,-1,0.030483661,-1
2022-06-08,1,0.9766516,1
2022-06-09,1,0.99997485,1
2022-06-10,1,0.99944085,1
2022-06-13,1,0.99999547,1
2022-06-14,1,0.026985133,-1
2022-06-15,-1,0.019797806,-1
2022-06-16,1,0.98976046,1
2022-06-17,-1,0.002349631,-1
2022-06-20,-1,0.0001898526,-1
2022-06-21,-1,0.0171892,-1
2022-06-22,1,0.9994758,1
2022-06-23,1,0.98435044,1
2022-06-24,-1,0.0004941306,-1
2022-06-27,-1,0.009367233,-1
2022-06-28,1,0.9986713,1
2022-06-29,1,0.18034467,1
2022-06-30,1,0.8990598,1
2022-07-01,1,0.9515418,1
2022-07-04,1,0.98249876,1
2022-07-05,1,0.99999964,1
2022-07-06,1,0.99961865,1
2022-07-07,1,0.64602834,1
2022-07-08,-1,0.0055416804,-1
2022-07-11,1,0.99999833,1
2022-07-12,1,0.3540344,1
2022-07-13,-1,0.24665397,1
2022-07-14,1,0.95614195,1
2022-07-15,-1,7.959058e-06,-1
2022-07-18,-1,0.017427634,-1
2022-07-19,-1,2.6008001e-07,-1
2022-07-20,1,0.99931824,1
2022-07-21,-1,0.00011391613,-1
2022-07-22,-1,0.040759392,1
2022-07-25,-1,0.00069384044,-1
2022-07-26,1,0.99999607,1
2022-07-27,-1,0.0025245573,-1
2022-07-28,-1,0.0058219135,-1
2022-07-29,-1,0.0007248903,-1
2022-08-01,-1,0.0020941184,-1
2022-08-02,1,0.9996469,1
2022-08-03,-1,0.0014329534,-1
2022-08-04,-1,0.007898409,-1
2022-08-05,1,0.9975715,1
2022-08-08,-1,0.0028941308,-1
2022-08-09,-1,0.3814343,1
2022-08-10,-1,2.9433919e-05,-1
2022-08-11,-1,0.09420886,1
2022-08-12,1,0.47073188,1
2022-08-15,1,0.9999757,1
2022-08-16,-1,0.0035301584,-1
2022-08-17,1,0.9970696,1
2022-08-18,1,0.99995244,1
2022-08-19,1,0.99459887,1
2022-08-22,1,0.99962664,1
2022-08-23,-1,0.010281074,-1
2022-08-24,-1,0.11653728,1
2022-08-25,-1,0.00037576334,-1
2022-08-26,-1,0.10804556,1
2022-08-29,-1,0.0018046218,-1
2022-08-30,-1,0.003171231,-1
2022-08-31,-1,0.00053429167,-1
2022-09-01,1,0.99767715,1
2022-09-02,0,0.020879341,-1
2022-09-05,1,0.8994575,1
2022-09-06,1,0.9643444,1
2022-09-07,-1,5.1315064e-06,-1
2022-09-08,-1,0.02098891,-1
2022-09-09,-1,0.00028822367,-1
2022-09-12,-1,0.00047495004,-1
2022-09-13,1,0.99999917,1
2022-09-14,-1,0.0024036579,-1
2022-09-15,1,0.18260133,1
2022-09-16,-1,0.0011736266,-1
2022-09-19,-1,0.0023985445,-1
2022-09-20,1,0.9998097,1
2022-09-21,1,0.99999404,1
2022-09-22,-1,0.00016630086,-1
2022-09-23,1,0.999974,1
2022-09-26,1,0.95391744,1
2022-09-27,1,0.98885685,1
2022-09-28,-1,1.0252664e-05,-1
2022-09-29,1,0.8355406,1
2022-09-30,1,0.18362363,1
2022-10-03,-1,8.109451e-05,-1
2022-10-04,-1,2.2867536e-07,-1
2022-10-05,1,0.9997292,1
2022-10-06,1,0.99999845,1
2022-10-07,-1,0.0026120252,-1
2022-10-10,1,0.5571784,1
2022-10-11,-1,0.012685884,-1
2022-10-12,-1,0.023845475,-1
2022-10-13,-1,2.5217702e-07,-1
2022-10-14,1,0.9611245,1
2022-10-17,-1,1.6433559e-06,-1
2022-10-18,-1,0.0046036537,-1
