time,Actual Movement,Predictions,Predicted
2022-08-05,-1,0.0016936096,-1
2022-08-08,1,0.9905021,1
2022-08-09,1,0.99961483,1
2022-08-10,-1,0.00074098917,-1
2022-08-11,1,0.96584195,1
2022-08-12,-1,0.00029042212,-1
2022-08-15,1,0.9999999,1
2022-08-16,1,0.99948454,1
2022-08-17,-1,0.049769636,-1
2022-08-18,1,0.99887043,1
2022-08-19,-1,0.00045625525,-1
2022-08-22,1,0.99995935,1
2022-08-23,1,0.99823016,1
2022-08-24,-1,5.476655e-07,-1
2022-08-25,1,0.9965695,1
2022-08-26,-1,0.0059788306,-1
2022-08-29,-1,9.207454e-05,-1
2022-08-30,-1,1.7220053e-06,-1
2022-08-31,-1,0.015431889,-1
2022-09-01,1,0.8310015,1
2022-09-02,1,0.1581401,-1
2022-09-05,1,0.9965443,1
2022-09-06,-1,0.046902083,-1
2022-09-07,-1,6.429206e-08,-1
2022-09-08,1,0.9989066,1
2022-09-09,-1,0.22199297,-1
2022-09-12,1,0.9888416,1
2022-09-13,1,0.9949221,1
2022-09-14,1,0.9999989,1
2022-09-15,1,0.99704593,1
2022-09-16,-1,5.528999e-06,-1
2022-09-19,-1,6.846412e-06,-1
2022-09-20,1,0.9996605,1
2022-09-21,1,0.9999604,1
2022-09-22,-1,0.0001239863,-1
2022-09-23,1,0.46725446,1
2022-09-26,1,0.8711706,1
2022-09-27,-1,0.0071661635,-1
2022-09-28,1,0.9998944,1
2022-09-29,1,0.99999535,1
2022-09-30,1,0.01559261,-1
2022-10-03,-1,1.1391983e-05,-1
2022-10-04,1,0.8652701,1
2022-10-05,1,0.95510656,1
2022-10-06,1,0.95382744,1
2022-10-07,1,0.4412664,1
2022-10-10,1,0.90813667,1
2022-10-11,1,0.9966215,1
2022-10-12,1,0.9523011,1
2022-10-13,-1,5.763934e-05,-1
2022-10-14,-1,2.261883e-09,-1
2022-10-17,-1,7.867116e-05,-1
2022-10-18,1,0.9962029,1
2022-10-19,1,0.32409334,1
2022-10-20,-1,3.7920592e-05,-1
2022-10-21,-1,0.9515266,1
2022-10-24,1,0.9999981,1
2022-10-25,1,0.11741423,-1
2022-10-26,-1,2.075146e-05,-1
2022-10-27,1,0.9898947,1
2022-10-28,1,0.9988921,1
2022-10-31,-1,0.002581863,-1
2022-11-01,-1,0.0028988393,-1
2022-11-02,1,0.9935819,1
2022-11-03,-1,0.0054477016,-1
2022-11-04,-1,0.0009103106,-1
2022-11-07,-1,0.0071812426,-1
2022-11-08,1,0.9992312,1
2022-11-09,-1,0.02019578,-1
2022-11-10,-1,0.023319693,-1
2022-11-11,1,0.9999201,1
2022-11-14,1,0.9996145,1
2022-11-15,1,0.99810326,1
2022-11-16,-1,0.000147874,-1
2022-11-17,1,0.9740936,1
2022-11-18,-1,4.424144e-06,-1
2022-11-21,1,0.9939213,1
2022-11-22,-1,3.8151684e-05,-1
2022-11-23,1,0.99984753,1
2022-11-24,1,0.9856205,1
2022-11-25,-1,4.2245475e-07,-1
2022-11-28,-1,0.0076366034,-1
2022-11-29,-1,0.021846423,-1
2022-11-30,1,0.9987723,1
2022-12-01,1,0.99607927,1
2022-12-02,-1,3.2503624e-05,-1
2022-12-05,1,0.99981695,1
2022-12-06,-1,1.351258e-05,-1
2022-12-07,1,0.31257534,1
2022-12-08,1,0.99998415,1
2022-12-09,1,0.020880116,-1
2022-12-12,-1,1.2224485e-05,-1
2022-12-13,-1,1.8369117e-05,-1
2022-12-14,-1,1.1301864e-05,-1
2022-12-15,1,0.9969729,1
2022-12-16,-1,0.0055323937,-1
2022-12-19,-1,0.0033187934,-1
2022-12-20,-1,0.03637397,-1
2022-12-21,1,0.8903677,1
2022-12-22,-1,0.011134722,-1
2022-12-23,-1,0.053013857,-1
2022-12-27,1,0.99185115,1
2022-12-28,1,0.9532103,1
2022-12-29,-1,0.0016601755,-1
2022-12-30,-1,0.047916766,-1
