time,Actual Movement,Predictions,Predicted
2019-07-03 18:00:00,1,0.7938685,1
2019-07-03 20:00:00,1,0.76058453,1
2019-07-03 22:00:00,-1,0.13561633,-1
2019-07-04 00:00:00,-1,0.056620132,-1
2019-07-04 02:00:00,1,0.14805631,-1
2019-07-04 04:00:00,-1,0.13558638,-1
2019-07-04 06:00:00,1,0.13807775,-1
2019-07-04 08:00:00,1,0.38882095,-1
2019-07-04 10:00:00,-1,0.17278636,-1
2019-07-04 12:00:00,-1,0.013868733,-1
2019-07-04 14:00:00,-1,0.018035356,-1
2019-07-04 16:00:00,1,0.13583748,-1
2019-07-04 18:00:00,-1,0.078992136,-1
2019-07-04 20:00:00,1,0.16112342,-1
2019-07-04 22:00:00,-1,0.23367919,-1
2019-07-05 00:00:00,-1,0.22294982,-1
2019-07-05 02:00:00,1,0.9086233,1
2019-07-05 04:00:00,-1,0.5506884,1
2019-07-05 06:00:00,1,0.51893294,1
2019-07-05 08:00:00,1,0.96283895,1
2019-07-05 10:00:00,1,0.92525804,1
2019-07-05 12:00:00,1,0.6750712,1
2019-07-05 14:00:00,1,0.9273747,1
2019-07-05 16:00:00,1,0.9629519,1
2019-07-05 18:00:00,1,0.96696246,1
2019-07-05 20:00:00,-1,0.73352283,1
2019-07-05 22:00:00,-1,0.59302056,1
2019-07-08 00:00:00,-1,0.30791807,-1
2019-07-08 02:00:00,1,0.4438308,1
2019-07-08 04:00:00,-1,0.05973779,-1
2019-07-08 06:00:00,-1,0.055421967,-1
2019-07-08 08:00:00,1,0.31586426,-1
2019-07-08 10:00:00,1,0.3479213,-1
2019-07-08 12:00:00,1,0.59957916,1
2019-07-08 14:00:00,-1,0.50691277,1
2019-07-08 16:00:00,1,0.8268762,1
2019-07-08 18:00:00,-1,0.6501237,1
2019-07-08 20:00:00,1,0.79910827,1
2019-07-08 22:00:00,1,0.7871747,1
2019-07-09 00:00:00,-1,0.5565523,1
2019-07-09 02:00:00,1,0.7366795,1
2019-07-09 04:00:00,-1,0.094282806,-1
2019-07-09 06:00:00,1,0.18849023,-1
2019-07-09 08:00:00,1,0.35191542,-1
2019-07-09 10:00:00,-1,0.23887391,-1
2019-07-09 12:00:00,1,0.2786762,-1
2019-07-09 14:00:00,-1,0.007706637,-1
2019-07-09 16:00:00,1,0.05658777,-1
2019-07-09 18:00:00,-1,0.07323914,-1
2019-07-09 20:00:00,1,0.3585674,-1
2019-07-09 22:00:00,1,0.5362971,1
2019-07-10 00:00:00,-1,0.36889535,-1
2019-07-10 02:00:00,1,0.6286997,1
2019-07-10 04:00:00,-1,0.13218,-1
2019-07-10 06:00:00,-1,0.13000403,-1
2019-07-10 08:00:00,-1,0.09954524,-1
2019-07-10 10:00:00,-1,0.06300758,-1
2019-07-10 12:00:00,1,0.4885799,1
2019-07-10 14:00:00,-1,0.090429544,-1
2019-07-10 16:00:00,1,0.3700922,-1
2019-07-10 18:00:00,-1,0.270561,-1
2019-07-10 20:00:00,-1,0.21996722,-1
