,time,action,position,entry_price,close_price,profit,balance
0,2019-07-03 18:00:00,open,long,0.98656,,,9999.99
1,2019-07-03 22:00:00,close,neutral,,0.98649,-0.700000000000145,9999.279999999999
2,2019-07-03 22:00:00,open,short,0.98649,,,9999.269999999999
3,2019-07-05 02:00:00,close,neutral,,0.98533,11.599999999999389,10010.859999999999
4,2019-07-05 02:00:00,open,long,0.98533,,,10010.849999999999
5,2019-07-08 00:00:00,close,neutral,,0.99115,58.19999999999936,10069.039999999997
6,2019-07-08 00:00:00,open,short,0.99115,,,10069.029999999997
7,2019-07-08 02:00:00,close,neutral,,0.99131,-1.60000000000049,10067.419999999996
8,2019-07-08 02:00:00,open,long,0.99131,,,10067.409999999996
9,2019-07-08 04:00:00,close,neutral,,0.99023,-10.799999999999699,10056.599999999997
10,2019-07-08 04:00:00,open,short,0.99023,,,10056.589999999997
11,2019-07-08 12:00:00,close,neutral,,0.992,-17.699999999999385,10038.879999999997
12,2019-07-08 12:00:00,open,long,0.992,,,10038.869999999997
13,2019-07-09 04:00:00,close,neutral,,0.99386,18.599999999999728,10057.459999999997
14,2019-07-09 04:00:00,open,short,0.99386,,,10057.449999999997
15,2019-07-09 22:00:00,close,neutral,,0.99365,2.0999999999993246,10059.539999999997
16,2019-07-09 22:00:00,open,long,0.99365,,,10059.529999999997
17,2019-07-10 00:00:00,close,neutral,,0.99363,-0.20000000000020002,10059.319999999996
18,2019-07-10 00:00:00,open,short,0.99363,,,10059.309999999996
19,2019-07-10 02:00:00,close,neutral,,0.99392,-2.9000000000001247,10056.399999999996
20,2019-07-10 02:00:00,open,long,0.99392,,,10056.389999999996
21,2019-07-10 04:00:00,close,neutral,,0.99326,-6.599999999999939,10049.779999999995
22,2019-07-10 04:00:00,open,short,0.99326,,,10049.769999999995
23,2019-07-10 12:00:00,close,neutral,,0.9917,15.600000000000058,10065.359999999995
24,2019-07-10 12:00:00,open,long,0.9917,,,10065.349999999995
25,2019-07-10 14:00:00,close,neutral,,0.98915,-25.500000000000522,10039.839999999995
26,2019-07-10 14:00:00,open,short,0.98915,,,10039.829999999994
27,2019-07-11 08:00:00,close,neutral,,0.98721,19.399999999999416,10059.219999999994
28,2019-07-11 08:00:00,open,long,0.98721,,,10059.209999999994
29,2019-07-11 10:00:00,close,neutral,,0.98565,-15.600000000000058,10043.599999999993
30,2019-07-11 10:00:00,open,short,0.98565,,,10043.589999999993
31,2019-07-11 12:00:00,close,neutral,,0.98597,-3.1999999999998696,10040.379999999994
32,2019-07-11 12:00:00,open,long,0.98597,,,10040.369999999994
33,2019-07-12 00:00:00,close,neutral,,0.98981,38.399999999999544,10078.759999999993
34,2019-07-12 00:00:00,open,short,0.98981,,,10078.749999999993
35,2019-07-12 02:00:00,close,neutral,,0.99032,-5.1000000000001044,10073.639999999992
36,2019-07-12 02:00:00,open,long,0.99032,,,10073.629999999992
37,2019-07-12 04:00:00,close,neutral,,0.98973,-5.899999999999794,10067.719999999992
38,2019-07-12 04:00:00,open,short,0.98973,,,10067.709999999992
39,2019-07-15 04:00:00,close,neutral,,0.98495,47.80000000000007,10115.499999999993
40,2019-07-15 04:00:00,open,long,0.98495,,,10115.489999999993
41,2019-07-15 08:00:00,close,neutral,,0.98319,-17.599999999999838,10097.879999999992
42,2019-07-15 08:00:00,open,short,0.98319,,,10097.869999999992
43,2019-07-15 14:00:00,close,neutral,,0.98284,3.4999999999996145,10101.359999999991
44,2019-07-15 14:00:00,open,long,0.98284,,,10101.349999999991
45,2019-07-15 22:00:00,close,neutral,,0.98449,16.499999999999293,10117.839999999991
46,2019-07-15 22:00:00,open,short,0.98449,,,10117.82999999999
47,2019-07-16 02:00:00,close,neutral,,0.98492,-4.300000000000415,10113.51999999999
48,2019-07-16 02:00:00,open,long,0.98492,,,10113.50999999999
49,2019-07-16 08:00:00,close,neutral,,0.98414,-7.800000000000029,10105.69999999999
50,2019-07-16 08:00:00,open,short,0.98414,,,10105.68999999999
51,2019-07-16 12:00:00,close,neutral,,0.98608,-19.399999999999416,10086.27999999999
52,2019-07-16 12:00:00,open,long,0.98608,,,10086.26999999999
53,2019-07-16 22:00:00,close,neutral,,0.98782,17.400000000000748,10103.65999999999
54,2019-07-16 22:00:00,open,short,0.98782,,,10103.64999999999
55,2019-07-17 02:00:00,close,neutral,,0.98802,-1.9999999999997797,10101.63999999999
56,2019-07-17 02:00:00,open,long,0.98802,,,10101.62999999999
57,2019-07-17 04:00:00,close,neutral,,0.98742,-6.000000000000449,10095.61999999999
58,2019-07-17 04:00:00,open,short,0.98742,,,10095.60999999999
59,2019-07-17 08:00:00,close,neutral,,0.9889,-14.800000000000368,10080.79999999999
60,2019-07-17 08:00:00,open,long,0.9889,,,10080.78999999999
61,2019-07-17 14:00:00,close,neutral,,0.98915,2.4999999999997247,10083.27999999999
62,2019-07-17 14:00:00,open,short,0.98915,,,10083.26999999999
63,2019-07-17 22:00:00,close,neutral,,0.98736,17.899999999999583,10101.159999999989
64,2019-07-17 22:00:00,open,long,0.98736,,,10101.149999999989
65,2019-07-18 00:00:00,close,neutral,,0.9871,-2.60000000000038,10098.539999999988
66,2019-07-18 00:00:00,open,short,0.9871,,,10098.529999999988
67,2019-07-18 12:00:00,close,neutral,,0.98834,-12.400000000000189,10086.119999999988
68,2019-07-18 12:00:00,open,long,0.98834,,,10086.109999999988
69,2019-07-18 20:00:00,close,neutral,,0.98292,-54.199999999999804,10031.899999999989
70,2019-07-18 20:00:00,open,short,0.98292,,,10031.889999999989
71,2019-07-19 00:00:00,close,neutral,,0.98357,-6.500000000000394,10025.379999999988
72,2019-07-19 00:00:00,open,long,0.98357,,,10025.369999999988
73,2019-07-19 04:00:00,close,neutral,,0.98232,-12.500000000000844,10012.859999999988
74,2019-07-19 04:00:00,open,short,0.98232,,,10012.849999999988
75,2019-07-19 06:00:00,close,neutral,,0.98336,-10.400000000000409,10002.439999999988
76,2019-07-19 06:00:00,open,long,0.98336,,,10002.429999999988
77,2019-07-19 12:00:00,close,neutral,,0.9824,-9.599999999999609,9992.819999999989
78,2019-07-19 12:00:00,open,short,0.9824,,,9992.809999999989
79,2019-07-19 20:00:00,close,neutral,,0.98261,-2.0999999999993246,9990.69999999999
80,2019-07-19 20:00:00,open,long,0.98261,,,9990.68999999999
81,2019-07-19 22:00:00,close,neutral,,0.98165,-9.599999999999609,9981.07999999999
82,2019-07-19 22:00:00,open,short,0.98165,,,9981.06999999999
83,2019-07-22 00:00:00,close,neutral,,0.98214,-4.899999999999904,9976.15999999999
84,2019-07-22 00:00:00,open,long,0.98214,,,9976.14999999999
85,2019-07-22 08:00:00,close,neutral,,0.9824,2.60000000000038,9978.73999999999
86,2019-07-22 08:00:00,open,short,0.9824,,,9978.72999999999
87,2019-07-22 18:00:00,close,neutral,,0.98127,11.300000000000754,9990.019999999991
88,2019-07-22 18:00:00,open,long,0.98127,,,9990.009999999991
89,2019-07-23 12:00:00,close,neutral,,0.9831,18.299999999999983,10008.299999999992
90,2019-07-23 12:00:00,open,short,0.9831,,,10008.289999999992
91,2019-07-23 16:00:00,close,neutral,,0.9851,-20.000000000000018,9988.279999999992
92,2019-07-23 16:00:00,open,long,0.9851,,,9988.269999999991
93,2019-07-23 20:00:00,close,neutral,,0.98544,3.4000000000000696,9991.65999999999
94,2019-07-23 20:00:00,open,short,0.98544,,,9991.64999999999
95,2019-07-24 02:00:00,close,neutral,,0.98576,-3.1999999999998696,9988.439999999991
96,2019-07-24 02:00:00,open,long,0.98576,,,9988.429999999991
97,2019-07-24 08:00:00,close,neutral,,0.9863,5.399999999999849,9993.81999999999
98,2019-07-24 08:00:00,open,short,0.9863,,,9993.80999999999
99,2019-07-24 20:00:00,close,neutral,,0.98573,5.699999999999594,9999.499999999989
100,2019-07-24 20:00:00,open,long,0.98573,,,9999.489999999989
101,2019-07-24 22:00:00,close,neutral,,0.98485,-8.799999999999919,9990.67999999999
102,2019-07-24 22:00:00,open,short,0.98485,,,9990.66999999999
103,2019-07-25 02:00:00,close,neutral,,0.98485,0.0,9990.659999999989
104,2019-07-25 02:00:00,open,long,0.98485,,,9990.649999999989
105,2019-07-26 02:00:00,close,neutral,,0.99045,56.0000000000005,10046.639999999989
106,2019-07-26 02:00:00,open,short,0.99045,,,10046.629999999988
107,2019-07-26 06:00:00,close,neutral,,0.99089,-4.3999999999999595,10042.219999999988
108,2019-07-26 06:00:00,open,long,0.99089,,,10042.209999999988
109,2019-07-26 08:00:00,close,neutral,,0.99086,-0.30000000000085514,10041.899999999987
110,2019-07-26 08:00:00,open,short,0.99086,,,10041.889999999987
111,2019-07-26 10:00:00,close,neutral,,0.99176,-9.000000000000119,10032.879999999986
112,2019-07-26 10:00:00,open,long,0.99176,,,10032.869999999986
113,2019-07-26 22:00:00,close,neutral,,0.9932,14.399999999999968,10047.259999999986
114,2019-07-26 22:00:00,open,short,0.9932,,,10047.249999999985
115,2019-07-29 06:00:00,close,neutral,,0.99314,0.5999999999994898,10047.839999999986
116,2019-07-29 06:00:00,open,long,0.99314,,,10047.829999999985
117,2019-07-29 08:00:00,close,neutral,,0.99287,-2.6999999999999247,10045.119999999986
118,2019-07-29 08:00:00,open,short,0.99287,,,10045.109999999986
119,2019-07-29 14:00:00,close,neutral,,0.99223,6.4000000000008495,10051.499999999987
120,2019-07-29 14:00:00,open,long,0.99223,,,10051.489999999987
121,2019-07-29 18:00:00,close,neutral,,0.9921,-1.2999999999996348,10050.179999999988
122,2019-07-29 18:00:00,open,short,0.9921,,,10050.169999999987
123,2019-07-30 02:00:00,close,neutral,,0.99164,4.6000000000001595,10054.759999999987
124,2019-07-30 02:00:00,open,long,0.99164,,,10054.749999999987
125,2019-07-30 04:00:00,close,neutral,,0.991,-6.399999999999739,10048.339999999987
126,2019-07-30 04:00:00,open,short,0.991,,,10048.329999999987
127,2019-07-30 06:00:00,close,neutral,,0.9916,-6.000000000000449,10042.319999999987
128,2019-07-30 06:00:00,open,long,0.9916,,,10042.309999999987
129,2019-07-30 10:00:00,close,neutral,,0.99044,-11.600000000000499,10030.699999999986
130,2019-07-30 10:00:00,open,short,0.99044,,,10030.689999999986
131,2019-07-30 16:00:00,close,neutral,,0.99134,-9.000000000000119,10021.679999999986
132,2019-07-30 16:00:00,open,long,0.99134,,,10021.669999999986
133,2019-07-30 18:00:00,close,neutral,,0.9906,-7.399999999999629,10014.259999999986
134,2019-07-30 18:00:00,open,short,0.9906,,,10014.249999999985
135,2019-07-31 02:00:00,close,neutral,,0.99013,4.700000000000815,10018.939999999986
136,2019-07-31 02:00:00,open,long,0.99013,,,10018.929999999986
137,2019-07-31 08:00:00,close,neutral,,0.99035,2.1999999999999797,10021.119999999986
138,2019-07-31 08:00:00,open,short,0.99035,,,10021.109999999986
139,2019-07-31 10:00:00,close,neutral,,0.99065,-3.00000000000078,10018.099999999986
140,2019-07-31 10:00:00,open,long,0.99065,,,10018.089999999986
141,2019-07-31 12:00:00,close,neutral,,0.98987,-7.800000000000029,10010.279999999986
142,2019-07-31 12:00:00,open,short,0.98987,,,10010.269999999986
143,2019-07-31 16:00:00,close,neutral,,0.98977,0.9999999999998899,10011.259999999986
144,2019-07-31 16:00:00,open,long,0.98977,,,10011.249999999985
145,2019-08-01 10:00:00,close,neutral,,0.99492,51.49999999999988,10062.739999999985
146,2019-08-01 10:00:00,open,short,0.99492,,,10062.729999999985
147,2019-08-02 20:00:00,close,neutral,,0.98238,125.39999999999995,10188.119999999984
148,2019-08-02 20:00:00,open,long,0.98238,,,10188.109999999984
149,2019-08-02 22:00:00,close,neutral,,0.9823,-0.8000000000008001,10187.299999999983
150,2019-08-02 22:00:00,open,short,0.9823,,,10187.289999999983
151,2019-08-05 20:00:00,close,neutral,,0.97362,86.7999999999991,10274.079999999982
152,2019-08-05 20:00:00,open,long,0.97362,,,10274.069999999982
153,2019-08-06 00:00:00,close,neutral,,0.97155,-20.700000000000163,10253.35999999998
154,2019-08-06 00:00:00,open,short,0.97155,,,10253.34999999998
155,2019-08-06 04:00:00,close,neutral,,0.97281,-12.599999999999278,10240.739999999982
156,2019-08-06 04:00:00,open,long,0.97281,,,10240.729999999981
157,2019-08-06 18:00:00,close,neutral,,0.97647,36.599999999999966,10277.319999999982
158,2019-08-06 18:00:00,open,short,0.97647,,,10277.309999999981
159,2019-08-06 20:00:00,close,neutral,,0.9769,-4.300000000000415,10272.99999999998
160,2019-08-06 20:00:00,open,long,0.9769,,,10272.98999999998
