,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-16 18:00:00,-1,0.97799337,1,1.24227,
1,2019-09-16 20:00:00,1,0.99855286,1,1.24271,1.24227
2,2019-09-16 22:00:00,1,0.9965089,1,1.2428,1.24271
3,2019-09-17 00:00:00,-1,0.81337184,-1,1.24184,1.2428
4,2019-09-17 02:00:00,-1,0.9345254,-1,1.24122,1.24184
5,2019-09-17 04:00:00,1,0.998862,1,1.24163,1.24122
6,2019-09-17 06:00:00,1,0.9974813,1,1.24182,1.24163
7,2019-09-17 08:00:00,-1,0.11335157,-1,1.24024,1.24182
8,2019-09-17 10:00:00,-1,0.97045904,1,1.2402,1.24024
9,2019-09-17 12:00:00,1,0.9999987,1,1.24217,1.2402
10,2019-09-17 14:00:00,1,1.0,1,1.24843,1.24217
11,2019-09-17 16:00:00,1,0.9978333,1,1.2502,1.24843
12,2019-09-17 18:00:00,-1,0.9936661,1,1.25008,1.2502
13,2019-09-17 20:00:00,-1,0.9992131,1,1.24984,1.25008
14,2019-09-17 22:00:00,1,0.9999027,1,1.25011,1.24984
15,2019-09-18 00:00:00,-1,0.6803786,-1,1.24866,1.25011
16,2019-09-18 02:00:00,1,0.99885535,1,1.24908,1.24866
17,2019-09-18 04:00:00,-1,0.8620727,-1,1.2485,1.24908
18,2019-09-18 06:00:00,1,0.9916774,1,1.24868,1.2485
19,2019-09-18 08:00:00,-1,5.963819e-05,-1,1.24478,1.24868
20,2019-09-18 10:00:00,1,0.9995865,1,1.2462,1.24478
21,2019-09-18 12:00:00,1,0.9068553,-1,1.2464,1.2462
22,2019-09-18 14:00:00,1,0.99986804,1,1.24832,1.2464
23,2019-09-18 16:00:00,-1,0.87071043,-1,1.24783,1.24832
24,2019-09-18 18:00:00,-1,0.40540618,-1,1.2464,1.24783
25,2019-09-18 20:00:00,1,0.9992555,1,1.24691,1.2464
26,2019-09-18 22:00:00,1,0.999728,1,1.24758,1.24691
27,2019-09-19 00:00:00,-1,0.82654494,-1,1.24657,1.24758
28,2019-09-19 02:00:00,1,0.9967566,1,1.2467,1.24657
29,2019-09-19 04:00:00,1,0.99993885,1,1.24776,1.2467
30,2019-09-19 06:00:00,-1,0.9829707,1,1.24735,1.24776
31,2019-09-19 08:00:00,1,0.9999932,1,1.24941,1.24735
32,2019-09-19 10:00:00,-1,0.0004814654,-1,1.24458,1.24941
33,2019-09-19 12:00:00,1,0.9999999,1,1.24817,1.24458
34,2019-09-19 14:00:00,1,0.9879687,1,1.24852,1.24817
35,2019-09-19 16:00:00,1,0.9961534,1,1.24894,1.24852
36,2019-09-19 18:00:00,1,0.99999964,1,1.25347,1.24894
37,2019-09-19 20:00:00,-1,0.3807071,-1,1.25202,1.25347
38,2019-09-19 22:00:00,1,0.9994356,1,1.25222,1.25202
39,2019-09-20 00:00:00,1,0.99878186,1,1.2525,1.25222
40,2019-09-20 02:00:00,1,0.99997187,1,1.25446,1.2525
41,2019-09-20 04:00:00,1,0.9995233,1,1.25573,1.25446
42,2019-09-20 06:00:00,1,0.9991696,1,1.2566,1.25573
43,2019-09-20 08:00:00,-1,0.0018562655,-1,1.25307,1.2566
44,2019-09-20 10:00:00,-1,0.02129231,-1,1.25014,1.25307
45,2019-09-20 12:00:00,-1,0.13520512,-1,1.24827,1.25014
46,2019-09-20 14:00:00,1,0.99971086,1,1.25,1.24827
47,2019-09-20 16:00:00,-1,0.15021758,-1,1.24839,1.25
48,2019-09-20 18:00:00,-1,0.9165079,-1,1.24747,1.24839
49,2019-09-20 20:00:00,-1,0.98224026,1,1.24687,1.24747
50,2019-09-23 00:00:00,1,0.9987436,1,1.24719,1.24687
51,2019-09-23 02:00:00,1,0.99968755,1,1.24785,1.24719
52,2019-09-23 04:00:00,1,0.9998994,1,1.24846,1.24785
53,2019-09-23 06:00:00,-1,0.9988267,1,1.24826,1.24846
54,2019-09-23 08:00:00,-1,0.0389247,-1,1.24494,1.24826
55,2019-09-23 10:00:00,-1,0.5768592,-1,1.24353,1.24494
56,2019-09-23 12:00:00,-1,0.2614791,-1,1.24213,1.24353
57,2019-09-23 14:00:00,-1,0.8721624,-1,1.242,1.24213
58,2019-09-23 16:00:00,1,0.9984824,1,1.24288,1.242
59,2019-09-23 18:00:00,1,0.995167,1,1.24315,1.24288
60,2019-09-23 20:00:00,1,0.9992514,1,1.24352,1.24315
61,2019-09-23 22:00:00,-1,0.9943826,1,1.2433,1.24352
62,2019-09-24 00:00:00,1,0.99948055,1,1.24355,1.2433
63,2019-09-24 02:00:00,1,0.9986304,1,1.24356,1.24355
64,2019-09-24 04:00:00,-1,0.9950837,1,1.24336,1.24356
65,2019-09-24 06:00:00,-1,0.88937914,-1,1.24274,1.24336
66,2019-09-24 08:00:00,1,0.99998605,1,1.24357,1.24274
67,2019-09-24 10:00:00,-1,0.9229083,-1,1.24277,1.24357
68,2019-09-24 12:00:00,1,0.9999989,1,1.24439,1.24277
69,2019-09-24 14:00:00,1,1.0,1,1.2482,1.24439
70,2019-09-24 16:00:00,-1,0.97491723,1,1.24779,1.2482
71,2019-09-24 18:00:00,1,0.99991906,1,1.24866,1.24779
72,2019-09-24 20:00:00,1,0.99987614,1,1.24939,1.24866
73,2019-09-24 22:00:00,-1,0.9986559,1,1.24926,1.24939
74,2019-09-25 00:00:00,-1,0.9987049,1,1.24913,1.24926
75,2019-09-25 02:00:00,-1,0.24480018,-1,1.24787,1.24913
76,2019-09-25 04:00:00,-1,0.39107415,-1,1.24718,1.24787
77,2019-09-25 06:00:00,-1,0.1132772,-1,1.24641,1.24718
78,2019-09-25 08:00:00,1,0.9989359,1,1.24765,1.24641
79,2019-09-25 10:00:00,-1,4.585822e-05,-1,1.24327,1.24765
80,2019-09-25 12:00:00,-1,0.43391964,-1,1.24135,1.24327
81,2019-09-25 14:00:00,-1,0.019945173,-1,1.23831,1.24135
82,2019-09-25 16:00:00,-1,0.81781083,-1,1.23778,1.23831
83,2019-09-25 18:00:00,-1,0.011962811,-1,1.23544,1.23778
84,2019-09-25 20:00:00,-1,0.85840935,-1,1.23474,1.23544
85,2019-09-25 22:00:00,1,0.99502665,1,1.23514,1.23474
86,2019-09-26 00:00:00,1,0.9981408,1,1.23569,1.23514
87,2019-09-26 02:00:00,1,0.9963617,1,1.23587,1.23569
88,2019-09-26 04:00:00,1,0.999997,1,1.23729,1.23587
89,2019-09-26 06:00:00,-1,0.99934524,1,1.23711,1.23729
90,2019-09-26 08:00:00,-1,0.70085317,-1,1.23516,1.23711
91,2019-09-26 10:00:00,-1,0.25181136,-1,1.23262,1.23516
92,2019-09-26 12:00:00,1,0.9999944,1,1.23414,1.23262
93,2019-09-26 14:00:00,1,0.99806076,1,1.23455,1.23414
94,2019-09-26 16:00:00,-1,0.70025814,-1,1.23363,1.23455
95,2019-09-26 18:00:00,-1,0.9816636,1,1.23341,1.23363
96,2019-09-26 20:00:00,-1,0.7063938,-1,1.23271,1.23341
97,2019-09-26 22:00:00,-1,0.7616901,-1,1.23217,1.23271
98,2019-09-27 00:00:00,1,0.9955147,1,1.23247,1.23217
99,2019-09-27 02:00:00,1,0.992781,1,1.23263,1.23247
100,2019-09-27 04:00:00,1,0.9953243,1,1.23273,1.23263
101,2019-09-27 06:00:00,-1,0.9928919,1,1.23269,1.23273
102,2019-09-27 08:00:00,-1,0.99206275,1,1.23268,1.23269
103,2019-09-27 10:00:00,-1,2.842107e-05,-1,1.22839,1.23268
104,2019-09-27 12:00:00,1,0.99999857,1,1.23054,1.22839
105,2019-09-27 14:00:00,1,0.999897,1,1.23227,1.23054
106,2019-09-27 16:00:00,-1,0.60094464,-1,1.23116,1.23227
107,2019-09-27 18:00:00,-1,0.99243927,1,1.23099,1.23116
108,2019-09-27 20:00:00,-1,0.23705146,-1,1.22895,1.23099
109,2019-09-27 22:00:00,-1,0.9946931,1,1.22875,1.22895
110,2019-09-30 00:00:00,1,0.9978802,1,1.22909,1.22875
111,2019-09-30 02:00:00,-1,0.9847825,1,1.22907,1.22909
112,2019-09-30 04:00:00,-1,0.71398884,-1,1.22835,1.22907
113,2019-09-30 06:00:00,1,0.9999081,1,1.22919,1.22835
114,2019-09-30 08:00:00,-1,0.9970456,1,1.22916,1.22919
115,2019-09-30 10:00:00,1,1.0,1,1.23272,1.22916
116,2019-09-30 12:00:00,-1,0.061180077,-1,1.23015,1.23272
117,2019-09-30 14:00:00,1,0.9989876,1,1.23059,1.23015
118,2019-09-30 16:00:00,1,0.99992883,1,1.23186,1.23059
119,2019-09-30 18:00:00,-1,0.057019148,-1,1.22892,1.23186
120,2019-09-30 20:00:00,1,0.99995434,1,1.22962,1.22892
121,2019-09-30 22:00:00,-1,0.9972344,1,1.22941,1.22962
122,2019-10-01 00:00:00,-1,0.9812998,1,1.22876,1.22941
123,2019-10-01 02:00:00,-1,0.9687621,1,1.22795,1.22876
124,2019-10-01 04:00:00,1,0.9987035,1,1.22805,1.22795
125,2019-10-01 06:00:00,1,0.9998703,1,1.22855,1.22805
126,2019-10-01 08:00:00,-1,0.9815076,1,1.22798,1.22855
127,2019-10-01 10:00:00,1,0.99914753,1,1.2283,1.22798
128,2019-10-01 12:00:00,1,0.99999905,1,1.23003,1.2283
129,2019-10-01 14:00:00,-1,1.6572085e-05,-1,1.22349,1.23003
130,2019-10-01 16:00:00,-1,0.9810004,1,1.22236,1.22349
131,2019-10-01 18:00:00,1,1.0,1,1.2317,1.22236
132,2019-10-01 20:00:00,-1,0.025793435,-1,1.22988,1.2317
133,2019-10-01 22:00:00,1,0.99851197,1,1.23043,1.22988
134,2019-10-02 00:00:00,-1,0.33395383,-1,1.22851,1.23043
135,2019-10-02 02:00:00,1,0.99953914,1,1.22941,1.22851
136,2019-10-02 04:00:00,-1,0.7588255,-1,1.22856,1.22941
137,2019-10-02 06:00:00,-1,0.9760859,1,1.22825,1.22856
138,2019-10-02 08:00:00,-1,0.03657937,-1,1.22583,1.22825
139,2019-10-02 10:00:00,-1,0.012267745,-1,1.22277,1.22583
140,2019-10-02 12:00:00,1,0.9999919,1,1.22494,1.22277
141,2019-10-02 14:00:00,1,0.9996055,1,1.22657,1.22494
142,2019-10-02 16:00:00,1,0.999998,1,1.23024,1.22657
143,2019-10-02 18:00:00,1,0.99011654,1,1.23083,1.23024
