time,Actual Movement,Predictions,Predicted
2020-11-18 12:00:00,-1,0.0659259,-1
2020-11-18 14:00:00,-1,0.81899965,1
2020-11-18 16:00:00,1,0.9807678,1
2020-11-18 18:00:00,-1,0.037906572,-1
2020-11-18 20:00:00,-1,0.6571831,1
2020-11-18 22:00:00,1,0.929139,1
2020-11-19 00:00:00,-1,0.15674478,-1
2020-11-19 02:00:00,-1,0.40610114,-1
2020-11-19 04:00:00,-1,0.26683688,-1
2020-11-19 06:00:00,-1,0.5288325,-1
2020-11-19 08:00:00,1,0.4909131,-1
2020-11-19 10:00:00,-1,0.013714797,-1
2020-11-19 12:00:00,1,0.2765951,-1
2020-11-19 14:00:00,-1,0.030160729,-1
2020-11-19 16:00:00,-1,0.012640068,-1
2020-11-19 18:00:00,-1,0.02803817,-1
2020-11-19 20:00:00,1,0.98114324,1
2020-11-19 22:00:00,-1,0.1375399,-1
2020-11-20 00:00:00,-1,0.1574475,-1
2020-11-20 02:00:00,1,0.9879848,1
2020-11-20 04:00:00,1,0.9280916,1
2020-11-20 06:00:00,1,0.9510853,1
2020-11-20 08:00:00,-1,0.085422374,-1
2020-11-20 10:00:00,-1,0.14592506,-1
2020-11-20 12:00:00,1,0.98946303,1
2020-11-20 14:00:00,-1,0.55032486,-1
2020-11-20 16:00:00,1,0.96541494,1
2020-11-20 18:00:00,1,0.9552382,1
2020-11-20 20:00:00,1,0.9481014,1
2020-11-20 22:00:00,-1,0.15635535,-1
2020-11-23 00:00:00,1,0.8882044,1
2020-11-23 02:00:00,1,0.7966939,1
2020-11-23 04:00:00,-1,0.17415532,-1
2020-11-23 06:00:00,-1,0.31018594,-1
2020-11-23 08:00:00,-1,0.07660909,-1
2020-11-23 10:00:00,1,0.87080044,1
2020-11-23 12:00:00,-1,0.24392533,-1
2020-11-23 14:00:00,-1,0.12782413,-1
2020-11-23 16:00:00,-1,0.00018207905,-1
2020-11-23 18:00:00,1,0.8208159,1
2020-11-23 20:00:00,-1,0.16912483,-1
2020-11-23 22:00:00,1,0.16899571,-1
2020-11-24 00:00:00,1,0.31470653,-1
2020-11-24 02:00:00,1,0.8282555,1
2020-11-24 04:00:00,1,0.96974695,1
2020-11-24 06:00:00,1,0.94354737,1
2020-11-24 08:00:00,1,0.97977304,1
2020-11-24 10:00:00,1,0.9995615,1
2020-11-24 12:00:00,-1,0.68311614,1
2020-11-24 14:00:00,-1,0.67229754,1
2020-11-24 16:00:00,-1,0.2822562,-1
2020-11-24 18:00:00,-1,0.23354746,-1
2020-11-24 20:00:00,-1,0.2722682,-1
2020-11-24 22:00:00,1,0.82970303,1
2020-11-25 00:00:00,1,0.8916026,1
