time,Actual Movement,Predictions,Predicted
2019-07-04 04:00:00,1,0.9009053,1
2019-07-04 06:00:00,-1,0.79176354,-1
2019-07-04 08:00:00,-1,0.020352708,-1
2019-07-04 10:00:00,-1,2.3062372e-05,-1
2019-07-04 12:00:00,1,0.9283401,1
2019-07-04 14:00:00,1,0.9781105,1
2019-07-04 16:00:00,1,0.7876422,-1
2019-07-04 18:00:00,-1,0.5785318,-1
2019-07-04 20:00:00,-1,0.7426132,-1
2019-07-04 22:00:00,1,0.92945373,1
2019-07-05 00:00:00,1,0.99995756,1
2019-07-05 02:00:00,-1,0.03301816,-1
2019-07-05 04:00:00,-1,0.5637594,-1
2019-07-05 06:00:00,-1,0.17540994,-1
2019-07-05 08:00:00,-1,0.06692265,-1
2019-07-05 10:00:00,-1,0.38446987,-1
2019-07-05 12:00:00,-1,0.005222156,-1
2019-07-05 14:00:00,-1,4.2164742e-05,-1
2019-07-05 16:00:00,-1,0.00013156577,-1
2019-07-05 18:00:00,1,0.77227795,-1
2019-07-05 20:00:00,1,0.8307616,-1
2019-07-05 22:00:00,1,0.92381746,1
2019-07-08 00:00:00,1,0.96912956,1
2019-07-08 02:00:00,1,0.9975942,1
2019-07-08 04:00:00,1,0.9956357,1
2019-07-08 06:00:00,1,0.9995401,1
2019-07-08 08:00:00,1,0.9972607,1
2019-07-08 10:00:00,1,0.9999012,1
2019-07-08 12:00:00,-1,0.1575553,-1
2019-07-08 14:00:00,1,0.9996326,1
2019-07-08 16:00:00,-1,0.0014087578,-1
2019-07-08 18:00:00,-1,0.6887894,-1
2019-07-08 20:00:00,-1,0.6535481,-1
2019-07-08 22:00:00,1,0.960297,1
2019-07-09 00:00:00,-1,0.6708847,-1
2019-07-09 02:00:00,1,0.8824329,1
2019-07-09 04:00:00,-1,0.81716126,-1
2019-07-09 06:00:00,1,0.99971527,1
2019-07-09 08:00:00,-1,0.020198083,-1
2019-07-09 10:00:00,-1,0.03398653,-1
2019-07-09 12:00:00,1,0.99901974,1
2019-07-09 14:00:00,1,0.97114843,1
2019-07-09 16:00:00,-1,0.04312134,-1
2019-07-09 18:00:00,1,0.95664275,1
2019-07-09 20:00:00,-1,0.44315478,-1
2019-07-09 22:00:00,1,0.95561856,1
2019-07-10 00:00:00,-1,0.2655792,-1
2019-07-10 02:00:00,-1,0.14733993,-1
2019-07-10 04:00:00,-1,0.5247011,-1
2019-07-10 06:00:00,-1,0.3500005,-1
2019-07-10 08:00:00,1,0.9304529,1
2019-07-10 10:00:00,1,0.97991997,1
2019-07-10 12:00:00,-1,0.04351251,-1
2019-07-10 14:00:00,1,1.0,1
2019-07-10 16:00:00,-1,0.016866796,-1
2019-07-10 18:00:00,1,0.9999714,1
2019-07-10 20:00:00,-1,0.006376159,-1
2019-07-10 22:00:00,1,0.8908831,1
2019-07-11 00:00:00,1,0.998304,1
2019-07-11 02:00:00,-1,0.5569796,-1
2019-07-11 04:00:00,1,0.99990344,1
2019-07-11 06:00:00,1,0.98189676,1
2019-07-11 08:00:00,-1,0.62254775,-1
2019-07-11 10:00:00,1,0.9943599,1
2019-07-11 12:00:00,1,0.952167,1
2019-07-11 14:00:00,1,0.9990458,1
2019-07-11 16:00:00,-1,0.0013040588,-1
2019-07-11 18:00:00,-1,0.5788356,-1
2019-07-11 20:00:00,1,0.6550748,-1
2019-07-11 22:00:00,-1,0.17929386,-1
2019-07-12 00:00:00,1,0.7806486,-1
2019-07-12 02:00:00,1,0.998582,1
2019-07-12 04:00:00,1,0.99923193,1
2019-07-12 06:00:00,1,0.9990783,1
2019-07-12 08:00:00,1,0.995606,1
2019-07-12 10:00:00,-1,0.16665812,-1
