,time,action,position,entry_price,close_price,profit,balance
0,2019-07-04 04:00:00,open,long,0.67061,,,9999.99
1,2019-07-04 06:00:00,close,neutral,,0.6705,-1.100000000000545,9998.88
2,2019-07-04 06:00:00,open,short,0.6705,,,9998.869999999999
3,2019-07-04 12:00:00,close,neutral,,0.66808,24.199999999999775,10023.06
4,2019-07-04 12:00:00,open,long,0.66808,,,10023.05
5,2019-07-04 16:00:00,close,neutral,,0.66867,5.899999999999794,10028.939999999999
6,2019-07-04 16:00:00,open,short,0.66867,,,10028.929999999998
7,2019-07-04 22:00:00,close,neutral,,0.66852,1.4999999999998348,10030.419999999998
8,2019-07-04 22:00:00,open,long,0.66852,,,10030.409999999998
9,2019-07-05 02:00:00,close,neutral,,0.66845,-0.700000000000145,10029.699999999997
10,2019-07-05 02:00:00,open,short,0.66845,,,10029.689999999997
11,2019-07-05 22:00:00,close,neutral,,0.66229,61.59999999999943,10091.279999999997
12,2019-07-05 22:00:00,open,long,0.66229,,,10091.269999999997
13,2019-07-08 12:00:00,close,neutral,,0.66375,14.599999999999058,10105.859999999995
14,2019-07-08 12:00:00,open,short,0.66375,,,10105.849999999995
15,2019-07-08 14:00:00,close,neutral,,0.66435,-6.000000000000449,10099.839999999995
16,2019-07-08 14:00:00,open,long,0.66435,,,10099.829999999994
17,2019-07-08 16:00:00,close,neutral,,0.66268,-16.69999999999949,10083.119999999995
18,2019-07-08 16:00:00,open,short,0.66268,,,10083.109999999995
19,2019-07-08 22:00:00,close,neutral,,0.66261,0.700000000000145,10083.799999999996
20,2019-07-08 22:00:00,open,long,0.66261,,,10083.789999999995
21,2019-07-09 00:00:00,close,neutral,,0.66244,-1.7000000000000348,10082.079999999996
22,2019-07-09 00:00:00,open,short,0.66244,,,10082.069999999996
23,2019-07-09 02:00:00,close,neutral,,0.66246,-0.20000000000020002,10081.859999999995
24,2019-07-09 02:00:00,open,long,0.66246,,,10081.849999999995
25,2019-07-09 04:00:00,close,neutral,,0.66241,-0.49999999999994493,10081.339999999995
26,2019-07-09 04:00:00,open,short,0.66241,,,10081.329999999994
27,2019-07-09 06:00:00,close,neutral,,0.6629,-4.899999999999904,10076.419999999995
28,2019-07-09 06:00:00,open,long,0.6629,,,10076.409999999994
29,2019-07-09 08:00:00,close,neutral,,0.66173,-11.700000000000044,10064.699999999993
30,2019-07-09 08:00:00,open,short,0.66173,,,10064.689999999993
31,2019-07-09 12:00:00,close,neutral,,0.66123,5.0000000000005596,10069.679999999993
32,2019-07-09 12:00:00,open,long,0.66123,,,10069.669999999993
33,2019-07-09 16:00:00,close,neutral,,0.66053,-7.000000000000339,10062.659999999993
34,2019-07-09 16:00:00,open,short,0.66053,,,10062.649999999992
35,2019-07-09 18:00:00,close,neutral,,0.66071,-1.80000000000069,10060.839999999991
36,2019-07-09 18:00:00,open,long,0.66071,,,10060.82999999999
37,2019-07-09 20:00:00,close,neutral,,0.66047,-2.4000000000001798,10058.419999999991
38,2019-07-09 20:00:00,open,short,0.66047,,,10058.40999999999
39,2019-07-09 22:00:00,close,neutral,,0.66065,-1.7999999999995797,10056.599999999991
40,2019-07-09 22:00:00,open,long,0.66065,,,10056.589999999991
41,2019-07-10 00:00:00,close,neutral,,0.66034,-3.0999999999992145,10053.479999999992
42,2019-07-10 00:00:00,open,short,0.66034,,,10053.469999999992
43,2019-07-10 08:00:00,close,neutral,,0.66009,2.500000000000835,10055.959999999994
44,2019-07-10 08:00:00,open,long,0.66009,,,10055.949999999993
45,2019-07-10 12:00:00,close,neutral,,0.65976,-3.2999999999994145,10052.639999999994
46,2019-07-10 12:00:00,open,short,0.65976,,,10052.629999999994
47,2019-07-10 14:00:00,close,neutral,,0.66455,-47.89999999999961,10004.719999999994
48,2019-07-10 14:00:00,open,long,0.66455,,,10004.709999999994
49,2019-07-10 16:00:00,close,neutral,,0.66394,-6.099999999999994,9998.599999999993
50,2019-07-10 16:00:00,open,short,0.66394,,,9998.589999999993
51,2019-07-10 18:00:00,close,neutral,,0.6653,-13.600000000000279,9984.979999999992
52,2019-07-10 18:00:00,open,long,0.6653,,,9984.969999999992
53,2019-07-10 20:00:00,close,neutral,,0.66407,-12.299999999999534,9972.659999999993
54,2019-07-10 20:00:00,open,short,0.66407,,,9972.649999999992
55,2019-07-10 22:00:00,close,neutral,,0.66412,-0.49999999999994493,9972.139999999992
56,2019-07-10 22:00:00,open,long,0.66412,,,9972.129999999992
57,2019-07-11 02:00:00,close,neutral,,0.66494,8.199999999999319,9980.31999999999
58,2019-07-11 02:00:00,open,short,0.66494,,,9980.30999999999
59,2019-07-11 04:00:00,close,neutral,,0.66625,-13.100000000000334,9967.19999999999
60,2019-07-11 04:00:00,open,long,0.66625,,,9967.18999999999
61,2019-07-11 08:00:00,close,neutral,,0.66656,3.1000000000003247,9970.27999999999
62,2019-07-11 08:00:00,open,short,0.66656,,,9970.26999999999
63,2019-07-11 10:00:00,close,neutral,,0.66704,-4.799999999999249,9965.45999999999
64,2019-07-11 10:00:00,open,long,0.66704,,,9965.44999999999
65,2019-07-11 16:00:00,close,neutral,,0.66655,-4.899999999999904,9960.53999999999
66,2019-07-11 16:00:00,open,short,0.66655,,,9960.52999999999
67,2019-07-12 02:00:00,close,neutral,,0.66701,-4.6000000000001595,9955.91999999999
68,2019-07-12 02:00:00,open,long,0.66701,,,9955.909999999989
69,2019-07-12 10:00:00,close,neutral,,0.66815,11.400000000000299,9967.299999999988
70,2019-07-12 10:00:00,open,short,0.66815,,,9967.289999999988
71,2019-07-12 16:00:00,close,neutral,,0.66807,0.7999999999996898,9968.079999999987
72,2019-07-12 16:00:00,open,long,0.66807,,,9968.069999999987
73,2019-07-12 22:00:00,close,neutral,,0.66944,13.699999999999823,9981.759999999987
74,2019-07-12 22:00:00,open,short,0.66944,,,9981.749999999987
75,2019-07-15 02:00:00,close,neutral,,0.67025,-8.099999999999774,9973.639999999987
76,2019-07-15 02:00:00,open,long,0.67025,,,9973.629999999986
77,2019-07-15 06:00:00,close,neutral,,0.67195,17.000000000000348,9990.619999999986
78,2019-07-15 06:00:00,open,short,0.67195,,,9990.609999999986
79,2019-07-15 08:00:00,close,neutral,,0.67219,-2.3999999999990695,9988.199999999986
80,2019-07-15 08:00:00,open,long,0.67219,,,9988.189999999986
81,2019-07-15 14:00:00,close,neutral,,0.67241,2.1999999999999797,9990.379999999986
82,2019-07-15 14:00:00,open,short,0.67241,,,9990.369999999986
83,2019-07-15 18:00:00,close,neutral,,0.67182,5.899999999999794,9996.259999999986
84,2019-07-15 18:00:00,open,long,0.67182,,,9996.249999999985
