,time,action,position,entry_price,close_price,profit,balance
0,2019-07-03 12:00:00,open,short,1.30917,,,9999.99
1,2019-07-03 16:00:00,close,neutral,,1.30824,9.299999999998754,10009.279999999999
2,2019-07-03 16:00:00,open,long,1.30824,,,10009.269999999999
3,2019-07-03 18:00:00,close,neutral,,1.30692,-13.199999999999878,9996.06
4,2019-07-03 18:00:00,open,short,1.30692,,,9996.05
5,2019-07-04 02:00:00,close,neutral,,1.30576,11.600000000000499,10007.64
6,2019-07-04 02:00:00,open,long,1.30576,,,10007.63
7,2019-07-04 12:00:00,close,neutral,,1.30711,13.499999999999623,10021.119999999999
8,2019-07-04 12:00:00,open,short,1.30711,,,10021.109999999999
9,2019-07-04 18:00:00,close,neutral,,1.30626,8.500000000000174,10029.599999999999
10,2019-07-04 18:00:00,open,long,1.30626,,,10029.589999999998
11,2019-07-04 20:00:00,close,neutral,,1.30578,-4.8000000000003595,10024.779999999999
12,2019-07-04 20:00:00,open,short,1.30578,,,10024.769999999999
13,2019-07-05 02:00:00,close,neutral,,1.30575,0.2999999999997449,10025.059999999998
14,2019-07-05 02:00:00,open,long,1.30575,,,10025.049999999997
15,2019-07-05 04:00:00,close,neutral,,1.30559,-1.5999999999993797,10023.439999999999
16,2019-07-05 04:00:00,open,short,1.30559,,,10023.429999999998
17,2019-07-05 06:00:00,close,neutral,,1.30567,-0.8000000000008001,10022.619999999997
18,2019-07-05 06:00:00,open,long,1.30567,,,10022.609999999997
19,2019-07-05 12:00:00,close,neutral,,1.30643,7.599999999998719,10030.199999999995
20,2019-07-05 12:00:00,open,short,1.30643,,,10030.189999999995
21,2019-07-05 14:00:00,close,neutral,,1.30976,-33.30000000000055,9996.879999999994
22,2019-07-05 14:00:00,open,long,1.30976,,,9996.869999999994
23,2019-07-05 18:00:00,close,neutral,,1.30978,0.1999999999990898,9997.059999999992
24,2019-07-05 18:00:00,open,short,1.30978,,,9997.049999999992
25,2019-07-08 00:00:00,close,neutral,,1.30762,21.599999999999397,10018.639999999992
26,2019-07-08 00:00:00,open,long,1.30762,,,10018.629999999992
27,2019-07-08 02:00:00,close,neutral,,1.30761,-0.10000000000065512,10018.519999999991
28,2019-07-08 02:00:00,open,short,1.30761,,,10018.509999999991
29,2019-07-08 08:00:00,close,neutral,,1.30771,-0.9999999999998899,10017.49999999999
30,2019-07-08 08:00:00,open,long,1.30771,,,10017.48999999999
31,2019-07-08 10:00:00,close,neutral,,1.30695,-7.599999999998719,10009.879999999992
32,2019-07-08 10:00:00,open,short,1.30695,,,10009.869999999992
33,2019-07-08 12:00:00,close,neutral,,1.3073,-3.4999999999985043,10006.359999999993
34,2019-07-08 12:00:00,open,long,1.3073,,,10006.349999999993
35,2019-07-08 14:00:00,close,neutral,,1.30549,-18.099999999998673,9988.239999999994
36,2019-07-08 14:00:00,open,short,1.30549,,,9988.229999999994
37,2019-07-08 16:00:00,close,neutral,,1.30937,-38.79999999999883,9949.419999999995
38,2019-07-08 16:00:00,open,long,1.30937,,,9949.409999999994
39,2019-07-08 18:00:00,close,neutral,,1.30874,-6.299999999999084,9943.099999999995
40,2019-07-08 18:00:00,open,short,1.30874,,,9943.089999999995
41,2019-07-08 20:00:00,close,neutral,,1.30957,-8.299999999998864,9934.779999999995
42,2019-07-08 20:00:00,open,long,1.30957,,,9934.769999999995
43,2019-07-08 22:00:00,close,neutral,,1.30945,-1.1999999999989797,9933.559999999996
44,2019-07-08 22:00:00,open,short,1.30945,,,9933.549999999996
45,2019-07-09 00:00:00,close,neutral,,1.30978,-3.2999999999994145,9930.239999999996
46,2019-07-09 00:00:00,open,long,1.30978,,,9930.229999999996
47,2019-07-09 02:00:00,close,neutral,,1.31003,2.500000000000835,9932.719999999998
48,2019-07-09 02:00:00,open,short,1.31003,,,9932.709999999997
49,2019-07-09 08:00:00,close,neutral,,1.31142,-13.900000000000023,9918.799999999997
50,2019-07-09 08:00:00,open,long,1.31142,,,9918.789999999997
51,2019-07-09 12:00:00,close,neutral,,1.3123,8.799999999999919,9927.579999999996
52,2019-07-09 12:00:00,open,short,1.3123,,,9927.569999999996
53,2019-07-09 14:00:00,close,neutral,,1.31238,-0.8000000000008001,9926.759999999995
54,2019-07-09 14:00:00,open,long,1.31238,,,9926.749999999995
55,2019-07-09 18:00:00,close,neutral,,1.31271,3.2999999999994145,9930.039999999994
56,2019-07-09 18:00:00,open,short,1.31271,,,9930.029999999993
57,2019-07-09 22:00:00,close,neutral,,1.31283,-1.1999999999989797,9928.819999999994
58,2019-07-09 22:00:00,open,long,1.31283,,,9928.809999999994
59,2019-07-10 00:00:00,close,neutral,,1.31278,-0.4999999999988347,9928.299999999996
60,2019-07-10 00:00:00,open,short,1.31278,,,9928.289999999995
61,2019-07-10 02:00:00,close,neutral,,1.31303,-2.4999999999986144,9925.779999999997
62,2019-07-10 02:00:00,open,long,1.31303,,,9925.769999999997
63,2019-07-10 04:00:00,close,neutral,,1.3125,-5.299999999999194,9920.459999999997
64,2019-07-10 04:00:00,open,short,1.3125,,,9920.449999999997
65,2019-07-10 06:00:00,close,neutral,,1.31308,-5.800000000000249,9914.639999999998
66,2019-07-10 06:00:00,open,long,1.31308,,,9914.629999999997
67,2019-07-10 10:00:00,close,neutral,,1.31207,-10.099999999999554,9904.519999999999
68,2019-07-10 10:00:00,open,short,1.31207,,,9904.509999999998
69,2019-07-10 12:00:00,close,neutral,,1.31264,-5.699999999999594,9898.8
70,2019-07-10 12:00:00,open,long,1.31264,,,9898.789999999999
71,2019-07-10 14:00:00,close,neutral,,1.30766,-49.79999999999984,9848.98
72,2019-07-10 14:00:00,open,short,1.30766,,,9848.97
73,2019-07-10 16:00:00,close,neutral,,1.3115,-38.40000000000066,9810.56
74,2019-07-10 16:00:00,open,long,1.3115,,,9810.55
75,2019-07-10 18:00:00,close,neutral,,1.30888,-26.200000000000667,9784.339999999998
76,2019-07-10 18:00:00,open,short,1.30888,,,9784.329999999998
77,2019-07-10 22:00:00,close,neutral,,1.30802,8.60000000000083,9792.919999999998
78,2019-07-10 22:00:00,open,long,1.30802,,,9792.909999999998
79,2019-07-11 00:00:00,close,neutral,,1.30734,-6.800000000000139,9786.099999999999
80,2019-07-11 00:00:00,open,short,1.30734,,,9786.089999999998
81,2019-07-11 06:00:00,close,neutral,,1.30536,19.799999999998708,9805.879999999997
82,2019-07-11 06:00:00,open,long,1.30536,,,9805.869999999997
83,2019-07-11 10:00:00,close,neutral,,1.30437,-9.900000000000464,9795.959999999997
84,2019-07-11 10:00:00,open,short,1.30437,,,9795.949999999997
85,2019-07-11 12:00:00,close,neutral,,1.30501,-6.399999999999739,9789.539999999997
86,2019-07-11 12:00:00,open,long,1.30501,,,9789.529999999997
87,2019-07-11 18:00:00,close,neutral,,1.30744,24.299999999999322,9813.819999999996
88,2019-07-11 18:00:00,open,short,1.30744,,,9813.809999999996
89,2019-07-11 20:00:00,close,neutral,,1.30713,3.1000000000003247,9816.899999999996
90,2019-07-11 20:00:00,open,long,1.30713,,,9816.889999999996
91,2019-07-11 22:00:00,close,neutral,,1.30624,-8.899999999998354,9807.979999999998
92,2019-07-11 22:00:00,open,short,1.30624,,,9807.969999999998
93,2019-07-12 00:00:00,close,neutral,,1.30666,-4.199999999998649,9803.759999999998
94,2019-07-12 00:00:00,open,long,1.30666,,,9803.749999999998
95,2019-07-12 02:00:00,close,neutral,,1.30587,-7.899999999998464,9795.84
96,2019-07-12 02:00:00,open,short,1.30587,,,9795.83
97,2019-07-12 10:00:00,close,neutral,,1.30282,30.49999999999997,9826.32
98,2019-07-12 10:00:00,open,long,1.30282,,,9826.31
99,2019-07-12 18:00:00,close,neutral,,1.30278,-0.40000000000040004,9825.9
100,2019-07-12 18:00:00,open,short,1.30278,,,9825.89
101,2019-07-12 20:00:00,close,neutral,,1.30318,-3.9999999999995595,9821.88
102,2019-07-12 20:00:00,open,long,1.30318,,,9821.869999999999
103,2019-07-12 22:00:00,close,neutral,,1.30287,-3.1000000000003247,9818.759999999998
104,2019-07-12 22:00:00,open,short,1.30287,,,9818.749999999998
105,2019-07-15 00:00:00,close,neutral,,1.30291,-0.40000000000040004,9818.339999999998
106,2019-07-15 00:00:00,open,long,1.30291,,,9818.329999999998
107,2019-07-15 06:00:00,close,neutral,,1.30283,-0.8000000000008001,9817.519999999997
108,2019-07-15 06:00:00,open,short,1.30283,,,9817.509999999997
109,2019-07-15 12:00:00,close,neutral,,1.30295,-1.2000000000012,9816.299999999996
110,2019-07-15 12:00:00,open,long,1.30295,,,9816.289999999995
111,2019-07-15 14:00:00,close,neutral,,1.30236,-5.9000000000009045,9810.379999999994
112,2019-07-15 14:00:00,open,short,1.30236,,,9810.369999999994
113,2019-07-15 16:00:00,close,neutral,,1.3045,-21.400000000000308,9788.959999999994
114,2019-07-15 16:00:00,open,long,1.3045,,,9788.949999999993
115,2019-07-15 18:00:00,close,neutral,,1.30379,-7.099999999999884,9781.839999999993
116,2019-07-15 18:00:00,open,short,1.30379,,,9781.829999999993
117,2019-07-15 20:00:00,close,neutral,,1.3046,-8.099999999999774,9773.719999999992
118,2019-07-15 20:00:00,open,long,1.3046,,,9773.709999999992
119,2019-07-16 00:00:00,close,neutral,,1.30463,0.2999999999997449,9773.99999999999
120,2019-07-16 00:00:00,open,short,1.30463,,,9773.98999999999
121,2019-07-16 02:00:00,close,neutral,,1.30577,-11.400000000001409,9762.579999999989
122,2019-07-16 02:00:00,open,long,1.30577,,,9762.569999999989
123,2019-07-16 04:00:00,close,neutral,,1.30488,-8.900000000000574,9753.659999999989
124,2019-07-16 04:00:00,open,short,1.30488,,,9753.649999999989
125,2019-07-16 06:00:00,close,neutral,,1.30514,-2.5999999999992696,9751.03999999999
126,2019-07-16 06:00:00,open,long,1.30514,,,9751.02999999999
127,2019-07-16 10:00:00,close,neutral,,1.30526,1.2000000000012,9752.21999999999
