,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-07-03 08:00:00,-1,0.032687657,-1,1.12839,
1,2019-07-03 10:00:00,1,0.9918098,1,1.1288,1.12839
2,2019-07-03 12:00:00,1,0.9999143,1,1.12971,1.1288
3,2019-07-03 14:00:00,-1,0.0015422227,-1,1.12822,1.12971
4,2019-07-03 16:00:00,-1,0.54165196,-1,1.12807,1.12822
5,2019-07-03 18:00:00,1,0.73534596,1,1.12809,1.12807
6,2019-07-03 20:00:00,-1,0.033842094,-1,1.12778,1.12809
7,2019-07-03 22:00:00,-1,0.04943923,-1,1.12754,1.12778
8,2019-07-04 00:00:00,1,0.9999939,1,1.12868,1.12754
9,2019-07-04 02:00:00,-1,0.77871484,1,1.12863,1.12868
10,2019-07-04 04:00:00,-1,0.07484653,-1,1.12832,1.12863
11,2019-07-04 06:00:00,1,0.9781464,1,1.12853,1.12832
12,2019-07-04 08:00:00,-1,0.18828747,-1,1.12832,1.12853
13,2019-07-04 10:00:00,-1,0.030668432,-1,1.12794,1.12832
14,2019-07-04 12:00:00,1,0.99872774,1,1.12854,1.12794
15,2019-07-04 14:00:00,-1,0.10868712,-1,1.12827,1.12854
16,2019-07-04 16:00:00,-1,0.28389296,-1,1.12813,1.12827
17,2019-07-04 18:00:00,-1,0.5945314,-1,1.12806,1.12813
18,2019-07-04 20:00:00,1,0.9953316,1,1.12847,1.12806
19,2019-07-04 22:00:00,-1,0.55492324,-1,1.12841,1.12847
20,2019-07-05 00:00:00,1,0.96758413,1,1.12861,1.12841
21,2019-07-05 02:00:00,-1,0.010745741,-1,1.12796,1.12861
22,2019-07-05 04:00:00,1,0.9514736,1,1.12814,1.12796
23,2019-07-05 06:00:00,-1,0.32303077,-1,1.12805,1.12814
24,2019-07-05 08:00:00,-1,0.007937495,-1,1.12729,1.12805
25,2019-07-05 10:00:00,-1,0.0038686027,-1,1.12619,1.12729
26,2019-07-05 12:00:00,-1,0.20658612,-1,1.12615,1.12619
27,2019-07-05 14:00:00,-1,0.000111171605,-1,1.12436,1.12615
28,2019-07-05 16:00:00,-1,4.9778486e-05,-1,1.12218,1.12436
29,2019-07-05 18:00:00,-1,0.015401568,-1,1.12183,1.12218
30,2019-07-05 20:00:00,1,0.9233727,1,1.12214,1.12183
31,2019-07-05 22:00:00,1,0.9817931,1,1.12254,1.12214
32,2019-07-08 00:00:00,1,0.983691,1,1.12286,1.12254
33,2019-07-08 02:00:00,-1,0.011601446,-1,1.12208,1.12286
34,2019-07-08 04:00:00,1,0.99857175,1,1.12259,1.12208
35,2019-07-08 06:00:00,1,0.9989197,1,1.12311,1.12259
36,2019-07-08 08:00:00,-1,0.009840016,-1,1.12202,1.12311
37,2019-07-08 10:00:00,1,0.99999344,1,1.12314,1.12202
38,2019-07-08 12:00:00,-1,0.0030224677,-1,1.12149,1.12314
39,2019-07-08 14:00:00,1,0.9998908,1,1.12232,1.12149
