,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-07,-1,0.120879225,-1,0.98547,
1,2021-01-08,1,0.9197812,1,0.9856,0.98547
2,2021-01-11,-1,0.42929202,-1,0.98399,0.9856
3,2021-01-12,1,0.98318326,1,0.98837,0.98399
4,2021-01-13,-1,0.014768525,-1,0.98248,0.98837
5,2021-01-14,1,0.7057534,-1,0.98347,0.98248
6,2021-01-15,-1,0.08683187,-1,0.9814,0.98347
7,2021-01-18,-1,0.06550812,-1,0.9792,0.9814
8,2021-01-19,1,0.6696819,-1,0.9801,0.9792
9,2021-01-20,-1,0.23669808,-1,0.97849,0.9801
10,2021-01-21,1,0.981751,1,0.98132,0.97849
11,2021-01-22,1,0.9759547,1,0.98239,0.98132
12,2021-01-25,1,0.9689701,1,0.98275,0.98239
13,2021-01-26,1,0.97664577,1,0.9834,0.98275
14,2021-01-27,-1,0.39866024,-1,0.98103,0.9834
15,2021-01-28,1,0.99199873,1,0.98488,0.98103
16,2021-01-29,-1,0.014988594,-1,0.97664,0.98488
17,2021-02-01,1,0.9757264,1,0.97983,0.97664
18,2021-02-02,-1,0.043246396,-1,0.97283,0.97983
19,2021-02-03,1,0.9365477,1,0.97452,0.97283
20,2021-02-04,1,0.72880256,-1,0.97455,0.97452
21,2021-02-05,1,0.9867503,1,0.97963,0.97455
22,2021-02-08,1,0.93934363,1,0.98113,0.97963
23,2021-02-09,1,0.92818075,1,0.9824,0.98113
24,2021-02-10,-1,0.28023013,-1,0.98043,0.9824
25,2021-02-11,1,0.9745642,1,0.98503,0.98043
26,2021-02-12,-1,0.7757721,-1,0.98497,0.98503
27,2021-02-15,-1,0.19804035,-1,0.98339,0.98497
28,2021-02-16,1,0.7874778,1,0.98433,0.98339
29,2021-02-17,1,0.6880778,-1,0.98442,0.98433
30,2021-02-18,1,0.84190935,1,0.98496,0.98442
31,2021-02-19,1,0.99583375,1,0.99267,0.98496
32,2021-02-22,1,0.99258983,1,0.99866,0.99267
33,2021-02-23,-1,0.6740693,-1,0.99602,0.99866
34,2021-02-24,1,0.97379726,1,0.99726,0.99602
35,2021-02-25,-1,0.055071257,-1,0.99278,0.99726
36,2021-02-26,-1,0.0023964948,-1,0.98077,0.99278
37,2021-03-01,1,0.92655444,1,0.9826,0.98077
38,2021-03-02,1,0.9854064,1,0.98857,0.9826
39,2021-03-03,-1,0.119693406,-1,0.98401,0.98857
40,2021-03-04,-1,0.105551824,-1,0.97781,0.98401
41,2021-03-05,-1,0.14438711,-1,0.97182,0.97781
42,2021-03-08,-1,0.344036,-1,0.9683,0.97182
43,2021-03-09,1,0.9933297,1,0.97596,0.9683
44,2021-03-10,1,0.78071713,1,0.97629,0.97596
45,2021-03-11,-1,0.82435226,1,0.97609,0.97629
46,2021-03-12,-1,0.0431983,-1,0.96827,0.97609
47,2021-03-15,-1,0.7598737,-1,0.96754,0.96827
48,2021-03-16,-1,0.13759488,-1,0.96387,0.96754
49,2021-03-17,1,0.9669406,1,0.96719,0.96387
50,2021-03-18,1,0.9471303,1,0.96929,0.96719
51,2021-03-19,-1,0.7709199,-1,0.96868,0.96929
52,2021-03-22,1,0.94357073,1,0.96972,0.96868
53,2021-03-23,-1,0.015095786,-1,0.95957,0.96972
54,2021-03-24,-1,0.10875095,-1,0.95379,0.95957
55,2021-03-25,1,0.9304091,1,0.95605,0.95379
56,2021-03-26,1,0.97317255,1,0.96046,0.95605
57,2021-03-29,1,0.87271625,1,0.96112,0.96046
58,2021-03-30,-1,0.52096677,-1,0.95909,0.96112
59,2021-03-31,-1,0.11356786,-1,0.9539,0.95909
60,2021-04-01,1,0.94546705,1,0.95603,0.9539
61,2021-04-02,1,0.8098766,1,0.95677,0.95603
62,2021-04-05,1,0.8947847,1,0.95816,0.95677
63,2021-04-06,1,0.9894021,1,0.96322,0.95816
64,2021-04-07,-1,0.24852467,-1,0.95977,0.96322
65,2021-04-08,1,0.9496398,1,0.96154,0.95977
66,2021-04-09,-1,0.028795613,-1,0.9548,0.96154
67,2021-04-12,1,0.94347477,1,0.95776,0.9548
68,2021-04-13,1,0.6293131,-1,0.95813,0.95776
69,2021-04-14,1,0.99194545,1,0.96697,0.95813
70,2021-04-15,1,0.9668637,1,0.9725,0.96697
71,2021-04-16,-1,0.0430466,-1,0.96718,0.9725
72,2021-04-19,1,0.9612507,1,0.97203,0.96718
73,2021-04-20,1,0.8618566,1,0.97442,0.97203
74,2021-04-21,-1,0.022865996,-1,0.96858,0.97442
75,2021-04-22,-1,0.037995707,-1,0.96353,0.96858
76,2021-04-23,1,0.9226808,1,0.96681,0.96353
77,2021-04-26,-1,0.42545468,-1,0.96678,0.96681
78,2021-04-27,-1,0.059849594,-1,0.96343,0.96678
79,2021-04-28,-1,0.047625255,-1,0.95963,0.96343
80,2021-04-29,-1,0.02805572,-1,0.95351,0.95963
81,2021-04-30,-1,0.045463417,-1,0.94815,0.95351
82,2021-05-03,1,0.9742022,1,0.95316,0.94815
83,2021-05-04,-1,0.06180917,-1,0.94874,0.95316
84,2021-05-05,1,0.8820514,1,0.95011,0.94874
85,2021-05-06,-1,0.10727197,-1,0.94578,0.95011
86,2021-05-07,1,0.9917265,1,0.95133,0.94578
87,2021-05-10,-1,0.32822636,-1,0.94743,0.95133
88,2021-05-11,1,0.961894,1,0.94858,0.94743
89,2021-05-12,-1,0.020497246,-1,0.9374,0.94858
90,2021-05-13,1,0.9716421,1,0.93979,0.9374
91,2021-05-14,1,0.9089315,1,0.94215,0.93979
92,2021-05-17,-1,0.097803466,-1,0.93759,0.94215
93,2021-05-18,1,0.94494486,1,0.93969,0.93759
94,2021-05-19,-1,0.28280213,-1,0.93731,0.93969
95,2021-05-20,-1,0.6786097,-1,0.93728,0.93731
96,2021-05-21,-1,0.060771078,-1,0.93263,0.93728
97,2021-05-24,1,0.8668629,1,0.93392,0.93263
98,2021-05-25,1,0.8948317,1,0.93531,0.93392
99,2021-05-26,1,0.9833998,1,0.93858,0.93531
100,2021-05-27,-1,0.19355153,-1,0.93418,0.93858
101,2021-05-28,-1,0.3149708,-1,0.93098,0.93418
102,2021-05-31,1,0.95080703,1,0.93281,0.93098
103,2021-06-01,1,0.97609204,1,0.93588,0.93281
104,2021-06-02,-1,0.27240592,-1,0.9329,0.93588
105,2021-06-03,-1,0.061408862,-1,0.92753,0.9329
106,2021-06-04,1,0.99412197,1,0.93481,0.92753
107,2021-06-07,1,0.9049352,1,0.93715,0.93481
108,2021-06-08,1,0.64848983,-1,0.93733,0.93715
109,2021-06-09,-1,0.37756085,-1,0.93658,0.93733
110,2021-06-10,1,0.78005105,1,0.93771,0.93658
111,2021-06-11,-1,0.3261249,-1,0.93709,0.93771
112,2021-06-14,-1,0.31517836,-1,0.9368,0.93709
113,2021-06-15,-1,0.19595288,-1,0.93652,0.9368
114,2021-06-16,-1,0.02055224,-1,0.93463,0.93652
115,2021-06-17,-1,0.011713647,-1,0.93298,0.93463
116,2021-06-18,-1,0.019651495,-1,0.93249,0.93298
117,2021-06-21,1,0.029706238,-1,0.93256,0.93249
118,2021-06-22,-1,0.005542753,-1,0.92975,0.93256
119,2021-06-23,1,0.8339851,1,0.93229,0.92975
120,2021-06-24,1,0.94291824,1,0.93428,0.93229
121,2021-06-25,-1,0.6855408,-1,0.93383,0.93428
122,2021-06-28,-1,0.74469197,-1,0.93366,0.93383
123,2021-06-29,-1,0.06374305,-1,0.93148,0.93366
124,2021-06-30,-1,0.046256483,-1,0.92959,0.93148
125,2021-07-01,-1,0.07762836,-1,0.92917,0.92959
126,2021-07-02,-1,0.031601734,-1,0.92777,0.92917
127,2021-07-05,1,0.40346438,-1,0.92882,0.92777
128,2021-07-06,1,0.9932327,1,0.93372,0.92882
129,2021-07-07,1,0.94340086,1,0.93403,0.93372
130,2021-07-08,-1,0.06123244,-1,0.93103,0.93403
131,2021-07-09,1,0.8855754,1,0.93258,0.93103
132,2021-07-12,-1,0.20097712,-1,0.93136,0.93258
133,2021-07-13,1,0.54570127,-1,0.93167,0.93136
134,2021-07-14,1,0.98823905,1,0.93621,0.93167
135,2021-07-15,-1,0.27155775,-1,0.93469,0.93621
