,time,action,position,entry_price,close_price,profit,balance
0,2021-01-07,open,short,0.98547,,,9999.99
1,2021-01-08,close,neutral,,0.9856,-1.300000000000745,9998.679999999998
2,2021-01-08,open,long,0.9856,,,9998.669999999998
3,2021-01-11,close,neutral,,0.98399,-16.1,9982.559999999998
4,2021-01-11,open,short,0.98399,,,9982.549999999997
5,2021-01-12,close,neutral,,0.98837,-43.79999999999939,9938.739999999998
6,2021-01-12,open,long,0.98837,,,9938.729999999998
7,2021-01-13,close,neutral,,0.98248,-58.89999999999951,9879.819999999998
8,2021-01-13,open,short,0.98248,,,9879.809999999998
9,2021-01-21,close,neutral,,0.98132,11.600000000000499,9891.399999999998
10,2021-01-21,open,long,0.98132,,,9891.389999999998
11,2021-01-27,close,neutral,,0.98103,-2.9000000000001247,9888.479999999998
12,2021-01-27,open,short,0.98103,,,9888.469999999998
13,2021-01-28,close,neutral,,0.98488,-38.5000000000002,9849.959999999997
14,2021-01-28,open,long,0.98488,,,9849.949999999997
15,2021-01-29,close,neutral,,0.97664,-82.40000000000025,9767.539999999997
16,2021-01-29,open,short,0.97664,,,9767.529999999997
17,2021-02-01,close,neutral,,0.97983,-31.90000000000026,9735.619999999997
18,2021-02-01,open,long,0.97983,,,9735.609999999997
19,2021-02-02,close,neutral,,0.97283,-70.00000000000006,9665.599999999997
20,2021-02-02,open,short,0.97283,,,9665.589999999997
21,2021-02-03,close,neutral,,0.97452,-16.9000000000008,9648.679999999995
22,2021-02-03,open,long,0.97452,,,9648.669999999995
23,2021-02-04,close,neutral,,0.97455,0.2999999999997449,9648.959999999994
24,2021-02-04,open,short,0.97455,,,9648.949999999993
25,2021-02-05,close,neutral,,0.97963,-50.799999999999734,9598.139999999994
26,2021-02-05,open,long,0.97963,,,9598.129999999994
27,2021-02-10,close,neutral,,0.98043,8.00000000000023,9606.119999999994
28,2021-02-10,open,short,0.98043,,,9606.109999999993
29,2021-02-11,close,neutral,,0.98503,-45.999999999999375,9560.099999999993
30,2021-02-11,open,long,0.98503,,,9560.089999999993
