time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.06507078,-1
2019-08-22,1,0.49808228,-1
2019-08-23,-1,0.06452329,-1
2019-08-26,-1,0.014489159,-1
2019-08-27,1,0.94557744,1
2019-08-28,1,0.72182965,1
2019-08-29,-1,0.10158133,-1
2019-08-30,1,0.82887024,1
2019-09-02,1,0.85819304,1
2019-09-03,1,0.86167526,1
2019-09-04,-1,0.001548374,-1
2019-09-05,1,0.52448845,-1
2019-09-06,-1,0.010144585,-1
2019-09-09,-1,0.17914887,-1
2019-09-10,-1,0.043307886,-1
2019-09-11,1,0.9880946,1
2019-09-12,1,0.9464574,1
2019-09-13,1,0.9988385,1
2019-09-16,-1,0.110608265,-1
2019-09-17,1,0.92604804,1
2019-09-18,1,0.9947265,1
2019-09-19,-1,0.27962407,-1
2019-09-20,-1,0.7651104,1
2019-09-23,-1,0.58350444,-1
2019-09-24,-1,0.13123102,-1
2019-09-25,1,0.8936292,1
2019-09-26,1,0.46535096,-1
2019-09-27,-1,0.025736617,-1
2019-09-30,1,0.25872797,-1
2019-10-01,-1,0.024340283,-1
2019-10-02,1,0.9992618,1
2019-10-03,1,0.83971983,1
2019-10-04,-1,0.08964033,-1
2019-10-07,1,0.57654786,-1
2019-10-08,1,0.8136374,1
2019-10-09,1,0.84699106,1
2019-10-10,-1,0.0237002,-1
2019-10-11,-1,0.0039018828,-1
2019-10-14,1,0.9292156,1
2019-10-15,-1,0.03326341,-1
2019-10-16,1,0.458923,-1
2019-10-17,-1,0.012827426,-1
2019-10-18,-1,0.21517844,-1
2019-10-21,-1,0.0376715,-1
2019-10-22,1,0.3038013,-1
2019-10-23,-1,0.038919482,-1
2019-10-24,1,0.24007872,-1
2019-10-25,-1,0.057883013,-1
2019-10-28,-1,0.09995192,-1
2019-10-29,1,0.98360544,1
2019-10-30,1,0.9995815,1
2019-10-31,1,0.97874296,1
2019-11-01,-1,0.7070311,1
2019-11-04,1,0.962917,1
2019-11-05,1,0.923563,1
2019-11-06,1,0.9826339,1
2019-11-07,-1,0.6113309,-1
2019-11-08,1,0.9914876,1
2019-11-11,1,0.9138927,1
2019-11-12,1,0.9397756,1
2019-11-13,1,0.9675854,1
2019-11-14,-1,0.926876,1
2019-11-15,-1,0.11708845,-1
2019-11-18,-1,0.08777635,-1
2019-11-19,1,0.9892391,1
2019-11-20,1,0.9660614,1
2019-11-21,-1,0.2509197,-1
2019-11-22,1,0.9358177,1
2019-11-25,-1,0.79333055,1
2019-11-26,-1,0.10224738,-1
2019-11-27,1,0.7580224,1
2019-11-28,-1,0.54794323,-1
2019-11-29,-1,0.40816203,-1
2019-12-02,1,0.97435534,1
2019-12-03,-1,0.43606353,-1
2019-12-04,-1,0.003761166,-1
2019-12-05,-1,0.06709605,-1
2019-12-06,1,0.9967129,1
2019-12-09,-1,0.17154224,-1
2019-12-10,-1,0.5189101,-1
2019-12-11,-1,0.027960684,-1
2019-12-12,1,0.8207071,1
2019-12-13,-1,0.19815539,-1
2019-12-16,-1,0.28713673,-1
2019-12-17,-1,0.29885045,-1
2019-12-18,-1,0.018528445,-1
2019-12-19,1,0.71507066,1
