,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,1,0.7999951,-1,0.67804,
1,2019-08-22,-1,0.065522626,-1,0.67563,0.67804
2,2019-08-23,-1,0.0865088,-1,0.67514,0.67563
3,2019-08-26,1,0.7879524,-1,0.67751,0.67514
4,2019-08-27,-1,0.04953763,-1,0.67505,0.67751
5,2019-08-28,-1,0.0677263,-1,0.67329,0.67505
6,2019-08-29,-1,0.17826445,-1,0.67282,0.67329
7,2019-08-30,1,0.7732692,-1,0.67374,0.67282
8,2019-09-02,-1,0.12191891,-1,0.67149,0.67374
9,2019-09-03,1,0.9928356,1,0.67629,0.67149
10,2019-09-04,1,0.9794893,1,0.67971,0.67629
11,2019-09-05,1,0.94698864,1,0.68148,0.67971
12,2019-09-06,1,0.9829459,1,0.68486,0.68148
13,2019-09-09,1,0.97773755,1,0.68634,0.68486
14,2019-09-10,-1,0.96636736,1,0.68609,0.68634
15,2019-09-11,1,0.9787557,1,0.68627,0.68609
16,2019-09-12,1,0.97763777,1,0.68647,0.68627
17,2019-09-13,1,0.9916956,1,0.68819,0.68647
18,2019-09-16,-1,0.67768353,-1,0.68645,0.68819
19,2019-09-17,1,0.9069453,1,0.68654,0.68645
20,2019-09-18,-1,0.02060083,-1,0.68269,0.68654
21,2019-09-19,-1,0.014734574,-1,0.67919,0.68269
22,2019-09-20,-1,0.017986024,-1,0.6762,0.67919
23,2019-09-23,1,0.56093585,-1,0.67712,0.6762
24,2019-09-24,1,0.96374214,1,0.67971,0.67712
25,2019-09-25,-1,0.105502546,-1,0.67492,0.67971
26,2019-09-26,-1,0.8827955,1,0.67472,0.67492
27,2019-09-27,1,0.97553855,1,0.67657,0.67472
28,2019-09-30,-1,0.80105317,-1,0.67491,0.67657
29,2019-10-01,-1,0.10078498,-1,0.67044,0.67491
30,2019-10-02,1,0.7859527,-1,0.67054,0.67044
31,2019-10-03,1,0.9841412,1,0.67404,0.67054
32,2019-10-04,1,0.9843858,1,0.67658,0.67404
33,2019-10-07,-1,0.39880547,-1,0.67311,0.67658
34,2019-10-08,-1,0.88753873,1,0.67276,0.67311
35,2019-10-09,-1,0.80201983,-1,0.6723,0.67276
36,2019-10-10,1,0.989389,1,0.67607,0.6723
37,2019-10-11,1,0.98458797,1,0.67935,0.67607
38,2019-10-14,-1,0.62070173,-1,0.67769,0.67935
39,2019-10-15,-1,0.3495447,-1,0.67581,0.67769
40,2019-10-16,1,0.8126334,-1,0.67598,0.67581
41,2019-10-17,1,0.9958312,1,0.68253,0.67598
42,2019-10-18,1,0.9773357,1,0.68559,0.68253
43,2019-10-21,1,0.9675565,1,0.6867,0.68559
44,2019-10-22,-1,0.9027511,1,0.68565,0.6867
45,2019-10-23,-1,0.9452073,1,0.68537,0.68565
46,2019-10-24,-1,0.117283374,-1,0.68171,0.68537
47,2019-10-25,1,0.8551767,1,0.68207,0.68171
48,2019-10-28,1,0.9474943,1,0.68377,0.68207
49,2019-10-29,1,0.9747209,1,0.68626,0.68377
50,2019-10-30,1,0.9867496,1,0.68992,0.68626
