,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,short,0.67804,,,9999.99
1,2019-09-03,close,neutral,,0.67629,17.50000000000029,10017.48
2,2019-09-03,open,long,0.67629,,,10017.47
3,2019-09-16,close,neutral,,0.68645,101.60000000000058,10119.06
4,2019-09-16,open,short,0.68645,,,10119.05
5,2019-09-17,close,neutral,,0.68654,-0.900000000000345,10118.14
6,2019-09-17,open,long,0.68654,,,10118.13
7,2019-09-18,close,neutral,,0.68269,-38.5000000000002,10079.619999999999
8,2019-09-18,open,short,0.68269,,,10079.609999999999
9,2019-09-24,close,neutral,,0.67971,29.799999999999827,10109.399999999998
10,2019-09-24,open,long,0.67971,,,10109.389999999998
11,2019-09-25,close,neutral,,0.67492,-47.900000000000716,10061.479999999998
12,2019-09-25,open,short,0.67492,,,10061.469999999998
13,2019-09-26,close,neutral,,0.67472,1.9999999999997797,10063.459999999997
14,2019-09-26,open,long,0.67472,,,10063.449999999997
15,2019-09-30,close,neutral,,0.67491,1.9000000000002348,10065.339999999997
16,2019-09-30,open,short,0.67491,,,10065.329999999996
17,2019-10-03,close,neutral,,0.67404,8.700000000000374,10074.019999999997
18,2019-10-03,open,long,0.67404,,,10074.009999999997
19,2019-10-07,close,neutral,,0.67311,-9.299999999999864,10064.699999999997
20,2019-10-07,open,short,0.67311,,,10064.689999999997
21,2019-10-08,close,neutral,,0.67276,3.4999999999996145,10068.179999999997
22,2019-10-08,open,long,0.67276,,,10068.169999999996
23,2019-10-09,close,neutral,,0.6723,-4.6000000000001595,10063.559999999996
24,2019-10-09,open,short,0.6723,,,10063.549999999996
25,2019-10-10,close,neutral,,0.67607,-37.6999999999994,10025.839999999997
26,2019-10-10,open,long,0.67607,,,10025.829999999996
27,2019-10-14,close,neutral,,0.67769,16.200000000000657,10042.019999999997
28,2019-10-14,open,short,0.67769,,,10042.009999999997
29,2019-10-17,close,neutral,,0.68253,-48.39999999999955,9993.599999999997
30,2019-10-17,open,long,0.68253,,,9993.589999999997
31,2019-10-24,close,neutral,,0.68171,-8.199999999999319,9985.379999999997
32,2019-10-24,open,short,0.68171,,,9985.369999999997
33,2019-10-25,close,neutral,,0.68207,-3.5999999999991594,9981.759999999998
34,2019-10-25,open,long,0.68207,,,9981.749999999998
35,2019-11-04,close,neutral,,0.68857,65.00000000000061,10046.739999999998
36,2019-11-04,open,short,0.68857,,,10046.729999999998
37,2019-11-05,close,neutral,,0.6891,-5.3000000000003045,10041.419999999998
38,2019-11-05,open,long,0.6891,,,10041.409999999998
39,2019-11-06,close,neutral,,0.68837,-7.300000000000084,10034.099999999999
40,2019-11-06,open,short,0.68837,,,10034.089999999998
41,2019-11-07,close,neutral,,0.6897,-13.299999999999423,10020.779999999999
42,2019-11-07,open,long,0.6897,,,10020.769999999999
43,2019-11-08,close,neutral,,0.68575,-39.50000000000009,9981.259999999998
44,2019-11-08,open,short,0.68575,,,9981.249999999998
45,2019-11-15,close,neutral,,0.68204,37.09999999999991,10018.339999999998
46,2019-11-15,open,long,0.68204,,,10018.329999999998
47,2019-11-18,close,neutral,,0.68079,-12.499999999999734,10005.819999999998
48,2019-11-18,open,short,0.68079,,,10005.809999999998
49,2019-11-19,close,neutral,,0.68265,-18.599999999999728,9987.199999999997
50,2019-11-19,open,long,0.68265,,,9987.189999999997
51,2019-11-20,close,neutral,,0.67995,-26.999999999999247,9960.179999999998
52,2019-11-20,open,short,0.67995,,,9960.169999999998
53,2019-11-22,close,neutral,,0.67845,15.000000000000568,9975.159999999998
54,2019-11-22,open,long,0.67845,,,9975.149999999998
55,2019-11-25,close,neutral,,0.67776,-6.899999999999684,9968.239999999998
56,2019-11-25,open,short,0.67776,,,9968.229999999998
57,2019-11-26,close,neutral,,0.67877,-10.099999999999554,9958.119999999999
58,2019-11-26,open,long,0.67877,,,9958.109999999999
59,2019-11-27,close,neutral,,0.67752,-12.499999999999734,9945.599999999999
60,2019-11-27,open,short,0.67752,,,9945.589999999998
61,2019-11-28,close,neutral,,0.67691,6.099999999999994,9951.679999999998
62,2019-11-28,open,long,0.67691,,,9951.669999999998
63,2019-11-29,close,neutral,,0.67589,-10.200000000000209,9941.459999999997
64,2019-11-29,open,short,0.67589,,,9941.449999999997
65,2019-12-02,close,neutral,,0.68185,-59.59999999999965,9881.839999999998
66,2019-12-02,open,long,0.68185,,,9881.829999999998
67,2019-12-05,close,neutral,,0.6831,12.500000000000844,9894.32
68,2019-12-05,open,short,0.6831,,,9894.31
69,2019-12-06,close,neutral,,0.68405,-9.500000000000064,9884.8
