time,Actual Movement,Predictions,Predicted
2021-02-18,1,0.9883124,1
2021-02-19,-1,0.059980884,-1
2021-02-22,1,0.9682529,1
2021-02-23,1,0.8952609,1
2021-02-24,-1,0.023881625,-1
2021-02-25,-1,0.29343882,-1
2021-02-26,1,0.97144544,1
2021-03-01,-1,0.0066458955,-1
2021-03-02,1,0.9325787,1
2021-03-03,1,0.79220366,1
2021-03-04,-1,0.095382474,-1
2021-03-05,-1,0.02413451,-1
2021-03-08,1,0.7015427,1
2021-03-09,1,0.9583258,1
2021-03-10,1,0.94674677,1
2021-03-11,-1,0.2169417,-1
2021-03-12,-1,0.0052595995,-1
2021-03-15,-1,0.15567715,-1
2021-03-16,-1,0.028690822,-1
2021-03-17,1,0.46644747,-1
2021-03-18,1,0.9593242,1
2021-03-19,-1,0.0435973,-1
2021-03-22,1,0.90189886,1
2021-03-23,-1,0.057151616,-1
2021-03-24,-1,0.025439123,-1
2021-03-25,1,0.98911566,1
2021-03-26,1,0.82073736,1
2021-03-29,-1,0.7023106,1
2021-03-30,1,0.9125693,1
2021-03-31,-1,0.1808343,-1
2021-04-01,1,0.9530995,1
2021-04-02,1,0.82959604,1
2021-04-05,1,0.88500804,1
2021-04-06,-1,0.06583328,-1
2021-04-07,-1,0.011229715,-1
2021-04-08,-1,0.008291363,-1
2021-04-09,-1,0.008434589,-1
2021-04-12,1,0.9819324,1
2021-04-13,-1,0.11241851,-1
2021-04-14,1,0.7717472,1
2021-04-15,1,0.95000094,1
2021-04-16,1,0.93019515,1
2021-04-19,1,0.99914277,1
2021-04-20,1,0.95167154,1
2021-04-21,-1,0.00337177,-1
2021-04-22,-1,0.05344306,-1
2021-04-23,1,0.8155164,1
2021-04-26,-1,0.026134243,-1
2021-04-27,1,0.831432,1
2021-04-28,-1,0.049229946,-1
2021-04-29,-1,0.19167404,-1
2021-04-30,-1,0.015568994,-1
2021-05-03,1,0.98610884,1
2021-05-04,1,0.38285315,-1
2021-05-05,-1,0.1899821,-1
2021-05-06,-1,0.0061125644,-1
2021-05-07,1,0.98673487,1
2021-05-10,1,0.9890353,1
2021-05-11,1,0.9115684,1
2021-05-12,-1,0.25242683,-1
2021-05-13,1,0.95228153,1
2021-05-14,-1,0.36575958,-1
2021-05-17,-1,0.5267061,-1
2021-05-18,1,0.93073183,1
2021-05-19,1,0.60240406,1
2021-05-20,-1,0.07851828,-1
2021-05-21,-1,0.01765116,-1
2021-05-24,-1,0.01675862,-1
2021-05-25,1,0.08779153,-1
2021-05-26,1,0.87031883,1
2021-05-27,1,0.67482847,1
2021-05-28,-1,0.5211667,-1
2021-05-31,1,0.71478903,1
2021-06-01,-1,0.011667798,-1
2021-06-02,-1,0.027229477,-1
2021-06-03,1,0.83204895,1
2021-06-04,1,0.8975063,1
2021-06-07,1,0.9533265,1
2021-06-08,1,0.9223163,1
2021-06-09,-1,0.031466138,-1
2021-06-10,1,0.9502565,1
2021-06-11,1,0.86739826,1
2021-06-14,-1,0.035973664,-1
2021-06-15,1,0.650519,1
2021-06-16,1,0.7112355,1
2021-06-17,1,0.9267542,1
2021-06-18,-1,0.7707484,1
2021-06-21,1,0.95559525,1
2021-06-22,-1,0.011728511,-1
2021-06-23,1,0.67534906,1
2021-06-24,-1,0.056515783,-1
2021-06-25,-1,0.005335312,-1
2021-06-28,1,0.9406528,1
2021-06-29,1,0.93921256,1
2021-06-30,-1,0.21196243,-1
2021-07-01,-1,0.077207886,-1
2021-07-02,-1,0.017832061,-1
2021-07-05,1,0.8015766,1
2021-07-06,1,0.99546283,1
2021-07-07,1,0.94197685,1
2021-07-08,1,0.9718009,1
2021-07-09,1,0.9580943,1
2021-07-12,-1,0.7450492,1
2021-07-13,1,0.9020417,1
2021-07-14,1,0.9831208,1
