,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,106.612,,,9999.9
1,2019-08-22,close,neutral,,106.419,-192.99999999999784,9806.800000000001
2,2019-08-22,open,short,106.419,,,9806.7
3,2019-08-26,close,neutral,,106.076,343.0000000000035,10149.600000000004
4,2019-08-26,open,long,106.076,,,10149.500000000004
5,2019-08-27,close,neutral,,105.751,-324.99999999998863,9824.400000000014
6,2019-08-27,open,short,105.751,,,9824.300000000014
7,2019-08-28,close,neutral,,106.044,-292.99999999999216,9531.200000000023
8,2019-08-28,open,long,106.044,,,9531.100000000022
9,2019-08-30,close,neutral,,106.257,213.00000000000807,9744.000000000031
10,2019-08-30,open,short,106.257,,,9743.90000000003
11,2019-09-04,close,neutral,,106.424,-167.0000000000016,9576.800000000028
12,2019-09-04,open,long,106.424,,,9576.700000000028
13,2019-09-06,close,neutral,,106.912,487.99999999999955,10064.600000000028
14,2019-09-06,open,short,106.912,,,10064.500000000027
15,2019-09-09,close,neutral,,107.237,-324.99999999998863,9739.400000000038
16,2019-09-09,open,long,107.237,,,9739.300000000037
17,2019-09-19,close,neutral,,108.042,805.0000000000068,10544.200000000044
18,2019-09-19,open,short,108.042,,,10544.100000000044
19,2019-09-25,close,neutral,,107.759,283.00000000000125,10827.000000000045
20,2019-09-25,open,long,107.759,,,10826.900000000045
21,2019-09-26,close,neutral,,107.838,78.99999999999352,10905.80000000004
22,2019-09-26,open,short,107.838,,,10905.700000000039
23,2019-09-27,close,neutral,,107.936,-98.00000000001319,10807.600000000026
24,2019-09-27,open,long,107.936,,,10807.500000000025
25,2019-10-01,close,neutral,,107.732,-204.00000000000773,10603.400000000018
26,2019-10-01,open,short,107.732,,,10603.300000000017
27,2019-10-07,close,neutral,,107.251,480.99999999999454,11084.200000000012
28,2019-10-07,open,long,107.251,,,11084.100000000011
29,2019-10-08,close,neutral,,107.066,-185.00000000000227,10899.00000000001
30,2019-10-08,open,short,107.066,,,10898.900000000009
31,2019-10-09,close,neutral,,107.513,-447.00000000000273,10451.800000000007
32,2019-10-09,open,long,107.513,,,10451.700000000006
33,2019-10-16,close,neutral,,108.759,1245.999999999995,11697.600000000002
34,2019-10-16,open,short,108.759,,,11697.500000000002
35,2019-10-21,close,neutral,,108.595,164.00000000000148,11861.400000000003
36,2019-10-21,open,long,108.595,,,11861.300000000003
37,2019-10-22,close,neutral,,108.478,-117.00000000000443,11744.199999999999
38,2019-10-22,open,short,108.478,,,11744.099999999999
39,2019-10-23,close,neutral,,108.689,-210.99999999999852,11533.0
40,2019-10-23,open,long,108.689,,,11532.9
41,2019-10-24,close,neutral,,108.634,-54.99999999999261,11477.800000000007
42,2019-10-24,open,short,108.634,,,11477.700000000006
43,2019-10-28,close,neutral,,108.956,-322.00000000000273,11155.600000000004
44,2019-10-28,open,long,108.956,,,11155.500000000004
45,2019-10-29,close,neutral,,108.88,-76.00000000000762,11079.399999999996
46,2019-10-29,open,short,108.88,,,11079.299999999996
47,2019-11-01,close,neutral,,108.169,710.9999999999985,11790.199999999993
48,2019-11-01,open,long,108.169,,,11790.099999999993
49,2019-11-06,close,neutral,,108.982,813.0000000000024,12602.999999999996
50,2019-11-06,open,short,108.982,,,12602.899999999996
51,2019-11-07,close,neutral,,109.263,-281.0000000000059,12321.79999999999
52,2019-11-07,open,long,109.263,,,12321.69999999999
53,2019-11-08,close,neutral,,109.232,-31.00000000000591,12290.599999999984
54,2019-11-08,open,short,109.232,,,12290.499999999984
55,2019-11-15,close,neutral,,108.788,444.0000000000026,12734.399999999987
56,2019-11-15,open,long,108.788,,,12734.299999999987
57,2019-11-18,close,neutral,,108.671,-116.99999999999022,12617.199999999997
58,2019-11-18,open,short,108.671,,,12617.099999999997
59,2019-11-25,close,neutral,,108.911,-239.99999999999488,12377.000000000002
60,2019-11-25,open,long,108.911,,,12376.900000000001
61,2019-12-02,close,neutral,,108.962,51.00000000000193,12427.800000000003
62,2019-12-02,open,short,108.962,,,12427.700000000003
63,2019-12-04,close,neutral,,108.872,90.00000000000341,12517.600000000006
64,2019-12-04,open,long,108.872,,,12517.500000000005
65,2019-12-05,close,neutral,,108.748,-123.99999999999523,12393.40000000001
66,2019-12-05,open,short,108.748,,,12393.30000000001
67,2019-12-10,close,neutral,,108.739,9.000000000000341,12402.20000000001
