,time,Actual Movement,Predictions,Predicted,close,close_price_next
0,2019-08-21,1,0.503023,1,1.11078,1.1133
1,2019-08-22,1,0.50300163,1,1.1133,1.11679
2,2019-08-23,1,0.5033133,1,1.11679,1.12324
3,2019-08-26,1,0.5031527,1,1.12324,1.13346
4,2019-08-27,-1,0.50319344,1,1.13346,1.12879
5,2019-08-28,1,0.5030002,1,1.12879,1.1292
6,2019-08-29,1,0.50269616,1,1.1292,1.13375
7,2019-08-30,1,0.50247407,1,1.13375,1.13747
8,2019-09-02,-1,0.5024698,1,1.13747,1.12997
9,2019-09-03,-1,0.50262964,1,1.12997,1.12607
10,2019-09-04,1,0.5031481,1,1.12607,1.13213
11,2019-09-05,-1,0.5034144,1,1.13213,1.12613
12,2019-09-06,-1,0.5036748,1,1.12613,1.12429
13,2019-09-09,-1,0.5039332,1,1.12429,1.12058
14,2019-09-10,-1,0.50393206,1,1.12058,1.11769
15,2019-09-11,1,0.50378925,1,1.11769,1.12652
16,2019-09-12,1,0.5041227,1,1.12652,1.13067
17,2019-09-13,-1,0.50438285,1,1.13067,1.12486
18,2019-09-16,-1,0.5043089,1,1.12486,1.12178
19,2019-09-17,1,0.50460184,1,1.12178,1.12182
20,2019-09-18,1,0.50438434,1,1.12182,1.12418
21,2019-09-19,-1,0.50438935,1,1.12418,1.12342
22,2019-09-20,1,0.504082,1,1.12342,1.12515
23,2019-09-23,-1,0.5037882,1,1.12515,1.12397
24,2019-09-24,1,0.50361454,1,1.12397,1.12475
25,2019-09-25,1,0.5030681,1,1.12475,1.13082
26,2019-09-26,-1,0.50278735,1,1.13082,1.12725
27,2019-09-27,1,0.5027102,1,1.12725,1.13308
28,2019-09-30,-1,0.5026248,1,1.13308,1.12833
29,2019-10-01,1,0.5029421,1,1.12833,1.12969
30,2019-10-02,1,0.50321925,1,1.12969,1.13417
31,2019-10-03,1,0.50356525,1,1.13417,1.13977
32,2019-10-04,1,0.5039159,1,1.13977,1.1412
33,2019-10-07,-1,0.5041365,1,1.1412,1.13832
34,2019-10-08,1,0.50421715,1,1.13832,1.14262
