time,Actual Movement,close,Predictions,Predicted
2019-09-10,-1,1.1042,0.50539136,1
2019-09-11,1,1.10097,0.50531507,1
2019-09-12,1,1.10634,0.5052063,1
2019-09-13,-1,1.10758,0.505203,1
2019-09-16,1,1.10022,0.50525934,1
2019-09-17,-1,1.10704,0.505438,1
2019-09-18,1,1.10278,0.50539124,1
2019-09-19,-1,1.10402,0.5055238,1
2019-09-20,-1,1.10192,0.5054498,1
2019-09-23,1,1.09931,0.50530666,1
2019-09-24,-1,1.1018,0.50511724,1
2019-09-25,-1,1.09425,0.5050589,1
2019-09-26,1,1.09199,0.505174,1
2019-09-27,-1,1.09405,0.5051958,1
2019-09-30,1,1.0899,0.50528175,1
2019-10-01,1,1.09333,0.50547564,1
2019-10-02,1,1.09579,0.5053629,1
2019-10-03,1,1.09639,0.50538784,1
2019-10-04,-1,1.09763,0.505492,1
2019-10-07,-1,1.09699,0.5053419,1
2019-10-08,1,1.09559,0.5053638,1
2019-10-09,1,1.09677,0.50534314,1
2019-10-10,1,1.10047,0.50536764,1
2019-10-11,-1,1.10352,0.5053636,1
2019-10-14,1,1.10254,0.5053,1
2019-10-15,1,1.10333,0.50538546,1
2019-10-16,1,1.10729,0.5053369,1
2019-10-17,1,1.11253,0.505179,1
2019-10-18,-1,1.11699,0.505074,1
2019-10-21,-1,1.11486,0.5048825,-1
2019-10-22,1,1.11254,0.5047968,-1
2019-10-23,-1,1.11301,0.5047248,-1
2019-10-24,-1,1.11037,0.50466585,-1
2019-10-25,1,1.10793,0.5046838,-1
2019-10-28,1,1.11003,0.5046959,-1
2019-10-29,1,1.11117,0.5045984,-1
2019-10-30,-1,1.11529,0.5044741,-1
2019-10-31,1,1.11515,0.5043767,-1
2019-11-01,-1,1.11648,0.5044375,-1
2019-11-04,-1,1.11303,0.504351,-1
2019-11-05,-1,1.10735,0.5042949,-1
2019-11-06,-1,1.10662,0.5042537,-1
2019-11-07,-1,1.10504,0.5042649,-1
2019-11-08,1,1.10188,0.5044422,-1
2019-11-11,-1,1.10328,0.50477284,-1
2019-11-12,-1,1.10073,0.50499827,-1
2019-11-13,1,1.10063,0.5052504,1
2019-11-14,1,1.10193,0.5053781,1
2019-11-15,1,1.10519,0.50533134,1
2019-11-18,1,1.10722,0.5052523,1
2019-11-19,-1,1.10769,0.5051415,1
2019-11-20,-1,1.10713,0.5051158,1
2019-11-21,-1,1.10587,0.5051091,1
2019-11-22,-1,1.1019,0.5052711,1
2019-11-25,1,1.1011,0.50549066,1
2019-11-26,-1,1.10229,0.50568336,1
2019-11-27,1,1.09983,0.5058711,1
2019-11-28,1,1.10081,0.50606483,1
2019-11-29,1,1.10208,0.50604445,1
2019-12-02,1,1.10787,0.50602,1
2019-12-03,-1,1.10802,0.5058308,1
2019-12-04,1,1.10759,0.5056135,1
2019-12-05,-1,1.11039,0.5053212,1
2019-12-06,1,1.10595,0.5050448,-1
2019-12-09,1,1.10646,0.50500584,-1
2019-12-10,1,1.10956,0.5050252,-1
2019-12-11,1,1.11287,0.5051106,1
2019-12-12,-1,1.11331,0.5052143,1
2019-12-13,1,1.11173,0.50519615,1
2019-12-16,1,1.11415,0.5050725,1
2019-12-17,-1,1.11491,0.5050238,-1
2019-12-18,1,1.11149,0.50491303,-1
2019-12-19,-1,1.11181,0.5048246,-1
2019-12-20,1,1.10751,0.5046143,-1
2019-12-23,-1,1.10894,0.5046223,-1
2019-12-24,1,1.10851,0.50461686,-1
2019-12-26,1,1.1096,0.50469077,-1
2019-12-27,1,1.1176,0.5049224,-1
2019-12-30,1,1.11995,0.50483584,-1
2019-12-31,-1,1.12171,0.5046802,-1
2020-01-02,-1,1.11715,0.50452846,-1
2020-01-03,1,1.11559,0.50450975,-1
2020-01-06,-1,1.11977,0.50449413,-1
2020-01-07,-1,1.11471,0.50445735,-1
2020-01-08,1,1.11049,0.5045578,-1
2020-01-09,1,1.11056,0.5047897,-1
2020-01-10,1,1.11213,0.50487906,-1
2020-01-13,-1,1.11345,0.5050804,1
2020-01-14,1,1.11265,0.5051511,1
2020-01-15,-1,1.11499,0.5052104,1
