,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,1.1042,,,9999.9998
1,2019-10-01,close,neutral,,1.11486,106.59999999999891,10106.599599999998
2,2019-10-01,open,short,1.11486,,,10106.599399999997
3,2019-10-24,close,neutral,,1.10063,142.29999999999964,10248.899199999996
4,2019-10-24,open,long,1.10063,,,10248.898999999996
5,2019-11-18,close,neutral,,1.10595,53.19999999999992,10302.098799999996
6,2019-11-18,open,short,1.10595,,,10302.098599999996
7,2019-11-21,close,neutral,,1.11287,-69.20000000000037,10232.898399999995
8,2019-11-21,open,long,1.11287,,,10232.898199999994
9,2019-11-27,close,neutral,,1.11491,20.400000000000418,10253.297999999995
10,2019-11-27,open,short,1.11491,,,10253.297799999995
11,2019-12-20,close,neutral,,1.11345,14.600000000000168,10267.897599999995
12,2019-12-20,open,long,1.11345,,,10267.897399999994
13,2019-12-27,close,neutral,,1.10895,-44.99999999999949,10222.897199999996
14,2019-12-27,open,short,1.10895,,,10222.896999999995
15,2020-01-02,close,neutral,,1.10945,-4.999999999999449,10217.896799999997
16,2020-01-02,open,long,1.10945,,,10217.896599999996
17,2020-02-19,close,neutral,,1.12828,188.29999999999902,10406.196399999995
18,2020-02-19,open,short,1.12828,,,10406.196199999995
19,2020-03-16,close,neutral,,1.08127,470.09999999999997,10876.295999999995
20,2020-03-16,open,long,1.08127,,,10876.295799999994
21,2020-05-14,close,neutral,,1.12324,419.7000000000006,11295.995599999995
22,2020-05-14,open,short,1.12324,,,11295.995399999994
23,2021-11-10,close,neutral,,1.13397,-107.29999999999906,11188.695199999995
24,2021-11-10,open,long,1.13397,,,11188.694999999994
25,2021-11-18,close,neutral,,1.13442,4.500000000000615,11193.194799999996
26,2021-11-18,open,short,1.13442,,,11193.194599999995
27,2022-02-18,close,neutral,,1.09879,356.3000000000005,11549.494399999996
28,2022-02-18,open,long,1.09879,,,11549.494199999996
29,2022-03-09,close,neutral,,1.10874,99.50000000000125,11648.993999999997
30,2022-03-09,open,short,1.10874,,,11648.993799999997
31,2022-03-21,close,neutral,,1.0875,212.40000000000148,11861.393599999998
32,2022-03-21,open,long,1.0875,,,11861.393399999997
33,2023-01-13,close,neutral,,1.09099,34.899999999999935,11896.293199999996
34,2023-01-13,open,short,1.09099,,,11896.292999999996
35,2023-01-16,close,neutral,,1.07932,116.69999999999847,12012.992799999995
36,2023-01-16,open,long,1.07932,,,12012.992599999994
37,2023-03-20,close,neutral,,1.08985,105.29999999999929,12118.292399999993
38,2023-03-20,open,short,1.08985,,,12118.292199999993
39,2023-03-21,close,neutral,,1.08614,37.0999999999988,12155.39199999999
40,2023-03-21,open,long,1.08614,,,12155.39179999999
41,2023-03-30,close,neutral,,1.09558,94.39999999999893,12249.79159999999
42,2023-03-30,open,short,1.09558,,,12249.79139999999
43,2023-03-31,close,neutral,,1.09696,-13.799999999999368,12235.99119999999
44,2023-03-31,open,long,1.09696,,,12235.990999999989
45,2023-04-11,close,neutral,,1.0976,6.399999999999739,12242.390799999988
46,2023-04-11,open,short,1.0976,,,12242.390599999988
47,2023-04-17,close,neutral,,1.10183,-42.30000000000178,12200.090399999986
48,2023-04-17,open,long,1.10183,,,12200.090199999986
49,2023-04-18,close,neutral,,1.10042,-14.100000000001334,12185.989999999985
50,2023-04-18,open,short,1.10042,,,12185.989799999985
51,2023-04-19,close,neutral,,1.09603,43.89999999999894,12229.889599999984
52,2023-04-19,open,long,1.09603,,,12229.889399999984
53,2023-06-13,close,neutral,,1.09136,-46.69999999999952,12183.189199999984
54,2023-06-13,open,short,1.09136,,,12183.188999999984
55,2023-06-21,close,neutral,,1.10083,-94.69999999999868,12088.488799999985
56,2023-06-21,open,long,1.10083,,,12088.488599999984
57,2023-06-26,close,neutral,,1.12285,220.19999999999928,12308.688399999983
58,2023-06-26,open,short,1.12285,,,12308.688199999982
59,2023-07-19,close,neutral,,1.09559,272.5999999999984,12581.28799999998
60,2023-07-19,open,long,1.09559,,,12581.28779999998
61,2023-11-13,close,neutral,,1.08809,-75.00000000000063,12506.28759999998
62,2023-11-13,open,short,1.08809,,,12506.28739999998
63,2023-11-17,close,neutral,,1.07959,84.99999999999952,12591.287199999979
64,2023-11-17,open,long,1.07959,,,12591.286999999978
65,2023-12-13,close,neutral,,1.09478,151.90000000000038,12743.18679999998
66,2023-12-13,open,short,1.09478,,,12743.186599999979
67,2023-12-20,close,neutral,,1.09727,-24.899999999998812,12718.28639999998
68,2023-12-20,open,long,1.09727,,,12718.28619999998
69,2023-12-21,close,neutral,,1.09496,-23.100000000000342,12695.18599999998
70,2023-12-21,open,short,1.09496,,,12695.18579999998
71,2023-12-27,close,neutral,,1.08815,68.09999999999982,12763.28559999998
72,2023-12-27,open,long,1.08815,,,12763.285399999979
73,2024-02-19,close,neutral,,1.09391,57.59999999999987,12820.885199999979
74,2024-02-19,open,short,1.09391,,,12820.884999999978
75,2024-02-29,close,neutral,,1.09226,16.499999999999293,12837.384799999978
76,2024-02-29,open,long,1.09226,,,12837.384599999978
77,2024-03-01,close,neutral,,1.08595,-63.10000000000038,12774.284399999977
78,2024-03-01,open,short,1.08595,,,12774.284199999976
79,2024-03-08,close,neutral,,1.07868,72.69999999999888,12846.983999999975
80,2024-03-08,open,long,1.07868,,,12846.983799999975
81,2024-03-29,close,neutral,,1.06416,-145.2000000000009,12701.783599999973
