time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2008-02-06,1.1467,1.147,1.1353,1.1365,16771,1,0,1.138794,1.1434305,1.1446745241444138,1.1434305,1.141124339437133,1.1412677551489065,1.1418300000000001,1.1533092160011174,1.130350783998883,1.1357511245737553,1.1407833333333335,1.1458155420929117,-0.0002501572471054203,-0.00011509688518615002,43.46,37.93,35.80605323306083,33.47280591806147,1.1468,-0.8981513777467698,0.20971688220901008,-1
2008-02-07,1.1358,1.1381000000000001,1.1271,1.1360000000000001,19130,1,0,1.1384319999999999,1.1435295,1.1443343467269858,1.1433565646766168,1.1400994715497066,1.1407888683171876,1.141675,1.153378995044441,1.129971004955559,1.135602422108222,1.1407333333333334,1.1458642445584448,-0.000649588526057121,-0.0002219952133603442,42.87,36.96,30.18606308483646,34.532393856316006,1.1365,-0.04399472063352228,-0.8981513777467698,-1
2008-02-08,1.1359,1.1392,1.1328,1.1352,13175,1,0,1.138198,1.1436215,1.1439761370514177,1.1432754048290885,1.1391195772397653,1.1402807893792615,1.14154,1.1534750576035602,1.1296049423964398,1.1345929969778226,1.1401583333333334,1.1457236696888442,-0.0010189482058506893,-0.00038138581185841327,41.85,35.17,21.79445469322793,29.262190337041726,1.1360000000000001,-0.07042253521127861,-0.04399472063352228,-1
2008-02-11,1.138,1.1471,1.1360999999999999,1.1453,14599,1,0,1.13826,1.143754,1.1440280532454798,1.1432955500546698,1.1403556617918122,1.140737081253874,1.14194,1.1538159252271267,1.1300640747728732,1.134623205398467,1.1405833333333335,1.1465434612682,-0.0004910226192973433,-0.0004033131733461993,56.58,63.25,42.41529726528994,31.4652716811181,1.1352,0.8897110641296724,-0.07042253521127861,1
2008-02-12,1.1457,1.1482,1.1389,1.1438,9757,1,0,1.138004,1.143899,1.1440191099809511,1.1433005694571108,1.14104452943345,1.1410155284126127,1.142425,1.1537605855605395,1.1310894144394605,1.134649118200742,1.1405166666666666,1.1463842151325911,-0.0001914681270485108,-0.0003609441640866616,54.28,58.54,58.055833507052974,40.75519515519027,1.1453,-0.13097005151488927,0.8897110641296724,-1
2008-02-13,1.143,1.1456,1.139,1.1429,16846,1,0,1.137842,1.14402,1.1439752233150315,1.1432965836913684,1.1414156235467598,1.141186844011466,1.1424349999999999,1.1537718911082495,1.1310981088917502,1.1346548218856447,1.14055,1.1464451781143552,-2.638733537718707e-05,-0.0002940327983447667,52.84,55.45,72.80939476061435,57.76017517765242,1.1438,-0.07868508480503023,-0.13097005151488927,-1
2008-02-14,1.1419,1.1486,1.1408,1.1461999999999999,15415,1,0,1.137912,1.1441275,1.14406246945954,1.1433254734058822,1.1423724988374078,1.1416425854649692,1.14254,1.1539751038473776,1.1311048961526222,1.1345562407270118,1.140875,1.1471937592729884,0.00036649804083666027,-0.00016192663050848132,57.51,64.14,76.44444444444439,69.10322423737055,1.1429,0.2887391722810273,-0.07868508480503023,1
2008-02-15,1.1467,1.1524,1.1455,1.1499,13897,1,0,1.138392,1.1442375,1.1442913922258324,1.143390891580948,1.1438779990699264,1.1423932595136084,1.1422350000000001,1.152481418886631,1.1319885811133692,1.134572884573928,1.1418083333333333,1.1490437820927386,0.0009652942980886703,6.351755521094899e-05,62.24,71.84,81.74322939540309,76.9990228668206,1.1461999999999999,0.3228057930553252,0.2887391722810273,1
2008-02-18,1.1477,1.1526,1.1454,1.1482,9149,1,0,1.138746,1.144305,1.1444446709620741,1.1434387434060134,1.1447423992559411,1.142921145012371,1.141845,1.15042415497006,1.13326584502994,1.1352798201524716,1.1426916666666667,1.1501035131808617,0.0012878236244475705,0.0003083787690582733,58.85,63.95,85.91752133440089,81.36839839141611,1.1499,-0.14783894251672036,0.3228057930553252,-1
2008-02-19,1.1488,1.1539,1.148,1.1526,15192,1,0,1.139254,1.144407,1.1447644877870908,1.1435299001880432,1.146313919404753,1.1438010409203372,1.1426450000000001,1.1520616820059042,1.133228317994096,1.1360004218970219,1.1439833333333334,1.1519662447696448,0.0018768386394074632,0.0006220707431281113,64.47,73.4,89.33764294855264,85.66613122611886,1.1482,0.3832085002612784,-0.14783894251672036,1
