,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-27,1,0.20190382,-1,1.07029,
1,2021-01-28,-1,0.22279614,-1,1.06999,1.07029
2,2021-01-29,-1,0.055853747,-1,1.06397,1.06999
3,2021-02-01,1,0.26931792,-1,1.06496,1.06397
4,2021-02-02,-1,0.056626286,-1,1.05756,1.06496
5,2021-02-03,-1,0.103543766,-1,1.05716,1.05756
6,2021-02-04,1,0.85867083,1,1.06189,1.05716
7,2021-02-05,1,0.92563224,1,1.06588,1.06189
8,2021-02-08,1,0.9109585,1,1.06719,1.06588
9,2021-02-09,1,0.91562474,1,1.06877,1.06719
10,2021-02-10,1,0.91624695,1,1.07079,1.06877
11,2021-02-11,1,0.8996578,1,1.07278,1.07079
12,2021-02-12,1,0.87250775,1,1.07486,1.07278
13,2021-02-15,1,0.82981443,1,1.07629,1.07486
14,2021-02-16,-1,0.615564,1,1.07589,1.07629
15,2021-02-17,1,0.8238882,1,1.07818,1.07589
16,2021-02-18,-1,0.17777854,-1,1.07594,1.07818
17,2021-02-19,1,0.6144817,1,1.07827,1.07594
18,2021-02-22,1,0.7368903,1,1.08026,1.07827
19,2021-02-23,-1,0.112058215,-1,1.07737,1.08026
20,2021-02-24,-1,0.027162755,-1,1.07042,1.07737
21,2021-02-25,-1,0.055041954,-1,1.06826,1.07042
22,2021-02-26,-1,0.06872853,-1,1.06501,1.06826
23,2021-03-01,1,0.8782194,1,1.06978,1.06501
24,2021-03-02,1,0.9081058,1,1.07232,1.06978
25,2021-03-03,1,0.87758905,1,1.07297,1.07232
26,2021-03-04,1,0.87957454,1,1.0741,1.07297
27,2021-03-05,-1,0.53617847,1,1.07243,1.0741
28,2021-03-08,1,0.78446513,1,1.0735,1.07243
29,2021-03-09,1,0.91015726,1,1.07607,1.0735
30,2021-03-10,-1,0.68255234,1,1.07494,1.07607
31,2021-03-11,1,0.8889471,1,1.07722,1.07494
32,2021-03-12,1,0.924505,1,1.08081,1.07722
33,2021-03-15,-1,0.16608995,-1,1.07703,1.08081
34,2021-03-16,1,0.27862632,-1,1.07708,1.07703
35,2021-03-17,1,0.29178685,-1,1.0772,1.07708
36,2021-03-18,1,0.8951451,1,1.08305,1.0772
37,2021-03-19,-1,0.26169038,-1,1.08089,1.08305
38,2021-03-22,1,0.46125963,1,1.08139,1.08089
39,2021-03-23,1,0.93481195,1,1.08931,1.08139
40,2021-03-24,-1,0.8468112,1,1.08883,1.08931
41,2021-03-25,1,0.9183235,1,1.09051,1.08883
42,2021-03-26,1,0.9131509,1,1.09152,1.09051
43,2021-03-29,-1,0.8014856,1,1.09062,1.09152
44,2021-03-30,-1,0.17839663,-1,1.08757,1.09062
45,2021-03-31,1,0.3782765,-1,1.08765,1.08757
46,2021-04-01,-1,0.08221873,-1,1.08438,1.08765
47,2021-04-02,-1,0.08342737,-1,1.08219,1.08438
48,2021-04-05,1,0.33300924,-1,1.08345,1.08219
49,2021-04-06,1,0.8373245,1,1.08597,1.08345
50,2021-04-07,-1,0.65844536,1,1.08533,1.08597
51,2021-04-08,-1,0.43732414,-1,1.08411,1.08533
52,2021-04-09,-1,0.37802157,-1,1.0829,1.08411
53,2021-04-12,1,0.8775673,1,1.0843,1.0829
54,2021-04-13,-1,0.81279135,1,1.08343,1.0843
55,2021-04-14,-1,0.565214,1,1.08179,1.08343
56,2021-04-15,-1,0.50045073,1,1.08086,1.08179
57,2021-04-16,1,0.8920849,1,1.08239,1.08086
58,2021-04-19,-1,0.49880883,1,1.08009,1.08239
59,2021-04-20,-1,0.16593882,-1,1.07703,1.08009
60,2021-04-21,-1,0.15371431,-1,1.07528,1.07703
61,2021-04-22,1,0.28211808,-1,1.07577,1.07528
62,2021-04-23,1,0.61036485,1,1.07664,1.07577
63,2021-04-26,1,0.86604786,1,1.07805,1.07664
64,2021-04-27,-1,0.70721567,1,1.07754,1.07805
65,2021-04-28,-1,0.09366954,-1,1.07291,1.07754
66,2021-04-29,-1,0.15956,-1,1.07222,1.07291
67,2021-04-30,1,0.9439697,1,1.07716,1.07222
68,2021-05-03,1,0.91517633,1,1.07789,1.07716
69,2021-05-04,1,0.89530975,1,1.07861,1.07789
70,2021-05-05,-1,0.1303578,-1,1.07354,1.07861
71,2021-05-06,1,0.80732656,1,1.07601,1.07354
72,2021-05-07,1,0.8542949,1,1.07702,1.07601
73,2021-05-10,1,0.8555622,1,1.07798,1.07702
74,2021-05-11,1,0.7912987,1,1.07839,1.07798
75,2021-05-12,1,0.7949563,1,1.07926,1.07839
76,2021-05-13,-1,0.084023416,-1,1.07532,1.07926
77,2021-05-14,-1,0.090826504,-1,1.07285,1.07532
78,2021-05-17,1,0.88732725,1,1.07692,1.07285
79,2021-05-18,-1,0.70803696,1,1.07603,1.07692
80,2021-05-19,1,0.8418832,1,1.0774,1.07603
81,2021-05-20,1,0.899031,1,1.07965,1.0774
82,2021-05-21,-1,0.6683011,1,1.07917,1.07965
83,2021-05-24,-1,0.075980216,-1,1.07441,1.07917
84,2021-05-25,-1,0.122498795,-1,1.07279,1.07441
85,2021-05-26,-1,0.044954687,-1,1.063,1.07279
86,2021-05-27,-1,0.118894294,-1,1.06131,1.063
87,2021-05-28,1,0.4435249,-1,1.06335,1.06131
88,2021-05-31,-1,0.2708529,-1,1.06245,1.06335
89,2021-06-01,1,0.9405218,1,1.06876,1.06245
90,2021-06-02,1,0.92603415,1,1.07139,1.06876
91,2021-06-03,1,0.88931626,1,1.07212,1.07139
92,2021-06-04,1,0.8958511,1,1.07376,1.07212
93,2021-06-07,-1,0.71066874,1,1.07292,1.07376
94,2021-06-08,1,0.8816364,1,1.07529,1.07292
95,2021-06-09,1,0.8882306,1,1.07713,1.07529
