time,Actual Movement,Predictions,Predicted
2021-01-27,1,0.20190382,-1
2021-01-28,-1,0.22279614,-1
2021-01-29,-1,0.055853747,-1
2021-02-01,1,0.26931792,-1
2021-02-02,-1,0.056626286,-1
2021-02-03,-1,0.103543766,-1
2021-02-04,1,0.85867083,1
2021-02-05,1,0.92563224,1
2021-02-08,1,0.9109585,1
2021-02-09,1,0.91562474,1
2021-02-10,1,0.91624695,1
2021-02-11,1,0.8996578,1
2021-02-12,1,0.87250775,1
2021-02-15,1,0.82981443,1
2021-02-16,-1,0.615564,1
2021-02-17,1,0.8238882,1
2021-02-18,-1,0.17777854,-1
2021-02-19,1,0.6144817,1
2021-02-22,1,0.7368903,1
2021-02-23,-1,0.112058215,-1
2021-02-24,-1,0.027162755,-1
2021-02-25,-1,0.055041954,-1
2021-02-26,-1,0.06872853,-1
2021-03-01,1,0.8782194,1
2021-03-02,1,0.9081058,1
2021-03-03,1,0.87758905,1
2021-03-04,1,0.87957454,1
2021-03-05,-1,0.53617847,1
2021-03-08,1,0.78446513,1
2021-03-09,1,0.91015726,1
2021-03-10,-1,0.68255234,1
2021-03-11,1,0.8889471,1
2021-03-12,1,0.924505,1
2021-03-15,-1,0.16608995,-1
2021-03-16,1,0.27862632,-1
2021-03-17,1,0.29178685,-1
2021-03-18,1,0.8951451,1
2021-03-19,-1,0.26169038,-1
2021-03-22,1,0.46125963,1
2021-03-23,1,0.93481195,1
2021-03-24,-1,0.8468112,1
2021-03-25,1,0.9183235,1
2021-03-26,1,0.9131509,1
2021-03-29,-1,0.8014856,1
2021-03-30,-1,0.17839663,-1
2021-03-31,1,0.3782765,-1
2021-04-01,-1,0.08221873,-1
2021-04-02,-1,0.08342737,-1
2021-04-05,1,0.33300924,-1
2021-04-06,1,0.8373245,1
2021-04-07,-1,0.65844536,1
2021-04-08,-1,0.43732414,-1
2021-04-09,-1,0.37802157,-1
2021-04-12,1,0.8775673,1
2021-04-13,-1,0.81279135,1
2021-04-14,-1,0.565214,1
2021-04-15,-1,0.50045073,1
2021-04-16,1,0.8920849,1
2021-04-19,-1,0.49880883,1
2021-04-20,-1,0.16593882,-1
2021-04-21,-1,0.15371431,-1
2021-04-22,1,0.28211808,-1
2021-04-23,1,0.61036485,1
2021-04-26,1,0.86604786,1
2021-04-27,-1,0.70721567,1
2021-04-28,-1,0.09366954,-1
2021-04-29,-1,0.15956,-1
2021-04-30,1,0.9439697,1
2021-05-03,1,0.91517633,1
2021-05-04,1,0.89530975,1
2021-05-05,-1,0.1303578,-1
2021-05-06,1,0.80732656,1
2021-05-07,1,0.8542949,1
